company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
AppHarvest,AppHarvest.com,Morehead,KY,United States,128,http://www.linkedin.com/company/appharvest,2017,Farming,1,,24,,,,,,$191.3M,https://www.growjo.com/company/AppHarvest,https://www.indeed.com/jobs?q=company%3A(AppHarvest),510%,For Contact Direct Phone Numbers and Emails see Lead411
Gravity Diagnostics,gravitydiagnostics.com,Covington,KY,United States,291,http://www.linkedin.com/company/gravity-diagnostics,2014,Hospital/Healthcare,10,78570000,16,,,,,,$20M,https://www.growjo.com/company/Gravity_Diagnostics,https://www.indeed.com/jobs?q=company%3A(Gravity Diagnostics),429%,For Contact Direct Phone Numbers and Emails see Lead411
Congo Brands,congobrands.com,Louisville,KY,United States,60,http://www.linkedin.com/company/congo-brands,2019,Consumer,78,15060000,1,,,,,,,https://www.growjo.com/company/Congo_Brands,https://www.indeed.com/jobs?q=company%3A(Congo Brands),253%,For Contact Direct Phone Numbers and Emails see Lead411
Venminder,venminder.com,Elizabethtown,KY,United States,155,http://www.linkedin.com/company/venminder,2001,Fintech,248,20150000,1,"SaaS,Banking,Data Storage,Enterprise Software,Finance,Information Security,Security,Storage",,,B2B,,$49.3M,https://www.growjo.com/company/Venminder,https://www.indeed.com/jobs?q=company%3A(Venminder),11%,For Contact Direct Phone Numbers and Emails see Lead411
TurnPoint Services,turnpointservices.com,Louisville,KY,United States,45,http://www.linkedin.com/company/turnpointservices,,Consumer,382,11295000,1,,,,,,,https://www.growjo.com/company/TurnPoint_Services,https://www.indeed.com/jobs?q=company%3A(TurnPoint Services),61%,For Contact Direct Phone Numbers and Emails see Lead411
Centivo,centivo.com,,KY,United States,84,http://www.linkedin.com/company/centivo,2017,Insurance,439,18480000,1,,,,,,$70.4M,https://www.growjo.com/company/Centivo,https://www.indeed.com/jobs?q=company%3A(Centivo),62%,For Contact Direct Phone Numbers and Emails see Lead411
Confluent Health,goconfluent.com,Louisville,KY,United States,136,http://www.linkedin.com/company/confluenthealth,,Health,619,36720000,29,"Fitness and Wellness,Healthcare,Pharmaceuticals,Physical Security,Security",,,,,,https://www.growjo.com/company/Confluent_Health,https://www.indeed.com/jobs?q=company%3A(Confluent Health),27%,For Contact Direct Phone Numbers and Emails see Lead411
HARRISON COUNTY SCHOOL DISTRICT,harrison.kyschools.us,Cynthiana,KY,United States,77,http://www.linkedin.com/company/harrison-county-school-district,,Education,655,13860000,1,,,,,,,https://www.growjo.com/company/HARRISON_COUNTY_SCHOOL_DISTRICT,https://www.indeed.com/jobs?q=company%3A(HARRISON COUNTY SCHOOL DISTRICT),114%,For Contact Direct Phone Numbers and Emails see Lead411
Apellis Pharmaceuticals,apellis.com,Crestwood,KY,United States,415,http://www.linkedin.com/company/apellis,2008,Biotech,787,7440000,39,"Biotechnology,Healthcare,Pharmaceuticals",Sectoral Asset Management,,B2B,,$168.5M,https://www.growjo.com/company/Apellis_Pharmaceuticals,https://www.indeed.com/jobs?q=company%3A(Apellis Pharmaceuticals),49%,For Contact Direct Phone Numbers and Emails see Lead411
PharmaCord,pharmacord.com,Louisville,KY,United States,183,http://www.linkedin.com/company/pharmacord-llc.,2016,Pharma,923,36783000,9,,,,,,,https://www.growjo.com/company/PharmaCord,https://www.indeed.com/jobs?q=company%3A(PharmaCord),51%,For Contact Direct Phone Numbers and Emails see Lead411
Landmark Recovery,landmarkrecovery.com,Louisville/Jefferson County metro go,KY,United States,201,http://www.linkedin.com/company/landmark-recovery,,Hospital/Healthcare,1578,54270000,1,,,,,,,https://www.growjo.com/company/Landmark_Recovery,https://www.indeed.com/jobs?q=company%3A(Landmark Recovery),45%,For Contact Direct Phone Numbers and Emails see Lead411
