,Date,Open,High,Low,Close,Volume
0,2010-04-08,7.3875,7.5115,7.34,7.5115,29200
1,2010-04-09,7.5015,7.509,7.485,7.509,8544
2,2010-04-12,7.495,7.5175,7.4475,7.4475,19200
3,2010-04-13,7.4425,7.5015,7.4425,7.4975,22400
4,2010-04-14,7.53,7.599,7.515,7.599,29600
5,2010-04-15,7.585,7.6175,7.585,7.6175,16800
6,2010-04-16,7.475,7.475,7.454,7.454,4800
7,2010-04-19,7.5,7.574,7.375,7.489,18800
8,2010-04-20,7.564,7.564,7.444,7.52,23328
9,2010-04-21,7.5265,7.5265,7.2,7.279,20960
10,2010-04-22,7.269,7.269,6.999,7.16,32336
11,2010-04-23,7.31,7.3125,7.1715,7.299,28272
12,2010-04-26,7.33,7.34,7.199,7.199,6400
13,2010-04-27,7.27,7.359,7.0015,7.0015,13728
14,2010-04-28,6.969,7.074,6.969,7.074,28000
15,2010-04-29,7.365,7.585,7.365,7.494,49128
16,2010-04-30,7.5675,7.5675,7.3775,7.379,7200
17,2010-05-03,7.404,7.5715,7.4,7.539,18400
18,2010-05-04,7.3115,7.3265,7.1875,7.239,10560
19,2010-05-05,6.9375,6.9375,6.7715,6.9165,6720
20,2010-05-06,6.8125,6.8125,5.5,5.6675,47200
21,2010-05-07,6.6825,6.6825,5.94,6.0225,35584
22,2010-05-10,6.5115,6.604,6.3625,6.3625,19192
23,2010-05-11,6.2825,6.555,6.2825,6.555,34240
24,2010-05-12,6.5665,6.7815,6.5665,6.7815,3200
25,2010-05-14,6.4975,6.4975,6.239,6.355,12400
26,2010-05-17,6.4175,6.4175,6.1575,6.1575,16800
27,2010-05-18,6.515,6.515,6.26,6.26,13600
28,2010-05-19,6.149,6.149,6.149,6.149,800
29,2010-05-20,6.0325,6.0325,5.715,5.7215,23200
30,2010-05-21,5.52,5.7825,5.519,5.6815,44592
31,2010-05-24,5.6615,5.79,5.6615,5.6775,6728
32,2010-05-25,5.3925,5.6115,5.3925,5.6115,4000
33,2010-05-26,5.689,5.7325,5.5265,5.5315,21312
34,2010-05-27,5.729,5.809,5.6925,5.809,12000
35,2010-06-01,5.774,5.774,5.564,5.5665,3200
36,2010-06-02,5.75,5.9325,5.75,5.9325,4800
37,2010-06-03,5.9465,6.054,5.9465,6.0525,4928
38,2010-06-04,5.7275,5.7275,5.589,5.5975,4888
39,2010-06-07,5.645,5.645,5.445,5.445,6400
40,2010-06-08,5.46,5.4715,5.235,5.3125,57600
41,2010-06-09,5.3725,5.4515,5.2675,5.2675,27200
42,2010-06-10,5.4265,5.5925,5.4265,5.5625,15440
43,2010-06-11,5.6675,5.7265,5.6675,5.7265,4000
44,2010-06-15,5.875,6.015,5.875,6.009,3200
45,2010-06-16,6.0365,6.0365,5.959,5.965,16704
46,2010-06-17,5.949,5.9865,5.949,5.9865,11952
47,2010-06-22,5.8625,5.8715,5.7125,5.7125,12800
48,2010-06-24,5.639,5.639,5.639,5.639,4000
49,2010-06-25,5.679,5.855,5.679,5.855,15200
50,2010-06-28,5.724,5.7915,5.724,5.76,7200
51,2010-06-29,5.5875,5.5875,5.3375,5.355,9200
52,2010-06-30,5.4175,5.4175,5.2125,5.2125,1600
53,2010-07-01,5.0,5.0,4.815,4.8525,10624
54,2010-07-02,5.0965,5.0965,5.0965,5.0965,800
55,2010-07-06,5.169,5.2265,5.05,5.05,48800
56,2010-07-07,4.9315,5.1215,4.93,5.1215,2400
57,2010-07-08,5.2015,5.2015,5.2015,5.2015,800
58,2010-07-09,5.279,5.279,5.279,5.279,800
59,2010-07-14,5.51,5.56,5.49,5.49,18400
60,2010-07-15,5.5825,5.64,5.49,5.5725,13600
61,2010-07-16,5.31,5.31,5.31,5.31,800
62,2010-07-20,5.1015,5.15,5.1015,5.15,10400
63,2010-07-21,5.2775,5.3375,5.21,5.21,28000
64,2010-07-22,5.3665,5.409,5.34,5.3715,25600
65,2010-07-23,5.3515,5.3515,5.2565,5.2565,7992
66,2010-07-26,5.725,5.8065,5.725,5.8065,3600
67,2010-07-27,5.975,5.975,5.71,5.71,19792
68,2010-07-28,5.6715,5.6765,5.4865,5.4865,35192
69,2010-07-29,5.5875,5.5875,5.384,5.475,38200
70,2010-07-30,5.6715,5.6715,5.634,5.649,12400
71,2010-08-02,5.7465,5.8865,5.7465,5.86,37600
72,2010-08-03,5.93,5.93,5.8775,5.8775,9600
73,2010-08-04,5.975,6.0025,5.975,6.0025,1600
74,2010-08-05,5.969,6.0025,5.969,6.0025,2800
75,2010-08-06,6.0,6.0,5.8815,5.89,4800
76,2010-08-09,6.1165,6.1615,6.1115,6.149,7200
77,2010-08-10,6.144,6.144,5.995,6.014,3200
78,2010-08-11,5.8965,5.8965,5.6865,5.7075,10400
79,2010-08-16,5.7125,5.7125,5.7125,5.7125,1592
80,2010-08-17,5.754,5.8775,5.754,5.8625,6400
81,2010-08-18,5.824,5.9025,5.739,5.815,35056
82,2010-08-19,5.579,5.579,5.579,5.579,1600
83,2010-08-20,5.5575,5.589,5.555,5.584,16000
84,2010-08-23,5.6525,5.6525,5.494,5.494,16800
85,2010-08-24,5.324,5.35,5.294,5.3415,12000
86,2010-08-25,5.2865,5.3465,5.234,5.3465,38400
87,2010-08-26,5.4575,5.4575,5.2915,5.2915,4000
88,2010-08-27,5.4015,5.4515,5.4015,5.44,21600
89,2010-08-30,5.375,5.375,5.334,5.3365,10400
