,Date,Open,High,Low,Close,Volume
0,2014-05-07,19.412,19.435,19.218,19.295,5781
1,2014-05-08,19.28,19.412,19.264,19.288,3828
2,2014-05-09,19.257,19.264,19.21,19.25,3361
3,2014-05-12,19.35,19.506,19.218,19.474,65808
4,2014-05-13,19.59,19.59,19.451,19.49,8137
5,2014-05-14,19.932,19.932,19.56,19.568,68990
6,2014-05-15,19.49,19.49,19.32,19.381,14103
7,2014-05-16,19.459,19.606,19.459,19.606,1671
8,2014-05-19,19.506,19.506,19.404,19.42,505
9,2014-05-20,19.358,19.358,19.358,19.358,128
10,2014-05-21,19.583,19.583,19.583,19.583,132
11,2014-05-22,19.816,19.816,19.668,19.708,3282
12,2014-05-23,19.816,19.816,19.816,19.816,193
13,2014-05-27,19.964,19.964,19.63,19.66,7893
14,2014-05-28,19.917,19.917,19.77,19.77,7315
15,2014-05-29,19.808,19.816,19.746,19.746,6568
16,2014-05-30,19.925,19.971,19.746,19.778,8614
17,2014-06-02,19.948,19.956,19.925,19.948,2576
18,2014-06-03,19.84,19.909,19.823,19.87,7634
19,2014-06-04,19.598,19.77,19.498,19.668,7085
20,2014-06-05,19.862,19.932,19.855,19.855,8177
21,2014-06-09,19.932,19.94,19.932,19.94,647
22,2014-06-10,20.096,20.158,20.096,20.158,1804
23,2014-06-12,20.048,20.048,19.995,19.995,1051
24,2014-06-13,20.25,20.258,20.212,20.244,6475
25,2014-06-16,20.274,20.274,20.212,20.228,6736
26,2014-06-17,20.188,20.212,20.188,20.212,1001
27,2014-06-18,20.134,20.282,20.111,20.282,2373
28,2014-06-19,19.995,20.01,19.964,19.964,785
29,2014-06-20,20.018,20.018,20.002,20.002,852
30,2014-06-23,19.886,19.917,19.886,19.917,6426
31,2014-06-24,20.01,20.096,19.995,20.034,4816
32,2014-06-25,20.002,20.002,20.002,20.002,128
33,2014-06-26,20.258,20.258,20.181,20.212,2704
34,2014-06-27,20.228,20.228,20.228,20.228,209
35,2014-06-30,20.368,20.376,20.359,20.359,2962
36,2014-07-01,20.453,20.507,20.453,20.507,3220
37,2014-07-02,20.632,20.632,20.632,20.632,773
38,2014-07-03,20.709,20.716,20.709,20.716,3606
39,2014-07-07,20.702,20.702,20.702,20.702,722
40,2014-07-08,20.646,20.646,20.616,20.616,2375
41,2014-07-09,20.429,20.499,20.429,20.492,1705
42,2014-07-10,20.336,20.336,20.314,20.328,1442
43,2014-07-11,20.429,20.53,20.429,20.507,2565
44,2014-07-14,20.764,20.764,20.748,20.748,1538
45,2014-07-15,20.716,20.716,20.716,20.716,1226
46,2014-07-16,20.856,20.856,20.81,20.81,3503
47,2014-07-17,20.639,20.646,20.53,20.546,5234
48,2014-07-18,20.724,20.748,20.724,20.748,2061
49,2014-07-21,20.716,20.716,20.716,20.716,387
50,2014-07-22,21.097,21.097,21.097,21.097,1932
51,2014-07-23,21.206,21.214,21.198,21.198,6439
52,2014-07-24,21.478,21.555,21.478,21.524,1519
53,2014-07-25,21.454,21.734,21.454,21.71,3558
54,2014-07-28,22.262,22.394,22.029,22.169,6360
55,2014-07-29,22.231,22.316,22.231,22.293,9576
56,2014-07-30,22.184,22.44,22.068,22.099,10288
57,2014-07-31,22.106,22.106,22.068,22.083,5318
58,2014-08-01,22.052,22.052,22.052,22.052,257
59,2014-08-04,22.316,22.418,22.293,22.418,4219
60,2014-08-05,22.254,22.293,22.231,22.231,5975
61,2014-08-06,22.176,22.2,22.099,22.115,7403
62,2014-08-07,22.091,22.091,21.959,21.959,550
63,2014-08-08,22.216,22.278,22.216,22.278,355
64,2014-08-11,22.479,22.588,22.471,22.588,7994
65,2014-08-12,22.51,22.611,22.471,22.604,20817
66,2014-08-13,22.658,22.658,22.658,22.658,737
67,2014-08-14,22.471,22.487,22.464,22.464,4218
68,2014-08-15,22.534,22.836,22.534,22.58,3762
69,2014-08-18,22.836,22.836,22.736,22.759,771
70,2014-08-19,22.891,22.891,22.759,22.798,3127
71,2014-08-20,22.821,22.821,22.697,22.697,8050
72,2014-08-21,22.774,22.774,22.479,22.479,1531
73,2014-08-25,22.479,22.479,22.479,22.479,128
74,2014-08-26,22.401,22.401,22.401,22.401,154
75,2014-08-27,22.356,22.37,22.34,22.356,2714
76,2014-08-28,22.076,22.076,22.037,22.037,925
77,2014-08-29,22.27,22.27,22.262,22.262,1030
78,2014-09-02,22.611,22.627,22.611,22.627,1461
79,2014-09-03,23.132,23.295,23.093,23.093,1079
80,2014-09-04,23.217,23.217,23.217,23.217,579
81,2014-09-08,23.147,23.147,23.147,23.147,39
82,2014-09-09,23.264,23.264,23.139,23.147,713
83,2014-09-10,22.876,22.945,22.876,22.876,1020
84,2014-09-11,22.937,22.937,22.906,22.906,359
85,2014-09-12,22.906,22.906,22.876,22.876,644
86,2014-09-15,22.751,22.751,22.658,22.674,4375
87,2014-09-16,22.286,22.736,22.286,22.674,3200
88,2014-09-17,22.619,22.634,22.619,22.634,2125
89,2014-09-18,22.643,22.643,22.643,22.643,133
90,2014-09-19,22.868,22.868,22.518,22.549,880
91,2014-09-22,22.083,22.083,22.083,22.083,624
92,2014-09-23,22.176,22.176,22.146,22.146,413
93,2014-09-24,22.534,22.541,22.534,22.541,322
94,2014-09-25,22.44,22.58,22.316,22.316,2230
95,2014-09-26,22.254,22.44,22.254,22.44,1565
96,2014-09-29,22.34,22.34,22.262,22.262,1348
97,2014-09-30,22.356,22.356,22.34,22.34,2146
98,2014-10-01,21.968,21.968,21.968,21.968,257
99,2014-10-02,21.82,21.82,21.734,21.734,773
100,2014-10-03,22.216,22.216,22.216,22.216,128
101,2014-10-06,22.565,22.565,22.518,22.565,954
102,2014-10-07,22.471,22.471,22.409,22.426,1932
103,2014-10-08,22.448,22.448,22.448,22.448,257
104,2014-10-09,22.526,22.526,22.348,22.363,5153
105,2014-10-10,22.083,22.231,22.083,22.091,10519
106,2014-10-13,22.278,22.324,22.254,22.324,2658
107,2014-10-15,21.982,21.982,21.982,21.982,644
108,2014-10-17,22.286,22.394,22.27,22.308,20745
109,2014-10-20,22.262,22.386,22.262,22.331,20767
110,2014-10-21,22.401,22.401,22.301,22.401,469
111,2014-10-23,22.231,22.238,22.2,22.2,702
112,2014-10-24,22.301,22.301,22.13,22.223,1873
113,2014-10-27,22.083,22.083,21.881,21.951,4023
114,2014-10-28,22.565,22.588,22.401,22.588,13095
115,2014-10-29,22.689,22.704,22.634,22.681,3658
116,2014-10-30,22.829,22.829,22.829,22.829,128
117,2014-10-31,23.116,23.116,23.116,23.116,515
118,2014-11-03,23.209,23.209,22.984,23.007,1217
119,2014-11-05,23.023,23.062,22.992,23.046,5685
120,2014-11-07,22.937,22.961,22.937,22.961,1605
121,2014-11-10,23.473,23.473,23.302,23.334,9724
122,2014-11-11,23.279,23.279,23.24,23.256,1129
123,2014-11-12,23.457,23.465,23.434,23.465,1584
124,2014-11-13,23.473,23.473,23.473,23.473,695
125,2014-11-14,23.97,23.97,23.893,23.893,644
126,2014-11-17,23.372,23.434,23.372,23.434,3090
