,Date,Open,High,Low,Close,Volume
0,2007-10-24,50.02,50.02,50.02,50.02,2500
1,2007-10-25,49.51,49.55,49.45,49.45,700
2,2007-10-26,49.3,49.3,49.3,49.3,100
3,2007-10-29,48.82,48.82,48.82,48.82,100
4,2007-10-31,48.72,48.72,48.72,48.72,200
5,2007-11-05,48.18,48.32,48.13,48.32,1400
6,2007-11-06,48.38,48.38,48.26,48.27,500
7,2007-11-07,48.2,48.32,47.9,47.91,2000
8,2007-11-08,48.09,48.16,48.09,48.16,700
9,2007-11-09,48.2,48.88,48.2,48.8,700
10,2007-11-12,48.84,48.84,48.18,48.18,4000
11,2007-11-13,48.35,48.89,48.35,48.86,4900
12,2007-11-14,48.53,48.53,48.53,48.53,1000
13,2007-11-15,48.56,48.93,48.56,48.75,3200
14,2007-11-19,48.62,48.62,47.91,47.91,3300
15,2007-11-20,48.68,49.43,48.68,49.35,6500
16,2007-11-21,49.36,49.36,49.05,49.25,900
17,2007-11-23,49.57,49.57,49.48,49.48,1200
18,2007-11-26,49.51,49.55,49.32,49.42,3800
19,2007-11-27,49.33,49.33,48.98,49.04,2900
20,2007-11-28,49.0,49.0,48.71,48.71,500
21,2007-11-29,49.07,49.16,48.8,48.87,16500
22,2007-11-30,49.0,49.0,48.43,48.65,23000
23,2007-12-03,48.33,48.36,48.33,48.35,7700
24,2007-12-04,48.12,48.18,47.91,48.04,1300
25,2007-12-05,48.08,48.21,48.0,48.15,2800
26,2007-12-06,48.09,48.23,47.98,48.14,2900
27,2007-12-07,48.33,48.6,48.22,48.6,6600
28,2007-12-10,48.62,49.23,48.58,49.2,11700
29,2007-12-11,49.06,49.26,48.94,49.13,3100
30,2007-12-12,48.92,49.05,48.53,49.05,1800
31,2007-12-13,48.47,48.47,47.88,47.93,12200
32,2007-12-14,47.85,48.69,46.28,47.61,16600
33,2007-12-17,47.6,47.65,47.6,47.61,2000
34,2007-12-18,47.44,47.61,47.44,47.61,800
