,Date,Open,High,Low,Close,Volume
0,2006-06-16,41.774,41.825,41.677,41.825,5421
1,2006-06-19,41.708,41.758,41.359,41.359,8794
2,2006-06-20,41.509,41.651,41.509,41.561,4217
3,2006-06-21,41.484,41.825,41.484,41.733,6989
4,2006-06-22,41.542,41.635,41.484,41.484,3139
5,2006-06-23,41.526,41.715,41.44,41.526,34577
6,2006-06-26,41.61,41.782,41.569,41.782,13975
7,2006-06-27,41.832,41.863,41.569,41.569,5300
8,2006-06-28,41.61,41.7,41.518,41.7,3251
9,2006-06-29,41.914,42.083,41.914,42.007,968
10,2006-06-30,42.668,42.668,42.542,42.643,6024
11,2006-07-03,42.675,42.855,42.643,42.855,6381
12,2006-07-05,42.549,42.66,42.533,42.564,147949
13,2006-07-06,42.684,42.896,42.684,42.797,3973
14,2006-07-07,42.797,42.814,42.627,42.627,2411
15,2006-07-10,42.684,42.888,42.684,42.797,19754
16,2006-07-11,42.684,42.797,42.524,42.797,4217
17,2006-07-12,42.84,42.84,42.516,42.533,4217
18,2006-07-13,42.328,42.328,41.889,41.979,6381
19,2006-07-14,41.832,41.832,41.551,41.724,2654
20,2006-07-17,41.782,41.782,41.618,41.708,2051
21,2006-07-18,41.758,41.871,41.509,41.758,5898
22,2006-07-19,42.083,42.66,42.083,42.66,10722
23,2006-07-20,42.675,42.692,42.42,42.42,3737
24,2006-07-21,42.386,42.386,42.19,42.19,2051
25,2006-07-24,42.312,42.684,42.312,42.643,18432
26,2006-07-25,42.855,43.083,42.855,43.083,1324
27,2006-07-26,42.976,43.218,42.961,43.142,13854
28,2006-07-27,43.253,43.279,43.018,43.018,8435
29,2006-07-28,43.168,43.559,43.133,43.559,3851
30,2006-07-31,43.387,43.483,43.387,43.467,853
31,2006-08-01,43.158,43.253,43.158,43.253,2411
32,2006-08-02,43.296,43.632,43.296,43.491,18195
33,2006-08-03,43.311,43.743,43.311,43.7,4336
34,2006-08-04,43.874,43.954,43.667,43.735,7347
35,2006-08-07,43.623,43.683,43.516,43.568,9037
