,Date,Open,High,Low,Close,Volume
0,2014-05-12,20.128,20.128,20.085,20.093,256176
1,2014-05-13,20.003,20.038,19.979,19.996,89637
2,2014-05-14,20.021,20.029,19.947,19.947,1219
3,2014-05-15,19.865,19.865,19.823,19.823,487
4,2014-05-16,19.709,19.709,19.674,19.674,365
5,2014-05-19,19.659,19.659,19.635,19.635,732
6,2014-05-20,19.627,19.627,19.593,19.593,854
7,2014-05-22,20.259,20.267,20.235,20.25,23156
8,2014-05-23,20.365,20.414,20.348,20.414,11212
9,2014-05-27,20.564,20.571,20.538,20.546,14991
10,2014-05-30,20.579,20.579,20.579,20.579,245
11,2014-06-02,21.056,21.056,21.023,21.023,6581
12,2014-06-03,20.94,20.991,20.924,20.991,4936
13,2014-06-04,21.17,21.212,21.146,21.194,35830
14,2014-06-05,20.924,20.924,20.924,20.924,609
15,2014-06-09,20.924,20.924,20.899,20.924,12453
16,2014-06-10,20.661,20.677,20.637,20.653,9384
17,2014-06-11,20.637,20.637,20.596,20.605,9139
18,2014-06-12,20.504,20.504,20.489,20.489,854
19,2014-06-13,20.858,20.858,20.817,20.817,10239
20,2014-06-16,20.825,20.842,20.808,20.808,13168
21,2014-06-17,20.948,20.948,20.931,20.94,2193
22,2014-06-18,21.095,21.095,21.079,21.087,4266
23,2014-06-23,21.301,21.333,21.301,21.333,1309
24,2014-06-25,21.521,21.521,21.521,21.521,122
25,2014-07-02,21.85,21.85,21.826,21.826,1219
26,2014-07-08,21.521,21.521,21.497,21.505,1266
27,2014-07-14,21.745,21.745,21.703,21.703,609
28,2014-07-16,21.908,21.908,21.866,21.892,6216
29,2014-07-30,22.269,22.269,22.236,22.236,3584
30,2014-08-05,22.023,22.023,21.983,21.983,1341
31,2014-08-12,22.123,22.123,22.097,22.097,609
32,2014-08-20,22.598,22.598,22.598,22.598,487
33,2014-08-21,22.779,22.779,22.779,22.779,366
34,2014-08-22,22.664,22.664,22.664,22.664,1341
35,2014-08-28,22.812,22.828,22.794,22.794,4509
36,2014-09-08,22.794,22.794,22.794,22.794,30
37,2014-09-19,23.181,23.27,23.181,23.181,609
38,2014-09-26,23.443,23.459,23.443,23.459,731
39,2014-09-30,23.367,23.367,23.367,23.367,657
40,2014-10-01,23.115,23.115,23.082,23.082,2071
41,2014-10-02,22.687,22.687,22.467,22.467,1464
42,2014-10-03,22.95,22.991,22.95,22.991,5850
43,2014-10-06,23.123,23.123,22.967,22.967,1541
44,2014-10-07,22.828,22.828,22.812,22.812,382
45,2014-10-10,22.276,22.276,22.088,22.146,6050
46,2014-10-14,21.94,21.94,21.94,21.94,609
47,2014-10-15,21.333,21.513,21.333,21.513,1705
48,2014-10-17,21.58,21.58,21.456,21.49,697
49,2014-10-20,22.039,22.129,21.991,22.129,1705
50,2014-10-22,22.409,22.524,22.409,22.524,1809
51,2014-10-23,22.549,22.581,22.549,22.573,2071
52,2014-10-24,22.721,22.787,22.655,22.787,2559
53,2014-10-28,22.975,22.975,22.975,22.975,122
54,2014-10-29,22.983,22.983,22.886,22.903,731
55,2014-10-31,24.624,24.624,24.624,24.624,901
56,2014-11-03,25.075,25.419,25.068,25.419,1377
57,2014-11-04,24.369,24.377,24.212,24.377,6897
58,2014-11-07,24.205,24.205,24.034,24.082,2034
59,2014-11-10,24.164,24.279,24.123,24.279,3419
60,2014-11-12,24.402,24.402,24.402,24.402,410
61,2014-11-14,24.558,24.558,24.5,24.508,8166
62,2014-11-17,24.188,24.205,24.188,24.205,289
63,2014-11-18,24.321,24.321,24.321,24.321,122
64,2014-11-24,24.411,24.411,24.411,24.411,413
65,2014-11-28,24.067,24.067,24.05,24.05,1576
66,2014-12-02,24.508,24.772,24.508,24.772,757
67,2014-12-03,24.598,24.648,24.598,24.648,2237
68,2014-12-08,24.533,24.624,24.419,24.493,1097
69,2014-12-09,24.395,24.395,24.395,24.395,158
70,2014-12-11,24.305,24.305,24.305,24.305,361
71,2014-12-12,24.157,24.173,24.139,24.139,6593
72,2014-12-16,23.336,23.336,23.189,23.198,4145
73,2014-12-17,23.903,23.903,23.903,23.903,1219
74,2014-12-24,24.536,24.585,24.536,24.585,375
75,2015-01-05,23.833,23.851,23.833,23.851,243
76,2015-01-07,24.108,24.108,23.975,24.033,495
77,2015-01-08,24.64,24.68,24.594,24.68,4204
78,2015-01-14,24.403,24.497,24.279,24.497,2525
79,2015-01-20,25.553,25.716,25.553,25.573,905
80,2015-01-21,25.298,25.363,25.298,25.363,280
81,2015-01-23,25.174,25.26,25.174,25.174,233
82,2015-02-04,26.193,26.345,26.193,26.211,5098
83,2015-02-06,26.716,26.716,26.593,26.593,608
84,2015-02-17,26.64,26.64,26.574,26.603,6544
85,2015-02-18,27.259,27.259,27.135,27.154,1887
86,2015-02-19,27.363,27.363,27.363,27.363,178
87,2015-02-20,27.307,27.307,27.22,27.22,248
88,2015-02-23,27.468,27.468,27.468,27.468,526
89,2015-02-24,27.735,27.754,27.677,27.677,4429
90,2015-02-25,27.725,27.725,27.619,27.706,1180
91,2015-02-26,27.745,27.829,27.725,27.735,918
92,2015-02-27,27.782,27.782,27.706,27.715,2091
93,2015-03-02,27.925,27.934,27.925,27.934,525
94,2015-03-03,28.096,28.096,28.096,28.096,209
95,2015-03-04,28.106,28.268,28.106,28.268,1472
96,2015-03-05,28.944,29.077,28.934,28.972,8825
97,2015-03-06,29.428,29.448,29.22,29.22,1365
98,2015-03-09,28.858,28.981,28.801,28.972,2521
99,2015-03-10,28.677,28.706,28.667,28.667,735
100,2015-03-11,28.667,28.667,28.667,28.667,105
101,2015-03-12,29.752,29.905,29.752,29.905,8615
102,2015-03-13,29.324,29.496,29.315,29.496,20803
103,2015-03-16,29.173,29.305,29.173,29.276,8301
104,2015-03-17,29.268,29.315,29.22,29.315,2101
105,2015-03-18,29.344,29.505,29.344,29.505,1260
106,2015-03-19,29.399,29.486,29.363,29.409,1786
107,2015-03-20,29.713,29.791,29.713,29.791,2311
