,Date,Open,High,Low,Close,Volume
0,2012-01-19,22.293,22.499,22.293,22.499,3458
1,2012-01-20,22.559,23.17,22.365,22.391,1130
2,2012-01-23,22.648,22.754,22.559,22.676,26301
3,2012-01-24,22.374,22.629,22.215,22.629,28132
4,2012-01-25,22.771,22.771,22.349,22.737,2728
5,2012-01-26,22.922,24.54,22.629,22.629,2459
6,2012-01-27,22.995,23.4,22.686,22.862,7350
7,2012-01-30,22.481,23.576,22.251,22.365,1188
8,2012-01-31,22.444,22.612,22.356,22.612,1435
9,2012-02-01,23.135,23.144,23.099,23.109,3041
10,2012-02-02,23.496,23.496,23.188,23.216,6085
11,2012-02-03,23.496,23.585,23.496,23.585,2894
12,2012-02-06,23.647,23.647,23.337,23.4,1928
13,2012-02-07,23.463,23.534,23.463,23.525,904
14,2012-02-08,23.576,23.576,23.516,23.525,1265
15,2012-02-09,23.922,23.922,23.525,23.647,17774
16,2012-02-10,23.303,23.417,23.258,23.417,17885
17,2012-02-13,23.566,23.692,23.566,23.566,362
18,2012-02-14,23.471,23.525,23.303,23.391,4270
19,2012-02-15,23.736,23.736,23.25,23.445,4620
20,2012-02-16,23.408,23.585,23.408,23.566,2064
21,2012-02-17,24.0,24.0,23.4,23.4,3191
22,2012-02-21,23.656,23.656,23.595,23.595,1779
23,2012-02-22,23.585,23.595,23.585,23.595,819
24,2012-02-23,23.799,23.799,23.692,23.701,1441
25,2012-02-24,23.823,23.861,23.755,23.773,5074
26,2012-02-27,23.763,23.773,23.763,23.773,1302
27,2012-02-29,24.287,24.287,23.931,23.931,2773
28,2012-03-01,24.117,24.213,24.079,24.187,1526
29,2012-03-02,24.099,24.099,24.099,24.099,226
30,2012-03-05,24.099,24.55,24.099,24.099,339
31,2012-03-06,23.391,23.391,23.303,23.303,2267
32,2012-03-07,23.516,23.551,23.453,23.551,1130
33,2012-03-08,24.099,24.099,23.79,24.01,3530
34,2012-03-09,24.0,24.0,23.843,23.843,1308
35,2012-03-12,23.773,23.773,23.773,23.773,256
36,2012-03-13,23.745,23.931,23.745,23.931,1199
37,2012-03-14,23.843,23.843,23.807,23.823,2717
38,2012-03-15,23.878,23.878,23.823,23.823,962
39,2012-03-16,23.922,23.958,23.903,23.922,4117
40,2012-03-19,23.991,24.037,23.87,23.87,1470
41,2012-03-22,23.612,23.612,23.566,23.566,1781
42,2012-03-23,23.445,23.727,23.445,23.727,7082
43,2012-03-26,23.851,23.922,23.851,23.922,1119
44,2012-03-27,24.231,24.231,24.02,24.029,453
45,2012-03-29,23.445,23.711,23.355,23.665,1949
46,2012-03-30,23.935,23.995,23.935,23.995,368
47,2012-04-02,24.196,24.287,24.196,24.287,2023
48,2012-04-03,23.878,23.94,23.87,23.94,1692
49,2012-04-05,23.692,23.692,23.692,23.692,184
50,2012-04-09,23.639,23.639,23.612,23.612,1217
51,2012-04-10,23.408,23.408,23.312,23.312,455
52,2012-04-11,23.17,23.488,22.995,23.471,14790
53,2012-04-12,23.674,23.833,23.674,23.79,5186
54,2012-04-13,24.287,24.287,23.603,23.603,13294
55,2012-04-16,23.516,23.525,23.516,23.525,643
56,2012-04-17,24.02,24.02,23.665,23.665,652
57,2012-04-18,23.745,23.745,23.745,23.745,209
58,2012-04-19,23.763,23.823,23.763,23.773,5134
59,2012-04-20,24.037,24.037,24.0,24.0,6106
60,2012-04-23,23.656,23.799,23.525,23.755,4480
61,2012-04-24,23.79,23.79,23.711,23.711,565
62,2012-04-25,23.931,23.931,23.931,23.931,367
63,2012-04-26,23.966,23.991,23.95,23.991,2006
64,2012-04-27,24.029,24.037,24.029,24.029,395
65,2012-04-30,24.103,24.129,24.093,24.129,4467
66,2012-05-01,24.134,24.344,24.134,24.311,26293
67,2012-05-02,24.143,24.196,24.143,24.196,457
68,2012-05-03,24.259,24.268,24.126,24.126,4676
69,2012-05-04,24.196,24.223,24.02,24.063,5321
70,2012-05-07,23.823,23.878,23.814,23.87,2915
71,2012-05-08,23.983,23.983,23.488,23.674,22906
72,2012-05-09,23.328,23.427,23.127,23.427,1989
73,2012-05-10,23.566,23.566,23.506,23.551,1765
74,2012-05-11,23.516,23.516,23.516,23.516,339
75,2012-05-14,22.995,22.995,22.862,22.862,2871
76,2012-05-15,22.771,22.771,22.737,22.737,3734
77,2012-05-16,22.702,22.711,22.702,22.702,458
78,2012-05-17,22.578,22.578,22.55,22.55,453
79,2012-05-18,22.462,22.462,22.286,22.293,1547
80,2012-05-21,22.747,22.781,22.462,22.728,36678
81,2012-05-22,22.578,22.613,22.55,22.55,1335
82,2012-05-23,22.084,22.374,22.084,22.374,1988
83,2012-05-24,22.232,22.232,22.232,22.232,133
84,2012-05-25,22.349,22.382,22.349,22.349,1242
85,2012-05-29,22.49,22.499,22.382,22.499,2116
86,2012-05-30,22.135,22.135,22.135,22.135,112
87,2012-05-31,22.3,22.3,22.3,22.3,327
88,2012-06-01,22.173,22.197,21.772,21.85,30677
89,2012-06-04,22.057,22.057,21.85,21.95,25883
90,2012-06-05,22.127,22.127,22.065,22.127,4000
91,2012-06-06,22.419,22.578,22.419,22.578,6365
92,2012-06-07,22.825,22.825,22.639,22.639,864
