,Date,Open,High,Low,Close,Volume
0,2011-05-12,18.817,18.907,18.817,18.907,4427
1,2011-05-13,18.898,18.937,18.874,18.898,13013
2,2011-05-16,20.714,20.714,18.849,18.864,44291
3,2011-05-17,18.931,18.931,18.883,18.907,5631
4,2011-05-18,18.939,19.016,18.939,18.986,4295
5,2011-05-19,18.951,19.02,18.951,19.02,8320
6,2011-05-20,18.962,18.992,18.938,18.976,10738
7,2011-05-23,18.909,18.909,18.857,18.857,6309
8,2011-05-24,18.857,18.857,18.857,18.857,113
9,2011-05-25,18.789,18.848,18.77,18.848,5633
10,2011-05-26,18.827,18.857,18.827,18.857,4833
11,2011-05-27,18.907,18.969,18.907,18.969,7511
12,2011-05-31,18.994,19.017,18.979,18.994,3492
13,2011-06-01,19.044,19.044,19.03,19.03,1340
14,2011-06-02,18.99,19.03,18.983,19.03,8319
15,2011-06-03,19.039,19.052,19.039,19.052,392
16,2011-06-06,19.085,19.085,19.03,19.03,8319
17,2011-06-07,19.008,19.045,19.0,19.038,4962
18,2011-06-08,19.036,19.044,19.021,19.03,2014
19,2011-06-09,19.015,19.038,19.015,19.038,1878
20,2011-06-10,19.014,19.014,18.861,18.898,18248
21,2011-06-13,18.89,18.898,18.846,18.898,2014
22,2011-06-14,18.907,18.907,18.907,18.907,113
23,2011-06-15,18.914,18.914,18.81,18.841,4833
24,2011-06-16,18.769,18.817,18.769,18.783,3492
25,2011-06-17,18.806,18.806,18.806,18.806,392
26,2011-06-21,18.814,18.942,18.814,18.942,392
27,2011-06-22,18.962,18.984,18.962,18.969,810
28,2011-06-23,18.856,18.861,18.848,18.848,3355
29,2011-06-24,18.954,18.954,18.907,18.907,392
30,2011-06-27,18.889,18.889,18.889,18.889,392
31,2011-06-28,19.02,19.02,19.02,19.02,272
32,2011-06-29,19.078,19.1,19.061,19.1,2016
33,2011-06-30,19.048,19.075,19.048,19.075,2415
34,2011-07-01,19.146,19.177,19.146,19.177,804
35,2011-07-05,19.1,19.1,19.1,19.1,113
36,2011-07-06,19.142,19.142,19.142,19.142,389
37,2011-07-07,19.214,19.214,19.214,19.214,113
38,2011-07-08,19.177,19.177,19.177,19.177,1330
39,2011-07-11,19.124,19.132,19.06,19.06,6668
40,2011-07-12,19.052,19.052,19.052,19.052,804
41,2011-07-13,19.075,19.075,19.075,19.075,113
42,2011-07-14,19.17,19.17,19.109,19.109,7065
43,2011-07-15,19.147,19.147,19.095,19.116,7065
