,Date,Open,High,Low,Close,Volume
0,2007-05-11,90.619,90.619,90.574,90.619,477
1,2007-05-15,90.667,90.667,90.667,90.667,43
2,2007-05-16,90.211,90.211,90.211,90.211,65
3,2007-05-17,90.667,92.921,90.667,92.829,3006
4,2007-05-18,93.881,93.924,93.788,93.788,348
5,2007-05-21,94.293,94.438,94.293,94.438,2936
6,2007-05-22,95.485,95.485,94.705,94.705,1221
7,2007-05-23,95.03,95.805,94.438,94.438,1177
8,2007-05-24,94.845,94.845,92.451,92.591,1527
9,2007-05-25,93.28,93.609,93.14,93.28,4073
10,2007-05-29,93.657,93.788,93.28,93.28,2570
11,2007-05-30,93.972,95.166,93.972,95.079,1221
12,2007-05-31,94.986,95.708,94.937,95.437,5861
13,2007-06-01,95.708,96.46,95.534,95.844,741
14,2007-06-04,96.222,97.947,96.082,97.947,2939
15,2007-06-05,97.651,97.651,96.898,97.411,1655
16,2007-06-06,97.314,97.602,95.627,95.674,10717
17,2007-06-07,95.297,96.124,93.562,94.059,1221
18,2007-06-08,93.235,94.011,92.97,94.011,2440
19,2007-06-11,94.103,95.127,94.103,94.755,523
20,2007-06-12,94.293,95.388,93.881,94.705,655
21,2007-06-13,94.531,95.844,94.531,95.844,2330
22,2007-06-14,96.412,97.553,96.412,97.553,477
23,2007-06-15,98.328,98.742,98.279,98.742,1527
24,2007-06-18,98.959,99.057,98.377,98.693,7601
25,2007-06-19,98.377,98.781,98.239,98.328,1308
26,2007-06-20,98.466,98.466,96.222,96.222,3006
27,2007-06-21,96.848,97.314,96.364,97.314,4640
28,2007-06-22,95.485,96.034,95.485,96.034,348
29,2007-06-25,95.079,95.079,94.103,94.483,477
30,2007-06-26,94.438,94.438,91.82,92.0,827
31,2007-06-27,91.127,93.28,90.944,93.235,2026
32,2007-06-28,93.705,94.293,92.779,92.779,2113
33,2007-06-29,93.188,93.744,93.188,93.562,2440
34,2007-07-02,93.523,93.788,93.425,93.788,500
35,2007-07-03,94.579,94.937,94.579,94.937,175
36,2007-07-05,95.388,95.388,94.986,95.215,851
37,2007-07-06,95.758,95.937,95.297,95.388,2048
38,2007-07-09,95.893,95.893,95.485,95.805,2897
39,2007-07-10,95.03,95.758,95.03,95.297,1612
40,2007-07-11,94.618,94.937,94.618,94.937,1177
41,2007-07-12,95.805,95.805,94.937,95.485,676
42,2007-07-13,95.893,96.412,95.844,96.222,3311
43,2007-07-16,96.364,96.364,94.153,94.293,565
44,2007-07-17,94.705,95.758,94.705,95.34,827
45,2007-07-18,94.894,96.124,94.579,96.124,2789
46,2007-07-19,96.412,97.197,96.364,96.945,3551
47,2007-07-20,96.635,96.635,95.215,95.437,3855
48,2007-07-23,95.437,95.437,93.881,94.011,1527
49,2007-07-24,92.234,92.234,89.886,89.886,3268
50,2007-07-25,89.609,89.741,89.244,89.468,1633
51,2007-07-26,89.468,89.565,87.175,88.276,25464
52,2007-07-27,87.956,88.737,87.136,88.004,500
53,2007-07-30,88.514,88.97,87.501,88.368,1851
54,2007-07-31,90.119,90.346,88.644,88.644,1459
55,2007-08-01,88.737,89.244,86.996,86.996,1809
56,2007-08-02,89.244,89.244,87.869,88.514,872
57,2007-08-03,89.061,89.061,86.532,86.532,610
58,2007-08-06,85.62,85.62,82.768,85.392,8277
59,2007-08-07,84.743,86.124,84.743,85.896,2526
60,2007-08-08,87.68,89.741,87.68,89.381,5903
61,2007-08-09,88.189,89.609,87.913,88.737,3769
62,2007-08-10,86.9,88.189,86.353,88.189,979
63,2007-08-13,89.837,89.978,88.466,88.466,348
64,2007-08-14,88.141,88.141,86.807,86.807,762
65,2007-08-15,86.532,87.273,84.877,84.877,1633
66,2007-08-16,83.694,84.33,81.033,84.33,1940
67,2007-08-17,86.673,88.141,84.92,86.167,5796
68,2007-08-20,86.996,86.996,84.567,84.567,915
69,2007-08-21,85.013,85.013,84.141,84.141,741
70,2007-08-22,85.295,85.295,85.295,85.295,21
71,2007-08-23,84.476,85.474,84.476,85.474,1416
72,2007-08-24,85.846,86.167,85.846,86.167,43
73,2007-08-27,85.62,85.62,84.703,84.703,500
74,2007-08-28,83.917,83.917,82.865,82.865,805
75,2007-08-29,83.597,83.87,83.55,83.694,523
76,2007-08-30,83.826,84.703,83.826,84.379,477
77,2007-08-31,86.765,86.765,85.522,85.803,958
78,2007-09-04,85.939,88.922,85.939,88.606,958
79,2007-09-05,88.606,88.606,87.913,88.466,1023
80,2007-09-06,89.109,89.517,88.835,89.202,4051
81,2007-09-07,88.737,88.737,87.365,87.588,2832
82,2007-09-10,87.729,87.869,86.624,87.637,893
83,2007-09-11,88.097,88.368,87.821,87.869,1043
84,2007-09-12,90.027,91.08,90.027,90.987,2244
85,2007-09-13,90.987,91.306,90.807,91.08,3791
