,Date,Open,High,Low,Close,Volume
0,2014-11-07,42.602,42.602,42.602,42.602,111
1,2014-11-13,42.88,42.898,42.88,42.898,383
2,2014-11-18,43.0,43.0,43.0,43.0,133
3,2014-11-21,43.349,43.349,43.349,43.349,871
4,2014-11-25,43.434,43.434,43.412,43.434,368
5,2014-12-02,42.872,42.872,42.872,42.872,277
6,2014-12-04,42.825,42.825,42.825,42.825,236
7,2014-12-05,42.39,42.39,42.38,42.38,350
8,2014-12-16,41.136,41.136,41.136,41.136,111
9,2014-12-18,41.533,41.533,41.516,41.516,1425
10,2014-12-26,41.484,41.484,41.484,41.484,169
11,2015-01-12,41.969,41.969,41.969,41.969,603
12,2015-01-28,42.543,42.552,42.543,42.543,662
13,2015-02-04,42.041,42.041,41.955,41.955,454
14,2015-02-10,41.46,41.46,41.036,41.036,357
15,2015-02-18,41.287,41.287,41.287,41.287,126
16,2015-03-10,39.081,39.081,39.081,39.081,111
17,2015-03-12,38.948,38.948,38.802,38.802,346
18,2015-03-18,39.043,39.043,39.043,39.043,111
19,2015-04-08,40.35,40.35,40.35,40.35,232
20,2015-04-09,40.376,40.376,40.376,40.376,111
21,2015-04-15,39.974,39.974,39.974,39.974,195
22,2015-04-20,39.836,39.914,39.812,39.914,1382
23,2015-04-21,40.19,40.19,40.19,40.19,194
24,2015-04-22,39.587,39.587,39.587,39.587,178
25,2015-04-28,40.419,40.419,40.419,40.419,111
26,2015-05-14,40.198,40.198,40.139,40.139,231
27,2015-06-03,38.769,38.778,38.532,38.778,1598
28,2015-06-04,38.672,38.672,38.672,38.672,111
29,2015-06-12,38.759,38.759,38.47,38.487,3647
30,2015-06-30,38.464,38.464,38.464,38.464,7490
31,2015-07-13,38.659,38.696,38.36,38.447,2952
32,2015-07-15,38.323,38.323,38.299,38.299,543
33,2015-07-20,38.103,38.103,37.903,38.103,1247
34,2015-07-31,38.079,38.079,38.052,38.052,566
35,2015-08-03,37.743,37.743,37.743,37.743,540
36,2015-08-06,37.561,37.561,37.156,37.156,269
37,2015-08-07,37.417,37.52,37.417,37.52,1015
38,2015-08-12,37.417,37.547,37.417,37.417,451
39,2015-08-19,37.214,37.214,37.072,37.072,903
40,2015-08-20,37.166,37.166,37.166,37.166,111
41,2015-08-24,36.871,37.448,36.864,36.864,1367
42,2015-08-31,36.854,36.854,36.854,36.854,564
43,2015-09-08,36.871,36.871,36.355,36.489,4054
44,2015-09-14,36.489,36.489,36.489,36.489,111
45,2015-09-15,36.524,37.094,36.381,36.531,3378
46,2015-09-21,36.558,36.566,36.558,36.566,1351
47,2015-09-22,36.505,36.505,36.505,36.505,111
48,2015-09-23,36.003,36.003,36.003,36.003,111
49,2015-09-25,36.101,36.101,36.101,36.101,1009
50,2015-09-28,36.861,36.861,36.376,36.386,4366
51,2015-09-30,35.966,35.966,35.966,35.966,1122
52,2015-10-02,36.465,36.6,36.465,36.59,2692
53,2015-10-23,37.441,37.441,37.441,37.441,111
54,2015-10-30,36.714,36.714,36.714,36.714,1118
55,2015-11-02,37.18,37.18,37.18,37.18,447
56,2015-11-10,36.304,36.313,36.304,36.304,336
57,2015-11-11,36.896,36.938,36.896,36.938,336
58,2015-11-18,36.447,36.447,36.447,36.447,111
59,2015-12-01,36.624,36.624,36.624,36.624,111
60,2015-12-21,36.128,36.23,35.781,35.871,13158
61,2015-12-22,35.781,36.138,35.781,36.094,7512
62,2015-12-23,36.188,36.387,35.917,36.056,30658
63,2015-12-24,36.28,36.406,35.917,36.171,54542
64,2015-12-28,36.1,36.434,36.1,36.208,37070
65,2015-12-29,36.188,36.236,36.188,36.236,506
66,2015-12-30,35.964,35.964,35.901,35.901,1223
67,2015-12-31,35.738,35.982,35.633,35.633,15886
68,2016-01-05,35.729,35.729,35.72,35.72,552
69,2016-01-08,35.541,35.548,35.201,35.201,22439
70,2016-01-21,34.715,34.771,34.715,34.771,21693
71,2016-01-26,34.635,34.789,34.563,34.563,22527
72,2016-01-27,34.625,34.88,34.518,34.518,12060
73,2016-01-28,35.139,35.25,34.861,35.06,166418
74,2016-01-29,35.06,35.196,34.97,35.13,9185
75,2016-02-01,35.432,35.603,35.24,35.555,80124
76,2016-02-02,35.376,35.638,35.33,35.376,100025
77,2016-02-03,35.466,35.781,35.466,35.631,43194
78,2016-02-04,35.962,36.414,35.925,35.925,106475
79,2016-02-05,35.874,35.874,35.613,35.674,4319
