,Date,Open,High,Low,Close,Volume
0,2012-02-27,27.883,27.883,27.883,27.883,364
1,2012-02-28,27.829,27.829,27.829,27.829,250
2,2012-02-29,27.995,28.058,27.995,28.058,1003
3,2012-03-01,28.009,28.225,28.009,28.215,10177
4,2012-03-02,27.814,27.977,27.814,27.977,669
5,2012-03-07,27.15,27.256,27.15,27.177,595
6,2012-03-08,27.715,27.715,27.715,27.715,300
7,2012-03-14,27.721,27.721,27.345,27.345,446
8,2012-03-15,28.151,28.241,28.151,28.241,359
9,2012-03-16,28.55,28.55,28.55,28.55,276
10,2012-03-19,28.61,28.61,28.61,28.61,138
11,2012-03-21,28.156,28.156,28.156,28.156,386
12,2012-03-22,27.59,27.769,27.59,27.635,3031
13,2012-03-23,27.797,27.896,27.797,27.896,592
14,2012-03-27,28.173,28.273,27.905,27.905,8886
15,2012-03-28,27.68,27.68,27.635,27.635,433
16,2012-03-29,27.329,27.329,27.329,27.329,221
17,2012-04-02,27.814,28.119,27.814,28.119,261
18,2012-04-05,27.014,27.069,26.934,26.934,61213
19,2012-04-09,26.961,27.141,26.907,26.907,333
20,2012-04-10,26.943,27.131,26.458,26.458,2734
21,2012-04-11,26.826,26.826,26.763,26.763,668
22,2012-04-12,27.248,27.508,27.248,27.355,5590
23,2012-04-13,26.871,27.113,26.71,26.844,5865
24,2012-04-16,26.898,26.898,26.898,26.898,143
25,2012-04-17,27.266,27.266,27.266,27.266,221
26,2012-04-18,27.15,27.256,27.15,27.203,1528
27,2012-04-19,27.194,27.266,27.194,27.266,12168
28,2012-04-20,27.536,27.6,27.536,27.6,1615
29,2012-04-23,26.79,26.79,26.78,26.78,1111
30,2012-04-24,27.006,27.104,27.006,27.104,1111
31,2012-04-25,27.518,27.527,27.436,27.527,1130
32,2012-04-26,27.5,27.625,27.464,27.625,1018
33,2012-04-27,27.769,27.788,27.769,27.788,2220
34,2012-04-30,27.655,27.683,27.527,27.683,800
35,2012-05-01,27.922,27.931,27.914,27.931,1111
36,2012-05-02,27.562,27.562,27.527,27.527,891
37,2012-05-03,27.427,27.427,27.427,27.427,144
38,2012-05-04,26.961,27.006,26.907,26.916,3029
39,2012-05-08,26.628,26.647,26.628,26.647,778
40,2012-05-09,26.107,26.206,26.089,26.206,689
41,2012-05-11,26.287,26.287,26.26,26.26,1923
42,2012-05-15,25.253,25.253,25.253,25.253,111
43,2012-05-16,25.136,25.181,25.136,25.181,668
44,2012-05-17,25.064,25.064,24.956,24.956,842
45,2012-05-18,25.028,25.038,24.884,24.947,4416
46,2012-05-22,25.505,25.505,25.486,25.486,1002
47,2012-05-25,24.768,24.768,24.74,24.75,702
48,2012-05-30,24.417,24.454,24.22,24.246,19963
49,2012-06-05,23.649,23.649,23.649,23.649,221
50,2012-06-12,24.382,24.435,24.382,24.435,411
51,2012-06-14,24.687,24.687,24.687,24.687,111
52,2012-06-15,24.834,24.853,24.726,24.853,3340
53,2012-06-19,25.298,25.389,25.263,25.343,3366
54,2012-06-25,23.154,24.415,23.154,24.415,372
55,2012-06-26,24.526,24.68,24.526,24.68,416
56,2012-06-29,25.486,25.523,25.451,25.46,1857
57,2012-07-03,25.821,25.857,25.821,25.857,547
58,2012-07-06,25.082,25.082,25.027,25.082,669
59,2012-07-09,24.934,24.934,24.934,24.934,109
60,2012-07-20,25.227,25.227,25.173,25.173,1132
61,2012-07-23,24.433,24.479,24.433,24.479,561
62,2012-07-25,24.68,24.68,24.68,24.68,146
63,2012-07-27,25.511,25.511,25.511,25.511,164
64,2012-08-01,25.511,25.511,25.511,25.511,657
65,2012-08-03,25.566,25.712,25.556,25.712,2033
66,2012-08-06,25.959,25.959,25.959,25.959,352
67,2012-08-07,25.995,25.995,25.995,25.995,133
68,2012-08-08,26.014,26.014,26.014,26.014,284
69,2012-08-09,26.114,26.114,26.114,26.114,328
70,2012-08-10,26.031,26.05,26.004,26.004,654
71,2012-08-13,26.04,26.04,26.023,26.023,438
72,2012-08-14,26.197,26.197,26.151,26.16,657
73,2012-08-17,26.352,26.36,26.352,26.36,314
74,2012-08-24,26.524,26.524,26.524,26.524,336
75,2012-08-29,26.461,26.461,26.461,26.461,292
76,2012-08-30,26.142,26.197,26.142,26.197,541
77,2012-09-04,26.54,26.54,26.54,26.54,167
78,2012-09-05,26.53,26.53,26.402,26.402,590
79,2012-09-11,27.639,27.639,27.639,27.639,234
80,2012-09-12,27.921,27.921,27.921,27.921,131
81,2012-09-13,28.314,28.433,28.314,28.433,1095
82,2012-09-14,28.79,28.817,28.752,28.752,498
83,2012-09-17,28.751,28.751,28.751,28.751,218
84,2012-09-21,28.423,28.459,28.286,28.341,3985
85,2012-09-24,27.92,27.92,27.884,27.884,1010
86,2012-09-25,28.14,28.14,28.14,28.14,109
87,2012-09-26,27.49,27.49,27.453,27.463,834
88,2012-09-28,27.432,27.571,27.432,27.571,466
89,2012-10-04,28.158,28.158,28.085,28.13,2362
90,2012-10-05,28.506,28.506,28.496,28.496,437
91,2012-10-08,28.075,28.085,28.075,28.085,501
92,2012-10-11,27.92,28.075,27.92,28.031,9742
93,2012-10-12,28.248,28.248,28.104,28.104,9237
94,2012-10-17,29.044,29.044,29.044,29.044,875
