,Date,Open,High,Low,Close,Volume
0,2007-05-10,18.674,18.674,18.42,18.42,2252
1,2007-05-11,18.664,18.756,18.654,18.748,64781
2,2007-05-14,18.839,18.839,18.674,18.674,2366
3,2007-05-15,18.766,18.922,18.766,18.821,4402
4,2007-05-16,18.847,18.847,18.847,18.847,215
5,2007-05-17,19.092,19.092,19.092,19.092,538
6,2007-05-18,19.259,19.361,19.259,19.361,2366
7,2007-05-21,19.537,19.715,19.537,19.715,1829
8,2007-05-22,19.695,19.695,19.482,19.482,753
9,2007-05-23,19.575,19.656,19.454,19.454,1612
10,2007-05-24,19.324,19.324,18.988,18.988,16330
11,2007-05-25,19.25,19.269,19.25,19.269,11817
12,2007-05-31,19.665,19.665,19.665,19.665,103
13,2007-06-01,19.938,19.938,19.893,19.893,431
14,2007-06-04,19.993,19.993,19.993,19.993,753
15,2007-06-06,19.836,19.836,19.836,19.836,215
16,2007-06-07,19.492,19.492,19.492,19.492,215
17,2007-06-08,19.259,19.259,19.259,19.259,103
18,2007-06-11,19.762,19.762,19.762,19.762,215
19,2007-06-12,19.64,19.64,19.64,19.64,1075
20,2007-06-13,19.938,19.938,19.938,19.938,966
21,2007-06-14,20.348,20.348,20.348,20.348,643
22,2007-06-15,20.617,20.626,20.617,20.626,2577
23,2007-06-18,20.768,20.796,20.73,20.796,1829
24,2007-06-19,20.701,20.701,20.701,20.701,103
25,2007-06-20,20.348,20.348,20.162,20.162,2252
26,2007-06-22,20.264,20.319,20.264,20.319,538
27,2007-06-25,20.19,20.339,20.096,20.096,3975
28,2007-06-27,19.324,19.64,19.324,19.64,1717
29,2007-06-28,19.875,19.875,19.875,19.875,3867
30,2007-06-29,20.106,20.106,19.902,19.902,2149
31,2007-07-03,20.273,20.319,20.273,20.319,215
32,2007-07-05,20.329,20.329,20.208,20.283,2252
33,2007-07-06,20.458,20.533,20.44,20.477,1075
34,2007-07-09,20.617,20.692,20.617,20.692,431
35,2007-07-10,20.552,20.768,20.552,20.683,5481
36,2007-07-11,20.59,20.59,20.533,20.57,2149
37,2007-07-12,20.711,20.711,20.711,20.711,103
38,2007-07-13,20.933,20.933,20.905,20.923,323
39,2007-07-16,21.008,21.008,20.701,20.701,538
40,2007-07-17,20.905,20.905,20.598,20.598,1612
41,2007-07-18,20.552,20.786,20.552,20.786,2252
42,2007-07-19,21.072,21.072,21.072,21.072,6123
43,2007-07-20,21.008,21.008,20.74,20.74,1829
44,2007-07-23,20.768,20.768,20.768,20.768,103
45,2007-07-24,20.18,20.2,19.883,19.883,3975
46,2007-07-25,19.613,20.086,19.613,20.086,3329
47,2007-07-26,19.623,19.623,19.222,19.547,643
48,2007-07-27,19.482,19.482,19.175,19.175,431
49,2007-07-30,19.315,19.386,19.018,19.343,17620
50,2007-07-31,19.64,19.752,19.315,19.315,3760
51,2007-08-01,19.425,19.425,18.829,18.829,2041
52,2007-08-02,19.25,19.25,19.008,19.1,1289
53,2007-08-03,19.092,19.092,18.485,18.532,20841
54,2007-08-06,18.179,18.532,18.179,18.532,3436
55,2007-08-07,18.72,18.72,18.72,18.72,538
56,2007-08-09,18.654,18.829,18.505,18.505,1075
57,2007-08-10,17.871,18.568,17.871,18.541,38676
58,2007-08-13,19.127,19.127,18.922,18.922,2149
59,2007-08-14,18.738,18.876,18.683,18.683,1181
60,2007-08-15,18.532,18.532,18.532,18.532,215
61,2007-08-16,17.751,17.751,17.155,17.724,2471
62,2007-08-17,18.029,18.226,18.029,18.207,1502
63,2007-08-20,18.124,18.124,17.948,17.948,1289
64,2007-08-21,18.198,18.198,17.958,17.966,538
65,2007-08-22,18.245,18.245,18.189,18.207,1181
66,2007-08-24,18.73,18.73,18.616,18.616,1289
67,2007-08-27,18.664,18.664,18.664,18.664,431
68,2007-08-28,18.438,18.438,18.438,18.438,538
69,2007-08-29,18.383,18.626,18.383,18.626,21271
70,2007-08-30,18.766,18.784,18.626,18.626,1829
71,2007-08-31,19.065,19.065,18.912,18.912,1075
72,2007-09-04,19.194,19.547,19.194,19.386,11067
73,2007-09-05,19.361,19.454,19.352,19.454,5157
74,2007-09-06,19.529,19.529,19.529,19.529,538
75,2007-09-10,19.352,19.352,19.352,19.352,103
76,2007-09-12,19.521,19.797,19.521,19.797,1289
77,2007-09-13,19.779,19.846,19.762,19.762,10312
78,2007-09-14,19.779,19.779,19.779,19.779,1075
79,2007-09-17,19.855,19.855,19.675,19.675,8380
80,2007-09-18,19.724,19.724,19.724,19.724,538
81,2007-09-19,20.264,20.386,20.264,20.386,1398
82,2007-09-20,20.208,20.377,20.208,20.377,1181
83,2007-09-21,20.543,20.608,20.543,20.58,2366
84,2007-09-24,20.523,20.523,20.367,20.377,1829
85,2007-09-25,20.106,20.106,20.106,20.106,1075
86,2007-09-26,20.301,20.301,19.883,20.076,6554
87,2007-09-27,20.254,20.273,20.235,20.264,1289
88,2007-09-28,20.292,20.292,20.273,20.273,4835
89,2007-10-01,20.301,20.301,20.301,20.301,323
90,2007-10-02,20.386,20.45,20.386,20.45,1181
91,2007-10-03,20.225,20.358,20.225,20.339,3111
