,Date,Open,High,Low,Close,Volume
0,2013-02-01,19.201,19.201,12.17,12.195,101594
1,2013-02-04,12.175,12.244,12.17,12.229,59004
2,2013-02-05,12.266,12.266,12.188,12.217,56990
3,2013-02-06,12.217,12.256,12.217,12.253,52432
4,2013-02-07,12.189,12.273,12.17,12.229,44501
5,2013-02-08,12.206,12.223,12.189,12.195,23545
6,2013-02-11,13.853,13.853,12.069,12.087,64591
7,2013-02-12,12.075,12.122,12.047,12.099,56487
8,2013-02-13,12.069,12.075,12.023,12.03,26014
9,2013-02-14,12.075,12.077,11.994,12.006,14756
10,2013-02-15,11.87,11.87,11.773,11.79,56099
11,2013-02-19,11.805,11.823,11.773,11.773,17385
12,2013-02-20,11.651,11.664,11.483,11.483,16375
13,2013-02-21,11.54,11.624,11.54,11.572,15599
14,2013-02-22,11.572,11.604,11.572,11.604,15189
15,2013-02-25,11.656,11.737,11.634,11.724,41399
16,2013-02-26,11.675,11.86,11.675,11.86,43676
17,2013-02-27,11.805,11.805,11.7,11.732,17139
18,2013-02-28,11.664,11.664,11.56,11.599,38730
19,2013-03-01,11.618,11.618,11.572,11.572,35685
20,2013-03-04,11.599,11.599,11.535,11.535,20911
21,2013-03-05,11.615,11.615,11.524,11.56,11142
22,2013-03-06,11.548,11.624,11.548,11.615,48702
23,2013-03-07,11.584,11.584,11.562,11.576,36653
24,2013-03-08,11.92,13.688,11.487,11.591,178189
25,2013-03-11,11.671,11.671,11.591,11.615,16386
26,2013-03-12,11.689,11.694,11.671,11.687,17324
27,2013-03-13,11.701,11.701,11.638,11.656,64690
28,2013-03-14,11.624,11.689,11.624,11.656,29137
29,2013-03-15,11.695,11.701,11.684,11.684,9679
30,2013-03-18,11.886,11.886,11.728,11.739,31623
31,2013-03-19,11.757,11.771,11.747,11.757,11523
32,2013-03-20,11.75,11.781,11.721,11.75,13241
33,2013-03-21,11.776,11.786,11.771,11.786,13485
34,2013-03-22,11.75,11.771,11.75,11.767,17781
35,2013-03-25,11.704,11.771,11.704,11.766,34537
36,2013-03-26,11.719,11.75,11.719,11.75,5067
37,2013-03-27,11.739,11.786,11.739,11.771,107448
38,2013-03-28,11.739,11.75,11.724,11.724,2471
39,2013-04-01,11.728,11.759,11.721,11.736,16844
40,2013-04-02,11.658,11.672,11.606,11.606,49380
41,2013-04-03,11.594,11.62,11.453,11.493,155168
42,2013-04-04,11.4,11.483,11.4,11.448,7341
43,2013-04-05,11.56,11.647,11.557,11.615,22628
44,2013-04-08,11.615,11.615,11.578,11.594,2947
45,2013-04-09,11.692,11.696,11.681,11.692,22183
46,2013-04-10,11.594,11.627,11.484,11.484,28610
47,2013-04-11,11.537,11.55,11.506,11.506,3113
48,2013-04-12,11.337,11.349,10.979,10.984,137954
49,2013-04-15,10.437,10.437,9.955,10.05,208695
50,2013-04-16,10.596,10.596,10.091,10.114,8275
51,2013-04-17,10.285,10.292,10.148,10.174,8832
52,2013-04-18,10.328,10.36,10.267,10.267,202020
53,2013-04-19,10.441,10.441,10.333,10.366,9210
54,2013-04-22,10.479,10.553,10.479,10.536,30799
55,2013-04-23,10.479,10.508,10.411,10.479,16346
56,2013-04-24,10.584,10.584,10.527,10.57,27971
57,2013-04-25,10.728,10.923,10.688,10.836,35253
58,2013-04-26,10.88,10.941,10.752,10.788,56590
59,2013-04-29,10.848,11.011,10.841,10.88,21991
60,2013-04-30,10.866,10.903,10.841,10.903,17274
61,2013-05-01,10.81,10.873,10.669,10.766,13912
62,2013-05-02,10.872,10.872,10.827,10.854,3733
63,2013-05-03,10.903,10.903,10.824,10.854,10256
64,2013-05-06,10.935,10.941,10.848,10.88,14636
65,2013-05-07,10.88,11.379,10.702,10.752,112756
66,2013-05-08,11.159,11.159,10.83,10.899,33931
67,2013-05-09,10.825,10.886,10.774,10.779,16146
68,2013-05-10,10.57,10.695,10.529,10.695,17415
69,2013-05-13,10.633,10.637,10.612,10.612,9107
70,2013-05-14,10.632,10.649,10.561,10.578,11306
71,2013-05-15,10.492,10.496,10.309,10.349,26412
72,2013-05-16,10.254,10.333,10.254,10.321,16022
73,2013-05-17,10.248,10.248,10.097,10.097,51954
74,2013-05-20,10.085,10.327,10.078,10.3,43657
75,2013-05-21,10.182,10.254,10.132,10.215,14044
76,2013-05-22,10.327,10.458,10.108,10.145,31291
77,2013-05-23,10.349,10.349,10.272,10.328,57430
78,2013-05-24,10.344,10.344,10.302,10.302,5637
79,2013-05-28,10.3,10.394,10.232,10.267,21751
80,2013-05-29,10.306,10.36,10.306,10.355,7367
81,2013-05-30,10.514,10.53,10.502,10.53,6998
82,2013-05-31,10.475,10.475,10.327,10.333,11329
83,2013-06-03,10.36,10.537,10.349,10.494,15441
84,2013-06-04,10.423,10.423,10.394,10.411,9204
85,2013-06-05,10.411,10.488,10.411,10.442,11072
86,2013-06-06,10.4,10.553,10.4,10.514,17879
87,2013-06-07,10.366,10.366,10.275,10.275,9042
88,2013-06-10,10.254,10.321,10.254,10.318,54931
89,2013-06-11,10.228,10.26,10.221,10.26,5608
90,2013-06-12,10.248,10.356,10.248,10.356,11401
91,2013-06-13,10.289,10.289,10.276,10.276,325
92,2013-06-14,10.339,10.347,10.339,10.347,4510
93,2013-06-17,10.479,10.479,10.3,10.306,8334
94,2013-06-18,10.333,10.333,10.192,10.228,88879
95,2013-06-19,10.231,10.268,10.198,10.198,12352
96,2013-06-20,9.973,9.973,9.587,9.624,100297
97,2013-06-21,9.704,9.736,9.704,9.735,8093
98,2013-06-24,9.667,9.695,9.608,9.643,14107
99,2013-06-25,9.6,9.609,9.565,9.596,28847
100,2013-06-26,9.3321,9.3802,9.205,9.2128,35910
101,2013-06-27,9.2645,9.3056,9.0207,9.0564,49283
102,2013-06-28,9.588,9.702,9.4128,9.687,49927
103,2013-07-01,9.3871,9.4336,9.2968,9.4336,5348
104,2013-07-02,9.4514,9.4514,9.3576,9.3616,22981
105,2013-07-03,9.4138,9.4682,9.4138,9.4197,7795
106,2013-07-05,9.205,9.205,9.1227,9.1448,8315
107,2013-07-08,9.2645,9.4138,9.2645,9.3086,16144
108,2013-07-09,9.4454,9.4742,9.3616,9.3802,8716
109,2013-07-10,9.538,9.538,9.2206,9.4593,9921
110,2013-07-11,9.607,9.625,9.593,9.62,8724
111,2013-07-12,9.652,9.652,9.587,9.593,5100
112,2013-07-15,9.636,9.636,9.62,9.625,7943
113,2013-07-16,9.641,9.667,9.641,9.649,11584
114,2013-07-17,9.66,9.695,9.582,9.619,16231
115,2013-07-18,9.664,9.679,9.647,9.664,26313
116,2013-07-19,9.711,9.718,9.686,9.686,5864
117,2013-07-22,9.758,9.809,9.758,9.808,31068
118,2013-07-23,9.813,9.819,9.802,9.819,28272
119,2013-07-24,9.845,9.845,9.767,9.782,6557
120,2013-07-25,9.845,9.845,9.758,9.802,2003
121,2013-07-26,9.813,9.813,9.758,9.788,4751
122,2013-07-29,9.813,9.813,9.788,9.788,4681
123,2013-07-30,9.794,9.809,9.794,9.802,4913
124,2013-07-31,9.794,9.794,9.743,9.745,5659
125,2013-08-01,9.788,9.788,9.751,9.776,8070
126,2013-08-02,9.776,9.802,9.776,9.782,5701
127,2013-08-05,9.802,9.802,9.767,9.782,12629
128,2013-08-06,9.75,9.75,9.714,9.735,25213
129,2013-08-07,9.739,10.371,9.739,9.745,41666
130,2013-08-08,9.788,9.861,9.785,9.842,10434
131,2013-08-09,9.832,9.873,9.832,9.867,9113
132,2013-08-12,9.966,9.966,9.94,9.946,25054
133,2013-08-13,9.933,9.933,9.873,9.89,26374
134,2013-08-14,9.923,10.001,9.923,9.933,21025
135,2013-08-15,9.902,10.043,9.902,10.037,35497
136,2013-08-16,10.108,10.108,10.033,10.063,35392
137,2013-08-19,10.569,10.569,10.022,10.022,14388
138,2013-08-20,10.053,10.074,10.047,10.066,11087
139,2013-08-21,10.047,10.08,10.017,10.074,18752
140,2013-08-22,10.106,10.106,10.089,10.093,7554
141,2013-08-23,10.13,10.151,10.125,10.125,23705
