,Date,Open,High,Low,Close,Volume
0,2014-09-04,23.567,23.631,23.521,23.567,1107
1,2014-09-05,23.577,23.659,23.567,23.659,610
2,2014-09-08,23.521,23.521,23.521,23.521,217
3,2014-09-09,23.448,23.448,23.411,23.411,4881
4,2014-09-10,23.364,23.467,23.364,23.467,28133
5,2014-09-11,23.346,23.374,23.281,23.327,18914
6,2014-09-15,23.235,23.235,23.235,23.235,1730
7,2014-09-16,23.152,23.254,23.144,23.217,2736
8,2014-09-18,23.539,23.539,23.476,23.476,5447
9,2014-09-19,23.567,23.567,23.476,23.476,7701
10,2014-09-22,23.567,23.567,23.383,23.392,6020
11,2014-09-23,23.17,23.17,23.069,23.069,5745
12,2014-09-24,23.144,23.281,23.144,23.245,25813
13,2014-09-25,23.087,23.144,22.913,22.913,20314
14,2014-09-26,23.134,23.217,23.134,23.217,2061
15,2014-09-29,22.82,22.978,22.82,22.941,36029
16,2014-09-30,23.116,23.116,23.106,23.106,3699
17,2014-10-01,22.932,22.932,22.82,22.82,1420
18,2014-10-02,22.258,22.351,22.248,22.341,23610
19,2014-10-03,22.561,22.561,22.543,22.561,16267
20,2014-10-07,22.268,22.294,22.147,22.147,13838
21,2014-10-09,21.742,21.742,21.687,21.687,43670
22,2014-10-10,21.613,21.696,21.613,21.687,6536
23,2014-10-13,21.492,21.492,21.473,21.473,2302
24,2014-10-14,21.565,21.585,21.548,21.548,450282
25,2014-10-15,21.04,21.096,21.04,21.04,512
26,2014-10-16,20.699,20.699,20.699,20.699,3651
27,2014-10-17,21.307,21.307,21.307,21.307,149
28,2014-10-22,21.787,21.787,21.787,21.787,893
29,2014-10-23,21.908,22.055,21.889,21.936,8323
30,2014-10-24,21.936,22.045,21.899,22.045,204996
31,2014-10-28,22.055,22.055,22.055,22.055,1134
32,2014-10-29,22.129,22.129,22.0,22.0,6665
33,2014-10-30,21.862,22.119,21.862,22.119,2495
34,2014-10-31,22.497,22.59,22.497,22.59,9583
35,2014-11-03,22.396,22.406,22.359,22.359,1085
36,2014-11-06,22.664,22.664,22.036,22.664,243
37,2014-11-07,22.268,22.276,22.268,22.276,3208
38,2014-11-10,22.415,22.415,22.406,22.406,755
39,2014-11-12,22.276,22.58,22.185,22.268,52859
40,2014-11-13,22.185,22.294,22.156,22.221,6646
41,2014-11-14,22.313,22.313,22.313,22.313,120
42,2014-11-17,22.323,22.488,22.323,22.461,3260
43,2014-11-18,22.783,22.793,22.783,22.793,2223
44,2014-11-19,22.755,22.755,22.728,22.728,1269
45,2014-11-20,22.479,22.626,22.461,22.58,5868
46,2014-11-21,23.245,23.245,23.106,23.188,149818
47,2014-11-24,23.467,23.484,23.319,23.429,20899
48,2014-11-25,23.567,23.577,23.42,23.512,10594
49,2014-11-26,23.476,23.521,23.429,23.484,12581
50,2014-11-28,23.586,23.65,23.539,23.65,5216
51,2014-12-01,23.586,23.586,23.502,23.512,18860
52,2014-12-02,23.659,23.659,23.512,23.623,12433
53,2014-12-03,23.715,23.734,23.64,23.734,16356
54,2014-12-04,23.392,23.595,23.3,23.521,15076
55,2014-12-05,23.715,23.862,23.715,23.816,492169
56,2014-12-08,23.789,23.816,23.539,23.613,11036
57,2014-12-09,23.116,23.31,23.097,23.31,35547
58,2014-12-10,23.3,23.3,22.876,22.876,17523
59,2014-12-11,23.05,23.134,22.894,22.913,107751
60,2014-12-12,22.803,22.913,22.285,22.285,59784
61,2014-12-15,22.543,22.543,21.769,22.138,376456
62,2014-12-16,21.908,22.359,21.787,21.98,27104
63,2014-12-17,22.276,22.59,22.185,22.551,31242
64,2014-12-18,22.941,23.161,22.904,23.161,89525
65,2014-12-19,23.963,23.963,22.83,23.17,233689
66,2014-12-22,23.18,23.217,23.031,23.198,67369
67,2014-12-23,23.319,23.42,23.254,23.337,102105
68,2014-12-24,23.354,23.493,23.354,23.484,22784
69,2014-12-26,23.553,23.562,23.506,23.506,2039
70,2014-12-29,23.209,23.367,23.209,23.348,20002
71,2014-12-30,23.144,23.199,22.994,23.004,152590
72,2014-12-31,23.17,23.17,22.948,22.948,87721
73,2015-01-02,23.152,23.199,22.948,23.086,24190
74,2015-01-05,22.686,22.686,22.285,22.351,53041
75,2015-01-06,22.481,22.528,22.107,22.192,14091
76,2015-01-07,22.444,22.538,22.285,22.499,761274
77,2015-01-08,22.799,23.013,22.751,22.882,15293
78,2015-01-09,22.966,22.994,22.407,22.583,67800
79,2015-01-12,22.799,22.799,22.538,22.649,2619
80,2015-01-13,23.124,23.124,22.695,22.891,12516
81,2015-01-14,22.911,23.068,22.751,22.919,64756
82,2015-01-15,23.189,23.646,23.106,23.152,42127
83,2015-01-16,23.376,23.74,23.367,23.712,128188
84,2015-01-20,23.898,23.945,23.778,23.918,232906
85,2015-01-21,23.692,24.075,23.684,24.075,162280
86,2015-01-22,24.188,24.654,24.075,24.568,300255
87,2015-01-23,24.822,24.831,24.644,24.701,498376
88,2015-01-26,24.86,25.064,24.794,25.044,470266
89,2015-01-27,24.756,24.896,24.625,24.774,2144205
90,2015-01-28,24.736,24.766,24.374,24.402,165377
91,2015-01-29,24.691,24.952,24.616,24.925,363284
92,2015-01-30,24.746,24.802,24.524,24.578,1005484
93,2015-02-02,24.598,24.831,24.467,24.822,139253
94,2015-02-03,24.981,25.138,24.952,25.13,235018
95,2015-02-04,24.99,25.054,24.802,24.812,168222
96,2015-02-05,24.962,25.064,24.905,25.044,162775
97,2015-02-06,24.99,25.027,24.766,24.766,78012
98,2015-02-09,24.524,24.671,24.505,24.606,84146
99,2015-02-10,24.962,25.0,24.746,24.942,246982
100,2015-02-11,24.877,24.952,24.766,24.925,266602
101,2015-02-12,25.232,25.342,25.157,25.342,239771
102,2015-02-13,27.366,27.366,25.175,25.438,171980
103,2015-02-17,25.342,25.596,25.138,25.428,180269
104,2015-02-18,25.521,25.596,25.465,25.54,379312
105,2015-02-19,25.623,25.688,25.54,25.596,258478
106,2015-02-20,25.549,26.024,25.493,25.959,955685
107,2015-02-23,25.904,25.931,25.818,25.894,177369
108,2015-02-24,25.949,26.126,25.922,26.118,289022
109,2015-02-25,26.034,26.08,25.931,26.006,401790
110,2015-02-26,26.135,26.239,26.118,26.22,358438
111,2015-02-27,26.266,26.397,26.183,26.341,207818
112,2015-03-02,26.36,26.444,26.266,26.434,373646
113,2015-03-03,26.304,26.38,26.044,26.173,1514207
114,2015-03-04,26.249,26.314,25.987,26.294,1253812
115,2015-03-05,26.5,26.566,26.444,26.52,867728
116,2015-03-06,26.63,26.649,26.444,26.482,614733
117,2015-03-09,26.49,26.592,26.462,26.566,646478
118,2015-03-10,26.323,26.416,26.201,26.304,5254948
119,2015-03-11,26.687,26.9,26.592,26.855,1013046
120,2015-03-12,26.78,26.9,26.751,26.9,670823
121,2015-03-13,26.789,27.068,26.76,27.051,593393
122,2015-03-16,27.143,27.311,27.115,27.283,588674
123,2015-03-17,26.91,27.106,26.882,27.068,1152788
124,2015-03-18,26.928,27.115,26.855,26.938,752331
125,2015-03-19,26.92,27.003,26.826,26.966,773780
126,2015-03-20,27.264,27.414,27.181,27.33,857325
127,2015-03-23,27.198,27.227,27.088,27.088,580737
128,2015-03-24,27.293,27.433,27.246,27.273,551781
129,2015-03-25,27.246,27.255,26.986,26.994,2796655
130,2015-03-26,26.687,27.023,26.575,26.938,636291
131,2015-03-27,26.957,27.097,26.928,27.051,306831
132,2015-03-30,27.293,27.414,27.283,27.376,2245304
133,2015-03-31,27.143,27.246,27.051,27.115,919420
134,2015-04-01,27.273,27.423,27.189,27.358,979906
135,2015-04-02,27.273,27.385,27.273,27.385,3136303
136,2015-04-06,27.404,27.601,27.088,27.479,721658
137,2015-04-07,27.683,27.759,27.61,27.61,899111
138,2015-04-08,27.655,27.665,27.507,27.628,1285773
139,2015-04-09,27.786,27.982,27.759,27.936,659433
140,2015-04-10,28.039,28.141,27.973,28.122,1350548
141,2015-04-13,28.178,28.215,28.02,28.039,647445
142,2015-04-14,27.964,28.047,27.833,28.039,601758
143,2015-04-15,28.132,28.149,28.001,28.001,556021
144,2015-04-16,27.871,27.871,27.655,27.712,953706
145,2015-04-17,27.264,27.376,27.059,27.124,1552601
146,2015-04-20,27.348,27.451,27.348,27.376,903112
147,2015-04-21,27.712,27.73,27.507,27.591,510639
148,2015-04-22,27.582,27.62,27.366,27.601,635694
149,2015-04-23,27.358,27.489,27.246,27.451,524325
150,2015-04-24,27.385,27.534,27.33,27.451,2308793
151,2015-04-27,27.833,27.927,27.759,27.769,926070
152,2015-04-28,27.582,27.582,27.311,27.534,747505
153,2015-04-29,27.088,27.133,26.547,26.77,1242553
154,2015-04-30,26.797,26.873,26.454,26.51,1199119
155,2015-05-01,26.575,26.873,26.575,26.863,355841
156,2015-05-04,27.013,27.051,26.882,26.882,667927
157,2015-05-05,26.76,26.76,26.249,26.304,1148498
158,2015-05-06,26.388,26.444,26.099,26.211,2054109
159,2015-05-07,26.266,26.434,26.229,26.314,604565
160,2015-05-08,26.751,27.078,26.751,27.059,2926100
161,2015-05-11,26.957,27.003,26.846,26.9,532691
162,2015-05-12,26.695,26.715,26.49,26.677,2323603
163,2015-05-13,26.863,26.863,26.444,26.51,780429
164,2015-05-14,26.77,26.957,26.723,26.91,290745
165,2015-05-15,26.92,26.966,26.649,26.846,1789377
166,2015-05-18,26.77,26.994,26.705,26.976,853744
167,2015-05-19,27.293,27.489,27.264,27.366,802200
168,2015-05-20,27.479,27.564,27.385,27.554,588889
169,2015-05-21,27.461,27.62,27.451,27.601,817966
170,2015-05-22,27.601,27.601,27.489,27.564,365602
171,2015-05-26,27.358,27.376,27.041,27.162,855532
172,2015-05-27,27.293,27.591,27.246,27.517,981408
173,2015-05-28,27.442,27.489,27.207,27.423,791734
174,2015-05-29,27.181,27.207,26.846,26.92,824829
175,2015-06-01,26.986,27.041,26.855,27.013,415792
176,2015-06-02,26.797,26.882,26.715,26.77,480599
177,2015-06-03,27.003,27.023,26.76,26.797,347584
178,2015-06-04,26.695,26.957,26.397,26.49,743644
179,2015-06-05,26.36,26.52,26.22,26.323,474135
180,2015-06-08,26.062,26.118,25.8,25.865,699244
181,2015-06-09,25.914,25.978,25.754,25.838,2694792
182,2015-06-10,26.154,26.547,26.126,26.434,3625779
183,2015-06-11,26.855,26.928,26.547,26.649,1017288
184,2015-06-12,26.266,26.36,26.071,26.341,830514
185,2015-06-15,25.904,25.968,25.8,25.894,555856
186,2015-06-16,25.865,26.044,25.828,26.006,1416184
187,2015-06-17,25.865,25.968,25.558,25.623,709326
188,2015-06-18,25.623,26.331,25.604,25.978,587386
189,2015-06-19,26.053,26.062,25.875,25.922,595430
190,2015-06-22,26.687,26.948,26.677,26.863,563792
191,2015-06-23,27.293,27.339,27.162,27.227,1209466
192,2015-06-24,27.068,27.106,26.846,26.873,583848
193,2015-06-25,27.041,27.059,26.789,26.92,1080182
194,2015-06-26,27.217,27.283,27.078,27.143,663103
195,2015-06-29,26.92,27.032,25.754,25.773,738711
196,2015-06-30,26.173,26.173,25.669,25.818,1348117
197,2015-07-01,26.331,26.472,26.126,26.285,649482
198,2015-07-02,26.188,26.217,25.989,26.102,856523
199,2015-07-06,25.391,25.618,25.2,25.342,896227
200,2015-07-07,25.209,25.467,24.877,25.439,3943609
201,2015-07-08,25.058,25.163,24.906,24.993,518464
202,2015-07-09,25.723,25.827,25.628,25.628,628096
203,2015-07-10,26.54,26.728,26.13,26.662,1388363
204,2015-07-13,26.92,26.967,26.862,26.948,943092
205,2015-07-14,26.862,27.11,26.844,27.081,1043159
206,2015-07-15,27.147,27.194,26.987,27.081,2597511
207,2015-07-16,27.584,27.584,27.48,27.536,669379
208,2015-07-17,27.556,27.556,27.442,27.527,1530010
209,2015-07-20,27.726,27.726,27.594,27.659,865791
210,2015-07-21,27.517,27.546,27.309,27.385,964997
211,2015-07-22,27.242,27.356,27.232,27.28,2779883
212,2015-07-23,27.261,27.328,27.061,27.091,750998
213,2015-07-24,27.147,27.176,26.834,26.854,339535
214,2015-07-27,26.568,26.568,26.321,26.35,3709390
