,Date,Open,High,Low,Close,Volume
0,2013-03-01,38.74,38.756,38.559,38.605,16030
1,2013-03-04,38.902,38.902,38.605,38.642,22040
2,2013-03-05,38.638,38.638,38.638,38.638,3239
3,2013-03-06,38.679,38.679,38.573,38.605,21380
4,2013-03-07,38.658,38.832,38.657,38.672,22242
5,2013-03-08,39.037,39.037,38.727,38.798,7711
6,2013-03-11,39.075,39.075,38.814,38.814,2721
7,2013-03-12,39.007,39.007,38.814,38.837,5401
8,2013-03-13,38.966,39.023,38.874,38.874,5967
9,2013-03-14,38.949,38.989,38.949,38.989,4924
10,2013-03-15,38.902,38.91,38.774,38.858,12706
11,2013-03-18,39.097,39.11,38.949,38.957,10141
12,2013-03-19,38.957,39.032,38.957,38.967,16994
13,2013-03-20,38.967,39.59,38.967,38.984,10651
14,2013-03-21,39.237,39.431,39.165,39.173,5800
15,2013-03-22,39.119,39.119,39.058,39.078,18359
16,2013-03-25,39.162,39.298,39.153,39.173,4591
17,2013-03-26,39.173,39.173,39.14,39.173,6122
18,2013-03-27,39.826,39.863,39.255,39.255,3169
19,2013-03-28,39.389,39.848,38.956,39.155,15839
20,2013-04-01,39.005,39.214,39.005,39.123,5764
21,2013-04-02,39.128,39.577,39.128,39.275,3900
22,2013-04-03,39.228,39.928,39.164,39.315,15028
23,2013-04-04,39.315,39.315,39.198,39.262,6327
24,2013-04-05,39.247,39.397,39.237,39.388,53116
25,2013-04-08,39.173,39.289,39.173,39.288,11020
26,2013-04-09,39.397,39.397,39.259,39.264,1179
27,2013-04-10,39.255,39.255,39.189,39.189,12671
28,2013-04-11,39.592,39.63,39.481,39.562,11419
29,2013-04-12,39.696,39.702,39.562,39.6,5009
30,2013-04-15,39.562,39.562,39.554,39.554,3928
31,2013-04-16,39.524,39.6,39.479,39.479,40219
32,2013-04-17,39.573,39.64,39.516,39.562,17082
33,2013-04-18,39.589,39.64,39.566,39.566,2933
34,2013-04-19,39.757,39.757,39.531,39.577,32838
35,2013-04-22,39.679,39.787,39.592,39.679,961
36,2013-04-23,39.863,39.904,39.697,39.863,2133
37,2013-04-24,39.912,39.933,39.863,39.863,1733
38,2013-04-25,40.012,40.03,39.771,39.904,13353
39,2013-04-26,40.03,40.03,40.011,40.012,3598
40,2013-04-29,40.012,40.241,39.904,40.217,91631
