,Date,Open,High,Low,Close,Volume
0,2015-03-12,23.248,23.248,23.189,23.189,1713
1,2015-03-13,23.196,23.196,23.196,23.196,860
2,2015-03-16,23.265,23.265,23.265,23.265,429
3,2015-03-19,23.321,23.321,23.321,23.321,429
4,2015-03-23,23.321,23.321,23.321,23.321,4
5,2015-03-31,23.321,23.321,23.321,23.321,76
6,2015-04-07,23.321,23.321,23.321,23.321,389
7,2015-04-08,23.519,23.552,23.519,23.552,3640
8,2015-04-13,23.516,23.516,23.504,23.504,3014
9,2015-04-14,23.617,23.629,23.617,23.629,3427
10,2015-04-15,23.64,23.651,23.64,23.651,5602
11,2015-04-16,23.632,23.68,23.632,23.664,3325
12,2015-04-17,23.664,23.664,23.664,23.664,6423
13,2015-04-20,23.642,23.642,23.642,23.642,712
14,2015-04-21,23.634,23.645,23.634,23.64,2141
15,2015-04-22,23.64,23.64,23.64,23.64,8992
16,2015-04-23,23.584,23.584,23.584,23.584,429
17,2015-04-28,23.615,23.617,23.602,23.602,7716
18,2015-04-29,23.477,23.477,23.46,23.46,3972
19,2015-04-30,23.393,23.393,23.371,23.371,16705
20,2015-05-05,23.262,23.262,23.219,23.221,2759
21,2015-05-06,23.15,23.15,23.15,23.15,820
22,2015-05-12,23.118,23.118,23.118,23.118,2632
23,2015-05-13,23.109,23.109,23.109,23.109,856
24,2015-05-15,23.199,23.291,23.199,23.291,13472
25,2015-05-18,23.219,23.257,23.219,23.257,1773
26,2015-05-19,23.147,23.147,23.147,23.147,784
27,2015-05-20,23.199,23.214,23.199,23.214,1793
28,2015-05-22,23.184,23.204,23.165,23.184,1375
29,2015-05-26,23.239,23.239,23.239,23.239,429
30,2015-05-27,23.241,23.241,23.241,23.241,4284
31,2015-05-28,23.303,23.303,23.303,23.303,2464
32,2015-05-29,23.333,23.333,23.333,23.333,856
33,2015-06-02,23.332,23.332,23.332,23.332,36
34,2015-06-04,23.332,23.332,23.332,23.332,10
35,2015-06-08,22.969,22.969,22.969,22.969,4279
36,2015-06-11,22.848,22.904,22.848,22.904,1200
37,2015-06-15,23.015,23.015,22.939,22.939,882
38,2015-06-16,22.939,22.939,22.939,22.939,100
39,2015-06-18,23.005,23.068,22.969,22.969,16448
40,2015-06-19,23.005,23.015,22.929,23.005,2036
41,2015-06-24,22.828,22.864,22.828,22.864,17090
42,2015-06-25,22.899,22.899,22.845,22.845,1709
43,2015-06-26,22.828,22.828,22.828,22.828,2991
