,Date,Open,High,Low,Close,Volume
0,2014-07-25,19.957,19.957,19.386,19.395,11367
1,2014-07-28,19.308,19.395,19.298,19.367,11527
2,2014-07-29,19.511,19.511,19.308,19.308,12319
3,2014-07-30,19.328,19.328,19.133,19.212,33152
4,2014-07-31,19.114,19.114,18.885,18.885,10833
5,2014-08-01,18.835,18.904,18.709,18.81,120488
6,2014-08-04,19.067,19.067,18.779,18.894,12066
7,2014-08-05,18.885,18.885,18.623,18.699,7547
8,2014-08-06,18.651,18.651,18.557,18.603,3704
9,2014-08-07,18.651,18.67,18.527,18.537,9150
10,2014-08-08,18.527,18.623,18.517,18.623,1647
11,2014-08-11,18.8,18.816,18.776,18.779,9881
12,2014-08-12,18.855,18.855,18.719,18.779,10180
13,2014-08-13,19.077,19.077,18.779,18.855,3714
14,2014-08-14,18.952,18.97,18.933,18.97,17252
15,2014-08-15,19.028,19.028,18.806,18.942,4624
16,2014-08-18,19.153,19.153,19.009,19.133,4774
17,2014-08-19,19.133,19.153,19.067,19.095,7348
18,2014-08-20,19.095,19.095,19.047,19.077,574
19,2014-08-21,19.087,19.095,19.077,19.077,1460
20,2014-08-22,19.143,19.143,19.067,19.067,2830
21,2014-08-25,19.162,19.24,19.151,19.224,33052
22,2014-08-26,19.298,19.298,19.202,19.221,18369
23,2014-08-27,19.221,19.299,19.221,19.27,4990
24,2014-08-28,19.24,19.24,19.143,19.202,14222
25,2014-08-29,19.153,19.192,19.124,19.192,9825
26,2014-09-02,19.192,19.192,19.124,19.133,5092
27,2014-09-03,19.357,19.405,19.274,19.308,16895
28,2014-09-04,19.308,19.308,19.077,19.077,21756
29,2014-09-05,19.202,19.202,19.105,19.192,9444
30,2014-09-08,19.087,19.133,18.94,18.942,9574
31,2014-09-09,19.279,19.279,18.825,18.875,5300
32,2014-09-10,18.835,18.942,18.797,18.885,4449
33,2014-09-11,18.769,18.797,18.746,18.759,1025442
34,2014-09-12,18.661,18.795,18.642,18.749,19175
35,2014-09-15,18.739,18.749,18.651,18.651,12954
36,2014-09-16,19.038,19.038,18.619,18.779,39521
37,2014-09-17,18.759,18.779,18.566,18.67,28343
38,2014-09-18,19.212,19.212,18.719,18.835,106447
39,2014-09-19,18.744,18.825,18.631,18.67,241964
40,2014-09-22,18.547,18.779,18.466,18.497,17371
41,2014-09-23,18.469,18.488,18.352,18.361,19616
42,2014-09-24,18.343,18.469,18.271,18.441,31808
43,2014-09-25,18.236,18.255,18.111,18.111,18618
44,2014-09-26,18.072,18.178,18.024,18.178,12160
45,2014-09-29,18.032,18.072,17.994,18.017,31462
46,2014-09-30,17.957,18.017,17.957,17.976,6495
47,2014-10-01,17.83,17.87,17.694,17.714,522834
48,2014-10-02,17.783,17.783,17.571,17.734,29801
49,2014-10-03,17.581,17.704,17.581,17.694,44577
50,2014-10-06,17.763,17.83,17.63,17.744,48501
51,2014-10-07,17.724,17.724,17.474,17.474,14273
52,2014-10-08,17.571,17.734,17.282,17.724,495710
53,2014-10-09,17.597,17.597,17.217,17.262,11997
54,2014-10-10,17.128,17.128,16.847,16.857,12639
55,2014-10-13,17.002,17.029,16.895,16.976,590884
56,2014-10-14,16.847,16.983,16.769,16.847,14272
57,2014-10-15,16.567,16.798,16.325,16.798,25042
58,2014-10-16,16.605,16.817,16.55,16.692,11577
59,2014-10-17,17.002,17.069,16.905,16.954,35609
60,2014-10-20,17.088,17.155,17.057,17.079,5236
61,2014-10-21,17.358,17.428,17.272,17.428,12540
62,2014-10-22,17.397,17.422,17.272,17.272,1383
63,2014-10-23,17.461,17.474,17.358,17.402,4463
64,2014-10-24,17.484,17.543,17.442,17.543,16048
65,2014-10-27,17.388,17.418,17.344,17.408,15350
66,2014-10-28,17.591,17.664,17.559,17.611,21430
67,2014-10-29,17.791,17.791,17.514,17.581,12590
68,2014-10-30,17.564,17.81,17.533,17.714,6221
69,2014-10-31,17.739,17.937,17.724,17.881,101942
70,2014-11-03,17.899,17.927,17.754,17.773,47956
71,2014-11-04,17.727,17.81,17.727,17.801,3330
72,2014-11-05,17.86,17.87,17.82,17.85,3178
73,2014-11-06,17.744,17.788,17.734,17.763,6379
74,2014-11-07,17.82,17.82,17.744,17.754,7615
75,2014-11-10,17.87,17.907,17.773,17.89,385607
76,2014-11-11,17.986,17.986,17.876,17.967,6666
77,2014-11-12,17.877,17.889,17.794,17.86,31937
78,2014-11-13,17.976,17.976,17.791,17.87,11621
79,2014-11-14,17.708,17.937,17.708,17.937,7754
80,2014-11-17,17.927,17.927,17.82,17.843,17907
81,2014-11-18,17.907,18.053,17.907,17.967,96575
82,2014-11-19,17.902,18.034,17.902,17.996,196225
83,2014-11-20,17.957,18.006,17.911,17.976,207053
84,2014-11-21,18.188,18.227,18.12,18.158,44130
85,2014-11-24,18.304,18.304,18.147,18.236,56017
86,2014-11-25,18.343,18.343,18.207,18.227,59770
87,2014-11-26,18.371,18.371,18.255,18.343,79312
88,2014-11-28,18.328,18.328,18.227,18.236,16135
89,2014-12-01,18.148,18.148,18.062,18.12,17902
90,2014-12-02,18.119,18.138,18.082,18.117,115152
91,2014-12-03,18.198,18.198,18.045,18.168,43328
92,2014-12-04,18.236,18.236,18.13,18.168,17571
93,2014-12-05,18.27,18.275,18.217,18.245,413408
94,2014-12-08,18.13,18.13,17.967,18.003,16140
95,2014-12-09,17.724,17.937,17.724,17.937,16004
96,2014-12-10,18.015,18.015,17.704,17.801,13016
97,2014-12-11,17.87,17.88,17.773,17.829,18901
98,2014-12-12,17.744,17.763,17.541,17.558,233718
99,2014-12-15,17.581,17.581,17.378,17.418,24224
100,2014-12-16,17.494,17.601,17.391,17.428,16006
101,2014-12-17,17.533,17.533,17.348,17.474,29985
102,2014-12-18,17.553,17.763,17.553,17.694,234673
103,2014-12-19,18.158,18.158,17.499,17.676,159522
104,2014-12-22,17.797,17.89,17.744,17.88,21465
105,2014-12-23,17.79,17.809,17.694,17.752,26301
106,2014-12-24,17.879,17.898,17.803,17.879,4271
107,2014-12-26,17.986,17.986,17.841,17.956,2253
108,2014-12-29,17.733,17.869,17.683,17.772,21741
109,2014-12-30,17.56,17.666,17.56,17.579,17919
110,2014-12-31,17.703,17.762,17.589,17.609,75405
111,2015-01-02,17.703,17.703,17.472,17.502,51977
112,2015-01-05,17.472,17.472,17.291,17.386,25145
113,2015-01-06,17.446,17.458,17.056,17.195,17434
114,2015-01-07,17.416,17.416,17.266,17.366,22417
115,2015-01-08,17.531,17.569,17.419,17.472,42975
116,2015-01-09,17.703,17.703,17.456,17.569,22374
117,2015-01-12,17.675,17.675,17.416,17.454,44685
118,2015-01-13,17.62,17.647,17.426,17.464,11174
119,2015-01-14,17.464,17.512,17.338,17.502,98126
120,2015-01-15,17.628,17.666,17.458,17.609,39014
121,2015-01-16,17.703,17.703,17.472,17.675,145554
122,2015-01-20,17.829,17.849,17.703,17.809,28205
123,2015-01-21,17.916,17.926,17.743,17.926,39812
124,2015-01-22,17.926,18.023,17.79,17.907,175000
125,2015-01-23,17.869,18.091,17.869,18.033,91295
126,2015-01-26,18.101,18.227,18.071,18.188,22042
127,2015-01-27,18.138,18.207,18.028,18.158,263737
128,2015-01-28,18.235,18.236,18.005,18.005,207967
129,2015-01-29,18.033,18.198,17.975,18.148,72696
130,2015-01-30,18.094,18.094,17.869,17.898,77794
131,2015-02-02,18.12,18.128,17.966,18.111,50113
132,2015-02-03,18.153,18.361,18.153,18.352,120190
133,2015-02-04,18.285,18.45,18.285,18.324,304088
134,2015-02-05,18.411,18.488,18.361,18.488,38384
135,2015-02-06,18.381,18.431,18.255,18.295,107189
136,2015-02-09,18.227,18.255,18.071,18.227,36097
137,2015-02-10,18.441,18.441,18.207,18.371,111328
138,2015-02-11,18.371,18.371,18.236,18.334,136783
139,2015-02-12,18.557,18.624,18.479,18.624,174178
140,2015-02-13,18.681,19.164,18.575,18.633,314536
141,2015-02-17,18.671,18.73,18.585,18.71,57534
142,2015-02-18,18.797,18.81,18.689,18.76,168786
143,2015-02-19,18.826,18.826,18.643,18.74,294245
144,2015-02-20,18.77,18.895,18.618,18.876,143841
145,2015-02-23,18.886,19.184,18.78,18.807,144223
146,2015-02-24,18.816,18.905,18.75,18.856,136872
147,2015-02-25,18.953,18.953,18.816,18.836,97408
148,2015-02-26,18.915,18.934,18.789,18.846,315468
149,2015-02-27,18.97,18.97,18.74,18.846,470895
150,2015-03-02,18.915,18.963,18.836,18.886,311433
151,2015-03-03,18.856,18.905,18.691,18.75,223058
