,Date,Open,High,Low,Close,Volume
0,2015-06-04,22.724,22.724,22.724,22.724,100
1,2015-06-09,22.724,22.724,22.724,22.724,1
2,2015-06-12,23.197,23.197,23.197,23.197,100
3,2015-06-15,22.856,22.856,22.856,22.856,100
4,2015-06-16,22.797,22.797,22.797,22.797,227
5,2015-06-17,22.944,22.944,22.944,22.944,428
6,2015-06-19,22.753,22.753,22.753,22.753,100
7,2015-06-24,22.836,22.836,22.836,22.836,100
8,2015-06-29,22.734,22.734,22.724,22.724,2918
9,2015-07-07,22.723,22.723,22.723,22.723,100
10,2015-07-08,22.723,22.723,22.723,22.723,100
11,2015-07-09,22.723,22.723,22.723,22.723,100
12,2015-07-14,22.723,22.723,22.723,22.723,20
13,2015-07-15,22.564,22.564,22.509,22.509,1080
14,2015-07-16,22.509,22.509,22.509,22.509,100
15,2015-07-22,22.658,22.658,22.658,22.658,327
16,2015-07-23,22.658,22.658,22.658,22.658,100
17,2015-08-06,22.656,22.656,22.656,22.656,2
18,2015-08-07,22.767,22.767,22.767,22.767,100
19,2015-08-11,22.767,22.767,22.767,22.767,1
20,2015-08-14,22.274,22.274,22.274,22.274,100
21,2015-08-24,22.208,22.208,22.2,22.2,426
22,2015-09-04,22.198,22.198,22.198,22.198,100
23,2015-09-10,22.403,22.403,22.403,22.403,425
24,2015-09-11,22.403,22.403,22.403,22.403,425
25,2015-09-14,22.377,22.403,22.377,22.403,425
26,2015-09-15,22.357,22.357,22.347,22.347,649
27,2015-09-16,22.412,22.421,22.412,22.421,224
28,2015-09-18,22.43,22.43,22.421,22.421,224
29,2015-09-21,22.403,22.403,22.403,22.403,425
30,2015-09-23,22.367,22.412,22.357,22.384,34283
31,2015-09-24,22.394,22.394,22.319,22.319,24609
32,2015-09-25,22.282,22.309,22.282,22.299,852
33,2015-09-28,22.263,22.263,22.216,22.216,1349
34,2015-09-29,22.14,22.14,22.14,22.14,325
35,2015-09-30,22.14,22.189,22.121,22.189,1282
36,2015-10-01,22.082,22.158,22.074,22.074,1602
37,2015-10-02,22.074,22.074,22.074,22.074,100
38,2015-10-05,22.048,22.099,22.048,22.099,276
39,2015-10-06,22.099,22.099,22.099,22.099,223
40,2015-10-07,22.214,22.214,22.206,22.206,324
41,2015-10-08,22.261,22.28,22.261,22.28,1071
42,2015-10-09,22.28,22.28,22.28,22.28,100
43,2015-10-12,22.206,22.206,22.206,22.206,138
44,2015-10-13,22.317,22.327,22.289,22.289,967
45,2015-10-14,22.252,22.289,22.252,22.289,424
46,2015-10-15,22.224,22.252,22.224,22.252,1708
47,2015-10-16,22.234,22.327,22.234,22.327,850
48,2015-10-19,22.27,22.402,22.27,22.402,2138
49,2015-10-21,22.345,22.437,22.345,22.437,647
50,2015-10-22,22.382,22.382,22.365,22.365,1071
51,2015-10-23,22.437,22.614,22.355,22.355,1071
52,2015-10-26,22.355,22.355,22.355,22.355,100
53,2015-10-27,22.534,22.606,22.456,22.456,530
54,2015-10-28,22.382,22.525,22.382,22.525,1708
55,2015-10-29,22.505,22.505,22.485,22.485,223
56,2015-10-30,22.606,22.606,22.466,22.466,1923
57,2015-11-02,22.596,22.596,22.381,22.381,1177
58,2015-11-03,22.523,22.569,22.523,22.532,1168
59,2015-11-04,22.473,22.56,22.473,22.56,543
60,2015-11-05,22.586,22.613,22.586,22.586,1276
61,2015-11-06,22.464,22.523,22.464,22.464,9267
62,2015-11-09,22.643,22.691,22.643,22.691,510
63,2015-11-10,22.738,22.756,22.738,22.756,1491
64,2015-11-11,22.71,22.71,22.71,22.71,645
65,2015-11-12,22.766,22.812,22.671,22.7,5646
66,2015-11-13,22.748,22.748,22.671,22.671,222
67,2015-11-16,22.681,22.748,22.643,22.719,2665
68,2015-11-17,22.663,22.719,22.663,22.719,1703
69,2015-11-18,22.663,22.748,22.643,22.643,745
70,2015-11-19,22.784,22.793,22.691,22.784,745
71,2015-11-20,22.728,22.728,22.728,22.728,323
72,2015-11-23,22.653,22.756,22.653,22.756,847
73,2015-11-24,22.7,22.7,22.7,22.7,963
74,2015-11-25,22.766,22.776,22.728,22.766,2875
75,2015-11-27,22.738,22.776,22.738,22.776,1918
76,2015-11-30,22.776,22.812,22.776,22.812,2984
77,2015-12-01,22.766,22.766,22.643,22.643,604
78,2015-12-02,22.503,22.503,22.503,22.503,643
79,2015-12-03,22.418,22.418,22.4,22.418,1704
80,2015-12-04,22.671,22.671,22.671,22.671,963
81,2015-12-07,22.56,22.681,22.56,22.681,1703
82,2015-12-08,22.681,22.681,22.681,22.681,349
83,2015-12-09,22.54,22.54,22.523,22.523,847
84,2015-12-10,22.728,22.728,22.532,22.55,1168
85,2015-12-11,22.493,22.523,22.493,22.493,1813
86,2015-12-14,22.41,22.418,22.41,22.418,503
87,2015-12-15,22.503,22.523,22.445,22.445,1168
