,Date,Open,High,Low,Close,Volume
0,2006-05-05,47.143,48.576,47.143,48.576,41151
1,2006-05-08,48.142,48.287,47.635,47.635,15990
2,2006-05-09,47.704,47.704,47.143,47.229,6598
3,2006-05-10,47.734,47.801,47.423,47.549,13202
4,2006-05-11,47.143,47.201,46.221,46.221,13303
5,2006-05-12,45.785,45.785,45.407,45.553,3200
6,2006-05-15,45.639,45.639,44.368,44.368,8972
7,2006-05-16,44.835,44.835,44.427,44.427,1441
8,2006-05-17,43.885,43.885,43.254,43.254,2579
9,2006-05-18,44.019,44.689,43.623,43.623,78587
10,2006-05-19,43.009,43.283,43.009,43.283,303
11,2006-05-22,42.665,42.665,42.411,42.411,1134
12,2006-05-23,43.594,43.594,42.295,42.295,46204
13,2006-05-24,43.45,43.45,43.45,43.45,100
14,2006-05-25,43.009,43.009,42.876,42.885,1032
15,2006-05-26,43.156,43.156,43.146,43.146,303
16,2006-05-30,42.441,42.441,42.158,42.158,33520
17,2006-05-31,41.8,41.8,41.431,41.441,13202
18,2006-06-01,41.227,42.059,41.227,42.059,930
19,2006-06-02,42.499,42.499,41.558,41.558,11861
20,2006-06-05,40.735,40.735,39.6,39.61,24959
21,2006-06-06,39.083,39.083,37.62,38.191,36199
22,2006-06-07,38.211,38.736,38.007,38.007,19287
23,2006-06-08,37.165,37.988,36.845,37.874,40529
24,2006-06-09,38.289,38.358,38.201,38.289,5880
25,2006-06-12,37.456,37.456,36.924,36.924,4955
26,2006-06-13,36.749,37.184,36.176,36.409,26712
27,2006-06-14,36.583,36.777,36.389,36.389,14748
28,2006-06-15,36.631,38.456,36.631,38.388,11861
29,2006-06-16,38.27,38.27,37.815,37.892,6292
30,2006-06-19,38.104,38.104,37.028,37.028,5776
31,2006-06-20,37.243,37.243,36.573,36.573,5776
32,2006-06-21,37.136,37.834,37.136,37.834,4955
33,2006-06-22,37.486,37.591,37.087,37.428,4125
34,2006-06-23,37.312,38.027,37.312,37.707,8356
35,2006-06-26,37.776,38.948,37.776,38.427,47959
36,2006-06-27,37.562,37.795,37.437,37.437,2165
37,2006-06-28,36.982,37.428,36.982,37.428,1754
38,2006-06-29,37.447,38.582,37.037,38.572,38470
39,2006-06-30,38.601,38.601,38.171,38.171,4845
40,2006-07-03,38.104,38.181,37.707,38.075,9389
41,2006-07-05,37.61,37.61,37.233,37.466,36717
42,2006-07-06,37.456,37.874,37.447,37.456,19079
43,2006-07-07,37.476,38.123,37.253,37.263,19389
44,2006-07-10,37.223,37.476,36.904,37.018,62603
45,2006-07-11,36.583,36.583,36.097,36.389,21144
46,2006-07-12,36.409,36.476,35.407,35.506,25785
47,2006-07-13,35.09,35.555,34.742,34.742,21453
48,2006-07-14,33.567,33.596,32.988,33.45,49917
49,2006-07-17,33.391,33.441,32.909,32.909,26611
50,2006-07-18,33.207,33.207,31.736,32.159,41049
51,2006-07-19,32.649,33.831,32.649,33.831,103031
52,2006-07-20,33.899,33.899,32.345,32.394,41563
53,2006-07-21,32.035,32.609,31.513,32.404,111592
54,2006-07-24,32.649,33.567,32.649,33.567,41462
55,2006-07-25,33.285,34.664,33.256,34.054,55178
56,2006-07-26,33.939,34.16,33.305,34.062,257837
57,2006-07-27,34.188,34.36,33.047,33.168,15265
58,2006-07-28,33.831,34.429,33.694,34.218,26092
59,2006-07-31,33.714,34.062,33.674,33.976,8561
60,2006-08-01,33.362,34.035,33.207,33.929,17841
61,2006-08-02,34.112,34.526,33.84,34.198,23826
62,2006-08-03,33.89,35.926,33.89,35.711,41151
63,2006-08-04,36.641,37.165,35.332,35.633,25062
64,2006-08-07,35.613,36.504,35.613,36.021,77453
65,2006-08-08,36.166,36.166,34.556,34.556,153156
66,2006-08-09,33.694,33.821,33.037,33.065,123656
67,2006-08-10,32.84,33.401,32.84,33.168,206991
68,2006-08-11,32.763,32.84,32.404,32.414,256496
69,2006-08-14,32.58,32.697,31.96,31.997,22898
70,2006-08-15,32.639,33.037,32.296,33.027,26919
71,2006-08-16,33.46,34.605,33.334,34.516,25577
72,2006-08-17,34.556,35.36,34.556,34.81,55383
73,2006-08-18,34.399,34.84,34.169,34.82,5776
74,2006-08-21,34.332,34.332,33.714,33.909,5465
75,2006-08-22,34.131,34.36,33.87,34.092,138201
76,2006-08-23,33.811,33.811,32.968,33.103,57135
77,2006-08-24,33.017,33.596,32.88,33.518,303732
78,2006-08-25,33.178,33.792,33.178,33.704,5674
79,2006-08-28,34.16,34.448,33.792,34.284,35686
80,2006-08-29,33.821,34.39,33.45,34.39,259899
81,2006-08-30,34.198,34.332,33.89,34.246,133046
82,2006-08-31,34.15,34.898,34.15,34.713,51463
83,2006-09-01,34.849,34.957,34.265,34.742,184715
84,2006-09-05,34.566,34.634,34.236,34.284,109634
85,2006-09-06,33.986,34.169,33.007,33.075,159241
86,2006-09-07,32.374,34.062,32.14,33.45,348700
87,2006-09-08,33.207,33.586,33.084,33.586,360972
88,2006-09-11,33.353,34.634,32.968,34.14,1006491
89,2006-09-12,34.293,36.264,34.035,36.146,216686
90,2006-09-13,36.264,36.264,35.77,35.974,252064
91,2006-09-14,35.526,36.002,35.225,35.974,130258
92,2006-09-15,36.379,37.572,36.37,36.845,121801
93,2006-09-18,36.942,37.582,36.573,37.01,155321
94,2006-09-19,37.087,37.087,35.711,36.389,217614
95,2006-09-20,36.65,36.65,36.04,36.097,150988
96,2006-09-21,36.087,36.504,35.176,35.379,27432
97,2006-09-22,34.957,36.322,34.957,35.992,541666
98,2006-09-25,36.021,37.292,35.877,37.292,114581
99,2006-09-26,36.865,38.338,36.865,37.736,760413
100,2006-09-27,37.514,38.25,36.543,36.855,692035
101,2006-09-28,37.018,37.213,36.127,36.709,368398
102,2006-09-29,36.835,36.982,35.877,35.877,116132
103,2006-10-02,35.526,36.573,35.389,36.146,143254
104,2006-10-03,35.974,36.117,35.516,35.877,46513
105,2006-10-04,35.506,36.991,35.486,36.641,186573
106,2006-10-05,36.553,36.68,35.926,36.592,144079
107,2006-10-06,36.117,36.389,36.002,36.389,111178
108,2006-10-09,36.186,37.505,36.011,37.263,94370
109,2006-10-10,38.161,38.688,38.161,38.26,245048
110,2006-10-11,38.142,38.456,37.466,37.854,102619
111,2006-10-12,38.319,38.852,38.25,38.852,542489
112,2006-10-13,38.047,38.25,37.552,37.601,34758
113,2006-10-16,37.834,38.289,37.716,37.902,222363
114,2006-10-17,37.591,37.795,37.136,37.213,536713
115,2006-10-18,37.932,38.017,36.874,37.0,743086
116,2006-10-19,37.263,37.716,36.768,37.351,34862
117,2006-10-20,37.126,37.155,36.845,37.067,13406
118,2006-10-23,37.028,37.028,36.331,36.583,166459
119,2006-10-24,36.583,37.184,36.583,37.174,23930
120,2006-10-25,36.933,38.368,36.924,38.171,152638
121,2006-10-26,36.331,39.014,36.331,38.919,71060
122,2006-10-27,38.437,38.843,37.892,37.998,69100
123,2006-10-30,37.815,38.476,37.815,38.057,29497
124,2006-10-31,38.161,38.161,37.447,37.707,29808
125,2006-11-01,37.979,38.133,37.018,37.155,67450
126,2006-11-02,36.982,37.361,36.777,36.933,45070
127,2006-11-03,37.018,37.116,36.087,36.417,182447
128,2006-11-06,36.494,36.7,36.313,36.476,29598
129,2006-11-07,36.303,36.341,35.516,35.564,157590
130,2006-11-08,35.253,35.76,34.907,35.476,181827
131,2006-11-09,35.37,35.37,34.761,34.8,656656
132,2006-11-10,34.966,36.097,34.966,36.097,33725
133,2006-11-13,36.117,36.504,35.76,35.954,141191
134,2006-11-14,36.797,38.201,36.456,38.007,1410060
135,2006-11-15,38.181,38.91,37.998,38.299,894490
136,2006-11-16,38.785,39.454,38.417,38.834,428628
137,2006-11-17,38.417,38.901,38.104,38.795,44556
138,2006-11-20,38.834,38.881,38.23,38.329,273925
139,2006-11-21,38.534,38.91,38.368,38.843,86327
140,2006-11-22,39.396,39.61,39.073,39.522,245876
141,2006-11-24,39.103,39.716,39.103,39.347,84055
142,2006-11-27,39.347,39.454,38.338,38.437,134902
143,2006-11-28,38.378,38.872,37.961,38.338,74361
144,2006-11-29,38.398,39.024,38.221,38.66,97877
145,2006-11-30,39.288,41.189,39.189,40.735,604573
146,2006-12-01,40.735,41.431,40.305,40.945,180175
147,2006-12-04,40.917,40.975,40.51,40.887,122320
148,2006-12-05,41.286,42.167,41.247,42.03,97049
149,2006-12-06,42.441,42.98,42.226,42.665,229167
150,2006-12-07,42.441,42.665,41.5,41.742,317450
151,2006-12-08,41.838,42.03,40.735,40.917,161201
152,2006-12-11,41.043,41.558,40.867,41.247,76010
153,2006-12-12,41.247,41.286,40.618,40.771,57758
154,2006-12-13,41.382,41.684,40.926,40.984,86943
155,2006-12-14,41.014,41.5,41.014,41.102,51567
156,2006-12-15,41.723,41.752,40.955,41.111,204411
