,Date,Open,High,Low,Close,Volume
0,2009-09-28,21.209,21.209,21.193,21.193,1648
1,2009-09-29,21.321,21.321,21.175,21.175,11790
2,2009-10-01,20.837,20.846,20.837,20.846,2591
3,2009-10-02,20.338,20.338,20.329,20.329,1199
4,2009-10-06,21.152,21.152,20.949,20.949,4127
5,2009-10-12,21.49,21.49,21.49,21.49,9431
6,2009-10-14,21.669,21.75,21.66,21.75,4648
7,2009-10-15,21.769,21.769,21.769,21.769,232
8,2009-10-16,21.71,21.75,21.66,21.75,37023
9,2009-10-19,21.678,21.735,21.678,21.735,435
10,2009-10-21,21.797,21.797,21.49,21.498,67683
11,2009-10-23,21.557,21.557,21.464,21.464,1412
12,2009-10-26,21.405,21.405,21.159,21.159,11086
13,2009-10-27,21.126,21.159,21.092,21.109,8252
14,2009-10-28,20.94,20.94,20.854,20.854,10611
15,2009-10-29,21.159,21.159,21.159,21.159,232
16,2009-10-30,21.015,21.049,20.988,21.049,8373
17,2009-11-02,20.43,20.43,20.43,20.43,125
18,2009-11-04,20.888,20.949,20.888,20.949,4834
19,2009-11-06,21.092,21.092,21.092,21.092,2307
20,2009-11-09,21.448,21.448,21.448,21.448,1178
21,2009-11-10,21.626,21.644,21.591,21.644,2239
22,2009-11-13,21.507,21.507,21.498,21.498,8373
23,2009-11-17,21.822,21.822,21.822,21.822,1770
24,2009-11-19,21.644,21.678,21.644,21.678,232
25,2009-11-20,21.533,21.533,21.533,21.533,136
26,2009-11-23,21.871,21.871,21.871,21.871,1178
27,2009-11-24,21.719,21.719,21.719,21.719,1178
28,2009-11-30,21.599,21.617,21.567,21.576,15301
29,2009-12-01,21.921,21.957,21.921,21.957,710
30,2009-12-03,21.913,21.913,21.719,21.719,2203
31,2009-12-04,22.0,22.074,21.735,21.76,1504
32,2009-12-07,21.921,21.921,21.743,21.788,4067
33,2009-12-08,21.652,21.652,21.557,21.557,1167
34,2009-12-11,21.822,21.822,21.822,21.822,226
35,2009-12-15,21.864,21.864,21.75,21.778,13679
36,2009-12-16,21.886,21.948,21.886,21.948,7193
37,2009-12-18,21.719,21.719,21.516,21.516,710
38,2009-12-21,21.913,21.913,21.913,21.913,125
39,2009-12-22,21.948,21.976,21.948,21.957,22405
40,2009-12-23,21.797,21.797,21.769,21.778,7199
41,2009-12-24,21.856,21.856,21.856,21.856,467
42,2009-12-28,21.839,21.839,21.839,21.839,615
43,2009-12-29,21.939,21.939,21.856,21.856,3738
44,2009-12-30,21.788,21.839,21.788,21.839,6604
45,2009-12-31,21.846,21.846,21.846,21.846,1649
46,2010-01-05,22.16,22.16,22.16,22.16,472
47,2010-01-07,22.515,22.515,22.515,22.515,1770
48,2010-01-08,22.415,22.423,22.362,22.406,2209
49,2010-01-11,22.559,22.576,22.551,22.576,538
50,2010-01-12,22.389,22.397,22.389,22.397,710
51,2010-01-19,22.244,22.532,22.235,22.532,56479
52,2010-01-20,22.353,22.362,22.176,22.33,2278
53,2010-01-21,22.362,22.362,21.788,21.788,1178
54,2010-01-25,21.567,21.576,21.38,21.457,67432
55,2010-01-26,21.498,21.498,21.498,21.498,472
56,2010-01-27,21.278,21.278,21.193,21.27,1178
57,2010-01-28,21.405,21.405,21.405,21.405,594
58,2010-01-29,21.312,21.38,21.201,21.201,1061
59,2010-02-01,21.321,21.321,21.321,21.321,125
60,2010-02-02,21.422,21.735,21.388,21.727,922761
61,2010-02-03,21.635,21.71,21.516,21.542,45859
62,2010-02-04,21.015,21.032,20.988,20.988,14018
63,2010-02-05,20.65,20.65,20.65,20.65,710
64,2010-02-09,20.729,20.922,20.729,20.888,4174
65,2010-02-16,21.219,21.397,21.219,21.397,944
66,2010-02-17,21.448,21.448,21.448,21.448,588
67,2010-02-23,21.439,21.439,21.312,21.364,7562
68,2010-03-01,21.71,21.71,21.703,21.703,5896
69,2010-03-02,21.839,21.839,21.75,21.75,900
70,2010-03-04,21.831,22.083,21.831,21.88,59129
71,2010-03-05,21.992,22.185,21.992,22.185,12968
72,2010-03-08,22.235,22.235,22.235,22.235,5541
73,2010-03-09,22.128,22.338,22.128,22.338,8017
74,2010-03-10,22.298,22.441,22.28,22.397,37079
75,2010-03-11,22.322,22.353,22.322,22.353,738
76,2010-03-12,22.551,22.551,22.448,22.483,1591
77,2010-03-18,22.761,22.761,22.721,22.721,232
78,2010-03-22,22.492,22.752,22.492,22.744,2239
79,2010-03-24,22.805,22.848,22.761,22.839,5392469
80,2010-03-25,23.034,23.034,22.752,22.752,29729
81,2010-03-26,22.695,22.769,22.695,22.769,21936
82,2010-03-29,22.848,22.94,22.848,22.906,34157
83,2010-03-30,22.957,22.957,22.805,22.889,25945
84,2010-03-31,22.737,22.873,22.737,22.788,20184
85,2010-04-01,22.897,22.975,22.897,22.949,14486
86,2010-04-05,23.203,23.212,23.177,23.203,18444
87,2010-04-06,23.117,23.33,23.117,23.295,25625
88,2010-04-07,23.257,23.288,23.059,23.1,25877
89,2010-04-08,23.051,23.338,23.051,23.33,17801
90,2010-04-09,23.374,23.535,23.33,23.408,67051
91,2010-04-12,23.535,23.544,23.465,23.465,19349
92,2010-04-13,23.425,23.49,23.425,23.456,297732
93,2010-04-14,23.643,23.796,23.643,23.788,186496
94,2010-04-15,23.746,23.856,23.746,23.813,38917
95,2010-04-16,23.577,23.577,23.278,23.32,30599
96,2010-04-19,23.238,23.49,23.177,23.49,154729
97,2010-04-20,23.66,23.738,23.592,23.705,28005
98,2010-04-21,23.762,23.762,23.456,23.57,31628
99,2010-04-22,23.365,23.61,23.311,23.6,16639
100,2010-04-23,23.638,23.827,23.638,23.827,78685
101,2010-04-26,23.831,23.831,23.715,23.722,13239
102,2010-04-27,23.553,23.553,23.059,23.059,39471
103,2010-04-28,23.295,23.356,23.126,23.295,30105
104,2010-04-29,23.448,23.687,23.448,23.627,16921
105,2010-04-30,23.586,23.592,23.229,23.229,26224
106,2010-05-03,23.383,23.61,23.338,23.525,24607
107,2010-05-04,23.177,23.238,22.931,23.025,18302
108,2010-05-05,22.823,23.042,22.703,22.73,23523
109,2010-05-06,22.609,24.433,20.675,22.144,64467
110,2010-05-07,21.896,22.136,21.533,21.669,36266
111,2010-05-10,22.796,22.839,22.406,22.456,23570
112,2010-05-11,22.515,22.858,22.508,22.618,70283
113,2010-05-12,22.687,22.88,22.661,22.805,22764
114,2010-05-13,22.788,22.823,22.559,22.661,19894
115,2010-05-14,22.227,22.227,21.976,22.039,13428
116,2010-05-17,22.048,22.136,21.822,22.111,97941
117,2010-05-18,21.939,21.939,21.686,21.797,43499
118,2010-05-19,21.582,21.822,21.576,21.743,34041
119,2010-05-20,21.159,21.27,20.828,20.828,31421
120,2010-05-21,20.438,21.262,20.186,21.262,126543
121,2010-05-24,21.067,21.167,20.818,20.88,21283
122,2010-05-25,20.438,20.888,20.38,20.809,26399
123,2010-05-26,21.159,21.159,20.778,20.863,36523
124,2010-05-27,21.117,21.482,21.117,21.43,24865
125,2010-05-28,21.371,21.371,21.236,21.253,51336
126,2010-06-01,20.965,21.244,20.846,20.846,54465
127,2010-06-02,20.863,21.364,20.863,21.364,20447
128,2010-06-03,21.236,21.457,21.236,21.448,16041
129,2010-06-04,21.032,21.1,20.641,20.641,12356
130,2010-06-07,20.778,20.778,20.445,20.445,44430
131,2010-06-08,20.454,20.702,20.371,20.702,20302
132,2010-06-09,20.769,20.957,20.489,20.489,51320
133,2010-06-10,20.94,21.152,20.906,21.152,25660
134,2010-06-11,21.092,21.135,21.074,21.074,7469
135,2010-06-14,21.457,21.482,21.201,21.201,15029
136,2010-06-15,21.388,21.644,21.295,21.626,20027
137,2010-06-16,21.703,21.719,21.548,21.652,18576
138,2010-06-17,21.669,21.669,21.49,21.635,23591
139,2010-06-18,21.686,21.743,21.686,21.703,10802
140,2010-06-21,21.948,21.948,21.608,21.669,9214
141,2010-06-22,21.686,21.686,21.355,21.422,48763
142,2010-06-23,21.142,21.209,21.142,21.209,6195
143,2010-06-24,20.913,20.913,20.769,20.809,25315
144,2010-06-25,20.721,21.032,20.721,20.972,20559
145,2010-06-28,20.898,21.007,20.898,20.979,12362
146,2010-06-29,20.576,20.624,20.252,20.329,20348
147,2010-06-30,20.404,20.436,20.055,20.088,46287
148,2010-07-01,19.881,20.065,19.71,20.032,24342
149,2010-07-02,19.854,19.854,19.71,19.71,68990
150,2010-07-06,20.032,20.032,19.792,19.912,58139
151,2010-07-07,20.042,20.55,20.042,20.533,15498
152,2010-07-08,20.599,20.737,20.541,20.721,16432
153,2010-07-09,20.729,20.932,20.729,20.888,28327
154,2010-07-12,20.854,20.965,20.846,20.949,23271
155,2010-07-13,21.152,21.337,21.152,21.328,19029
156,2010-07-14,21.135,21.228,21.083,21.228,15316
157,2010-07-15,21.219,21.219,21.015,21.175,26485
158,2010-07-16,20.863,20.863,20.641,20.684,14723
159,2010-07-19,20.576,20.809,20.576,20.666,10732
160,2010-07-20,20.769,20.913,20.769,20.913,9344
161,2010-07-21,20.871,20.898,20.568,20.568,9184
162,2010-07-22,21.042,21.1,21.042,21.1,7155
163,2010-07-23,21.058,21.201,20.988,21.193,22559
164,2010-07-26,21.321,21.43,21.321,21.43,58133
165,2010-07-27,21.482,21.533,21.482,21.49,5133
166,2010-07-28,21.371,21.422,21.295,21.346,15235
167,2010-07-29,21.482,21.482,21.167,21.304,147227
168,2010-07-30,21.024,21.312,21.024,21.295,197768
169,2010-08-02,21.686,21.778,21.686,21.769,47896
170,2010-08-03,21.669,21.743,21.669,21.71,74532
171,2010-08-04,21.703,21.813,21.695,21.806,60461
172,2010-08-05,21.617,21.788,21.617,21.769,20581
173,2010-08-06,21.644,21.644,21.542,21.567,43116
174,2010-08-09,21.678,21.813,21.678,21.778,30677
175,2010-08-10,21.576,21.735,21.524,21.719,24713
176,2010-08-11,21.371,21.371,21.074,21.1,20301
177,2010-08-12,20.787,21.032,20.787,21.032,22179
178,2010-08-13,20.988,21.032,20.972,21.024,13707
179,2010-08-16,20.949,20.949,20.88,20.898,12737
180,2010-08-17,21.074,21.201,21.049,21.152,29760
181,2010-08-18,21.135,21.244,21.135,21.236,11825
182,2010-08-19,21.058,21.092,20.745,20.854,27507
183,2010-08-20,20.76,20.76,20.608,20.693,14763
184,2010-08-23,20.863,20.906,20.693,20.745,71334
185,2010-08-24,20.362,20.514,20.362,20.422,62428
186,2010-08-25,20.167,20.454,20.167,20.454,57917
187,2010-08-26,20.389,20.389,20.267,20.338,43405
188,2010-08-27,20.559,20.559,20.55,20.55,32584
189,2010-08-30,20.576,20.576,20.389,20.389,7661
190,2010-08-31,20.369,20.411,20.192,20.378,39543
191,2010-09-01,21.822,21.822,20.684,20.906,54658
192,2010-09-02,21.007,21.109,20.972,21.1,25131
193,2010-09-03,21.304,21.364,21.262,21.321,9837
194,2010-09-07,21.175,21.175,21.109,21.142,11984
195,2010-09-08,21.142,21.346,21.142,21.304,15090
196,2010-09-09,21.533,21.548,21.397,21.498,29710
197,2010-09-10,21.49,21.576,21.49,21.557,21033
198,2010-09-13,21.797,21.797,21.71,21.778,17211
199,2010-09-14,21.686,21.856,21.686,21.778,49823
200,2010-09-15,21.66,21.813,21.66,21.813,14801
201,2010-09-16,21.719,21.769,21.703,21.769,25634
202,2010-09-17,21.864,21.896,21.743,21.75,35527
