,Date,Open,High,Low,Close,Volume
0,2013-08-06,23.052,23.052,22.547,22.601,12722
1,2013-08-07,22.547,22.547,22.43,22.466,9924
2,2013-08-08,22.484,22.619,22.448,22.583,65291
3,2013-08-09,22.736,22.736,22.502,22.547,8520
4,2013-08-12,22.547,22.718,22.529,22.547,5508
5,2013-08-13,22.799,22.799,22.394,22.556,2277
6,2013-08-14,22.619,22.619,22.484,22.484,6669
7,2013-08-15,22.502,22.502,22.097,22.123,6319
8,2013-08-16,21.979,21.996,21.862,21.862,8280
9,2013-08-19,21.826,21.826,21.7,21.7,1997
10,2013-08-20,21.88,22.024,21.87,22.015,4324
11,2013-08-21,21.87,21.88,21.78,21.87,2729
12,2013-08-22,21.988,23.449,21.87,21.97,1331
13,2013-08-23,22.078,22.078,21.996,22.015,1053
14,2013-08-26,22.25,22.25,22.15,22.15,1090
15,2013-08-27,22.006,22.006,21.843,21.843,244
16,2013-08-29,21.735,21.843,21.735,21.798,1290
17,2013-08-30,21.42,21.42,21.42,21.42,111
18,2013-09-03,21.547,21.635,21.547,21.564,444
19,2013-09-04,21.582,21.582,21.582,21.582,2217
20,2013-09-05,21.671,21.725,21.671,21.725,444
21,2013-09-06,21.862,21.862,21.78,21.843,3985
22,2013-09-09,21.87,21.87,21.826,21.87,679
23,2013-09-10,21.96,21.979,21.951,21.979,3326
24,2013-09-11,22.006,22.006,22.006,22.006,111
25,2013-09-16,21.888,22.141,21.888,22.078,665
26,2013-09-17,22.097,22.186,22.097,22.186,1792
27,2013-09-18,22.231,22.367,22.06,22.367,5654
28,2013-09-19,22.339,22.339,22.339,22.339,111
29,2013-09-20,22.069,22.069,22.06,22.06,222
30,2013-09-23,22.015,22.015,22.015,22.015,111
31,2013-09-24,21.916,21.916,21.898,21.898,776
32,2013-09-25,21.951,22.114,21.951,22.087,3659
33,2013-09-26,22.195,22.195,22.195,22.195,222
34,2013-10-01,22.511,22.521,22.511,22.521,332
35,2013-10-02,22.638,22.638,22.638,22.638,1441
36,2013-10-03,22.899,22.899,22.313,22.313,1553
37,2013-10-07,22.304,22.304,22.276,22.276,3326
38,2013-10-08,22.015,22.06,22.015,22.06,1109
39,2013-10-09,21.916,21.916,21.916,21.916,155
40,2013-10-10,22.258,22.412,22.258,22.412,687
41,2013-10-11,22.521,22.556,22.367,22.556,3132
42,2013-10-15,22.521,22.521,22.511,22.521,2217
43,2013-10-16,22.782,22.782,22.782,22.782,167
44,2013-10-17,22.899,22.998,22.854,22.998,1996
45,2013-10-21,23.25,23.25,23.25,23.25,642
46,2013-10-22,23.503,23.503,23.377,23.377,555
47,2013-10-23,23.358,23.358,23.358,23.358,1074
48,2013-10-24,23.449,23.449,23.449,23.449,4434
49,2013-10-28,23.26,23.26,23.214,23.241,555
50,2013-11-05,22.998,23.088,22.998,23.042,2256
51,2013-11-08,22.899,22.899,22.899,22.899,111
52,2013-11-12,23.078,23.078,23.07,23.07,557
53,2013-11-13,23.349,23.349,23.349,23.349,111
54,2013-11-18,23.773,23.773,23.62,23.62,555
55,2013-11-20,23.224,23.224,23.224,23.224,111
56,2013-11-22,23.665,23.665,23.647,23.647,405
57,2013-11-26,24.089,24.089,24.089,24.089,111
58,2013-12-03,23.746,23.883,23.746,23.837,488
59,2013-12-04,23.711,23.72,23.503,23.503,1106
60,2013-12-12,23.538,23.538,23.268,23.268,832
61,2013-12-16,23.584,23.584,23.584,23.584,2329
62,2013-12-17,23.538,23.538,23.512,23.512,7763
63,2013-12-18,23.72,23.72,23.711,23.72,293
64,2013-12-19,23.692,23.692,23.692,23.692,477
65,2013-12-20,23.899,24.134,23.899,24.134,998
66,2013-12-23,24.197,24.378,24.197,24.378,4601
67,2013-12-24,24.548,24.548,24.477,24.504,2549
68,2013-12-26,24.531,24.531,24.531,24.531,1143
69,2013-12-27,24.452,24.452,24.397,24.397,330
70,2013-12-30,24.534,24.534,24.416,24.416,2875
71,2013-12-31,24.752,24.752,24.752,24.752,1144
72,2014-01-02,24.679,24.679,24.551,24.588,30916
73,2014-01-03,24.888,24.897,24.688,24.688,48203
74,2014-01-06,25.088,25.088,24.515,24.543,133063
75,2014-01-07,24.752,24.869,24.688,24.688,41109
76,2014-01-08,24.58,24.679,24.515,24.588,20360
77,2014-01-09,23.543,24.971,23.534,24.971,62363
78,2014-01-10,24.897,24.897,24.651,24.824,62694
79,2014-01-13,24.861,24.861,24.333,24.442,45831
80,2014-01-14,24.76,24.779,24.551,24.688,141741
81,2014-01-15,24.779,24.824,24.679,24.788,120864
82,2014-01-16,24.551,24.742,24.497,24.734,169536
83,2014-01-17,24.679,24.824,24.416,24.416,112585
84,2014-01-21,24.705,24.705,24.515,24.624,139767
85,2014-01-22,24.616,24.651,24.515,24.606,92904
86,2014-01-23,24.479,24.543,24.343,24.352,46993
87,2014-01-24,24.015,24.015,23.961,23.961,4012
88,2014-01-27,23.989,24.189,23.726,24.034,28623
89,2014-01-28,24.08,24.179,23.998,24.025,29483
90,2014-01-29,23.78,23.961,23.716,23.716,2889
91,2014-01-30,23.835,23.889,23.752,23.788,18930
92,2014-01-31,23.661,23.77,23.543,23.77,16398
93,2014-02-03,23.689,23.689,22.915,22.97,18159
94,2014-02-04,23.098,23.126,22.98,22.98,30275
95,2014-02-05,22.853,23.043,22.398,22.816,12755
96,2014-02-06,23.161,23.243,23.025,23.243,1541
97,2014-02-07,23.197,23.289,23.134,23.197,28504
98,2014-02-10,23.434,23.434,23.079,23.116,42590
99,2014-02-11,23.053,23.453,23.053,23.27,85369
100,2014-02-12,23.552,23.579,23.325,23.434,27293
101,2014-02-13,23.543,23.607,23.434,23.515,49490
102,2014-02-14,23.733,23.816,23.697,23.697,17004
103,2014-02-19,23.979,23.979,23.852,23.852,7373
104,2014-02-20,23.798,23.798,23.788,23.798,555
105,2014-02-21,24.061,24.061,24.061,24.061,114
106,2014-02-24,24.288,24.297,24.271,24.271,710
107,2014-02-25,24.288,24.288,24.07,24.07,3021
108,2014-02-26,24.442,24.588,24.442,24.588,771
109,2014-02-27,24.597,24.597,24.551,24.551,660
110,2014-02-28,24.715,24.715,24.715,24.715,220
111,2014-03-03,24.525,24.525,24.525,24.525,550
112,2014-03-06,24.897,24.897,24.824,24.861,1011
113,2014-03-07,24.807,24.807,24.752,24.77,545
114,2014-03-10,24.624,24.624,24.606,24.606,528
115,2014-03-11,24.616,24.616,24.425,24.425,1981
116,2014-03-17,24.425,24.425,24.333,24.352,21808
117,2014-03-18,24.734,24.788,24.669,24.788,4143
118,2014-03-19,24.734,24.742,24.734,24.742,2018
119,2014-03-20,24.588,24.588,24.525,24.543,1266
120,2014-03-24,24.507,24.507,24.507,24.507,519
121,2014-03-31,24.379,24.488,24.379,24.379,35097
122,2014-04-01,24.643,24.669,24.525,24.661,87737
123,2014-04-02,24.77,24.77,24.705,24.705,11574
124,2014-04-03,24.807,24.807,24.77,24.797,771
125,2014-04-08,23.97,23.97,23.97,23.97,110
126,2014-04-09,24.333,24.333,24.333,24.333,228
127,2014-04-16,23.924,23.924,23.897,23.897,346
128,2014-04-17,23.979,23.979,23.979,23.979,1145
129,2014-04-21,23.979,23.979,23.979,23.979,269
130,2014-04-22,24.207,24.207,24.153,24.189,5063
131,2014-04-23,24.015,24.08,23.835,23.835,79570
132,2014-04-24,23.897,24.006,23.835,23.835,31390
133,2014-04-25,23.979,24.052,23.943,24.043,12658
134,2014-04-29,24.052,24.052,24.015,24.025,1497
135,2014-05-01,24.278,24.278,24.271,24.271,771
136,2014-05-05,24.288,24.288,24.252,24.252,1729
137,2014-05-06,24.216,24.234,24.216,24.234,248
138,2014-05-08,23.707,23.716,23.624,23.624,460
139,2014-05-09,23.634,23.634,23.543,23.543,991
140,2014-05-12,24.161,24.189,24.08,24.08,58889
141,2014-05-13,24.179,24.297,24.08,24.08,71761
142,2014-05-14,23.952,23.979,23.889,23.889,1620
143,2014-05-15,23.361,23.38,23.361,23.38,220
144,2014-05-16,23.425,23.425,23.425,23.425,550
145,2014-05-19,23.78,23.78,23.661,23.689,15415
146,2014-05-20,23.507,23.57,23.444,23.461,12222
