,Date,Open,High,Low,Close,Volume
0,2005-06-23,13.824,13.824,13.67,13.67,26744
1,2005-06-24,13.66,13.66,13.512,13.531,11090
2,2005-06-27,13.512,13.54,13.503,13.531,2936
3,2005-06-28,13.531,13.632,13.531,13.622,6087
4,2005-06-29,13.622,13.622,13.575,13.585,6957
5,2005-06-30,13.558,13.632,13.558,13.622,7395
6,2005-07-01,13.622,13.622,13.566,13.575,1631
7,2005-07-05,13.54,13.66,13.54,13.66,15763
8,2005-07-06,13.66,13.66,13.66,13.66,1086
9,2005-07-07,13.447,13.603,13.447,13.603,977
10,2005-07-08,13.695,13.787,13.695,13.787,1412
11,2005-07-11,13.796,13.863,13.796,13.853,1957
12,2005-07-12,13.871,13.871,13.853,13.853,654
13,2005-07-13,13.881,13.899,13.881,13.899,1086
14,2005-07-14,13.935,13.952,13.843,13.843,42836
15,2005-07-15,13.881,13.971,13.881,13.971,2825
16,2005-07-18,13.962,13.962,13.907,13.926,7285
17,2005-07-19,13.971,14.018,13.971,13.989,42399
18,2005-07-20,13.989,13.989,13.907,13.989,5218
19,2005-07-21,13.944,13.971,13.871,13.891,7068
20,2005-07-22,13.871,13.899,13.843,13.899,7068
21,2005-07-25,13.926,13.926,13.871,13.871,220
22,2005-07-26,13.871,13.871,13.824,13.843,1957
23,2005-07-27,13.824,13.824,13.778,13.814,5542
24,2005-07-28,13.824,13.863,13.824,13.863,654
25,2005-07-29,13.935,13.935,13.935,13.935,1086
26,2005-08-01,13.952,13.952,13.907,13.907,6305
27,2005-08-02,13.899,13.926,13.899,13.926,2177
28,2005-08-03,13.853,13.881,13.853,13.881,1307
29,2005-08-04,13.76,13.76,13.704,13.723,2177
30,2005-08-05,13.66,13.66,13.622,13.622,433
31,2005-08-08,13.531,13.531,13.464,13.464,1845
32,2005-08-09,13.531,13.531,13.531,13.531,220
33,2005-08-10,13.613,13.613,13.493,13.54,1522
34,2005-08-11,13.549,13.549,13.503,13.503,1307
35,2005-08-12,13.43,13.43,13.42,13.42,763
36,2005-08-15,13.383,13.493,13.354,13.493,3263
37,2005-08-16,13.336,13.336,13.319,13.319,1412
38,2005-08-18,13.319,13.336,13.319,13.319,5654
39,2005-08-19,13.345,13.345,13.301,13.301,6305
40,2005-08-23,13.319,13.319,13.301,13.301,543
41,2005-08-24,13.244,13.244,13.244,13.244,763
42,2005-08-25,13.226,13.254,13.226,13.244,3043
43,2005-08-26,13.226,13.226,13.198,13.198,1086
44,2005-08-29,13.145,13.282,13.145,13.282,3806
45,2005-08-30,13.226,13.226,13.098,13.098,325
46,2005-08-31,13.216,13.216,13.216,13.216,105
47,2005-09-01,13.31,13.345,13.263,13.263,8478
