,Date,Open,High,Low,Close,Volume
0,2005-06-23,14.497,14.497,14.401,14.401,1662
1,2005-06-24,14.334,14.334,14.324,14.334,1145
2,2005-06-27,14.236,14.236,14.236,14.236,1145
3,2005-06-28,14.352,14.352,14.352,14.352,313
4,2005-06-29,14.352,14.372,14.352,14.372,1041
5,2005-06-30,14.391,14.391,14.314,14.314,5927
6,2005-07-05,14.255,14.343,14.255,14.334,22144
7,2005-07-06,14.304,14.304,14.304,14.304,313
8,2005-07-07,14.092,14.092,14.092,14.092,203
9,2005-07-08,14.139,14.314,14.12,14.314,22247
10,2005-07-11,14.334,14.372,14.334,14.372,832
11,2005-07-13,14.294,14.324,14.294,14.324,416
12,2005-07-14,14.352,14.352,14.352,14.352,1247
13,2005-07-15,14.324,14.324,14.294,14.294,937
14,2005-07-18,14.343,14.343,14.285,14.285,937
15,2005-07-19,14.285,14.343,14.285,14.334,3327
16,2005-07-20,14.285,14.41,14.255,14.41,9252
17,2005-07-21,14.391,14.391,14.236,14.245,5717
18,2005-07-22,14.352,14.42,14.324,14.42,2393
19,2005-07-25,14.381,14.381,14.324,14.324,1352
20,2005-07-26,14.381,14.381,14.381,14.381,313
21,2005-07-27,14.324,14.343,14.265,14.343,1145
22,2005-07-28,14.381,14.41,14.381,14.41,2185
23,2005-07-29,14.41,14.41,14.343,14.343,2804
24,2005-08-01,14.343,14.362,14.324,14.352,3846
25,2005-08-02,14.352,14.362,14.343,14.352,14551
26,2005-08-03,14.314,14.314,14.314,14.314,203
27,2005-08-04,14.334,14.362,14.304,14.334,1453
28,2005-08-05,14.265,14.265,14.265,14.265,1041
29,2005-08-08,14.227,14.227,14.227,14.227,203
30,2005-08-09,14.245,14.275,14.245,14.255,4364
31,2005-08-10,14.343,14.343,14.265,14.265,2288
32,2005-08-11,14.285,14.391,14.285,14.391,20480
33,2005-08-12,14.285,14.314,14.285,14.294,1453
34,2005-08-15,14.537,14.537,14.537,14.537,729
35,2005-08-16,14.41,14.42,14.381,14.381,14867
36,2005-08-17,14.372,14.42,14.352,14.401,31397
37,2005-08-18,14.334,14.381,14.334,14.343,15072
38,2005-08-19,14.343,14.381,14.343,14.372,2910
39,2005-08-22,14.334,14.334,14.324,14.324,1041
40,2005-08-23,14.391,14.391,14.304,14.352,22351
41,2005-08-24,14.381,14.381,14.334,14.334,416
42,2005-08-25,14.255,14.294,14.255,14.275,620
43,2005-08-26,14.236,14.245,14.187,14.227,6757
44,2005-08-29,14.139,14.285,14.139,14.285,6341
45,2005-08-31,14.227,14.227,14.227,14.227,416
46,2005-09-01,14.294,14.314,14.285,14.285,12789
47,2005-09-02,14.245,14.285,14.245,14.285,518
48,2005-09-06,14.352,14.401,14.352,14.401,10085
49,2005-09-07,14.401,14.45,14.352,14.45,13826
50,2005-09-08,14.43,14.43,14.372,14.372,5822
51,2005-09-09,14.401,14.45,14.372,14.45,4469
52,2005-09-12,14.44,14.527,14.401,14.527,3639
53,2005-09-13,14.372,14.381,14.372,14.381,1145
54,2005-09-14,14.334,14.352,14.334,14.343,1041
55,2005-09-15,14.236,14.236,14.187,14.187,5097
56,2005-09-16,14.255,14.255,14.255,14.255,620
57,2005-09-19,14.187,14.187,14.073,14.073,22038
58,2005-09-20,14.187,14.187,14.187,14.187,1041
59,2005-09-21,13.861,13.9,13.861,13.9,1247
60,2005-09-22,13.784,13.861,13.784,13.861,7797
61,2005-09-23,13.821,13.821,13.821,13.821,101
62,2005-09-26,13.9,13.92,13.841,13.87,2910
63,2005-09-27,13.821,13.9,13.813,13.861,3119
64,2005-09-28,13.831,13.841,13.794,13.794,18191
65,2005-09-29,13.784,13.89,13.727,13.89,2701
66,2005-09-30,13.87,13.977,13.87,13.958,3016
67,2005-10-03,13.968,13.986,13.948,13.958,7588
68,2005-10-04,13.977,13.986,13.851,13.851,74120
69,2005-10-05,13.804,13.804,13.659,13.659,7588
70,2005-10-06,13.649,13.688,13.591,13.591,63934
71,2005-10-07,13.63,13.64,13.63,13.64,2079
72,2005-10-10,13.659,13.659,13.591,13.611,3222
73,2005-10-11,13.64,13.649,13.437,13.437,2701
74,2005-10-12,13.247,13.257,13.199,13.228,1976
75,2005-10-13,13.257,13.257,13.228,13.237,2496
76,2005-10-14,13.257,13.344,13.247,13.344,6654
77,2005-10-17,13.334,13.334,13.277,13.324,1560
78,2005-10-18,13.267,13.267,13.142,13.142,1870
79,2005-10-19,13.142,13.287,13.142,13.287,2079
80,2005-10-20,13.267,13.267,13.073,13.073,1041
81,2005-10-21,13.181,13.218,13.181,13.19,1352
