,Date,Open,High,Low,Close,Volume
0,2017-05-26,21.23,21.23,20.83,20.83,1704
1,2017-06-07,20.495,20.495,20.495,20.495,100
2,2017-06-09,20.1751,20.1751,20.1751,20.1751,250
3,2017-06-20,20.305,20.305,20.24,20.3,300
4,2017-07-05,20.2405,20.2405,20.2405,20.2405,150
5,2017-07-11,20.23,20.23,20.0,20.01,2400
6,2017-07-12,19.95,19.96,19.8,19.84,2993
7,2017-07-14,19.6839,19.6839,19.6839,19.6839,100
8,2017-08-03,19.93,19.93,19.93,19.93,200
9,2017-08-14,20.0549,20.0549,20.0549,20.0549,475
10,2017-08-21,20.1104,20.1104,20.1104,20.1104,152
11,2017-09-06,19.73,19.7464,19.73,19.7464,475
12,2017-09-11,19.33,19.33,19.325,19.325,250
13,2017-09-13,19.4,19.4,19.31,19.31,7763
14,2017-09-18,19.02,19.02,19.0,19.0,300
15,2017-09-22,18.99,18.99,18.95,18.96,7297
16,2017-09-25,18.9361,18.9361,18.9361,18.9361,100
17,2017-10-25,18.31,18.31,18.31,18.31,100
18,2017-11-02,18.235,18.235,18.235,18.235,100
19,2017-11-03,18.23,18.3,18.23,18.3,600
