,Date,Open,High,Low,Close,Volume
0,2017-02-21,22.03,22.03,21.7,21.7,4220
1,2017-02-28,21.75,21.75,21.75,21.75,112
2,2017-03-01,21.75,21.75,21.71,21.71,385
3,2017-03-02,21.45,21.45,21.45,21.45,100
4,2017-03-03,21.36,21.36,21.36,21.36,100
5,2017-03-07,21.23,21.23,21.23,21.23,100
6,2017-03-08,21.18,21.18,21.18,21.18,100
7,2017-03-09,21.41,21.41,21.41,21.41,300
8,2017-03-16,21.18,21.18,21.18,21.18,100
9,2017-03-17,21.1,21.18,21.09,21.09,14560
10,2017-03-20,21.08,21.08,21.08,21.08,100
11,2017-03-21,21.01,21.01,21.01,21.01,100
12,2017-03-22,20.87,20.87,20.87,20.87,100
13,2017-03-24,20.93,21.2999,20.92,21.2999,4140
14,2017-03-27,20.87,20.95,20.87,20.95,2858
15,2017-03-29,21.17,21.17,21.17,21.17,16595
16,2017-04-17,21.17,21.17,21.12,21.12,250
17,2017-04-18,21.14,21.14,21.14,21.14,100
18,2017-04-19,21.26,21.26,21.26,21.26,100
19,2017-04-20,21.26,21.26,21.26,21.26,100
20,2017-04-21,21.21,21.21,21.21,21.21,101
21,2017-05-01,21.12,21.12,21.12,21.12,100
22,2017-05-02,21.2,21.2,21.2,21.2,100
23,2017-05-03,21.15,21.15,21.15,21.15,100
24,2017-05-05,21.03,21.03,21.03,21.03,100
25,2017-05-08,21.09,21.09,21.09,21.09,100
26,2017-05-17,20.78,20.78,20.78,20.78,100
27,2017-05-18,20.7,20.7,20.7,20.7,100
28,2017-05-19,20.7,20.7,20.7,20.7,100
29,2017-05-22,20.77,20.77,20.77,20.77,100
30,2017-06-02,20.48,20.48,20.48,20.48,100
31,2017-06-05,20.46,20.46,20.46,20.46,100
32,2017-06-06,20.39,20.39,20.39,20.39,101
33,2017-06-07,20.44,20.44,20.44,20.44,100
34,2017-06-21,20.25,20.25,20.25,20.25,100
35,2017-06-23,20.32,20.32,20.32,20.32,100
36,2017-06-26,20.43,20.43,20.43,20.43,100
37,2017-06-27,20.43,20.43,20.43,20.43,100
38,2017-07-07,20.38,20.38,20.38,20.38,111
39,2017-07-10,20.41,20.41,20.41,20.41,100
40,2017-07-12,20.5,20.5,20.5,20.5,100
41,2017-07-14,20.42,20.42,20.42,20.42,100
42,2017-07-21,20.44,20.44,20.44,20.44,100
43,2017-07-24,20.43,20.43,20.43,20.43,100
44,2017-07-26,20.5508,20.5508,20.5508,20.5508,390
45,2017-07-31,20.23,20.23,20.23,20.23,100
46,2017-08-07,20.07,20.07,20.07,20.07,100
47,2017-08-08,20.01,20.01,20.01,20.01,100
48,2017-08-14,19.93,19.93,19.93,19.93,100
49,2017-08-21,19.72,19.72,19.72,19.72,100
50,2017-08-22,19.7,19.7,19.7,19.7,100
51,2017-08-29,19.8,19.8,19.8,19.8,100
52,2017-09-06,19.94,19.94,19.94,19.94,100
53,2017-09-07,19.82,19.82,19.82,19.82,100
54,2017-09-14,19.87,19.87,19.87,19.87,100
55,2017-09-18,20.1804,20.1804,20.1804,20.1804,120
56,2017-09-19,20.1091,20.1091,20.1091,20.1091,110
57,2017-09-20,19.86,19.86,19.86,19.86,100
58,2017-09-28,20.2,20.2,20.2,20.2,100
59,2017-09-29,20.5292,20.55,20.5292,20.55,200
60,2017-10-04,20.24,20.24,20.24,20.24,100
61,2017-10-05,20.19,20.275,20.19,20.275,240
62,2017-10-10,20.2639,20.2639,20.2639,20.2639,100
63,2017-10-24,19.92,19.92,19.92,19.92,100
64,2017-10-25,19.84,19.84,19.84,19.84,100
65,2017-10-26,19.77,19.77,19.77,19.77,106
66,2017-11-07,19.71,19.71,19.71,19.71,100
67,2017-11-08,19.57,19.57,19.57,19.57,100
68,2017-11-09,19.63,19.63,19.63,19.63,193
