,Date,Open,High,Low,Close,Volume
0,2009-08-21,46.574,46.574,46.539,46.539,30161
1,2009-08-24,46.531,46.574,46.502,46.574,11977
2,2009-08-25,46.531,46.574,46.466,46.521,63318
3,2009-08-26,46.603,47.119,46.511,46.548,40124
4,2009-08-27,46.548,46.603,46.511,46.539,28366
5,2009-08-28,46.521,46.613,46.511,46.584,31613
6,2009-08-31,46.539,46.632,46.447,46.502,35854
7,2009-09-01,46.531,46.603,46.474,46.584,37167
8,2009-09-02,46.632,46.642,46.565,46.622,21211
9,2009-09-03,46.548,46.69,46.531,46.69,22697
10,2009-09-04,46.745,46.793,46.661,46.716,28228
11,2009-09-08,46.875,46.912,46.803,46.839,49605
12,2009-09-09,46.83,46.912,46.803,46.902,88084
13,2009-09-10,46.949,46.978,46.875,46.949,49058
14,2009-09-11,46.969,47.101,46.94,46.997,63845
15,2009-09-14,46.978,47.036,46.94,46.959,45660
16,2009-09-15,46.949,46.997,46.94,46.988,34433
17,2009-09-16,47.046,47.046,46.912,47.007,91873
18,2009-09-17,47.036,47.036,46.857,46.988,68596
19,2009-09-18,46.997,46.997,46.848,46.884,44872
20,2009-09-21,46.893,46.912,46.784,46.848,41612
21,2009-09-22,46.884,46.94,46.875,46.922,69712
22,2009-09-23,46.848,46.988,46.81,46.969,50553
23,2009-09-24,46.988,46.988,46.912,46.949,37548
24,2009-09-25,46.94,46.959,46.848,46.949,95036
25,2009-09-28,46.949,46.988,46.865,46.988,51577
26,2009-09-29,46.893,46.959,46.884,46.931,62083
27,2009-09-30,46.949,47.055,46.912,47.036,35039
28,2009-10-01,47.091,47.147,46.978,47.147,50214
29,2009-10-02,47.101,47.129,47.055,47.082,9855
30,2009-10-05,47.147,47.147,47.046,47.139,28373
31,2009-10-06,47.046,47.165,47.046,47.147,20433
32,2009-10-07,47.155,47.23,47.139,47.23,22003
33,2009-10-08,47.256,47.256,47.193,47.246,75890
34,2009-10-09,47.155,47.175,47.101,47.175,43864
35,2009-10-12,47.349,47.349,47.165,47.238,25535
36,2009-10-13,47.283,47.311,47.22,47.311,46421
37,2009-10-14,47.283,47.302,47.238,47.265,48620
38,2009-10-15,47.283,47.33,47.23,47.311,107643
39,2009-10-16,47.33,47.368,47.265,47.368,32905
40,2009-10-19,47.368,47.473,47.359,47.463,41451
41,2009-10-20,47.575,47.575,47.426,47.473,39355
42,2009-10-21,47.454,47.454,47.359,47.397,40296
43,2009-10-22,47.359,47.359,47.311,47.339,31200
44,2009-10-23,47.32,47.359,47.32,47.339,19236
45,2009-10-26,47.33,47.407,47.256,47.339,32483
46,2009-10-27,47.407,47.547,47.397,47.538,48561
47,2009-10-28,47.547,47.575,47.463,47.538,74563
48,2009-10-29,47.509,47.547,47.435,47.547,34976
49,2009-10-30,47.538,47.584,47.509,47.556,48631
50,2009-11-02,47.584,47.61,47.454,47.566,137056
51,2009-11-03,47.501,47.591,47.501,47.556,48732
52,2009-11-04,47.547,47.61,47.538,47.601,22961
53,2009-11-05,47.648,47.685,47.638,47.676,42250
54,2009-11-06,47.685,47.732,47.61,47.722,71935
55,2009-11-09,47.826,47.853,47.751,47.853,64300
56,2009-11-10,47.882,47.882,47.78,47.844,50659
57,2009-11-11,47.901,47.975,47.863,47.891,37025
58,2009-11-12,47.891,47.891,47.742,47.817,64454
59,2009-11-13,47.789,47.817,47.722,47.789,83677
60,2009-11-16,47.826,47.948,47.76,47.938,33365
61,2009-11-17,47.873,47.966,47.863,47.966,95319
62,2009-11-18,48.041,48.049,48.004,48.021,41398
63,2009-11-19,48.049,48.068,47.966,48.049,45622
64,2009-11-20,48.187,48.187,47.948,48.031,80005
65,2009-11-23,48.021,48.078,47.975,48.078,28061
66,2009-11-24,48.096,48.178,48.059,48.123,86971
67,2009-11-25,48.113,48.187,48.106,48.187,35355
68,2009-11-27,48.206,48.206,48.078,48.197,13952
69,2009-11-30,48.178,48.197,48.041,48.178,49354
70,2009-12-01,48.152,48.197,48.123,48.178,33670
71,2009-12-02,48.187,48.226,48.142,48.16,30989
72,2009-12-03,48.113,48.123,48.088,48.113,52455
73,2009-12-04,48.014,48.014,47.92,47.938,43530
74,2009-12-07,47.92,47.995,47.91,47.975,15456
75,2009-12-08,48.041,48.049,47.975,47.995,67653
76,2009-12-09,47.948,47.995,47.863,47.891,42119
77,2009-12-10,47.863,47.891,47.78,47.891,32706
78,2009-12-11,47.863,47.873,47.817,47.873,34086
79,2009-12-14,47.91,47.91,47.826,47.891,22868
80,2009-12-15,47.91,47.948,47.882,47.948,35372
81,2009-12-16,47.966,49.185,47.929,48.004,58877
82,2009-12-17,47.975,48.096,47.975,48.088,37767
83,2009-12-18,48.059,48.096,48.014,48.041,59151
84,2009-12-21,48.004,48.004,47.92,47.975,117216
85,2009-12-22,47.891,47.948,47.891,47.938,38912
86,2009-12-23,47.901,47.966,47.901,47.938,53320
87,2009-12-24,47.891,47.901,47.834,47.882,33641
88,2009-12-28,47.873,47.891,47.826,47.863,71824
89,2009-12-29,47.834,47.882,47.713,47.844,44379
90,2009-12-30,47.853,47.891,47.826,47.873,90356
91,2009-12-31,47.789,48.525,47.693,47.853,37741
92,2010-01-04,47.873,47.891,47.789,47.891,62132
93,2010-01-05,47.966,48.004,47.92,47.985,66425
94,2010-01-06,47.975,48.021,47.929,48.021,70902
95,2010-01-07,48.004,48.049,47.985,48.031,49727
96,2010-01-08,48.113,48.113,48.031,48.078,68516
97,2010-01-11,48.113,48.123,48.068,48.113,48302
98,2010-01-12,48.113,48.178,48.113,48.16,53501
99,2010-01-13,48.123,48.123,48.049,48.059,57333
100,2010-01-14,48.133,48.16,48.088,48.142,113010
101,2010-01-15,48.206,48.254,48.178,48.254,36983
102,2010-01-19,48.254,48.292,48.178,48.283,71020
103,2010-01-20,48.254,48.33,48.254,48.292,100661
104,2010-01-21,48.254,48.339,48.254,48.301,59286
105,2010-01-22,48.254,48.264,48.178,48.178,112745
106,2010-01-25,48.235,48.301,48.206,48.264,71494
107,2010-01-26,48.301,48.311,48.254,48.311,85212
108,2010-01-27,48.33,48.339,48.187,48.206,101423
109,2010-01-28,48.187,48.235,48.169,48.235,73337
110,2010-01-29,48.169,48.235,48.152,48.235,84485
111,2010-02-01,48.216,48.283,48.16,48.273,80056
112,2010-02-02,48.283,48.348,48.264,48.348,56058
113,2010-02-03,48.292,48.415,48.254,48.311,112501
