,Date,Open,High,Low,Close,Volume
0,2012-11-01,50.26,50.276,50.26,50.276,423
1,2012-11-02,49.806,49.806,49.806,49.806,121
2,2012-11-07,49.684,49.684,49.121,49.121,546
3,2012-11-12,48.603,48.603,48.603,48.603,121
4,2012-11-15,47.705,47.705,47.604,47.604,958
5,2012-11-21,48.711,48.711,48.711,48.711,241
6,2012-11-23,49.047,49.047,49.047,49.047,241
7,2012-12-04,49.477,49.477,49.477,49.477,1819
8,2012-12-11,50.63,50.63,50.63,50.63,121
9,2012-12-31,50.399,50.399,50.399,50.399,121
10,2013-01-15,52.165,52.165,52.165,52.165,423
11,2013-01-18,52.381,52.381,52.381,52.381,1369
12,2013-01-30,53.359,53.359,53.359,53.359,246
13,2013-02-08,54.013,54.013,54.013,54.013,121
14,2013-02-22,53.83,53.83,53.83,53.83,121
15,2013-03-08,55.383,55.39,55.383,55.39,487
16,2013-03-19,55.39,55.39,55.39,55.39,121
17,2013-03-27,55.813,55.813,55.813,55.813,121
18,2013-04-05,56.253,56.253,55.39,55.458,737
19,2013-04-08,55.599,55.881,55.589,55.865,4683
20,2013-05-03,58.09,58.09,58.09,58.09,121
21,2013-05-08,58.975,58.975,58.636,58.784,362
22,2013-05-23,59.727,59.745,59.662,59.745,845
23,2013-05-24,59.215,59.215,59.215,59.215,121
24,2013-05-30,60.034,60.034,60.034,60.034,121
25,2013-05-31,60.069,60.069,60.069,60.069,121
26,2013-06-04,59.625,59.625,59.434,59.434,412
27,2013-06-05,58.501,58.501,58.501,58.501,121
28,2013-06-07,59.291,59.291,59.291,59.291,121
29,2013-06-10,59.624,59.624,59.624,59.624,191
30,2013-06-14,59.241,59.241,59.241,59.241,121
31,2013-06-24,58.283,58.283,56.98,56.98,961
32,2013-06-26,58.092,58.092,58.092,58.092,238
33,2013-06-28,58.582,58.582,58.582,58.582,121
34,2013-07-01,58.757,58.861,58.757,58.861,722
35,2013-07-02,59.05,59.05,59.05,59.05,482
36,2013-07-05,59.149,59.149,59.149,59.149,121
37,2013-07-09,60.412,60.412,60.412,60.412,172
