,Date,Open,High,Low,Close,Volume
0,2016-11-02,24.696,24.696,24.616,24.656,18819
1,2016-11-03,24.646,24.646,24.486,24.486,19092
2,2016-11-04,24.546,24.546,24.506,24.516,23617
3,2016-11-07,24.846,24.966,24.846,24.946,62369
4,2016-11-08,26.962,26.962,24.966,25.155,20349
5,2016-11-09,25.075,25.385,25.075,25.385,18587
6,2016-11-10,25.544,25.544,25.435,25.505,19048
7,2016-11-11,25.495,25.654,25.495,25.654,18422
8,2016-11-14,25.874,25.894,25.79,25.894,20131
9,2016-11-15,25.914,26.074,25.914,26.074,20459
10,2016-11-16,26.014,26.034,25.964,25.964,18385
11,2016-11-17,26.084,26.183,26.064,26.183,12304
12,2016-11-18,26.233,26.233,26.173,26.193,12513
13,2016-11-21,26.263,26.313,26.238,26.293,14390
14,2016-11-22,26.513,26.543,26.473,26.543,13103
15,2016-11-23,26.543,26.583,26.511,26.543,15248
16,2016-11-25,26.702,26.702,26.702,26.702,10020
17,2016-11-28,26.643,26.643,26.543,26.573,13499
18,2016-11-29,26.583,26.682,26.571,26.653,12857
19,2016-11-30,27.98,27.98,26.453,26.453,9865
20,2016-12-01,26.513,26.53,26.433,26.461,8505
21,2016-12-02,26.603,26.603,26.483,26.513,8645
22,2016-12-05,26.633,26.643,26.573,26.633,8726
23,2016-12-06,26.643,26.722,26.609,26.712,9389
24,2016-12-07,26.812,27.212,26.8,27.192,10854
25,2016-12-08,27.551,27.551,27.192,27.311,7293
26,2016-12-09,27.341,27.371,27.331,27.371,6446
27,2016-12-12,27.341,27.381,27.25,27.311,9830
28,2016-12-13,27.501,27.501,27.331,27.461,8866
29,2016-12-14,27.381,27.451,27.192,27.212,10686
30,2016-12-15,27.401,27.418,27.321,27.321,5545
31,2016-12-16,27.381,27.381,27.261,27.261,5725
32,2016-12-19,27.331,27.381,27.293,27.381,9190
33,2016-12-20,27.431,27.521,27.431,27.491,16730
34,2016-12-21,27.541,27.541,27.451,27.456,7208
35,2016-12-22,27.351,27.371,27.251,27.261,6962
36,2016-12-23,27.301,27.301,27.271,27.271,4127
37,2016-12-27,27.38,27.421,27.351,27.391,11054
38,2016-12-28,27.35,27.35,27.15,27.15,4704
39,2016-12-29,27.2,27.2,27.09,27.15,3751
40,2016-12-30,27.13,27.13,26.97,26.97,4130
41,2017-01-03,27.1598,27.1598,26.973,27.11,6680
42,2017-01-04,27.21,27.39,27.21,27.39,5736
43,2017-01-05,27.44,27.44,27.14,27.25,9220
44,2017-01-06,27.2075,27.29,27.1499,27.22,4853
45,2017-01-09,27.1,27.14,27.1,27.1,5350
46,2017-01-10,27.1307,27.28,27.1307,27.21,5750
47,2017-01-11,27.17,27.26,27.1275,27.26,5639
48,2017-01-12,27.1456,27.21,27.0499,27.21,4050
49,2017-01-13,27.28,27.28,27.21,27.25,4815
50,2017-01-17,27.2699,27.27,27.1,27.11,5327
51,2017-01-18,27.1125,27.13,27.09,27.13,4550
52,2017-01-19,27.13,27.14,27.05,27.05,5209
53,2017-01-20,27.15,27.16,27.07,27.12,10900
54,2017-01-23,27.06,27.06,26.96,27.03,10800
55,2017-01-24,27.08,27.22,27.0625,27.22,7733
56,2017-01-25,27.25,27.36,27.23,27.36,4950
57,2017-01-26,27.48,27.48,27.35,27.35,4550
58,2017-01-27,27.29,27.29,27.22,27.23,22045
59,2017-01-30,27.07,27.08,26.97,27.08,5112
60,2017-01-31,26.99,27.14,26.95,27.14,4105
61,2017-02-01,27.09,27.09,27.0227,27.0227,2518
62,2017-02-02,27.0457,27.05,27.02,27.02,2250
63,2017-02-03,27.2099,27.2099,27.2,27.2,3450
64,2017-02-06,27.17,27.17,27.0699,27.07,4250
65,2017-02-07,27.13,27.13,27.0274,27.06,5455
66,2017-02-08,27.08,27.22,27.08,27.22,4226
67,2017-02-09,27.37,27.52,27.3447,27.4788,5945
68,2017-02-10,27.59,27.67,27.5899,27.64,4000
69,2017-02-13,27.72,27.77,27.6899,27.77,4289
70,2017-02-14,27.79,27.83,27.7,27.83,4050
71,2017-02-15,27.84,27.9725,27.84,27.9391,6906
72,2017-02-16,27.92,27.92,27.85,27.85,6293
73,2017-02-17,27.83,27.95,27.83,27.95,2750
74,2017-02-21,28.0088,28.12,28.0088,28.12,2500
75,2017-02-22,28.03,28.07,28.01,28.07,3761
76,2017-02-23,28.04,28.0525,28.01,28.01,2865
77,2017-02-24,27.95,28.09,27.93,28.06,5577
78,2017-02-27,28.11,28.16,28.11,28.16,1762
79,2017-02-28,28.06,28.06,27.9572,28.0,4528
80,2017-03-01,28.3599,28.36,28.3,28.3,2280
81,2017-03-02,28.2597,28.26,28.1599,28.1599,1806
82,2017-03-03,28.07,28.15,28.04,28.12,2900
83,2017-03-06,28.09,28.09,27.891,27.96,1527
84,2017-03-07,27.92,27.92,27.83,27.83,2001
85,2017-03-08,27.84,27.87,27.784,27.784,9716
86,2017-03-09,27.84,27.8799,27.7834,27.7834,2600
87,2017-03-10,27.925,27.925,27.8539,27.8697,4620
88,2017-03-13,27.9399,27.9399,27.87,27.91,3968
89,2017-03-14,27.7484,27.803,27.7484,27.803,200
90,2017-03-15,27.91,28.07,27.91,28.07,3759
91,2017-03-16,28.07,28.1,28.0575,28.0575,2916
92,2017-03-17,28.1079,28.1199,28.1079,28.1199,1100
93,2017-03-20,28.007,28.007,27.9599,27.9599,200
94,2017-03-21,27.906,27.906,27.61,27.61,1205
95,2017-03-22,27.62,27.65,27.62,27.65,1100
96,2017-03-23,27.65,27.7999,27.61,27.61,2364
97,2017-03-24,27.7,27.7,27.61,27.61,2569
98,2017-03-27,27.49,27.59,27.462,27.57,2839
99,2017-03-28,27.56,27.85,27.56,27.85,2355
100,2017-03-29,27.89,27.92,27.81,27.92,3501
101,2017-03-30,27.92,27.992,27.92,27.992,4498
102,2017-03-31,28.02,28.04,28.02,28.04,200
103,2017-04-03,27.7201,27.7201,27.7201,27.7201,1045
104,2017-04-04,27.83,27.83,27.83,27.83,200
105,2017-04-05,28.0399,28.0399,27.76,27.76,651
106,2017-04-06,27.82,27.94,27.82,27.9099,1480
107,2017-04-07,27.8703,27.8703,27.8703,27.8703,123
108,2017-04-10,28.0088,28.0088,27.9276,27.9604,1473
109,2017-04-11,27.78,27.92,27.78,27.92,659
110,2017-04-12,27.94,27.9575,27.89,27.92,500
111,2017-04-13,27.89,27.89,27.83,27.83,1144
112,2017-04-17,27.8014,27.83,27.8014,27.83,280
113,2017-04-18,27.9799,27.9799,27.8099,27.9032,300
114,2017-04-19,27.94,27.94,27.94,27.94,137
115,2017-04-20,27.98,28.13,27.9799,28.13,1300
