,Date,Open,High,Low,Close,Volume
0,2005-02-25,2.21,2.22,2.19,2.21,11866
1,2005-02-28,2.27,2.29,2.24,2.27,8500
2,2005-03-01,2.23,2.23,2.18,2.23,15700
3,2005-03-02,2.11,2.18,2.11,2.11,5000
4,2005-03-04,2.1,2.19,2.1,2.1,10000
5,2005-03-07,2.24,2.28,2.23,2.24,13000
6,2005-03-08,2.26,2.31,2.21,2.26,5950
7,2005-03-09,2.32,2.32,2.32,2.32,1600
8,2005-03-10,2.24,2.33,2.24,2.24,22300
9,2005-03-11,2.25,2.25,2.25,2.25,1000
10,2005-03-14,2.14,2.14,2.04,2.14,5200
11,2005-03-16,2.17,2.36,2.15,2.17,27700
12,2005-03-17,2.15,2.15,2.15,2.15,3000
13,2005-03-18,2.02,2.02,2.02,2.02,5000
14,2005-03-21,2.04,2.04,1.95,2.04,4000
15,2005-03-22,1.98,2.01,1.98,1.98,4500
16,2005-03-23,1.87,1.96,1.85,1.87,11500
17,2005-03-24,1.85,1.97,1.85,1.85,8310
18,2005-03-28,1.83,1.83,1.81,1.83,7650
19,2005-03-29,2.0,2.0,1.82,2.0,11000
20,2005-03-30,1.9,1.92,1.9,1.9,8650
21,2005-03-31,1.9,1.9,1.9,1.9,2000
22,2005-04-01,1.9,1.91,1.81,1.9,6000
23,2005-04-04,1.94,1.94,1.93,1.94,15000
24,2005-04-05,1.98,1.99,1.93,1.98,18000
25,2005-04-06,2.0,2.03,1.99,2.0,14510
26,2005-04-07,1.99,2.06,1.99,1.99,3400
27,2005-04-08,1.95,1.95,1.95,1.95,400
28,2005-04-11,2.02,2.02,2.0,2.02,1900
29,2005-04-12,1.98,2.03,1.98,1.98,3700
30,2005-04-13,1.95,1.95,1.92,1.95,29075
31,2005-04-14,1.95,1.95,1.95,1.95,1000
32,2005-04-15,1.94,1.95,1.87,1.94,13600
33,2005-04-18,1.92,1.95,1.86,1.92,7100
34,2005-04-19,1.9,1.92,1.84,1.9,9350
35,2005-04-20,2.0,2.0,1.94,2.0,22400
36,2005-04-21,1.97,2.03,1.97,1.97,3400
37,2005-04-22,1.91,1.97,1.91,1.91,9500
38,2005-04-25,1.91,1.91,1.91,1.91,1000
39,2005-04-27,1.84,1.94,1.84,1.84,1050
40,2005-04-28,1.84,1.84,1.84,1.84,2000
41,2005-04-29,1.84,1.84,1.84,1.84,3500
42,2005-05-02,1.84,1.87,1.65,1.84,32800
43,2005-05-03,1.83,1.83,1.81,1.83,61100
44,2005-05-04,1.85,1.85,1.85,1.85,2000
45,2005-05-06,1.82,1.82,1.82,1.82,1000
46,2005-05-09,1.72,1.75,1.72,1.72,15900
47,2005-05-11,1.73,1.73,1.73,1.73,600
48,2005-05-12,1.71,1.71,1.68,1.71,1000
49,2005-05-13,1.61,1.61,1.61,1.61,1000
50,2005-05-16,1.53,1.58,1.5,1.53,16300
51,2005-05-17,1.58,1.6,1.54,1.58,8480
52,2005-05-18,1.68,1.68,1.68,1.68,190
53,2005-05-19,1.59,1.59,1.59,1.59,4000
54,2005-05-20,1.53,1.53,1.53,1.53,2500
55,2005-05-24,1.53,1.57,1.53,1.53,1900
56,2005-05-25,1.6,1.6,1.6,1.6,15000
57,2005-05-27,1.6,1.6,1.55,1.6,23950
58,2005-05-31,1.6,1.61,1.5,1.6,22500
59,2005-06-01,1.6,1.64,1.6,1.6,27000
60,2005-06-02,1.63,1.69,1.63,1.63,22700
61,2005-06-03,1.67,1.67,1.61,1.67,4200
62,2005-06-06,1.67,1.7,1.67,1.67,21000
63,2005-06-08,1.69,1.69,1.69,1.69,1000
64,2005-06-09,1.55,1.55,1.55,1.55,6000
65,2005-06-10,1.57,1.61,1.57,1.57,1025
66,2005-06-15,1.55,1.55,1.55,1.55,2000
67,2005-06-16,1.53,1.58,1.53,1.53,6000
68,2005-06-17,1.57,1.58,1.55,1.57,27100
69,2005-06-20,1.59,1.61,1.58,1.59,5000
70,2005-06-21,1.54,1.61,1.54,1.54,9000
71,2005-06-22,1.56,1.56,1.56,1.56,3400
72,2005-06-24,1.56,1.56,1.54,1.56,20800
73,2005-06-27,1.54,1.56,1.52,1.54,2480
74,2005-06-28,1.44,1.45,1.43,1.44,6000
75,2005-06-29,1.47,1.5,1.47,1.47,20000
76,2005-06-30,1.48,1.48,1.4,1.48,3155
77,2005-07-05,1.44,1.48,1.43,1.44,3964
78,2005-07-06,1.54,1.54,1.54,1.54,1500
79,2005-07-07,1.53,1.57,1.53,1.53,1700
80,2005-07-11,1.55,1.6,1.55,1.55,1500
81,2005-07-12,1.54,1.62,1.54,1.54,4015
82,2005-07-13,1.6,1.6,1.6,1.6,2000
83,2005-07-15,1.2,1.2,1.2,1.2,5200
84,2005-07-18,1.51,1.53,1.46,1.51,19590
85,2005-07-19,1.51,1.53,1.5,1.51,4330
86,2005-07-21,1.55,1.56,1.55,1.55,2400
87,2005-07-22,1.56,1.56,1.55,1.56,2700
88,2005-07-25,1.61,1.62,1.57,1.61,9500
89,2005-07-27,1.58,1.58,1.57,1.58,10000
90,2005-07-28,1.53,1.6,1.53,1.53,11000
91,2005-07-29,1.55,1.6,1.55,1.55,7110
92,2005-08-02,1.59,1.64,1.58,1.59,20700
93,2005-08-03,1.62,1.65,1.62,1.62,31700
94,2005-08-04,1.64,1.71,1.62,1.64,18900
95,2005-08-05,1.7,1.7,1.63,1.7,9200
96,2005-08-08,1.7,1.7,1.67,1.7,3960
97,2005-08-10,1.68,1.68,1.66,1.68,1600
98,2005-08-11,1.67,1.68,1.66,1.67,31500
99,2005-08-12,1.67,1.7,1.66,1.67,4640
100,2005-08-15,1.68,1.69,1.62,1.68,33000
101,2005-08-17,1.7,1.73,1.7,1.7,7400
102,2005-08-18,1.69,1.7,1.66,1.69,6500
103,2005-08-19,1.75,1.75,1.75,1.75,5000
104,2005-08-22,1.77,1.77,1.65,1.77,8000
105,2005-08-23,1.73,1.73,1.72,1.73,800
106,2005-08-24,1.66,1.73,1.66,1.66,2400
107,2005-08-25,1.67,1.67,1.64,1.67,30300
108,2005-08-26,1.63,1.65,1.58,1.63,11750
109,2005-08-29,1.65,1.66,1.63,1.65,6747
110,2005-08-30,1.56,1.56,1.56,1.56,100
111,2005-08-31,1.56,1.56,1.56,1.56,5900
112,2005-09-01,1.64,1.69,1.56,1.64,38000
113,2005-09-02,1.72,1.77,1.72,1.72,5500
114,2005-09-07,1.73,1.73,1.73,1.73,1000
115,2005-09-12,1.75,1.75,1.75,1.75,1000
116,2005-09-13,1.77,1.79,1.77,1.77,8000
117,2005-09-15,1.81,1.81,1.81,1.81,1000
118,2005-09-16,1.85,1.87,1.83,1.85,4000
