,Date,Open,High,Low,Close,Volume
0,2010-08-23,20.878,20.878,20.314,20.648,13988
1,2010-08-24,20.588,20.7,20.493,20.656,8421
2,2010-08-25,20.51,20.708,20.365,20.537,12737
3,2010-08-26,20.537,20.621,20.408,20.501,13968
4,2010-08-27,20.152,20.365,19.997,20.152,9018
5,2010-08-30,20.271,20.519,20.193,20.193,28081
6,2010-08-31,20.45,20.45,20.237,20.365,24198
7,2010-09-01,20.529,20.561,20.365,20.365,10048
8,2010-09-02,20.537,20.621,20.263,20.537,25091
9,2010-09-03,20.664,20.751,20.468,20.751,14907
10,2010-09-07,20.751,21.093,20.672,20.708,12148
11,2010-09-08,20.982,21.049,20.732,20.963,19151
12,2010-09-09,21.042,21.367,20.801,21.153,18512
13,2010-09-10,21.358,21.358,20.759,20.895,19541
14,2010-09-13,20.963,21.22,20.871,21.049,16517
15,2010-09-14,21.093,21.093,20.811,20.843,16091
16,2010-09-15,20.903,21.049,20.903,21.049,7674
17,2010-09-16,21.014,21.289,20.895,21.007,14939
18,2010-09-17,20.878,21.049,20.878,20.998,8646
19,2010-09-20,21.109,21.169,20.963,20.963,3809
20,2010-09-21,20.963,21.178,20.963,21.135,7529
21,2010-09-22,21.135,21.264,21.049,21.101,17727
22,2010-09-23,21.049,21.135,21.049,21.084,8583
23,2010-09-24,21.049,21.367,21.049,21.204,13024
24,2010-09-27,21.22,21.307,20.963,21.297,25360
25,2010-09-28,21.204,21.34,21.204,21.212,8465
26,2010-09-29,21.264,21.264,21.135,21.22,7573
27,2010-09-30,21.264,21.34,21.237,21.34,6811
28,2010-10-01,21.22,21.332,21.118,21.161,6088
29,2010-10-04,21.007,21.135,21.007,21.007,5656
30,2010-10-05,21.135,21.255,21.007,21.014,4862
31,2010-10-06,21.161,21.161,20.998,21.109,6321
32,2010-10-07,21.101,21.101,20.895,20.895,4539
33,2010-10-08,20.963,21.307,20.954,21.307,12946
34,2010-10-11,21.307,21.34,21.049,21.049,19808
35,2010-10-12,21.212,21.212,21.074,21.074,3989
36,2010-10-13,21.049,21.049,20.895,20.982,9079
37,2010-10-14,20.963,20.982,20.878,20.963,4843
38,2010-10-15,20.982,20.982,20.801,20.801,4576
39,2010-10-18,20.878,20.922,20.801,20.836,14716
40,2010-10-19,20.836,20.878,20.681,20.708,15302
41,2010-10-20,20.751,20.871,20.69,20.792,14144
42,2010-10-21,20.871,20.878,20.612,20.708,17728
43,2010-10-22,20.843,20.895,20.672,20.895,17728
44,2010-10-25,21.007,21.007,20.442,20.621,26805
45,2010-10-26,20.716,20.716,20.022,20.597,30180
46,2010-10-27,20.57,20.836,20.537,20.656,13300
47,2010-10-28,20.767,20.938,20.63,20.871,9341
48,2010-10-29,20.931,20.954,20.767,20.801,4868
49,2010-11-01,21.007,21.178,20.759,21.093,13150
50,2010-11-02,21.093,21.093,20.878,20.903,17142
51,2010-11-03,21.049,21.093,20.751,20.836,6221
52,2010-11-04,21.126,21.126,20.947,21.093,6773
53,2010-11-05,21.169,21.212,20.963,21.093,13810
54,2010-11-08,21.169,21.237,21.074,21.186,7320
55,2010-11-09,21.195,21.307,21.084,21.22,10466
56,2010-11-10,21.315,21.332,21.212,21.255,12938
57,2010-11-11,21.332,21.332,21.186,21.264,10338
58,2010-11-12,21.323,21.58,21.178,21.383,17757
59,2010-11-15,21.383,21.383,21.042,21.178,7111
60,2010-11-16,21.135,21.255,20.656,20.792,17376
61,2010-11-17,21.007,21.042,20.519,20.708,10357
62,2010-11-18,21.042,21.042,20.792,20.878,5399
63,2010-11-19,20.811,21.007,20.767,20.922,7403
64,2010-11-22,21.049,21.049,20.811,20.811,10908
65,2010-11-23,21.042,21.042,20.442,21.042,8441
66,2010-11-24,20.954,21.135,20.922,21.135,10119
67,2010-11-26,20.931,20.931,20.792,20.792,1332
68,2010-11-29,20.656,20.963,20.477,20.664,5239
69,2010-11-30,20.767,20.767,20.537,20.537,5882
70,2010-12-01,20.681,20.938,20.681,20.792,4794
71,2010-12-02,20.922,20.922,20.39,20.39,5416
72,2010-12-03,20.348,20.819,20.348,20.544,2839
73,2010-12-06,20.365,20.537,20.193,20.408,12201
74,2010-12-07,20.621,20.621,20.254,20.365,5637
75,2010-12-08,20.244,20.365,20.244,20.305,13513
76,2010-12-09,20.237,20.322,20.065,20.065,10080
77,2010-12-10,19.997,20.082,19.509,19.68,14893
78,2010-12-13,19.791,19.81,18.944,19.527,11583
79,2010-12-14,19.611,19.851,19.313,19.782,11649
80,2010-12-15,19.722,20.184,19.527,19.551,12801
81,2010-12-16,20.022,20.022,19.509,19.894,8209
82,2010-12-17,19.921,20.442,19.921,20.117,6311
83,2010-12-20,19.826,20.108,19.509,19.937,14406
84,2010-12-21,20.022,20.022,19.708,19.962,9766
85,2010-12-22,20.108,20.108,19.749,19.937,7069
86,2010-12-23,19.937,19.937,19.509,19.782,11103
87,2010-12-27,19.689,20.006,19.543,19.851,10253
88,2010-12-28,20.006,20.006,19.509,19.68,26405
89,2010-12-29,19.81,19.894,19.509,19.722,7690
90,2010-12-30,19.921,19.93,19.509,19.851,3282
91,2010-12-31,19.894,19.937,19.782,19.791,3129
92,2011-01-03,19.894,19.894,19.595,19.81,13438
93,2011-01-04,19.749,19.834,19.68,19.834,11471
94,2011-01-05,19.886,19.886,19.68,19.842,5511
95,2011-01-06,19.791,19.937,19.722,19.722,8599
96,2011-01-07,20.022,20.022,19.722,19.87,6103
97,2011-01-10,19.81,20.356,19.81,20.305,8415
98,2011-01-11,20.168,20.184,20.168,20.177,1747
99,2011-01-12,20.032,20.082,19.81,20.022,12911
100,2011-01-13,19.981,19.981,19.851,19.911,9808
101,2011-01-14,19.851,19.877,19.56,19.56,8971
102,2011-01-18,19.551,19.595,19.209,19.235,17603
103,2011-01-19,19.295,19.425,18.584,19.227,17370
104,2011-01-20,19.098,19.209,18.817,18.953,7377
105,2011-01-21,19.244,19.244,18.911,19.082,8648
106,2011-01-24,18.953,19.082,16.052,18.063,30452
107,2011-01-25,18.131,18.131,16.523,17.969,52166
