,Date,Open,High,Low,Close,Volume
0,2014-03-07,23.566,23.594,23.471,23.471,816189
1,2014-03-10,23.519,23.519,23.378,23.378,540275
2,2014-03-11,23.424,23.471,23.33,23.415,420070
3,2014-03-12,23.519,23.547,23.358,23.424,342263
4,2014-03-13,23.481,23.519,23.443,23.481,376125
5,2014-03-14,23.5,23.509,23.405,23.471,262035
6,2014-03-17,23.481,23.566,23.481,23.491,402071
7,2014-03-18,23.538,23.614,23.519,23.576,764208
8,2014-03-19,23.614,23.642,23.529,23.547,638613
9,2014-03-20,23.529,23.604,23.491,23.604,618988
10,2014-03-21,23.604,23.652,23.576,23.632,710869
11,2014-03-24,23.632,23.661,23.594,23.661,315361
12,2014-03-25,23.661,23.67,23.585,23.642,470050
13,2014-03-26,23.652,23.737,23.652,23.68,546471
14,2014-03-27,23.699,23.727,23.661,23.67,468446
15,2014-03-28,23.699,23.746,23.67,23.737,343440
16,2014-03-31,23.755,23.812,23.746,23.812,654482
17,2014-04-01,23.822,23.888,23.803,23.831,788721
18,2014-04-02,23.869,23.869,23.803,23.831,355633
19,2014-04-03,23.86,23.888,23.831,23.86,459184
20,2014-04-04,23.916,23.935,23.869,23.898,451663
21,2014-04-07,23.916,23.916,23.85,23.888,220830
22,2014-04-08,23.888,23.898,23.822,23.888,1039625
23,2014-04-09,23.898,23.974,23.85,23.964,1189283
24,2014-04-10,23.983,24.068,23.974,23.992,614750
25,2014-04-11,23.964,24.011,23.945,24.001,375578
26,2014-04-14,24.011,24.058,23.974,24.039,501072
27,2014-04-15,24.087,24.087,23.992,24.058,571146
28,2014-04-16,24.058,24.2,24.039,24.134,756256
29,2014-04-17,24.171,24.21,24.011,24.039,3142900
30,2014-04-21,24.021,24.039,23.954,23.983,355210
31,2014-04-22,23.974,24.2,23.954,24.106,1674989
32,2014-04-23,24.115,24.294,24.106,24.294,3979046
33,2014-04-24,24.22,24.39,24.21,24.37,2300403
34,2014-04-25,24.38,24.427,24.277,24.427,214173
35,2014-04-28,24.446,24.513,24.37,24.503,1570913
36,2014-04-29,24.531,24.531,24.418,24.493,340315
37,2014-04-30,24.56,24.56,24.4,24.427,461093
38,2014-05-01,24.437,24.654,24.427,24.598,139606
39,2014-05-02,24.484,24.654,24.475,24.616,76886
40,2014-05-05,24.598,24.616,24.513,24.541,124222
41,2014-05-06,24.523,24.654,24.437,24.569,365916
42,2014-05-07,24.569,24.616,24.56,24.569,70315
43,2014-05-08,24.56,24.636,24.55,24.589,81532
44,2014-05-09,24.598,24.598,24.523,24.531,55182
45,2014-05-12,24.523,24.55,24.475,24.493,64198
46,2014-05-13,24.513,24.739,24.484,24.692,185597
47,2014-05-14,24.702,24.777,24.56,24.616,350421
48,2014-05-15,24.608,24.749,24.608,24.654,99977
49,2014-05-16,24.636,24.702,24.626,24.692,119770
50,2014-05-19,24.721,24.721,24.608,24.654,238917
51,2014-05-20,24.731,24.769,24.654,24.739,131889
52,2014-05-21,24.787,24.797,24.654,24.654,143026
53,2014-05-22,24.654,24.731,24.646,24.654,148316
54,2014-05-23,24.702,24.702,24.56,24.579,103998
55,2014-05-27,24.646,24.654,24.569,24.608,111250
56,2014-05-28,24.626,24.759,24.616,24.759,269171
57,2014-05-29,24.759,25.023,24.673,24.986,208356
58,2014-05-30,24.986,25.005,24.825,24.882,128404
59,2014-06-02,24.844,24.92,24.806,24.863,160920
60,2014-06-03,24.863,24.863,24.683,24.739,217705
61,2014-06-04,24.712,24.712,24.456,24.673,286874
62,2014-06-05,24.513,24.749,24.513,24.683,75523
63,2014-06-06,24.749,24.787,24.683,24.702,36129
64,2014-06-09,24.777,24.825,24.626,24.815,161575
65,2014-06-10,24.739,24.863,24.654,24.749,208572
66,2014-06-11,24.777,24.777,24.589,24.692,172275
67,2014-06-12,24.721,24.777,24.673,24.769,112659
68,2014-06-13,24.769,24.769,24.683,24.692,30333
69,2014-06-16,24.731,24.731,24.636,24.646,299494
70,2014-06-17,24.664,24.692,24.589,24.673,111643
71,2014-06-18,24.692,24.712,24.626,24.702,106436
72,2014-06-19,24.646,24.749,24.646,24.702,76553
73,2014-06-20,24.731,24.739,24.654,24.673,50897
74,2014-06-23,24.739,24.825,24.721,24.797,68809
75,2014-06-24,24.797,24.892,24.749,24.844,122328
76,2014-06-25,24.844,24.977,24.844,24.929,103581
77,2014-06-26,25.014,25.217,24.994,25.053,275799
78,2014-06-27,25.081,25.111,25.043,25.111,41935
79,2014-06-30,25.091,25.169,25.072,25.13,66334
80,2014-07-01,25.12,25.139,25.043,25.111,63008
81,2014-07-02,25.13,25.13,24.946,25.12,137907
82,2014-07-03,25.13,25.13,24.839,25.033,150146
83,2014-07-07,25.023,25.091,24.946,25.043,146586
84,2014-07-08,25.043,25.12,25.033,25.043,153503
85,2014-07-09,25.091,25.111,25.033,25.081,227672
86,2014-07-10,25.091,25.091,25.043,25.081,24564
87,2014-07-11,25.043,25.188,25.043,25.169,59016
88,2014-07-14,25.169,25.323,25.072,25.13,264208
89,2014-07-15,25.169,25.188,25.111,25.159,101819
90,2014-07-16,25.188,25.217,25.139,25.149,47932
91,2014-07-17,25.207,25.217,25.043,25.043,102786
92,2014-07-18,25.053,25.159,24.994,24.994,358073
93,2014-07-21,25.101,25.12,25.053,25.091,190729
94,2014-07-22,25.101,25.227,25.053,25.207,229805
95,2014-07-23,25.217,25.217,25.169,25.188,48343
96,2014-07-24,25.188,25.237,25.139,25.207,191833
97,2014-07-25,25.256,25.256,25.198,25.256,60542
98,2014-07-28,25.256,25.333,25.237,25.285,44323
99,2014-07-29,25.285,25.323,25.188,25.323,54568
100,2014-07-30,25.323,25.363,25.246,25.285,104998
101,2014-07-31,25.101,25.227,25.043,25.111,88522
102,2014-08-01,25.179,25.198,24.888,25.014,87708
103,2014-08-04,25.014,25.091,24.897,25.023,1793338
104,2014-08-05,25.043,25.053,24.878,24.897,430135
105,2014-08-06,24.878,25.033,24.752,24.994,341666
106,2014-08-07,24.965,24.994,24.868,24.946,487384
107,2014-08-08,24.994,24.994,24.917,24.936,91462
108,2014-08-11,24.985,25.023,24.936,24.965,53335
109,2014-08-12,25.004,25.072,24.946,25.062,1619046
110,2014-08-13,25.081,25.12,25.043,25.12,595898
111,2014-08-14,25.12,25.217,25.12,25.217,53965
112,2014-08-15,25.237,25.256,25.101,25.227,48821
113,2014-08-18,25.265,25.305,25.188,25.188,86903
114,2014-08-19,25.285,25.305,25.169,25.198,87304
115,2014-08-20,25.256,25.285,25.198,25.285,44834
116,2014-08-21,25.285,25.333,25.198,25.323,208863
117,2014-08-22,25.333,25.372,25.285,25.323,203704
118,2014-08-25,25.401,25.449,25.363,25.411,167574
119,2014-08-26,25.353,25.401,25.295,25.333,74320
120,2014-08-27,25.363,25.411,25.305,25.411,44829
121,2014-08-28,25.411,25.411,25.314,25.343,215137
122,2014-08-29,25.381,25.381,25.295,25.381,41542
123,2014-09-02,25.323,25.363,24.965,25.111,117483
124,2014-09-03,25.111,25.179,24.985,25.13,90111
125,2014-09-04,25.179,25.188,24.994,25.033,134729
126,2014-09-05,25.072,25.111,25.004,25.091,107381
127,2014-09-08,25.101,25.169,25.043,25.12,100297
128,2014-09-09,25.043,25.12,25.004,25.023,73517
129,2014-09-10,25.014,25.091,24.868,25.014,70003
130,2014-09-11,25.023,25.033,24.936,24.955,37322
131,2014-09-12,24.917,24.975,24.82,24.927,164840
132,2014-09-15,24.936,25.043,24.927,24.985,295751
133,2014-09-16,24.936,24.985,24.839,24.965,109420
134,2014-09-17,24.975,25.111,24.946,25.081,235524
135,2014-09-18,25.023,25.207,25.023,25.13,56004
136,2014-09-19,25.139,25.188,25.111,25.111,48732
137,2014-09-22,25.13,25.159,24.994,25.101,82967
138,2014-09-23,25.033,25.12,25.023,25.091,52335
139,2014-09-24,25.043,25.091,25.004,25.081,222512
140,2014-09-25,25.081,25.111,24.975,25.111,107122
141,2014-09-26,25.065,25.105,25.055,25.085,43426
142,2014-09-29,25.105,25.115,25.016,25.115,40217
143,2014-09-30,25.115,25.223,25.105,25.203,57528
144,2014-10-01,25.203,25.243,25.134,25.203,47553
145,2014-10-02,25.203,25.282,25.183,25.282,26031
146,2014-10-03,25.282,25.351,25.282,25.331,76631
147,2014-10-06,25.341,25.41,25.331,25.4,135812
148,2014-10-07,25.351,25.42,25.302,25.42,46127
149,2014-10-08,25.42,25.439,25.302,25.439,97174
150,2014-10-09,25.449,25.498,25.371,25.498,57833
151,2014-10-10,25.489,25.518,25.43,25.449,57912
152,2014-10-13,25.449,25.528,25.439,25.498,29458
153,2014-10-14,25.489,25.528,25.43,25.518,61608
154,2014-10-15,25.43,25.498,25.055,25.449,2536507
155,2014-10-16,25.439,25.489,25.351,25.479,111005
156,2014-10-17,25.518,25.597,25.479,25.498,120679
157,2014-10-20,25.538,25.587,25.43,25.587,113839
158,2014-10-21,25.538,25.597,25.538,25.577,72804
159,2014-10-22,25.587,25.636,25.508,25.548,142453
160,2014-10-23,25.617,25.617,25.498,25.498,99953
161,2014-10-24,25.528,25.597,25.508,25.597,63439
162,2014-10-27,25.587,25.636,25.548,25.587,56623
163,2014-10-28,25.548,25.646,25.548,25.567,55267
164,2014-10-29,25.587,25.626,25.518,25.597,73853
165,2014-10-30,25.587,25.705,25.587,25.656,123381
166,2014-10-31,25.735,25.932,25.646,25.932,93094
167,2014-11-03,25.882,25.971,25.833,25.843,51219
168,2014-11-04,25.843,25.971,25.843,25.961,50011
169,2014-11-05,25.922,25.951,25.823,25.892,50761
170,2014-11-06,25.882,25.932,25.814,25.882,49474
171,2014-11-07,25.882,26.06,25.873,26.04,77908
172,2014-11-10,26.05,26.05,25.991,26.001,37230
173,2014-11-11,26.02,26.089,26.01,26.04,48385
174,2014-11-12,26.03,26.03,25.981,26.03,35084
175,2014-11-13,26.03,26.04,25.981,26.03,35028
176,2014-11-14,26.03,26.04,25.961,25.991,69896
177,2014-11-17,26.02,26.03,25.981,26.01,53571
178,2014-11-18,26.04,26.06,25.981,25.981,87492
179,2014-11-19,26.001,26.06,26.001,26.06,30147
180,2014-11-20,26.06,26.138,26.04,26.07,40658
181,2014-11-21,26.129,26.138,26.05,26.079,39655
182,2014-11-24,26.07,26.168,26.001,26.079,123366
183,2014-11-25,26.01,26.109,26.01,26.07,50159
184,2014-11-26,26.119,26.325,26.06,26.178,76065
185,2014-11-28,26.286,26.286,26.06,26.079,57174
186,2014-12-01,26.06,26.158,26.04,26.089,62069
187,2014-12-02,26.089,26.089,25.991,26.079,88259
188,2014-12-03,26.089,26.119,25.823,25.863,74300
189,2014-12-04,25.794,25.873,25.686,25.735,67917
190,2014-12-05,25.774,25.922,25.715,25.922,57363
191,2014-12-08,25.882,25.892,25.804,25.863,53676
192,2014-12-09,25.843,25.971,25.715,25.971,50943
193,2014-12-10,25.971,26.04,25.892,25.971,51771
194,2014-12-11,25.971,26.129,25.942,26.119,46654
195,2014-12-12,26.109,26.286,26.02,26.276,23714
196,2014-12-15,26.286,26.325,26.138,26.138,41923
197,2014-12-16,26.138,26.217,26.04,26.099,40920
198,2014-12-17,26.158,26.237,26.099,26.227,339217
199,2014-12-18,26.247,26.365,26.138,26.138,125131
200,2014-12-19,26.257,26.257,26.109,26.207,38670
201,2014-12-22,26.237,26.257,26.188,26.247,84974
202,2014-12-23,26.266,26.355,26.168,26.345,58548
203,2014-12-24,26.335,26.335,26.227,26.247,25914
204,2014-12-26,26.168,26.404,26.168,26.296,27961
205,2014-12-29,26.42,26.53,26.2,26.5,34479
206,2014-12-30,26.59,26.65,26.37,26.65,39427
207,2014-12-31,26.72,26.72,25.22,26.33,73218
208,2015-01-02,26.27,26.9,26.27,26.75,59058
209,2015-01-05,26.62,26.83,26.62,26.73,30166
210,2015-01-06,26.82,26.82,26.62,26.64,33875
211,2015-01-07,26.67,26.87,26.66,26.78,35167
212,2015-01-08,26.83,26.86,26.51,26.59,74643
213,2015-01-09,26.65,26.66,26.44,26.55,15452
214,2015-01-12,26.57,26.58,26.42,26.58,27303
215,2015-01-13,26.61,26.62,26.52,26.54,42056
216,2015-01-14,26.57,26.67,26.52,26.56,23772
217,2015-01-15,26.69,26.69,26.47,26.59,64120
218,2015-01-16,26.55,26.75,26.51,26.75,51246
219,2015-01-20,26.78,26.78,26.36,26.42,90122
220,2015-01-21,26.49,26.59,26.4,26.58,27374
221,2015-01-22,26.6,26.6,26.44,26.51,32302
222,2015-01-23,26.51,26.75,26.51,26.7,189180
223,2015-01-26,26.71,26.84,26.71,26.8,133949
224,2015-01-27,26.84,26.93,26.77,26.86,49077
225,2015-01-28,26.92,27.07,26.87,27.0,43734
226,2015-01-29,27.0,27.3,26.92,27.14,71983
227,2015-01-30,27.24,27.42,27.2,27.31,53268
228,2015-02-02,27.25,27.54,27.25,27.51,61527
229,2015-02-03,27.54,27.95,27.45,27.6,82178
230,2015-02-04,27.6,27.6,27.23,27.27,52398
231,2015-02-05,27.27,27.27,26.88,27.05,39063
232,2015-02-06,27.0,27.23,26.89,27.15,30190
233,2015-02-09,26.63,27.28,26.63,27.28,32698
234,2015-02-10,27.32,27.32,27.03,27.13,19034
235,2015-02-11,27.14,27.25,27.0,27.22,38198
236,2015-02-12,27.31,27.36,27.2,27.36,31201
237,2015-02-13,27.37,27.48,27.32,27.33,29887
238,2015-02-17,27.29,27.38,27.06,27.16,49722
239,2015-02-18,27.03,27.07,26.7,26.85,113587
240,2015-02-19,26.81,27.03,26.75,27.0,59641
241,2015-02-20,27.04,27.07,26.85,26.85,245360
242,2015-02-23,26.98,27.02,26.84,26.97,30947
243,2015-02-24,26.99,27.17,26.93,27.12,50337
244,2015-02-25,27.22,27.27,27.02,27.07,65288
245,2015-02-26,27.07,27.15,26.96,27.13,32283
246,2015-02-27,27.06,27.23,27.06,27.23,39137
247,2015-03-02,27.25,27.28,27.178,27.25,92683
248,2015-03-03,27.25,27.27,27.12,27.2,37450
249,2015-03-04,27.08,27.27,27.08,27.2,59615
250,2015-03-05,27.24,27.28,27.15,27.24,102321
251,2015-03-06,27.15,27.15,26.86,27.0,42726
252,2015-03-09,27.12,27.12,26.92,26.97,59589
253,2015-03-10,27.07,27.1,26.92,27.02,32579
254,2015-03-11,27.02,27.2,27.02,27.15,26131
255,2015-03-12,27.12,27.19,27.05,27.18,39174
256,2015-03-13,27.19,27.19,27.06,27.15,22717
257,2015-03-16,27.19,27.21,27.04,27.21,49602
258,2015-03-17,27.15,27.29,27.15,27.23,29623
259,2015-03-18,27.14,27.39,27.08,27.39,58159
260,2015-03-19,27.38,27.45,27.34,27.4,39436
261,2015-03-20,27.42,27.45,27.38,27.44,36020
262,2015-03-23,27.45,27.589,27.45,27.58,36854
263,2015-03-24,27.58,27.58,27.48,27.58,76025
264,2015-03-25,27.59,27.64,27.531,27.62,25863
265,2015-03-26,27.6,27.6,27.45,27.52,33713
266,2015-03-27,27.2,27.28,27.18,27.22,34801
267,2015-03-30,27.27,27.29,27.22,27.29,23532
268,2015-03-31,27.3,27.4,27.15,27.252,96115
269,2015-04-01,27.22,27.33,27.17,27.21,61746
270,2015-04-02,27.29,27.33,27.25,27.28,66349
271,2015-04-06,27.22,27.27,27.19,27.24,42658
272,2015-04-07,27.25,27.27,27.24,27.25,48405
273,2015-04-08,27.33,27.33,27.25,27.28,32531
274,2015-04-09,27.33,27.401,27.31,27.313,20228
275,2015-04-10,27.35,27.35,27.28,27.32,20873
276,2015-04-13,27.38,27.39,27.29,27.36,35813
277,2015-04-14,27.38,27.39,27.35,27.35,25576
278,2015-04-15,27.4,27.41,27.32,27.41,30912
279,2015-04-16,27.43,27.45,27.32,27.34,28696
280,2015-04-17,27.35,27.35,27.05,27.05,140527
281,2015-04-20,27.25,27.25,27.09,27.2,18194
282,2015-04-21,27.24,27.37,27.07,27.2,70097
283,2015-04-22,27.21,27.24,27.13,27.201,18819
284,2015-04-23,27.24,27.27,27.2,27.25,27793
285,2015-04-24,27.27,27.27,27.08,27.13,59008
286,2015-04-27,27.18,27.18,27.1,27.177,22774
287,2015-04-28,27.18,27.24,27.1,27.1,22630
288,2015-04-29,27.09,27.2,27.09,27.165,17581
289,2015-04-30,27.2,27.2,27.05,27.08,30044
290,2015-05-01,27.16,27.178,27.05,27.05,19770
291,2015-05-04,27.06,27.15,27.03,27.06,53830
292,2015-05-05,27.11,27.12,27.01,27.01,28599
293,2015-05-06,27.09,27.09,26.191,26.59,85565
294,2015-05-07,26.76,26.79,26.35,26.58,28148
295,2015-05-08,26.82,26.98,26.65,26.8,40304
296,2015-05-11,26.85,26.86,26.61,26.74,57511
297,2015-05-12,26.67,26.77,26.49,26.65,57079
298,2015-05-13,26.73,26.84,26.65,26.79,54607
299,2015-05-14,26.85,27.07,26.82,27.06,64888
300,2015-05-15,27.08,27.1,26.86,26.93,24180
301,2015-05-18,26.97,26.97,26.76,26.84,28378
302,2015-05-19,26.85,26.88,26.7,26.84,38795
303,2015-05-20,26.78,26.9,26.78,26.9,26790
304,2015-05-21,26.94,26.99,26.88,26.94,21215
305,2015-05-22,26.99,26.99,26.89,26.917,25384
306,2015-05-26,27.07,27.07,26.82,26.874,17707
307,2015-05-27,26.99,27.1,26.84,26.84,41196
308,2015-05-28,26.89,27.02,26.89,26.96,23040
309,2015-05-29,27.01,27.06,26.86,26.86,41955
310,2015-06-01,26.97,27.05,26.87,26.92,40418
311,2015-06-02,26.97,26.97,26.8,26.896,13438
312,2015-06-03,26.95,26.95,26.81,26.86,17212
313,2015-06-04,26.91,26.94,26.84,26.85,36598
314,2015-06-05,26.8,26.84,26.503,26.75,31899
315,2015-06-08,26.8,26.89,26.75,26.81,14696
316,2015-06-09,26.85,26.85,26.64,26.72,44929
317,2015-06-10,26.72,26.77,26.55,26.7,24497
318,2015-06-11,26.73,26.75,26.63,26.65,31788
319,2015-06-12,26.73,26.75,26.573,26.61,51077
320,2015-06-15,26.72,26.73,26.64,26.65,22723
321,2015-06-16,26.72,26.75,26.65,26.65,21789
322,2015-06-17,26.67,26.73,26.65,26.708,26727
323,2015-06-18,26.74,26.74,26.47,26.47,34669
324,2015-06-19,26.59,26.67,26.51,26.58,27579
325,2015-06-22,26.67,26.72,26.51,26.51,29615
326,2015-06-23,26.61,26.61,26.22,26.514,33427
327,2015-06-24,26.52,26.68,26.45,26.62,60397
328,2015-06-25,26.66,26.81,26.56,26.81,77223
329,2015-06-26,26.44,26.46,26.26,26.419,19602
330,2015-06-29,26.41,26.41,26.05,26.21,30691
331,2015-06-30,26.18,26.35,26.18,26.21,56495
332,2015-07-01,26.33,26.34,26.25,26.32,55538
333,2015-07-02,26.34,26.42,26.34,26.39,12724
334,2015-07-06,26.41,26.41,26.26,26.33,17461
335,2015-07-07,26.38,26.38,26.227,26.36,31879
336,2015-07-08,26.36,26.42,26.26,26.28,23410
337,2015-07-09,26.35,26.39,26.29,26.29,26740
338,2015-07-10,26.37,26.41,26.28,26.4,21111
339,2015-07-13,26.37,26.47,26.33,26.33,86232
340,2015-07-14,26.42,26.42,26.35,26.4,19391
341,2015-07-15,26.45,26.48,26.39,26.44,73907
342,2015-07-16,26.43,26.65,26.43,26.65,46397
343,2015-07-17,26.77,26.77,26.6,26.69,38605
344,2015-07-20,26.63,26.67,26.6,26.64,28858
345,2015-07-21,26.58,26.82,26.58,26.674,31468
346,2015-07-22,26.7,26.743,26.5,26.51,94702
347,2015-07-23,26.51,26.6,26.42,26.54,21811
348,2015-07-24,26.54,26.59,26.48,26.58,13845
349,2015-07-27,26.65,26.65,26.52,26.523,31706
350,2015-07-28,26.6,26.64,26.52,26.558,27870
351,2015-07-29,26.64,26.64,26.54,26.59,27024
352,2015-07-30,26.57,26.6,26.52,26.54,30749
353,2015-07-31,26.64,26.64,26.54,26.56,82462
354,2015-08-03,26.64,26.7,26.58,26.61,22677
355,2015-08-04,26.58,26.63,26.54,26.571,114961
356,2015-08-05,26.64,26.68,26.57,26.68,17819
357,2015-08-06,26.57,26.69,26.57,26.66,28992
358,2015-08-07,26.634,26.73,26.601,26.7,19413
359,2015-08-10,26.72,26.75,26.66,26.75,40729
360,2015-08-11,26.78,26.82,26.76,26.81,84615
361,2015-08-12,26.81,26.9,26.76,26.89,26364
362,2015-08-13,26.89,26.94,26.82,26.94,26378
363,2015-08-14,26.86,26.87,26.82,26.87,24196
364,2015-08-17,26.94,26.94,26.79,26.84,24088
365,2015-08-18,26.91,26.93,26.75,26.85,33307
366,2015-08-19,26.8,26.85,26.76,26.78,13202
367,2015-08-20,26.82,26.82,26.761,26.762,38544
368,2015-08-21,26.8,26.8,26.5,26.594,28752
369,2015-08-24,26.4,26.469,26.035,26.07,86785
370,2015-08-25,26.23,26.3,26.07,26.07,131661
371,2015-08-26,26.25,26.25,26.11,26.22,102215
372,2015-08-27,26.24,26.38,26.22,26.3,31638
373,2015-08-28,26.35,26.48,26.25,26.45,165678
374,2015-08-31,26.39,26.45,26.362,26.37,50062
375,2015-09-01,26.34,26.42,26.25,26.35,306120
376,2015-09-02,26.42,26.45,26.36,26.42,24836
377,2015-09-03,26.43,26.5,26.29,26.39,78750
378,2015-09-04,26.36,26.44,26.36,26.43,25047
379,2015-09-08,26.43,26.43,26.36,26.38,26179
380,2015-09-09,26.37,26.48,26.361,26.48,32924
381,2015-09-10,26.48,26.55,26.39,26.51,31534
382,2015-09-11,26.53,26.56,26.43,26.56,40357
383,2015-09-14,26.59,26.59,26.44,26.585,24631
384,2015-09-15,26.54,26.6,26.5,26.56,38812
385,2015-09-16,26.56,26.62,26.52,26.56,80108
386,2015-09-17,26.62,26.72,26.56,26.63,53143
387,2015-09-18,26.68,26.85,26.618,26.83,44308
388,2015-09-21,26.85,26.85,26.722,26.78,31388
389,2015-09-22,26.7,26.9,26.7,26.88,72430
390,2015-09-23,26.89,26.9,26.74,26.9,22665
391,2015-09-24,26.89,26.98,26.89,26.97,37852
392,2015-09-25,26.99,27.07,26.967,27.02,30505
393,2015-09-28,26.68,26.73,26.52,26.65,67549
394,2015-09-29,26.65,26.67,26.596,26.65,13500
395,2015-09-30,26.65,26.68,26.44,26.44,47107
396,2015-10-01,26.58,26.59,26.47,26.53,12344
397,2015-10-02,26.41,26.57,26.41,26.5,15784
398,2015-10-05,26.59,26.85,26.523,26.84,37386
399,2015-10-06,26.83,26.88,26.71,26.83,32738
400,2015-10-07,26.84,27.0,26.83,26.97,35402
401,2015-10-08,26.97,27.14,26.97,27.12,21181
402,2015-10-09,27.14,27.19,27.099,27.19,21339
403,2015-10-12,27.25,27.25,27.15,27.15,22002
404,2015-10-13,27.18,27.23,27.05,27.22,35839
405,2015-10-14,27.22,27.25,27.177,27.22,14805
406,2015-10-15,27.24,27.35,27.23,27.35,36903
407,2015-10-16,27.3,27.39,27.266,27.39,29305
408,2015-10-19,27.39,27.39,27.26,27.26,32029
409,2015-10-20,27.35,27.35,27.23,27.29,34013
410,2015-10-21,27.35,27.35,27.22,27.22,40283
411,2015-10-22,27.32,27.32,27.25,27.29,45590
412,2015-10-23,27.29,27.3,27.236,27.29,31733
413,2015-10-26,27.3,27.45,27.26,27.34,39016
414,2015-10-27,27.41,27.41,27.25,27.32,77807
415,2015-10-28,27.37,27.37,27.22,27.24,47010
416,2015-10-29,27.32,27.32,27.14,27.21,30394
417,2015-10-30,27.25,27.25,27.15,27.19,31022
418,2015-11-02,27.24,27.35,27.22,27.34,34963
419,2015-11-03,27.38,27.44,27.294,27.38,55437
420,2015-11-04,27.39,27.42,27.28,27.36,39051
421,2015-11-05,27.44,27.44,27.34,27.39,36965
422,2015-11-06,27.34,27.34,27.02,27.2,37464
423,2015-11-09,27.055,27.3,27.021,27.3,49896
424,2015-11-10,27.29,27.47,27.28,27.44,77728
425,2015-11-11,27.46,27.49,27.32,27.37,41694
426,2015-11-12,27.37,27.41,27.32,27.38,29747
427,2015-11-13,27.39,27.42,27.35,27.4,53516
428,2015-11-16,27.4,27.4,27.32,27.4,9037
429,2015-11-17,27.4,27.4,27.33,27.38,25919
430,2015-11-18,27.38,27.41,27.33,27.4,23442
431,2015-11-19,27.33,27.42,27.33,27.34,56542
432,2015-11-20,27.35,27.43,27.337,27.38,60645
433,2015-11-23,27.4,27.4,27.368,27.4,34003
434,2015-11-24,27.4,27.41,27.37,27.41,28732
435,2015-11-25,27.42,27.48,27.4,27.46,57494
436,2015-11-27,27.51,27.51,27.42,27.5,32196
437,2015-11-30,27.5,27.506,27.42,27.45,42893
438,2015-12-01,27.48,27.48,27.42,27.45,40885
439,2015-12-02,27.45,27.49,27.421,27.49,45131
440,2015-12-03,27.455,27.47,27.37,27.37,43520
441,2015-12-04,27.34,27.47,27.34,27.45,224017
442,2015-12-07,27.36,27.5,27.36,27.5,18807
443,2015-12-08,27.42,27.53,27.42,27.46,16457
444,2015-12-09,27.49,27.49,27.38,27.38,33572
445,2015-12-10,27.36,27.42,27.36,27.42,15604
446,2015-12-11,27.41,27.41,27.29,27.3,19075
447,2015-12-14,27.25,27.26,26.26,26.41,66848
448,2015-12-15,26.5,26.846,26.46,26.51,71578
449,2015-12-16,26.64,26.981,26.613,26.86,27804
450,2015-12-17,26.72,27.3,26.72,27.25,49918
451,2015-12-18,27.3,27.3,27.1,27.208,17652
452,2015-12-21,27.38,27.45,27.2,27.44,24985
453,2015-12-22,27.44,27.53,27.43,27.53,39293
454,2015-12-23,27.53,27.58,27.46,27.536,29995
455,2015-12-24,27.58,27.59,27.43,27.57,21327
456,2015-12-28,27.57,27.78,27.54,27.73,53153
457,2015-12-29,27.33,27.69,27.32,27.69,44416
458,2015-12-30,27.69,27.76,27.582,27.67,28287
459,2015-12-31,27.75,27.82,27.6601,27.75,11852
460,2016-01-04,27.55,27.8,27.2501,27.8,67533
461,2016-01-05,27.77,28.0,27.77,27.82,71030
462,2016-01-06,27.86,27.94,27.68,27.82,46916
463,2016-01-07,27.67,27.86,27.67,27.73,62569
464,2016-01-08,27.81,27.91,27.7108,27.89,37860
465,2016-01-11,27.9,27.9,27.63,27.85,31937
466,2016-01-12,27.77,27.88,27.77,27.85,35290
467,2016-01-13,27.8,27.88,27.66,27.68,38105
468,2016-01-14,27.77,27.77,27.54,27.5799,51579
469,2016-01-15,27.55,27.56,27.29,27.4,55605
470,2016-01-19,27.48,27.48,27.48,27.48,0
471,2016-01-20,27.53,27.53,26.7,27.23,62539
472,2016-01-21,27.22,27.39,27.05,27.2999,50124
473,2016-01-22,27.43,27.63,27.3,27.6,45620
474,2016-01-25,27.65,27.69,27.17,27.3199,60382
475,2016-01-26,27.2,27.3,27.17,27.24,31278
476,2016-01-27,27.15,27.41,27.13,27.35,44145
477,2016-01-28,27.29,27.4194,27.29,27.3,25880
478,2016-01-29,27.48,27.58,27.4296,27.47,59795
479,2016-02-01,27.62,27.62,27.33,27.34,68168
480,2016-02-02,27.43,27.44,27.3401,27.43,73025
481,2016-02-03,27.46,27.46,27.35,27.41,37056
482,2016-02-04,27.4,27.53,27.34,27.53,119270
483,2016-02-05,27.53,27.53,27.37,27.48,38428
484,2016-02-08,27.47,27.47,27.05,27.38,36811
485,2016-02-09,27.24,27.26,26.67,26.79,76888
486,2016-02-10,26.95,27.13,26.8514,27.05,31931
487,2016-02-11,26.77,26.77,25.91,25.92,121517
488,2016-02-12,26.41,26.8289,26.1878,26.62,89858
489,2016-02-16,26.75,27.159,26.75,27.11,25978
490,2016-02-17,27.33,27.42,27.08,27.4199,33093
491,2016-02-18,27.47,27.54,27.28,27.54,27940
492,2016-02-19,27.35,27.6,27.35,27.6,34379
493,2016-02-22,27.59,27.77,27.5332,27.67,25042
