,Date,Open,High,Low,Close,Volume
0,2017-06-29,13.75,14.0,10.37,10.8,2168666
1,2017-06-30,10.75,11.48,10.73,11.15,243455
2,2017-07-03,11.95,12.65,11.51,12.5005,250680
3,2017-07-05,12.53,12.8,12.0,12.31,200423
4,2017-07-06,12.33,13.3,12.0875,13.3,125444
5,2017-07-07,13.45,14.3167,13.35,13.8,151718
6,2017-07-10,13.77,14.235,13.27,13.45,97167
7,2017-07-11,13.6,13.68,13.21,13.68,43420
8,2017-07-12,13.63,13.725,13.21,13.43,34745
9,2017-07-13,13.4,13.49,13.21,13.43,34207
10,2017-07-14,13.48,13.59,12.5288,13.59,45765
11,2017-07-17,13.64,13.7,12.67,12.95,94173
12,2017-07-18,12.56,13.36,12.5198,13.0,49943
13,2017-07-19,13.0,13.08,12.7,13.0,42526
14,2017-07-20,13.0,13.17,12.5487,12.92,39315
15,2017-07-21,12.75,13.0,12.62,12.78,35468
16,2017-07-24,13.0,13.23,12.5,12.6,190751
17,2017-07-25,12.62,13.13,12.62,13.0,50728
18,2017-07-26,13.2,13.2,12.6,12.91,73487
19,2017-07-27,12.92,13.76,12.81,13.11,51780
20,2017-07-28,13.23,13.2397,12.8,13.0,19064
21,2017-07-31,13.3,14.0,12.8,12.8,77557
22,2017-08-01,12.86,13.414,12.02,12.48,71636
23,2017-08-02,12.36,12.752,12.0,12.73,49129
24,2017-08-03,12.63,12.874,12.0,12.0,55099
25,2017-08-04,12.1956,12.1956,11.199,12.14,85474
26,2017-08-07,11.94,12.5,11.354,12.16,63424
27,2017-08-08,12.859,12.8609,12.05,12.29,25698
28,2017-08-09,12.13,12.98,11.5725,12.98,26293
29,2017-08-10,12.88,12.88,11.83,12.58,46965
30,2017-08-11,12.48,12.48,11.91,12.25,7877
31,2017-08-14,12.23,12.7761,12.1226,12.56,8776
32,2017-08-15,12.34,12.3428,12.001,12.11,5652
33,2017-08-16,12.2,12.3,12.0,12.21,26635
34,2017-08-17,12.11,12.355,11.8,11.89,30495
35,2017-08-18,11.78,12.88,11.5173,12.2,20999
36,2017-08-21,12.22,12.34,11.69,12.0,21599
37,2017-08-22,11.98,12.245,11.4382,12.19,13859
38,2017-08-23,11.7047,12.29,11.7047,11.98,35369
39,2017-08-24,11.4482,12.15,11.43,12.15,18839
40,2017-08-25,11.93,12.344,11.42,11.42,33222
41,2017-08-28,11.42,12.4895,11.42,12.0,15584
42,2017-08-29,11.5829,12.1429,11.5829,12.0,7880
43,2017-08-30,11.46,12.32,11.3367,12.0,19490
44,2017-08-31,12.0,12.22,11.66,11.66,35858
45,2017-09-01,11.61,12.3301,11.61,11.8,17467
46,2017-09-05,12.18,12.7,11.8706,12.15,74209
47,2017-09-06,12.26,13.0,12.25,12.82,131986
48,2017-09-07,12.9,14.1497,12.83,13.9,274250
49,2017-09-08,13.95,14.6564,13.77,14.08,95075
50,2017-09-11,13.9,14.5364,12.08,12.38,76923
51,2017-09-12,12.49,13.5,12.49,13.42,52133
52,2017-09-13,13.22,13.41,11.78,11.83,116514
53,2017-09-14,11.83,12.68,11.1,11.64,84137
54,2017-09-15,11.54,12.7,11.42,11.42,432715
55,2017-09-18,11.4,12.13,11.3,11.59,80244
56,2017-09-19,11.72,11.96,11.54,11.75,32104
57,2017-09-20,11.84,12.25,11.75,12.1,32686
58,2017-09-21,11.8539,12.2,11.83,12.12,22038
59,2017-09-22,12.07,13.2,12.06,12.79,43040
60,2017-09-25,12.4061,12.8,11.8,11.89,25216
61,2017-09-26,11.8,12.175,11.8,12.09,18172
62,2017-09-27,12.34,12.76,11.7846,12.69,20155
63,2017-09-28,12.29,12.78,12.01,12.19,32817
64,2017-09-29,12.11,13.49,12.11,13.38,37484
65,2017-10-02,13.45,14.55,13.38,14.43,48438
66,2017-10-03,14.5,14.5,13.89,14.42,34260
67,2017-10-04,14.41,15.06,13.0,14.91,76321
68,2017-10-05,14.49,15.48,13.101,14.47,39915
69,2017-10-06,14.87,14.9957,14.4,14.61,21676
70,2017-10-09,14.68,14.96,14.51,14.63,11962
71,2017-10-10,14.65,14.85,14.1894,14.8,14166
72,2017-10-11,14.68,14.68,14.03,14.12,9388
73,2017-10-12,14.15,14.52,14.15,14.51,7611
74,2017-10-13,13.53,14.59,13.53,14.18,9543
75,2017-10-16,14.15,14.355,13.65,14.07,19613
76,2017-10-17,14.11,14.2,13.337,14.1,14182
77,2017-10-18,13.9,14.25,13.9,14.17,9579
78,2017-10-19,14.15,14.15,13.53,13.68,11178
79,2017-10-20,13.74,13.74,13.24,13.58,10251
80,2017-10-23,13.37,13.49,13.22,13.38,10173
81,2017-10-24,13.6,13.6,13.16,13.24,10111
82,2017-10-25,13.23,13.345,13.01,13.18,6953
83,2017-10-26,13.25,13.25,13.01,13.22,7861
84,2017-10-27,13.25,13.25,12.06,12.36,31414
85,2017-10-30,12.25,12.25,11.859,12.13,18626
86,2017-10-31,12.35,12.35,11.95,12.04,14946
87,2017-11-01,12.1,13.35,11.68,13.19,42121
88,2017-11-02,13.61,13.61,12.09,12.24,17424
89,2017-11-03,12.36,12.87,12.0,12.67,27936
90,2017-11-06,12.75,12.84,12.54,12.66,7158
91,2017-11-07,11.87,11.87,11.87,11.87,31268
92,2017-11-08,12.08,12.6475,11.5,11.8,63919
93,2017-11-09,11.72,11.78,11.5,11.63,12642
94,2017-11-10,12.96,12.96,9.58,11.56,19387
