,Date,Open,High,Low,Close,Volume
0,2017-06-02,14.971,14.971,14.677,14.716,11600
1,2017-06-05,14.893,14.893,14.756,14.873,13349
2,2017-06-06,14.805,14.805,14.618,14.618,13110
3,2017-06-07,14.795,14.795,14.54,14.54,12381
4,2017-06-08,14.579,14.579,14.579,14.579,102
5,2017-06-09,14.569,14.628,14.569,14.628,7014
6,2017-06-12,14.648,14.648,14.579,14.579,968
7,2017-06-13,14.558,14.579,14.558,14.564,2241
8,2017-06-14,14.549,14.549,14.481,14.481,16501
9,2017-06-15,14.412,14.412,14.245,14.245,15203
10,2017-06-16,14.245,14.245,14.245,14.245,0
11,2017-06-19,14.402,14.402,14.356,14.356,275
12,2017-06-20,14.088,14.167,14.088,14.167,1528
13,2017-06-21,14.216,14.432,14.216,14.432,1156
14,2017-06-22,14.441,14.441,14.441,14.441,102
15,2017-06-23,14.441,14.549,14.441,14.549,647
16,2017-06-26,14.53,14.53,14.39,14.53,1935
17,2017-06-27,14.559,14.618,14.422,14.422,7955
18,2017-06-28,14.53,14.579,14.53,14.579,494
19,2017-06-29,14.716,14.716,14.694,14.694,815
20,2017-06-30,14.694,14.765,14.572,14.677,4353
21,2017-07-03,14.715,14.756,14.715,14.756,1324
22,2017-07-05,14.67,14.67,14.628,14.628,3173
23,2017-07-06,14.873,14.873,14.448,14.451,4614
24,2017-07-07,14.677,14.834,14.677,14.824,616
25,2017-07-10,14.736,14.736,14.648,14.707,443
26,2017-07-11,14.53,14.53,14.53,14.53,1019
27,2017-07-12,14.53,14.53,14.53,14.53,0
28,2017-07-13,14.461,14.481,14.461,14.481,2058
29,2017-07-14,14.481,14.515,14.481,14.515,509
30,2017-07-17,14.628,14.628,14.628,14.628,102
31,2017-07-18,14.551,14.551,14.52,14.52,407
32,2017-07-19,14.383,14.383,14.366,14.366,789
33,2017-07-20,14.284,14.324,14.284,14.308,3246
34,2017-07-21,14.308,14.308,14.308,14.308,0
35,2017-07-24,14.137,14.147,14.098,14.139,8373
36,2017-07-25,13.99,13.99,13.892,13.892,7781
37,2017-07-26,13.892,13.892,13.892,13.892,0
38,2017-07-27,13.892,13.892,13.892,13.892,0
39,2017-07-28,13.892,13.892,13.892,13.892,0
40,2017-07-31,13.892,13.892,13.892,13.892,0
41,2017-08-01,13.499,13.862,13.499,13.722,1129
42,2017-08-02,13.722,13.722,13.722,13.722,0
43,2017-08-03,13.439,13.45,13.439,13.45,438
44,2017-08-04,13.45,13.45,13.45,13.45,0
45,2017-08-07,13.45,13.45,13.45,13.45,0
46,2017-08-08,12.851,12.9,12.851,12.9,407
47,2017-08-09,12.802,12.822,12.802,12.822,1222
48,2017-08-10,12.576,12.871,12.576,12.871,1579
49,2017-08-11,12.871,12.871,12.871,12.871,0
50,2017-08-14,12.93,12.93,12.93,12.93,102
51,2017-08-15,12.596,12.615,12.596,12.615,611
52,2017-08-16,12.645,12.645,12.645,12.645,102
53,2017-08-17,12.645,12.645,12.645,12.645,0
54,2017-08-18,12.645,12.645,12.645,12.645,0
55,2017-08-21,12.262,12.301,12.259,12.259,1273
56,2017-08-22,12.399,12.399,12.399,12.399,102
57,2017-08-23,12.453,12.453,12.453,12.453,407
58,2017-08-24,12.635,12.635,12.606,12.606,204
59,2017-08-25,12.606,12.606,12.606,12.606,0
60,2017-08-28,12.606,12.606,12.606,12.606,0
61,2017-08-29,12.792,12.792,12.792,12.792,102
62,2017-08-30,12.851,12.949,12.851,12.949,306
63,2017-08-31,12.92,13.126,12.92,13.083,509
64,2017-09-01,13.083,13.083,13.083,13.083,0
65,2017-09-05,12.949,12.997,12.949,12.997,509
66,2017-09-06,12.997,12.997,12.997,12.997,0
67,2017-09-07,12.821,12.93,12.802,12.93,1711
68,2017-09-08,13.077,13.214,13.067,13.146,968
69,2017-09-11,13.322,13.322,13.322,13.322,113
70,2017-09-12,13.224,13.224,13.224,13.224,199
71,2017-09-13,12.939,12.939,12.939,12.939,0
72,2017-09-14,12.939,12.939,12.939,12.939,0
73,2017-09-15,13.136,13.136,13.136,13.136,102
74,2017-09-18,13.136,13.136,13.136,13.136,0
75,2017-09-19,13.263,13.263,13.263,13.263,102
76,2017-09-20,13.263,13.263,13.263,13.263,0
77,2017-09-21,13.263,13.263,13.263,13.263,0
78,2017-09-22,13.263,13.263,13.263,13.263,0
79,2017-09-25,13.263,13.263,12.93,12.991,3778
80,2017-09-26,13.096,13.096,13.096,13.096,102
81,2017-09-27,12.949,12.949,12.949,12.949,102
82,2017-09-28,13.0,13.0,12.86,12.8828,1805
83,2017-09-29,13.05,13.16,13.05,13.13,500
84,2017-10-02,13.33,13.33,13.3,13.3,1553
85,2017-10-03,13.37,13.3755,13.36,13.36,13900
86,2017-10-04,13.46,13.46,13.46,13.46,106
87,2017-10-05,13.53,13.53,13.5,13.5,801
