,Date,Open,High,Low,Close,Volume
0,2012-10-10,10.0,10.24,9.35,9.58,9235073
1,2012-10-11,9.49,9.57,8.1,8.1,865016
2,2012-10-12,8.32,8.47,7.65,8.3,306064
3,2012-10-15,8.48,8.48,8.03,8.39,89335
4,2012-10-16,8.13,8.48,7.93,8.39,130572
5,2012-10-17,8.41,8.41,7.82,8.17,77610
6,2012-10-18,8.05,8.1,7.88,8.05,221898
7,2012-10-19,7.93,8.08,7.81,7.95,81422
8,2012-10-22,8.05,8.05,7.71,7.85,92402
9,2012-10-23,7.87,7.93,7.54,7.7,60275
10,2012-10-24,8.02,8.02,7.58,7.71,66546
11,2012-10-25,7.62,7.83,7.45,7.78,220381
12,2012-10-26,7.78,7.79,7.5,7.66,103381
13,2012-10-31,7.66,8.1,7.66,8.05,142720
14,2012-11-01,8.2,8.33,7.8,8.11,96823
15,2012-11-02,8.3,8.45,7.99,8.45,51950
16,2012-11-05,8.47,8.73,8.22,8.3,159204
17,2012-11-06,8.42,8.43,8.05,8.2,92148
18,2012-11-07,7.75,8.05,7.75,8.02,66110
19,2012-11-08,8.05,8.12,7.63,7.81,45460
20,2012-11-09,7.65,8.13,7.55,7.86,69156
21,2012-11-12,8.05,8.05,7.63,7.65,62775
22,2012-11-13,7.59,7.7,7.01,7.57,186004
23,2012-11-14,7.6,7.7,7.48,7.55,51052
24,2012-11-15,7.44,7.67,7.35,7.43,25150
25,2012-11-16,7.31,7.45,7.1,7.39,47000
26,2012-11-19,7.42,7.65,7.25,7.55,74589
27,2012-11-20,7.39,7.8,7.39,7.64,31829
28,2012-11-21,8.38,8.43,7.86,8.06,165329
29,2012-11-23,7.93,8.3,7.93,8.3,12372
30,2012-11-26,7.91,8.34,7.9,8.25,16239
31,2012-11-27,8.15,8.39,8.0,8.22,44799
32,2012-11-28,8.01,8.25,7.95,8.18,44340
33,2012-11-29,8.25,8.25,7.96,8.01,21478
34,2012-11-30,7.95,8.23,7.9,8.09,23228
35,2012-12-03,8.18,8.18,8.01,8.01,4674
36,2012-12-04,8.0,8.02,7.72,7.94,19927
37,2012-12-05,8.0,8.0,7.7,7.97,11000
38,2012-12-06,7.98,7.98,7.65,7.8,7427
39,2012-12-07,7.75,7.83,7.66,7.7,43865
40,2012-12-10,7.67,8.1,7.65,8.06,48650
41,2012-12-11,8.04,8.29,7.82,8.02,73684
42,2012-12-12,8.1,8.2,7.9,8.09,45882
43,2012-12-13,8.12,8.17,7.77,7.95,134242
44,2012-12-14,7.95,8.08,7.87,7.92,95876
45,2012-12-17,7.99,8.08,7.87,7.99,76086
46,2012-12-18,7.99,8.21,7.9,8.11,66647
47,2012-12-19,8.18,8.29,7.94,8.08,51400
48,2012-12-20,8.12,8.22,7.96,7.96,50650
49,2012-12-21,7.9,7.94,7.56,7.79,187636
50,2012-12-24,7.74,7.81,7.57,7.78,32591
51,2012-12-26,7.73,7.8,7.58,7.75,147707
52,2012-12-27,7.7,7.74,7.62,7.74,48099
53,2012-12-28,7.66,7.8,7.38,7.58,120517
54,2012-12-31,7.56,8.09,7.34,7.95,63338
55,2013-01-02,8.02,8.02,7.55,7.71,89504
56,2013-01-03,7.7,8.15,7.56,7.8,34329
57,2013-01-04,7.9,8.02,7.76,7.8,14967
58,2013-01-07,7.84,8.0,7.33,7.38,88099
59,2013-01-08,7.4,7.67,7.21,7.33,114045
60,2013-01-09,7.4,7.45,6.77,7.01,188089
61,2013-01-10,7.0,7.13,6.84,6.9,85491
62,2013-01-11,7.0,7.0,6.71,6.75,77447
63,2013-01-14,6.86,7.27,6.6,6.79,75189
64,2013-01-15,6.8,7.05,6.8,6.97,83485
65,2013-01-16,6.95,6.98,6.8,6.84,63762
66,2013-01-17,6.86,7.2,6.86,7.03,225217
67,2013-01-18,7.03,7.22,6.97,7.13,164742
68,2013-01-22,7.15,7.29,7.01,7.05,168699
69,2013-01-23,7.1,7.14,6.86,6.95,113000
70,2013-01-24,6.97,7.0,6.72,6.81,75502
71,2013-01-25,6.8,6.84,6.5,6.64,63965
72,2013-01-28,6.59,6.7,6.25,6.35,180376
73,2013-01-29,6.32,6.5,6.32,6.42,71502
74,2013-01-30,6.41,6.76,6.4,6.69,80142
75,2013-01-31,6.75,7.06,6.75,6.88,96314
76,2013-02-01,6.91,7.04,6.49,6.77,61454
77,2013-02-04,6.71,6.83,6.55,6.63,39182
78,2013-02-05,6.55,6.61,6.34,6.43,85815
79,2013-02-06,6.47,6.7,6.35,6.63,48916
80,2013-02-07,6.57,6.7,6.47,6.55,48410
81,2013-02-08,6.55,6.72,6.49,6.51,25405
82,2013-02-11,6.51,6.65,6.44,6.58,33645
83,2013-02-12,6.64,6.73,6.41,6.52,65961
84,2013-02-13,6.61,6.66,6.49,6.52,20783
85,2013-02-14,6.5,6.94,6.5,6.87,64330
86,2013-02-15,6.75,7.0,6.68,6.9,35300
87,2013-02-19,6.9,6.96,6.75,6.92,132550
88,2013-02-20,6.9,7.0,6.81,6.97,73284
89,2013-02-21,6.92,6.96,6.58,6.78,93181
90,2013-02-22,6.76,7.05,6.76,7.0,127522
91,2013-02-25,7.43,7.45,6.93,7.02,314714
92,2013-02-26,7.08,7.15,6.96,7.08,79577
93,2013-02-27,7.1,7.18,6.97,7.05,50668
94,2013-02-28,7.01,7.2,7.0,7.19,53038
95,2013-03-01,7.19,7.25,7.1,7.22,49861
96,2013-03-04,7.16,7.35,7.15,7.35,43288
97,2013-03-05,7.35,7.4,7.15,7.33,332893
98,2013-03-06,7.31,7.69,7.3,7.59,156629
99,2013-03-07,7.64,7.8,7.57,7.75,77331
100,2013-03-08,7.8,8.11,7.65,7.94,159681
101,2013-03-11,8.0,8.13,7.87,8.1,78474
102,2013-03-12,8.02,8.08,7.85,7.93,106715
103,2013-03-13,7.99,7.99,7.71,7.75,347800
104,2013-03-14,7.79,7.85,7.65,7.72,79692
105,2013-03-15,7.71,8.25,7.7,8.04,286067
106,2013-03-18,7.9,7.97,7.86,7.88,63230
107,2013-03-19,7.88,7.9,7.8,7.86,35899
108,2013-03-20,7.87,8.03,7.8,7.83,47677
109,2013-03-21,7.82,7.93,7.7,7.84,158250
110,2013-03-22,7.79,8.03,7.75,7.85,85651
111,2013-03-25,7.94,7.94,7.73,7.86,87838
112,2013-03-26,7.94,7.94,7.72,7.87,81751
113,2013-03-27,7.87,8.13,7.75,7.95,214504
114,2013-03-28,8.0,8.08,7.78,7.92,68224
115,2013-04-01,7.92,7.97,7.77,7.96,71906
116,2013-04-02,7.96,8.19,7.87,7.94,52036
117,2013-04-03,7.91,7.91,7.39,7.48,131658
118,2013-04-04,7.29,7.64,7.1,7.14,163011
119,2013-04-05,6.63,6.9,6.35,6.5,742376
120,2013-04-08,6.45,6.73,6.45,6.61,201972
121,2013-04-09,6.62,6.98,6.62,6.85,127095
122,2013-04-10,6.93,7.09,6.85,7.0,68199
123,2013-04-11,7.0,7.11,6.95,7.0,90356
124,2013-04-12,6.99,7.19,6.95,7.06,72993
125,2013-04-15,7.1,7.35,6.91,6.99,191829
126,2013-04-16,6.97,7.2,6.9,6.94,127064
127,2013-04-17,6.9,7.13,6.87,6.91,172705
128,2013-04-18,6.91,6.91,6.79,6.86,14060
129,2013-04-19,6.9,7.1,6.66,6.88,89600
130,2013-04-22,6.86,6.99,6.83,6.91,27100
131,2013-04-23,6.97,7.21,6.9,7.06,89073
132,2013-04-24,7.11,7.39,6.98,7.11,84403
133,2013-04-25,7.25,7.27,7.12,7.15,54108
134,2013-04-26,7.19,7.41,7.18,7.34,41687
135,2013-04-29,7.76,7.83,7.49,7.65,76701
136,2013-04-30,7.7,7.79,7.5,7.66,77025
137,2013-05-01,7.78,7.78,7.52,7.69,94638
138,2013-05-02,7.75,7.75,7.4,7.44,17150
139,2013-05-03,7.5,7.52,7.35,7.41,44043
140,2013-05-06,7.51,7.58,7.44,7.45,46082
141,2013-05-07,7.97,7.97,7.52,7.74,78572
142,2013-05-08,7.75,7.89,7.72,7.85,76898
143,2013-05-09,7.85,7.89,7.69,7.87,73514
144,2013-05-10,7.88,8.41,7.85,8.38,415100
145,2013-05-13,8.52,9.12,8.36,8.84,522016
146,2013-05-14,9.0,9.25,8.66,8.89,210567
