,Date,Open,High,Low,Close,Volume
0,1981-12-31,5.3604,5.3971,5.324,5.3971,77575
1,1982-01-04,5.324,5.3604,5.2874,5.2874,37100
2,1982-01-05,5.2509,5.324,5.1507,5.1869,152977
3,1982-01-06,5.0135,5.1138,4.9131,5.0135,141655
4,1982-01-07,4.9769,5.0866,4.84,4.9769,77332
5,1982-01-08,4.9495,5.0135,4.8674,4.9495,72032
6,1982-01-11,4.84,4.9769,4.703,4.7668,59745
7,1982-01-12,4.7304,4.84,4.6301,4.84,81908
8,1982-01-13,4.7304,4.84,4.6024,4.703,82875
9,1982-01-14,4.6666,4.7304,4.566,4.703,176107
10,1982-01-15,4.6666,4.703,4.6024,4.6024,64324
11,1982-01-18,4.566,4.6301,4.4565,4.6301,108651
12,1982-01-19,4.6024,4.703,4.4565,4.4565,76611
13,1982-01-20,4.356,4.4565,4.2189,4.2919,103111
14,1982-01-21,4.2189,4.4197,4.0093,4.0727,183817
15,1982-01-22,4.0093,4.0727,3.9087,3.9452,252958
16,1982-01-25,3.8079,3.9452,3.6621,3.9452,382327
17,1982-01-26,3.8355,3.9814,3.6621,3.7349,249342
18,1982-01-27,3.8355,3.9452,3.6983,3.9087,176107
19,1982-01-28,4.2189,4.4197,4.0093,4.3832,277528
20,1982-01-29,4.5294,4.6024,4.4565,4.4931,241391
21,1982-02-01,4.4197,4.4931,4.356,4.4197,94919
22,1982-02-02,4.3832,4.4565,4.2919,4.356,56615
23,1982-02-03,4.2919,4.3832,4.1823,4.1823,55895
24,1982-02-04,4.2556,4.2919,4.1823,4.2919,18549
25,1982-02-05,4.3832,4.4565,4.2919,4.3194,65286
26,1982-02-08,4.2556,4.3194,4.146,4.1823,79260
27,1982-02-09,4.0093,4.0727,3.9087,4.0455,51552
28,1982-02-10,4.0727,4.146,4.0093,4.146,42159
29,1982-02-11,4.146,4.2189,4.0455,4.0455,41436
30,1982-02-12,4.1095,4.146,4.0727,4.0727,21683
31,1982-02-16,3.9814,4.0727,3.872,4.0727,42400
32,1982-02-17,4.0455,4.0727,4.0093,4.0093,46013
33,1982-02-18,3.9814,4.0455,3.9087,4.0093,67215
34,1982-02-19,4.0093,4.0727,3.9452,3.9452,26259
35,1982-02-22,3.9087,4.0455,3.7627,3.8079,79260
36,1982-02-23,3.7627,3.9087,3.6345,3.6345,357511
37,1982-02-24,3.6345,3.7349,3.4975,3.7349,139249
38,1982-02-25,3.872,4.1095,3.6345,3.6621,125275
39,1982-02-26,3.6621,3.7349,3.5979,3.7349,52036
40,1982-03-01,3.8079,3.872,3.6983,3.872,47459
41,1982-03-02,3.8079,3.872,3.7349,3.7349,134669
42,1982-03-03,3.5248,3.6983,3.3515,3.4244,222120
43,1982-03-04,3.3515,3.461,3.251,3.3882,143103
44,1982-03-05,3.5615,3.7627,3.3515,3.5248,102386
45,1982-03-08,3.5979,3.7627,3.4244,3.5248,184059
46,1982-03-09,3.461,3.5615,3.3515,3.4975,83836
47,1982-03-10,3.5248,3.6621,3.3882,3.4975,60709
48,1982-03-11,3.4975,3.5979,3.3882,3.5979,49628
49,1982-03-12,3.461,3.5248,3.3882,3.5248,16384
50,1982-03-15,3.4244,3.4975,3.3515,3.4975,146232
51,1982-03-16,3.5615,3.6983,3.3882,3.5248,218989
52,1982-03-17,3.4975,3.5615,3.4244,3.4244,86249
53,1982-03-18,3.5248,3.6621,3.3882,3.6345,104073
54,1982-03-19,3.6983,3.7349,3.6345,3.6621,34690
55,1982-03-22,3.5979,3.6983,3.4975,3.6983,57339
56,1982-03-23,3.6621,3.7349,3.5979,3.5979,63601
57,1982-03-24,3.5979,3.6345,3.5615,3.5979,67699
58,1982-03-25,3.6163,3.7533,3.4793,3.7533,82391
59,1982-03-26,3.6802,3.7167,3.6163,3.6802,68420
60,1982-03-29,3.7807,3.8174,3.7167,3.8174,219470
61,1982-03-30,3.8537,3.9177,3.7807,3.8898,117325
62,1982-03-31,3.8537,3.8898,3.8174,3.8537,75887
63,1982-04-01,3.7533,3.8537,3.6527,3.8174,108894
64,1982-04-02,3.9541,4.0637,3.8174,4.0637,196821
65,1982-04-05,4.0271,4.0637,3.9541,3.9999,51070
66,1982-04-06,4.137,4.2373,4.0271,4.2373,63359
67,1982-04-07,4.2373,4.2738,4.1731,4.2007,39750
68,1982-04-08,4.137,4.2007,4.0637,4.137,70827
69,1982-04-12,4.1003,4.1731,4.0271,4.0271,48905
70,1982-04-13,3.9541,4.0271,3.8537,3.8898,76367
71,1982-04-14,3.7807,3.8537,3.7167,3.7807,75650
72,1982-04-15,3.8174,3.8537,3.7533,3.8537,25296
73,1982-04-16,3.8898,4.0271,3.7533,3.9177,80461
74,1982-04-19,3.8898,3.9177,3.8537,3.8537,34450
75,1982-04-20,3.8898,3.9541,3.8174,3.9177,39750
76,1982-04-21,3.8537,3.9177,3.7807,3.8174,78054
77,1982-04-22,3.8898,3.9541,3.7807,3.8898,56374
78,1982-04-23,4.0637,4.137,3.9541,4.137,59020
79,1982-04-26,4.1003,4.137,4.0637,4.0637,25777
80,1982-04-27,4.1003,4.137,4.0637,4.0637,16138
81,1982-04-28,3.9999,4.0637,3.8898,3.9541,27946
82,1982-04-29,3.9541,3.9541,3.9177,3.9541,13733
83,1982-04-30,3.9177,3.9541,3.8898,3.8898,32041
84,1982-05-03,3.9541,3.9999,3.8898,3.9541,31559
85,1982-05-04,4.0271,4.1003,3.9541,3.9541,41436
86,1982-05-05,4.0271,4.0637,3.9541,4.0271,22405
