,Date,Open,High,Low,Close,Volume
0,1983-04-06,2.6984,2.707,2.6238,2.6319,1378336
1,1983-04-07,2.6238,2.64,2.5986,2.6068,929776
2,1983-04-08,2.6068,2.6569,2.5986,2.6486,2098720
3,1983-04-11,2.7819,2.7819,2.6569,2.7819,1697223
4,1983-04-12,2.7986,2.8152,2.7737,2.7737,197867
5,1983-04-13,2.7737,2.7819,2.7153,2.7653,2782608
6,1983-04-14,2.7903,2.7903,2.7153,2.7318,377480
7,1983-04-15,2.7235,2.7653,2.6902,2.7653,638741
8,1983-04-18,2.8569,2.9567,2.7819,2.9316,770332
9,1983-04-19,2.9316,2.9817,2.9149,2.9237,1118998
10,1983-04-20,2.9149,2.9652,2.9149,2.9484,1175668
11,1983-04-21,2.9817,2.9987,2.9405,2.9405,1240024
12,1983-04-22,2.9237,2.9652,2.8902,2.907,1726043
13,1983-04-25,2.8652,2.9149,2.7986,2.8152,237248
14,1983-04-26,2.8152,2.8483,2.7737,2.8483,299677
15,1983-04-27,2.8483,2.8734,2.8234,2.8319,817395
16,1983-04-28,2.8902,2.9484,2.8234,2.907,419744
17,1983-04-29,2.8983,2.9405,2.8569,2.9149,656031
18,1983-05-02,2.8734,2.9149,2.8234,2.8234,434149
19,1983-05-03,2.8234,2.8234,2.7903,2.7986,282392
20,1983-05-04,2.7986,2.8234,2.7819,2.7903,437992
21,1983-05-05,2.7986,2.8234,2.7737,2.7737,2183246
22,1983-05-06,2.7819,2.8569,2.7819,2.7903,2850803
23,1983-05-09,2.7819,2.7903,2.7571,2.7903,787625
24,1983-05-10,2.7903,2.8983,2.7903,2.8983,1873961
25,1983-05-11,2.8983,2.8983,2.8234,2.8401,416859
26,1983-05-12,2.8401,2.8401,2.8152,2.8152,604163
27,1983-05-13,2.8152,2.8401,2.8152,2.8319,363076
28,1983-05-16,2.8319,2.8483,2.7986,2.8234,370758
29,1983-05-17,2.8319,2.8483,2.8152,2.8319,1765420
30,1983-05-18,2.8483,2.9652,2.8401,2.9405,1716436
31,1983-05-19,2.9237,2.9567,2.9237,2.9316,279510
32,1983-05-20,2.907,2.9149,2.8902,2.907,245890
33,1983-05-23,2.8983,2.8983,2.8734,2.8902,771290
34,1983-05-24,2.8983,2.9734,2.8983,2.9734,1825936
35,1983-05-25,2.99,3.09,2.99,3.09,849093
36,1983-05-26,3.09,3.1819,3.09,3.1234,1796161
37,1983-05-27,3.1234,3.1483,3.115,3.1234,1364889
38,1983-05-31,3.1234,3.1483,3.09,3.09,2534793
39,1983-06-01,3.09,3.1067,3.0232,3.0232,3364675
40,1983-06-02,3.0733,3.0815,3.0067,3.0317,994131
41,1983-06-03,3.0232,3.0399,3.0067,3.0152,1060407
42,1983-06-06,3.0152,3.0152,2.99,2.99,608966
43,1983-06-07,2.99,2.99,2.9567,2.9652,879829
44,1983-06-08,2.9484,2.9567,2.907,2.9484,2197652
45,1983-06-09,2.9484,2.9987,2.9316,2.9987,1409071
46,1983-06-10,3.0485,3.0565,3.0232,3.0399,544608
47,1983-06-13,3.0565,3.1234,3.0565,3.1067,602241
48,1983-06-14,3.1067,3.1733,3.1067,3.1317,506192
49,1983-06-15,3.115,3.3315,3.115,3.3149,1990181
50,1983-06-16,3.3065,3.3564,3.2982,3.3315,830844
51,1983-06-17,3.3315,3.4565,3.3315,3.3813,1877800
52,1983-06-20,3.3813,3.4313,3.3813,3.415,646424
53,1983-06-21,3.415,3.4481,3.3901,3.4234,1433082
54,1983-06-22,3.4064,3.4313,3.373,3.4234,1022943
55,1983-06-23,3.415,3.4565,3.373,3.373,892317
56,1983-06-24,3.3813,3.3813,3.3564,3.373,356347
57,1983-06-27,3.3397,3.3397,3.2649,3.2898,553255
58,1983-06-28,3.2649,3.2814,3.1565,3.1565,825083
59,1983-06-29,3.1565,3.2151,3.1565,3.2066,322731
60,1983-06-30,3.1897,3.3065,3.1897,3.2649,566703
61,1983-07-01,3.248,3.2814,3.248,3.2814,394768
62,1983-07-05,3.248,3.248,3.2066,3.2066,133513
63,1983-07-06,3.2066,3.2814,3.2066,3.2814,279510
64,1983-07-07,3.2814,3.3065,3.2649,3.2814,1245785
65,1983-07-08,3.2733,3.2982,3.2569,3.2814,229561
66,1983-07-11,3.248,3.2649,3.1983,3.2316,552294
67,1983-07-12,3.165,3.1733,3.1234,3.1401,336177
68,1983-07-13,3.1565,3.1733,3.1483,3.1733,60513
69,1983-07-14,3.1733,3.2151,3.1565,3.2066,1403309
70,1983-07-15,3.2316,3.2316,3.1483,3.165,206511
71,1983-07-18,3.1733,3.24,3.1733,3.24,121983
72,1983-07-19,3.2316,3.3315,3.2316,3.3234,492745
73,1983-07-20,3.3065,3.415,3.3065,3.4064,410141
74,1983-07-21,3.4064,3.4064,3.3149,3.3149,204590
75,1983-07-22,3.2982,3.3315,3.2733,3.2733,287193
76,1983-07-25,3.2733,3.2814,3.24,3.24,627217
77,1983-07-26,3.2569,3.2569,3.1483,3.1733,1257311
78,1983-07-27,3.2066,3.24,3.2066,3.2151,1075774
79,1983-07-28,3.1983,3.2066,3.1733,3.1897,299677
80,1983-07-29,3.1733,3.1897,3.1565,3.1733,499466
81,1983-08-01,3.1565,3.1565,3.0565,3.0984,284310
82,1983-08-02,3.0815,3.0984,3.0399,3.0399,218996
83,1983-08-03,3.0399,3.0565,2.99,2.99,295838
84,1983-08-04,3.0232,3.0317,2.9987,3.0317,257417
85,1983-08-05,3.0485,3.09,2.9734,2.9817,610885
86,1983-08-08,2.9567,2.9567,2.8152,2.8483,1036394
87,1983-08-09,2.8902,2.9237,2.8652,2.907,579187
88,1983-08-10,2.9237,2.9652,2.907,2.9484,426467
89,1983-08-11,2.9652,2.9987,2.9652,2.9734,404374
90,1983-08-12,2.99,3.0317,2.9734,3.0067,1067131
91,1983-08-15,3.0232,3.0649,2.9734,2.99,355392
92,1983-08-16,3.0067,3.0067,2.9567,2.9734,492745
93,1983-08-17,2.9817,3.0565,2.9484,3.0565,1156456
94,1983-08-18,3.0565,3.1401,3.0565,3.1067,700215
95,1983-08-19,3.1067,3.2066,3.0984,3.1733,316010
96,1983-08-22,3.1819,3.2151,3.1819,3.1983,349624
97,1983-08-23,3.1983,3.2569,3.1819,3.1819,364996
98,1983-08-24,3.1733,3.1897,3.1067,3.1067,2389755
99,1983-08-25,3.09,3.1565,3.09,3.1565,2163077
100,1983-08-26,3.1401,3.2316,3.1401,3.2316,404374
101,1983-08-29,3.24,3.2649,3.2151,3.248,315048
102,1983-08-30,3.2316,3.2814,3.2316,3.2649,336177
103,1983-08-31,3.2649,3.3315,3.2569,3.3234,486022
104,1983-09-01,3.3149,3.3149,3.2569,3.2649,402455
105,1983-09-02,3.2733,3.2814,3.2569,3.2814,273744
106,1983-09-06,3.365,3.3813,3.3149,3.3315,567662
107,1983-09-07,3.3234,3.365,3.3149,3.3564,732869
108,1983-09-08,3.3564,3.3813,3.3564,3.3564,855814
109,1983-09-09,3.3564,3.4064,3.3564,3.3982,583992
110,1983-09-12,3.4812,3.4812,3.3813,3.3813,953790
111,1983-09-13,3.3982,3.3982,3.3482,3.365,612809
112,1983-09-14,3.365,3.365,3.3149,3.3397,397651
113,1983-09-15,3.3315,3.3482,3.3065,3.3234,415901
114,1983-09-16,3.3149,3.3149,3.2733,3.3065,763606
115,1983-09-19,3.2982,3.365,3.2982,3.3482,542692
116,1983-09-20,3.3482,3.373,3.3065,3.3065,1524335
117,1983-09-21,3.3149,3.3315,3.2898,3.2898,1036394
118,1983-09-22,3.2898,3.3149,3.248,3.248,841408
119,1983-09-23,3.248,3.3149,3.248,3.3149,741515
120,1983-09-26,3.2982,3.3482,3.2649,3.2649,1392743
121,1983-09-27,3.2649,3.2649,3.2316,3.2649,623374
122,1983-09-28,3.2649,3.2982,3.2649,3.2982,174814
123,1983-09-29,3.2982,3.2982,3.2649,3.2814,468728
124,1983-09-30,3.2898,3.2898,3.2569,3.2733,340021
125,1983-10-03,3.2733,3.3234,3.2649,3.3234,484100
126,1983-10-04,3.3149,3.3234,3.2982,3.3149,631055
127,1983-10-05,3.3065,3.3315,3.3065,3.3234,242050
128,1983-10-06,3.3234,3.3482,3.2814,3.2898,2094878
129,1983-10-07,3.2898,3.2898,3.248,3.2649,650266
130,1983-10-10,3.2733,3.3234,3.2569,3.3065,1141089
131,1983-10-11,3.3065,3.3065,3.2649,3.2649,340981
132,1983-10-12,3.2649,3.3234,3.248,3.2898,1070970
133,1983-10-13,3.2814,3.2982,3.2569,3.2569,227643
134,1983-10-14,3.2733,3.2733,3.248,3.2649,118143
135,1983-10-17,3.2814,3.2814,3.2066,3.2151,381326
136,1983-10-18,3.1983,3.2151,3.09,3.09,355392
137,1983-10-19,3.0733,3.1067,3.0399,3.1067,626254
138,1983-10-20,3.0984,3.1401,3.0815,3.0815,285274
139,1983-10-21,3.0815,3.09,3.0317,3.0565,308323
140,1983-10-24,3.0399,3.0399,2.9652,3.0399,706937
141,1983-10-25,3.0232,3.0565,2.9817,3.0399,560940
142,1983-10-26,3.0317,3.0485,3.0067,3.0067,687727
143,1983-10-27,2.99,2.99,2.8734,2.9149,1413872
144,1983-10-28,2.8983,2.907,2.8734,2.8734,510032
145,1983-10-31,2.8902,2.9237,2.8902,2.8902,767452
146,1983-11-01,2.9149,2.9817,2.907,2.9817,294876
147,1983-11-02,2.9987,3.0317,2.9237,2.9316,1515687
148,1983-11-03,2.9405,2.9405,2.8902,2.9405,1541622
149,1983-11-04,2.9405,2.9405,2.9237,2.9237,121026
150,1983-11-07,2.9237,2.9652,2.9237,2.9316,199787
151,1983-11-08,2.9405,2.9484,2.9237,2.9405,1293812
152,1983-11-09,2.9316,2.9316,2.9149,2.9237,858695
153,1983-11-10,2.907,2.9149,2.8569,2.882,334258
154,1983-11-11,2.8902,2.9405,2.882,2.9316,529243
155,1983-11-14,2.9237,2.9734,2.9149,2.9405,1118998
156,1983-11-15,2.9405,2.9405,2.9149,2.9237,342904
157,1983-11-16,2.9484,3.09,2.9405,3.09,1732766
158,1983-11-17,3.0733,3.0733,3.0317,3.0649,431269
159,1983-11-18,3.0565,3.0565,3.0317,3.0399,90285
