,Date,Open,High,Low,Close,Volume
0,2014-11-20,0.85,0.87,0.8,0.8,7375
1,2014-11-21,0.82,0.9265,0.797,0.9265,19465
2,2014-11-24,0.831,0.831,0.67,0.72,15200
3,2014-11-25,1.21,1.21,0.7,0.7,33600
4,2014-11-26,0.75,0.78,0.75,0.78,1100
5,2014-11-28,0.78,0.85,0.6995,0.6995,9300
6,2014-12-01,0.73,0.73,0.65,0.65,11150
7,2014-12-02,0.689,0.84,0.689,0.84,32150
8,2014-12-03,0.8,0.9,0.7801,0.9,18864
9,2014-12-04,1.04,1.15,0.8301,0.95,46650
10,2014-12-05,1.1,1.1,1.0,1.03,13400
11,2014-12-08,1.1,1.15,1.0,1.0,34521
12,2014-12-09,1.0,1.0649,1.0,1.0,6290
13,2014-12-10,1.0762,1.0762,1.0,1.05,3356
14,2014-12-11,1.03,1.04,1.0,1.0109,14900
15,2014-12-12,1.03,1.05,0.98,1.05,14864
16,2014-12-15,1.06,1.12,1.02,1.1,25600
17,2014-12-16,1.1,1.294,1.1,1.11,30622
18,2014-12-17,1.1,1.12,1.07,1.07,18030
19,2014-12-18,1.14,1.2,1.1,1.2,7900
20,2014-12-19,1.239,1.239,1.229,1.23,6033
21,2014-12-22,1.25,1.25,1.15,1.15,14492
22,2014-12-23,1.12,1.29,1.12,1.29,7160
23,2014-12-24,1.25,1.25,1.2012,1.24,370
24,2014-12-26,1.22,1.22,1.16,1.22,9900
25,2014-12-29,1.2,1.23,1.2,1.23,800
26,2014-12-31,1.21,1.21,1.21,1.21,100
27,2015-01-02,1.12,1.1201,1.12,1.1201,5500
28,2015-01-05,1.22,1.22,1.12,1.14,6484
29,2015-01-06,1.14,1.19,1.07,1.14,19601
30,2015-01-07,1.21,1.21,1.14,1.21,5554
31,2015-01-08,1.17,1.17,1.15,1.16,7200
32,2015-01-09,1.17,1.18,1.17,1.18,400
33,2015-01-14,1.07,1.22,1.07,1.2,15796
34,2015-01-15,1.07,1.2,0.8025,1.2,29250
35,2015-01-16,1.08,1.17,1.02,1.17,11800
36,2015-01-20,1.18,1.21,1.17,1.21,1925
37,2015-01-21,1.22,1.23,1.22,1.23,200
38,2015-01-22,1.2,1.22,1.2,1.2,1800
39,2015-01-23,1.19,1.23,1.17,1.23,2900
40,2015-01-26,1.2299,1.23,1.2299,1.23,930
41,2015-01-27,1.24,1.3,1.18,1.25,17600
42,2015-01-28,1.4156,1.4273,1.33,1.36,59201
43,2015-01-29,1.33,1.4,1.3,1.4,3350
44,2015-01-30,1.4301,1.46,1.4299,1.43,7300
45,2015-02-02,1.41,1.44,1.4,1.44,350
46,2015-02-03,1.47,1.6,1.38,1.59,7900
47,2015-02-04,1.6,1.75,1.4001,1.68,23126
48,2015-02-05,1.63,1.76,1.63,1.75,58459
49,2015-02-06,1.8,1.8,1.7,1.7,15461
50,2015-02-09,1.7,1.7899,1.65,1.7899,3785
51,2015-02-10,1.65,1.65,1.38,1.45,50567
52,2015-02-11,1.47,1.51,0.8998,0.8998,28302
53,2015-02-12,1.2,1.4,1.1999,1.3,17004
54,2015-02-13,1.3,1.39,1.2,1.26,36113
55,2015-02-17,1.29,1.53,1.29,1.47,7870
56,2015-02-18,1.55,1.55,1.38,1.43,7321
57,2015-02-20,1.44,1.44,1.44,1.44,256
58,2015-02-23,1.22,1.65,1.22,1.62,34351
59,2015-02-24,1.49,1.66,1.49,1.6,21320
60,2015-02-25,1.5,1.59,1.49,1.59,11825
61,2015-02-26,1.33,1.54,1.3,1.42,8900
62,2015-02-27,1.4,1.52,1.3,1.5,15928
63,2015-03-02,1.52,1.7,1.52,1.65,24200
64,2015-03-03,1.5,1.56,1.5,1.54,5600
65,2015-03-04,1.47,1.47,1.46,1.46,200
66,2015-03-05,1.65,1.65,1.39,1.45,4300
67,2015-03-06,1.65,1.65,1.1,1.45,3500
68,2015-03-09,1.45,1.45,1.38,1.41,35400
69,2015-03-10,1.38,1.38,1.38,1.38,100
70,2015-03-11,1.39,1.39,1.35,1.35,1300
71,2015-03-12,1.45,1.49,1.32,1.43,3400
72,2015-03-13,1.5,1.5,1.18,1.33,800
73,2015-03-16,1.35,1.36,1.25,1.25,6400
74,2015-03-17,1.2,1.26,1.19,1.2,4100
75,2015-03-18,1.25,1.48,1.2,1.37,31100
76,2015-03-19,1.5,1.5,1.38,1.38,900
77,2015-03-20,1.42,1.48,1.31,1.37,4400
78,2015-03-23,1.45,1.45,1.27,1.37,7500
79,2015-03-24,1.44,1.44,1.43,1.43,1000
80,2015-03-25,1.43,1.43,1.3,1.41,4600
81,2015-03-26,1.28,1.36,1.27,1.27,21700
82,2015-03-27,1.2,1.2,0.9,1.17,102300
83,2015-03-30,1.4,1.4,0.85,1.15,48200
84,2015-03-31,1.1,1.12,1.02,1.05,12200
85,2015-04-01,1.05,1.1,1.05,1.09,7000
86,2015-04-02,1.14,1.14,1.1,1.14,25200
87,2015-04-06,1.16,1.24,1.11,1.24,26100
88,2015-04-07,1.2102,1.2102,1.2,1.2,1495
89,2015-04-08,1.2,1.2,1.14,1.16,6700
90,2015-04-09,1.1401,1.1548,1.139,1.1408,8945
91,2015-04-10,1.14,1.14,1.1,1.12,17300
92,2015-04-13,1.15,1.15,1.1,1.1,2300
93,2015-04-14,1.15,1.18,1.12,1.15,19000
94,2015-04-15,1.18,1.19,1.15,1.18,28500
95,2015-04-16,1.18,1.2,1.16,1.16,34600
96,2015-04-17,1.11,1.18,1.11,1.11,13200
97,2015-04-20,1.15,1.15,1.12,1.12,2200
98,2015-04-22,1.0342,1.06,1.0342,1.06,2100
99,2015-04-23,1.12,1.12,1.02,1.02,5600
100,2015-04-24,1.03,1.03,0.99,1.02,8800
101,2015-04-27,1.05,1.07,0.99,1.07,11600
102,2015-04-28,1.03,1.11,1.02,1.11,4700
103,2015-04-29,1.09,1.13,1.09,1.13,400
104,2015-04-30,1.01,1.1,1.0,1.1,2200
105,2015-05-01,1.07,1.07,0.99,1.05,7800
106,2015-05-04,0.95,1.0,0.95,1.0,4100
107,2015-05-05,0.9,0.97,0.9,0.95,2400
108,2015-05-06,0.945,0.945,0.8599,0.925,5634
109,2015-05-07,0.9499,0.9499,0.89,0.9399,3200
110,2015-05-08,0.97,1.04,0.95,1.0,3400
111,2015-05-11,1.05,1.05,0.85,0.9,3000
112,2015-05-12,1.01,1.18,1.0,1.1,8136
113,2015-05-13,1.12,1.12,1.09,1.09,12300
114,2015-05-14,1.12,1.12,1.0,1.0,3600
115,2015-05-15,1.07,1.1,1.0,1.09,12552
116,2015-05-18,1.01,1.07,0.96,0.96,4000
117,2015-05-19,0.99,0.99,0.96,0.98,2800
118,2015-05-20,0.96,1.02,0.93,0.96,12300
119,2015-05-22,1.0,1.05,1.0,1.05,9800
120,2015-05-26,1.0,1.0,0.989,1.0,15650
121,2015-05-27,1.05,1.05,1.05,1.05,200
122,2015-05-29,1.1,1.1,1.05,1.05,4500
123,2015-06-01,1.05,1.05,1.05,1.05,200
124,2015-06-02,0.97,1.03,0.92,1.03,6100
125,2015-06-03,1.03,1.03,1.03,1.03,100
126,2015-06-04,1.08,1.08,0.93,0.96,15000
127,2015-06-05,1.02,1.03,0.99,1.03,9200
128,2015-06-08,1.05,1.18,0.95,1.18,39800
129,2015-06-09,1.18,1.18,1.15,1.1529,9156
130,2015-06-10,1.16,1.16,1.15,1.15,1056
131,2015-06-11,1.1601,1.1601,1.1601,1.1601,200
132,2015-06-12,1.14,1.15,1.13,1.15,3100
133,2015-06-15,1.17,1.18,1.15,1.17,74100
134,2015-06-16,1.21,1.35,1.2,1.34,36700
135,2015-06-17,1.37,1.44,1.37,1.43,17800
136,2015-06-18,1.43,1.5,1.42,1.5,20500
137,2015-06-19,1.5,1.54,1.46,1.47,18200
138,2015-06-22,1.62,1.81,1.5,1.6,43100
139,2015-06-23,1.41,1.5,1.36,1.5,1917
140,2015-06-24,1.56,1.56,1.56,1.56,100
141,2015-06-25,1.32,1.4,1.32,1.36,6100
142,2015-06-26,1.3,1.46,1.25,1.46,6800
143,2015-06-30,1.2744,1.5,1.2728,1.4,4300
144,2015-07-01,1.25,1.48,1.25,1.36,1900
145,2015-07-02,1.35,1.35,1.35,1.35,2500
146,2015-07-06,1.38,1.38,1.35,1.35,4200
147,2015-07-07,1.25,1.36,1.25,1.35,1500
148,2015-07-08,1.31,1.31,1.0,1.15,222000
149,2015-07-09,1.3,1.35,1.04,1.21,13900
150,2015-07-10,1.25,1.39,1.21,1.39,17000
151,2015-07-13,1.38,1.39,1.26,1.38,5200
152,2015-07-14,1.39,1.39,1.39,1.39,520
153,2015-07-15,1.35,1.35,1.26,1.26,10450
154,2015-07-16,1.33,1.36,1.3,1.3,1400
155,2015-07-17,1.32,1.32,1.32,1.32,6000
156,2015-07-21,1.27,1.39,1.26,1.26,3500
157,2015-07-22,1.21,1.21,1.19,1.19,2300
158,2015-07-23,1.23,1.23,1.22,1.22,500
159,2015-07-24,1.22,1.3,1.14,1.3,16400
160,2015-07-27,1.3,1.3,1.25,1.25,61900
