,Date,Open,High,Low,Close,Volume
0,2013-02-13,20.768,20.98,20.751,20.851,613947
1,2013-02-14,20.937,21.02,20.86,21.011,371250
2,2013-02-15,21.011,21.011,20.911,20.963,169845
3,2013-02-19,20.963,21.011,20.894,20.929,141409
4,2013-02-20,20.877,20.963,20.877,20.929,87670
5,2013-02-21,20.929,20.98,20.851,20.98,98217
6,2013-02-22,20.972,21.02,20.955,21.003,78913
7,2013-02-25,20.994,21.003,20.937,20.972,77383
8,2013-02-26,20.98,21.011,20.894,21.011,98743
9,2013-02-27,20.986,21.003,20.963,21.003,53112
10,2013-02-28,21.003,21.011,20.972,20.994,51983
11,2013-03-01,20.994,21.011,20.955,21.003,54059
12,2013-03-04,20.994,21.003,20.972,21.003,45963
13,2013-03-05,21.003,21.003,20.955,20.955,79204
14,2013-03-06,20.98,20.994,20.945,20.972,63290
15,2013-03-07,20.972,21.011,20.937,21.003,129521
16,2013-03-08,21.003,21.02,20.986,21.003,125891
17,2013-03-11,21.02,21.02,21.003,21.003,142978
18,2013-03-12,21.02,21.02,20.945,21.011,115440
19,2013-03-13,21.117,21.148,21.074,21.131,201556
20,2013-03-14,21.148,21.148,21.057,21.099,121397
21,2013-03-15,21.066,21.117,21.048,21.109,88525
22,2013-03-18,21.117,21.117,21.099,21.117,53000
23,2013-03-19,21.109,21.14,21.099,21.131,58108
24,2013-03-20,21.131,21.157,21.117,21.131,120625
25,2013-03-21,21.14,21.201,21.14,21.193,82206
26,2013-03-22,21.201,21.228,21.184,21.193,156539
27,2013-03-25,21.193,21.228,21.193,21.228,49014
28,2013-03-26,21.218,21.244,21.21,21.236,131687
29,2013-03-27,21.236,21.261,21.184,21.228,100388
30,2013-03-28,21.236,21.276,21.228,21.268,124519
31,2013-04-01,21.31,21.31,21.244,21.276,75219
32,2013-04-02,21.276,21.302,21.244,21.276,99796
33,2013-04-03,21.285,21.293,21.261,21.276,61787
34,2013-04-04,21.276,21.31,21.268,21.293,71616
35,2013-04-05,21.31,21.31,21.261,21.302,66151
36,2013-04-08,21.355,21.379,21.302,21.328,143580
37,2013-04-09,21.319,21.346,21.285,21.346,57022
38,2013-04-10,21.328,21.355,21.302,21.338,87984
39,2013-04-11,21.419,21.463,21.344,21.344,103051
40,2013-04-12,21.353,21.378,21.327,21.336,182513
41,2013-04-15,21.361,21.395,21.308,21.317,133468
42,2013-04-16,21.353,21.395,21.336,21.378,138458
43,2013-04-17,21.419,21.419,21.317,21.371,130598
44,2013-04-18,21.371,21.436,21.361,21.412,112554
45,2013-04-19,21.436,21.635,21.378,21.609,337071
46,2013-04-22,21.499,21.541,21.454,21.515,98553
47,2013-04-23,21.557,21.565,21.472,21.515,34186
48,2013-04-24,21.523,21.549,21.515,21.523,37170
49,2013-04-25,21.541,21.541,21.463,21.49,64816
50,2013-04-26,21.541,21.549,21.499,21.515,52350
51,2013-04-29,21.532,21.565,21.523,21.549,32041
52,2013-04-30,21.532,21.599,21.532,21.582,73682
53,2013-05-01,21.582,21.599,21.523,21.549,65328
54,2013-05-02,21.582,21.599,21.557,21.59,70208
55,2013-05-03,21.582,21.618,21.582,21.609,62456
56,2013-05-06,21.618,21.635,21.565,21.627,46076
57,2013-05-07,21.653,21.822,21.635,21.806,46031
58,2013-05-08,21.736,21.806,21.718,21.781,47539
59,2013-05-09,21.789,21.797,21.66,21.718,42025
60,2013-05-10,21.736,21.789,21.703,21.763,29627
61,2013-05-13,21.779,21.839,21.675,21.675,40826
62,2013-05-14,21.743,21.743,21.579,21.606,73610
63,2013-05-15,21.615,21.684,21.571,21.615,51622
64,2013-05-16,21.632,21.701,21.606,21.65,39747
65,2013-05-17,21.675,21.675,21.642,21.667,17953
66,2013-05-20,21.684,21.692,21.52,21.692,156730
67,2013-05-21,21.716,21.89,21.709,21.88,163164
68,2013-05-22,21.839,21.917,21.796,21.88,150045
69,2013-05-23,21.88,21.926,21.734,21.926,77937
70,2013-05-24,21.88,21.942,21.871,21.942,8001
71,2013-05-28,21.942,21.942,21.642,21.734,198721
72,2013-05-29,21.65,21.65,20.944,21.202,233580
73,2013-05-30,21.263,21.408,21.157,21.287,111646
74,2013-05-31,21.295,21.295,20.993,21.09,73437
75,2013-06-03,21.295,21.295,20.944,21.047,37353
76,2013-06-04,21.219,21.237,21.028,21.055,46214
77,2013-06-05,21.417,21.417,20.953,20.979,32518
78,2013-06-06,21.157,21.175,20.979,21.14,21581
79,2013-06-07,21.211,21.34,21.166,21.27,20054
80,2013-06-10,21.27,21.27,21.003,21.047,42254
81,2013-06-11,21.003,21.099,20.686,20.701,37199
82,2013-06-12,20.994,21.021,19.782,20.197,163412
83,2013-06-13,20.068,20.838,20.068,20.805,78007
84,2013-06-14,20.847,21.056,20.847,20.935,19860
85,2013-06-17,20.979,21.074,20.832,20.935,62613
86,2013-06-18,21.011,21.011,20.832,20.891,99398
87,2013-06-19,21.029,21.029,20.413,20.891,154774
88,2013-06-20,20.734,20.847,20.493,20.614,53664
89,2013-06-21,20.708,20.752,20.545,20.623,34794
90,2013-06-24,20.519,20.596,19.721,20.197,114216
91,2013-06-25,20.224,20.398,19.989,20.371,110266
92,2013-06-26,20.676,20.838,20.381,20.676,5278
93,2013-06-27,20.787,21.15,20.684,20.882,30657
94,2013-06-28,21.372,21.416,21.054,21.195,14834
95,2013-07-01,20.918,20.985,20.519,20.979,37299
96,2013-07-02,20.994,21.186,20.944,21.048,32280
97,2013-07-03,21.038,21.056,20.832,20.961,11493
98,2013-07-05,20.725,20.797,20.519,20.631,13260
99,2013-07-08,20.631,20.676,20.215,20.545,10881
100,2013-07-09,20.458,20.458,20.284,20.439,23482
101,2013-07-10,20.458,20.475,20.292,20.363,19096
102,2013-07-11,20.43,20.604,20.43,20.56,30517
103,2013-07-12,20.587,20.798,20.587,20.735,29187
104,2013-07-15,20.677,20.866,20.604,20.692,10353
105,2013-07-16,20.692,20.956,20.604,20.604,4868
106,2013-07-17,20.938,20.956,20.735,20.884,11728
107,2013-07-18,20.893,20.929,20.677,20.677,5992
108,2013-07-19,20.677,20.807,20.649,20.807,8751
109,2013-07-22,20.849,20.857,20.7,20.807,8613
110,2013-07-23,20.857,20.857,20.596,20.735,44518
111,2013-07-24,20.735,20.763,20.43,20.43,27528
112,2013-07-25,20.412,20.744,20.412,20.43,21115
113,2013-07-26,20.474,20.56,20.361,20.388,18646
114,2013-07-29,20.474,20.718,20.222,20.438,25145
115,2013-07-30,20.587,20.649,20.404,20.518,7028
116,2013-07-31,20.545,20.56,20.291,20.474,24801
117,2013-08-01,20.474,20.474,20.117,20.37,46720
118,2013-08-02,20.15,20.474,20.15,20.457,25609
119,2013-08-05,20.388,20.43,20.308,20.325,30644
120,2013-08-06,20.213,20.273,19.785,20.273,51333
121,2013-08-07,19.959,20.37,19.82,20.256,32917
122,2013-08-08,20.124,20.239,19.959,20.186,26059
123,2013-08-09,20.046,20.249,20.046,20.194,25778
124,2013-08-12,20.142,20.256,20.038,20.168,27183
125,2013-08-13,20.229,20.316,19.85,20.158,49859
126,2013-08-14,19.999,20.097,19.947,20.071,51735
127,2013-08-15,20.097,20.122,19.49,19.798,53362
128,2013-08-16,19.789,19.921,19.19,19.26,54984
129,2013-08-19,19.252,19.252,17.617,17.617,238682
130,2013-08-20,17.723,18.056,17.273,17.985,98172
131,2013-08-21,17.677,17.985,17.677,17.925,37506
132,2013-08-22,17.925,18.198,17.916,18.056,40037
133,2013-08-23,18.116,18.52,18.108,18.52,71111
134,2013-08-26,18.629,18.848,18.295,18.295,40320
135,2013-08-27,17.995,18.752,17.976,18.62,24341
136,2013-08-28,18.258,18.717,18.249,18.399,50216
137,2013-08-29,18.295,18.848,18.295,18.777,22298
138,2013-08-30,18.926,18.978,18.808,18.916,29422
139,2013-09-03,18.848,18.848,18.338,18.338,23507
140,2013-09-04,18.295,18.688,18.295,18.688,13520
141,2013-09-05,18.688,18.688,18.469,18.629,10336
142,2013-09-06,18.557,18.979,18.557,18.83,16392
143,2013-09-09,18.91,19.217,18.91,18.979,16106
144,2013-09-10,18.918,18.918,18.76,18.892,7197
145,2013-09-11,18.969,19.084,18.704,19.084,18315
146,2013-09-12,18.775,19.102,18.775,19.05,12993
147,2013-09-13,18.791,19.102,18.775,18.899,10226
148,2013-09-16,19.093,19.093,18.846,18.865,7463
149,2013-09-17,18.926,18.95,18.846,18.899,9282
150,2013-09-18,18.775,19.281,18.704,19.148,43269
151,2013-09-19,19.148,19.395,19.058,19.139,34235
152,2013-09-20,19.148,19.325,18.865,18.899,13908
153,2013-09-23,18.899,19.102,18.89,19.076,24765
154,2013-09-24,18.987,19.209,18.987,19.058,16931
155,2013-09-25,19.058,19.076,19.014,19.05,17180
156,2013-09-26,19.058,19.076,18.74,18.872,14623
157,2013-09-27,18.926,19.05,18.926,18.933,14139
158,2013-09-30,18.933,18.987,18.881,18.89,4583
159,2013-10-01,18.916,18.969,18.916,18.96,12266
160,2013-10-02,19.076,19.148,18.969,19.148,10270
161,2013-10-03,19.395,19.395,19.067,19.253,26951
162,2013-10-04,19.093,19.235,19.093,19.235,4656
163,2013-10-07,19.084,19.235,18.96,18.969,95241
164,2013-10-08,18.987,19.032,18.791,18.791,25073
165,2013-10-09,18.828,18.846,18.731,18.836,23169
166,2013-10-10,18.77,18.787,18.643,18.752,36220
167,2013-10-11,18.76,18.965,18.76,18.76,15370
168,2013-10-14,18.76,18.76,18.627,18.627,20508
169,2013-10-15,18.609,18.76,18.401,18.466,64131
170,2013-10-16,18.536,18.66,18.064,18.35,116633
171,2013-10-17,18.331,18.716,18.331,18.457,89381
172,2013-10-18,18.401,18.627,18.231,18.231,44987
173,2013-10-21,18.401,18.474,18.357,18.474,33094
174,2013-10-22,18.687,18.868,18.494,18.716,32361
175,2013-10-23,18.752,18.885,18.6,18.84,31422
176,2013-10-24,18.895,18.983,18.742,18.93,25073
177,2013-10-25,19.072,19.108,18.726,19.038,69631
178,2013-10-28,19.011,19.296,18.983,18.983,62892
179,2013-10-29,19.072,19.072,18.77,18.85,79590
180,2013-10-30,18.804,18.85,18.643,18.76,21959
181,2013-10-31,18.752,18.965,18.697,18.787,375671
182,2013-11-01,18.859,18.895,18.734,18.752,578819
183,2013-11-04,18.822,18.913,18.752,18.913,15461
184,2013-11-05,18.895,18.913,18.707,18.726,17848
185,2013-11-06,18.734,18.734,18.544,18.636,20150
