,Date,Open,High,Low,Close,Volume
0,2005-02-25,5.0736,5.1678,4.9797,5.1678,40458
1,2005-02-28,5.1678,5.2052,5.0832,5.1958,29614
2,2005-03-01,5.1958,5.2428,5.149,5.1863,30310
3,2005-03-02,5.3088,5.4494,5.1958,5.2146,18633
4,2005-03-03,5.224,5.4401,5.224,5.4027,32888
5,2005-03-04,5.412,5.4871,5.4027,5.4494,12014
6,2005-03-07,5.5341,5.6187,5.4027,5.412,11405
7,2005-03-08,5.412,5.6281,5.412,5.4779,15590
8,2005-03-09,5.3837,5.5528,5.3745,5.4871,9713
9,2005-03-10,5.6091,5.6091,5.4027,5.4308,6918
10,2005-03-11,5.3179,5.4308,5.3179,5.4027,6121
11,2005-03-14,5.4308,5.4308,5.3179,5.3179,1280
12,2005-03-15,5.3557,5.3557,5.1678,5.3088,20292
13,2005-03-16,5.3179,5.4027,5.3179,5.3649,4663
14,2005-03-17,5.3557,5.3557,5.3179,5.3461,5118
15,2005-03-18,5.3179,5.3557,5.3088,5.3557,4134
16,2005-03-21,5.3179,5.3368,5.3088,5.3088,3992
17,2005-03-22,5.3461,5.4308,5.3368,5.412,35277
18,2005-03-23,5.3649,5.421,5.3557,5.4027,48509
19,2005-03-24,5.3179,5.4027,5.1018,5.149,31709
20,2005-03-28,5.0832,5.3649,5.0832,5.3368,16452
21,2005-03-29,5.271,5.3088,5.2616,5.2991,5400
22,2005-03-30,5.1301,5.3557,5.1301,5.2805,5860
23,2005-03-31,5.0832,5.3088,5.0832,5.271,15097
24,2005-04-01,5.3557,5.3557,5.1958,5.2334,4898
25,2005-04-04,5.271,5.2991,5.2616,5.2616,9808
26,2005-04-05,5.271,5.3088,5.271,5.3088,3194
27,2005-04-06,5.3368,5.3368,5.2805,5.3272,4614
28,2005-04-07,5.2616,5.3557,5.2616,5.3088,9921
29,2005-04-08,5.3179,5.3557,5.271,5.271,9568
30,2005-04-11,5.2616,5.2616,5.1958,5.2616,10379
31,2005-04-12,5.2616,5.3272,5.2616,5.3179,9902
32,2005-04-13,5.3557,5.3557,5.2616,5.2616,12702
33,2005-04-14,5.2616,5.2805,5.0832,5.2052,3970
34,2005-04-15,5.0832,5.149,4.9797,4.9797,18263
35,2005-04-18,4.9797,5.0736,4.9797,5.008,7621
36,2005-04-19,4.9797,5.0175,4.9422,4.9702,14859
37,2005-04-20,5.3088,5.3088,4.8387,4.9422,11642
38,2005-04-21,4.8483,5.0736,4.8483,4.8765,106539
39,2005-04-22,4.8668,4.9513,4.8387,4.8857,13517
40,2005-04-25,4.9327,4.9327,4.8575,4.9233,1918
41,2005-04-26,4.8857,4.9513,4.8857,4.9233,62770
42,2005-04-27,5.0175,5.0736,4.9233,5.008,9799
43,2005-04-28,4.9327,5.0736,4.9327,5.0547,7766
44,2005-04-29,4.9327,5.0736,4.9327,5.036,15080
45,2005-05-02,5.1582,5.1582,5.036,5.1018,11192
46,2005-05-03,5.1301,5.1301,4.9797,4.9797,12329
47,2005-05-04,4.9797,5.0643,4.9797,4.9797,423
48,2005-05-05,5.1205,5.1205,4.9797,4.9983,4185
49,2005-05-06,5.0643,5.0643,4.9797,4.9797,5418
50,2005-05-09,4.9797,4.9983,4.9797,4.9983,20808
51,2005-05-10,5.008,5.008,4.8387,4.9983,9435
52,2005-05-11,4.9983,5.0925,4.9422,5.0925,11006
53,2005-05-12,4.9797,5.149,4.9612,5.0547,2366
54,2005-05-13,5.0547,5.0547,4.6887,4.7916,34820
55,2005-05-16,4.8294,5.1395,4.698,4.7541,3471
56,2005-05-17,4.9513,4.9513,4.7541,4.8575,11729
57,2005-05-18,4.7541,4.8575,4.7261,4.7354,16247
58,2005-05-19,4.7449,4.7731,4.7449,4.7541,8122
59,2005-05-20,4.8106,4.9233,4.7731,4.7731,16428
60,2005-05-23,4.7635,5.1115,4.7635,4.914,25647
61,2005-05-24,4.9233,5.1115,4.8857,5.0266,5355
62,2005-05-25,4.9327,5.1115,4.9327,5.036,3194
63,2005-05-26,4.9327,5.0832,4.9327,5.036,14377
64,2005-05-27,4.9422,5.0925,4.9422,5.0925,4285
65,2005-05-31,5.0266,5.149,5.0266,5.1301,7006
66,2005-06-01,5.0456,5.149,5.0456,5.1395,4815
67,2005-06-02,5.0175,5.1301,5.0175,5.0832,16426
68,2005-06-03,4.9891,5.1395,4.9891,5.0736,2799
69,2005-06-06,4.9612,5.149,4.9327,4.9797,5082
70,2005-06-07,4.9327,5.0736,4.9327,5.036,12877
71,2005-06-08,4.9422,5.1115,4.9422,5.0266,1679
72,2005-06-09,5.0643,5.1395,4.9612,5.1395,3831
73,2005-06-10,4.8953,5.1301,4.8953,4.9422,4041
74,2005-06-13,4.9327,5.1395,4.9327,4.9422,2372
75,2005-06-14,4.9422,4.9422,4.8953,4.8953,38702
76,2005-06-15,4.9046,5.149,4.8857,4.9612,29468
77,2005-06-16,4.9327,5.1115,4.9046,4.9513,11751
78,2005-06-17,4.8857,5.0925,4.8857,4.9233,9898
79,2005-06-20,4.914,5.0547,4.914,4.9983,15566
80,2005-06-21,4.8857,5.0832,4.8857,5.0456,17472
81,2005-06-22,5.0456,5.1395,4.9233,4.9327,13732
82,2005-06-23,4.8387,5.1301,4.8387,4.9233,11208
83,2005-06-24,4.9233,5.0736,4.9233,4.9513,10810
84,2005-06-27,4.9327,5.0736,4.9327,4.9327,2594
85,2005-06-28,4.9891,5.1205,4.9327,4.9327,10239
86,2005-06-29,5.1205,5.1205,4.9891,4.9983,3512
87,2005-06-30,4.9327,5.1395,4.9327,5.0266,8337
88,2005-07-01,5.008,5.1115,5.008,5.0456,7282
89,2005-07-05,4.9422,5.1395,4.9327,4.9612,4995
90,2005-07-06,4.9797,5.036,4.9327,5.0175,2665
91,2005-07-07,4.9327,5.0832,4.9327,4.9327,4730
92,2005-07-08,4.9327,4.9702,4.9327,4.9327,6090
93,2005-07-11,4.9327,4.9327,4.9327,4.9327,16438
94,2005-07-12,4.9327,5.1205,4.9327,4.9797,10645
95,2005-07-13,5.0266,5.0266,4.9513,4.9513,3665
96,2005-07-14,4.9327,5.0266,4.9327,4.9327,9552
97,2005-07-15,4.9327,4.9513,4.9327,4.9327,7395
98,2005-07-18,4.9327,4.9797,4.9327,4.9327,2553
99,2005-07-19,4.9327,4.9891,4.9327,4.9797,22927
100,2005-07-20,4.9612,5.0266,4.9513,5.0175,15218
101,2005-07-21,4.9513,5.0266,4.9422,4.9797,19476
102,2005-07-22,4.9797,4.9891,4.9513,4.9612,30638
103,2005-07-25,4.9797,5.0175,4.9797,4.9797,16903
104,2005-07-26,4.9797,5.008,4.9797,4.9797,8664
105,2005-07-27,4.9797,4.9797,4.9797,4.9797,15856
106,2005-07-28,4.9797,5.0266,4.9797,4.9891,15964
107,2005-07-29,4.9797,5.0266,4.9797,5.0266,8616
108,2005-08-01,5.036,5.1395,4.9797,5.036,29039
109,2005-08-02,5.008,5.0832,5.008,5.0456,26634
110,2005-08-03,5.008,5.0736,5.008,5.036,1511
111,2005-08-04,5.036,5.0456,4.9983,4.9983,2637
112,2005-08-05,4.9983,4.9983,4.9891,4.9891,4148
113,2005-08-08,4.9797,4.9891,4.9797,4.9797,742
114,2005-08-09,4.9797,4.9797,4.9797,4.9797,3345
115,2005-08-10,4.9797,4.9797,4.9797,4.9797,3117
116,2005-08-11,4.9797,4.9797,4.9702,4.9797,4042
117,2005-08-12,4.9513,5.0456,4.9513,5.0456,21208
118,2005-08-15,4.9612,5.0547,4.9612,4.9612,24687
119,2005-08-16,4.9612,5.0266,4.9612,4.9612,3362
120,2005-08-17,5.008,5.008,4.9612,4.9612,1722
121,2005-08-18,4.9612,4.9797,4.9612,4.9612,6530
122,2005-08-19,4.9612,5.1115,4.9612,5.1018,10501
123,2005-08-22,5.1395,5.1395,4.9612,4.9612,5269
124,2005-08-23,4.9612,4.9797,4.9422,4.9422,25015
125,2005-08-24,4.9797,5.0266,4.9797,4.9797,1014
126,2005-08-25,4.9797,4.9891,4.8857,4.9797,9397
127,2005-08-26,4.9797,4.9797,4.8857,4.8857,5657
128,2005-08-29,4.9327,4.9327,4.7916,4.8013,9867
129,2005-08-30,4.7823,4.8013,4.5005,4.5005,14086
130,2005-08-31,4.5193,4.698,4.5193,4.698,4346
131,2005-09-01,4.6509,4.7354,4.5193,4.5756,13670
132,2005-09-02,4.538,4.7449,4.51,4.7449,11060
133,2005-09-06,4.6791,4.6791,4.557,4.6509,9596
134,2005-09-07,4.6509,4.6509,4.2374,4.538,22922
135,2005-09-08,4.538,4.7354,4.538,4.698,11155
136,2005-09-09,4.6601,4.6601,4.3222,4.4536,42471
137,2005-09-12,4.4629,4.4912,4.4536,4.4629,18748
138,2005-09-13,4.4629,4.698,4.4629,4.5756,13744
139,2005-09-14,4.538,4.7916,4.5289,4.6509,47026
140,2005-09-15,4.6134,4.8575,4.6134,4.7823,15200
141,2005-09-16,4.8387,4.8387,4.6225,4.7261,3492
142,2005-09-19,4.6697,4.7449,4.6414,4.698,5831
143,2005-09-20,4.7541,4.8387,4.6509,4.8387,14861
144,2005-09-21,4.7823,4.7823,4.5289,4.6039,2925
145,2005-09-22,4.5946,4.7541,4.5946,4.6134,4148
146,2005-09-23,4.6039,4.82,3.824,4.0401,103438
147,2005-09-26,4.2092,4.2749,4.0401,4.2655,25214
148,2005-09-27,3.9464,4.3032,3.9464,4.3032,14744
149,2005-09-28,4.2846,4.4443,4.1528,4.3032,7057
150,2005-09-29,4.2655,4.4724,4.0119,4.0588,34634
151,2005-09-30,4.181,4.181,4.0026,4.0871,9645
152,2005-10-03,4.1246,4.2001,4.0871,4.106,5985
153,2005-10-04,4.0965,4.181,4.0871,4.181,17943
154,2005-10-05,4.0965,4.2092,4.0778,4.0778,11829
155,2005-10-06,4.1341,4.1625,4.1341,4.1341,9962
156,2005-10-07,4.1341,4.181,4.1341,4.181,6140
157,2005-10-10,4.181,4.2001,4.1246,4.2001,5337
158,2005-10-11,4.1341,4.1528,4.1154,4.1528,3873
159,2005-10-12,4.1341,4.3032,4.1341,4.1341,11575
160,2005-10-13,4.1154,4.2186,4.1154,4.1341,7769
161,2005-10-14,4.1246,4.1246,4.1154,4.1154,1104
162,2005-10-17,4.1341,4.2655,4.1341,4.2562,2817
163,2005-10-18,4.1154,4.2938,4.1154,4.1904,8149
164,2005-10-19,4.1904,4.1904,4.1904,4.1904,100
165,2005-10-20,4.3222,4.3222,4.1904,4.2092,14973
166,2005-10-21,4.2282,4.3222,4.2282,4.3032,3725
167,2005-10-24,4.2846,4.2846,4.2846,4.2846,100
168,2005-10-25,4.2282,4.3032,4.1154,4.1717,32667
169,2005-10-26,4.1341,4.1528,4.1246,4.1341,2608
170,2005-10-27,4.1154,4.2749,4.1154,4.1341,11435
171,2005-10-28,4.2282,4.3032,4.2186,4.2374,5145
172,2005-10-31,4.3222,4.3504,4.3222,4.3222,2318
173,2005-11-01,4.369,4.5476,4.369,4.369,32181
174,2005-11-02,4.3222,4.51,4.3222,4.4443,37395
175,2005-11-03,4.4159,4.5476,4.4159,4.4536,9078
176,2005-11-04,4.4159,4.5476,4.4159,4.4536,8622
177,2005-11-07,4.4159,4.7449,4.2282,4.538,28619
178,2005-11-08,4.4818,4.6509,4.4348,4.557,10098
179,2005-11-09,4.5756,4.5851,4.3971,4.4348,7971
180,2005-11-10,4.3971,4.4629,4.3408,4.4629,5785
181,2005-11-11,4.4068,4.538,4.3594,4.3594,7507
182,2005-11-14,4.3594,4.369,4.3314,4.3408,7216
183,2005-11-15,4.3314,4.3504,4.2846,4.2846,7017
184,2005-11-16,4.2846,4.5851,4.2749,4.4724,14536
185,2005-11-17,4.4159,4.7916,4.4159,4.5005,5397
186,2005-11-18,4.6697,4.698,4.5193,4.6887,4630
187,2005-11-21,4.5289,4.6509,4.5005,4.6509,1380
188,2005-11-22,4.4912,4.6321,4.4629,4.557,12284
189,2005-11-23,4.4629,4.7354,4.4348,4.557,15979
190,2005-11-25,4.557,4.8483,4.557,4.5665,3701
191,2005-11-28,4.5193,4.6321,4.4159,4.4348,8514
192,2005-11-29,4.4348,4.6601,4.4348,4.4629,10233
193,2005-11-30,4.3877,4.7354,4.3877,4.51,12142
194,2005-12-01,4.4724,4.5289,4.4159,4.4724,28151
195,2005-12-02,4.51,4.51,4.4068,4.4068,14374
196,2005-12-05,4.2374,4.4818,4.2374,4.3971,14833
197,2005-12-06,4.2749,4.4536,4.2749,4.4159,3792
198,2005-12-07,4.4159,4.4818,4.4159,4.4159,1280
199,2005-12-08,4.3314,4.4348,4.2749,4.3594,5306
200,2005-12-09,4.3504,4.51,4.3504,4.4818,6417
201,2005-12-12,4.5005,4.51,4.4253,4.4348,7850
202,2005-12-13,4.3408,4.369,4.2655,4.3314,6212
203,2005-12-14,4.2749,4.3127,4.2655,4.2938,8469
204,2005-12-15,4.2562,4.3127,4.2562,4.2938,5713
205,2005-12-16,4.2655,4.2655,4.2655,4.2655,219
206,2005-12-19,4.2562,4.2655,4.2001,4.2282,11999
207,2005-12-20,4.181,4.2655,4.181,4.2186,16458
208,2005-12-21,4.181,4.2282,4.181,4.1904,10645
209,2005-12-22,4.1904,4.2282,4.181,4.2092,14947
210,2005-12-23,4.1904,4.2092,4.1717,4.181,30336
211,2005-12-27,4.1528,4.1528,3.7959,3.8335,39473
212,2005-12-28,3.9369,4.0588,3.9274,4.0401,15620
213,2005-12-29,4.0496,4.1341,4.0401,4.0965,19040
214,2005-12-30,4.0496,4.1154,4.0401,4.1154,12972
215,2006-01-03,4.1528,4.1625,4.0683,4.1246,10609
216,2006-01-04,4.0965,4.1341,4.0965,4.1341,9310
217,2006-01-05,4.0778,4.0778,4.0401,4.0496,7997
218,2006-01-06,4.0119,4.2092,4.0119,4.2092,16433
219,2006-01-09,4.3314,4.3408,4.3222,4.3408,37011
220,2006-01-10,4.3222,4.3785,4.3222,4.3785,10743
221,2006-01-11,4.2846,4.4348,4.2846,4.3032,12854
222,2006-01-12,4.2092,4.3314,4.1341,4.2468,4300
223,2006-01-13,4.2001,4.2749,4.2001,4.2749,2743
224,2006-01-17,4.3314,4.3408,4.2562,4.3408,5065
225,2006-01-18,4.2562,4.2562,4.2282,4.2282,8869
226,2006-01-19,4.2186,4.2282,4.2001,4.2282,11921
227,2006-01-20,4.2282,4.2749,4.2282,4.2562,16557
228,2006-01-23,4.3408,4.3504,4.2001,4.3504,7206
229,2006-01-24,4.3032,4.3032,4.2092,4.2374,7237
230,2006-01-25,4.2282,4.3127,4.2186,4.2282,5276
231,2006-01-26,4.1717,4.1717,4.0588,4.1528,5431
232,2006-01-27,4.0965,4.181,4.0119,4.1528,5992
233,2006-01-30,4.0308,4.1341,4.0308,4.0871,5792
234,2006-01-31,4.0778,4.2846,4.0496,4.2749,12274
235,2006-02-01,4.1904,4.2001,4.0871,4.0871,4400
236,2006-02-02,4.0965,4.2468,4.0778,4.2468,3228
237,2006-02-03,4.1435,4.2001,4.1435,4.2001,2902
