,Date,Open,High,Low,Close,Volume
0,2005-02-25,13.27,13.64,12.8,12.84,837924
1,2005-02-28,13.19,13.2,12.1,12.71,1686813
2,2005-03-01,13.3,13.56,13.13,13.26,1277062
3,2005-03-02,13.55,13.69,13.34,13.52,598420
4,2005-03-03,13.48,13.55,13.25,13.28,366857
5,2005-03-04,13.43,13.46,12.9,13.0,493343
6,2005-03-07,13.15,13.25,12.87,13.02,423948
7,2005-03-08,13.07,13.19,12.47,12.69,327629
8,2005-03-09,12.63,12.93,12.52,12.7,357931
9,2005-03-10,12.76,12.89,12.21,12.28,444495
10,2005-03-11,12.34,12.48,12.2,12.27,252216
11,2005-03-14,12.42,12.42,12.15,12.27,238095
12,2005-03-15,12.31,12.35,11.44,11.61,936689
13,2005-03-16,11.59,12.04,11.47,11.53,434993
14,2005-03-17,11.8,11.91,11.5,11.53,299952
15,2005-03-18,11.65,11.65,11.11,11.38,311710
16,2005-03-21,11.44,11.5,11.01,11.17,413170
17,2005-03-22,11.09,11.23,10.92,11.0,701055
18,2005-03-23,10.9,10.94,10.66,10.91,651246
19,2005-03-24,11.0,11.57,11.0,11.31,736499
20,2005-03-28,11.52,11.6,11.34,11.38,465710
21,2005-03-29,11.34,11.49,10.9,10.95,254541
22,2005-03-30,11.03,11.24,10.92,11.2,309426
23,2005-03-31,11.3,11.32,11.11,11.26,303692
24,2005-04-01,11.27,11.46,11.17,11.33,669373
25,2005-04-04,11.35,11.44,11.2,11.3,659243
26,2005-04-05,11.23,11.35,10.58,10.9,975709
27,2005-04-06,10.93,11.15,10.42,10.47,971944
28,2005-04-07,10.45,10.74,10.09,10.2,1632976
29,2005-04-08,10.3,10.49,10.15,10.3,1112360
30,2005-04-11,10.44,10.59,9.97,10.12,942299
31,2005-04-12,10.15,10.2,9.82,10.0,838819
32,2005-04-13,9.9,10.13,9.64,9.65,694425
33,2005-04-14,9.71,9.91,9.19,9.44,607960
34,2005-04-15,9.35,9.38,8.86,9.07,652774
35,2005-04-18,9.32,9.46,9.13,9.4,542778
36,2005-04-19,9.65,9.8,9.6,9.79,587950
37,2005-04-20,9.9,9.94,9.64,9.71,810472
38,2005-04-21,9.77,9.97,9.74,9.95,461631
39,2005-04-22,9.99,10.2,9.65,9.74,318629
40,2005-04-25,9.89,9.89,9.33,9.4,465387
41,2005-04-26,9.7,9.72,8.67,9.08,2169362
42,2005-04-27,9.21,9.67,9.15,9.61,727642
43,2005-04-28,9.86,9.94,9.54,9.55,383146
44,2005-04-29,9.68,9.83,9.33,9.71,359989
45,2005-05-02,9.87,10.13,9.8,9.89,523308
46,2005-05-03,9.94,10.02,9.78,9.86,322968
47,2005-05-04,9.9,10.15,9.82,10.11,232310
48,2005-05-05,10.21,10.45,10.17,10.43,298309
49,2005-05-06,10.49,10.5,10.3,10.41,276499
50,2005-05-09,10.52,10.59,10.41,10.57,333251
51,2005-05-10,10.54,10.61,10.52,10.59,311772
52,2005-05-11,10.62,10.75,10.53,10.71,201343
53,2005-05-12,10.8,11.0,10.7,10.95,283003
54,2005-05-13,11.0,11.16,10.91,10.96,372438
55,2005-05-16,11.02,11.27,11.02,11.27,230316
56,2005-05-17,11.11,11.11,10.85,10.97,212231
57,2005-05-18,10.88,11.12,10.73,11.07,399553
58,2005-05-19,11.1,11.34,11.1,11.32,738236
59,2005-05-20,11.21,11.37,11.21,11.28,278808
60,2005-05-23,11.22,11.22,11.07,11.15,345159
61,2005-05-24,11.07,11.18,10.96,11.0,190267
62,2005-05-25,11.42,11.8,11.22,11.74,617348
63,2005-05-26,11.91,12.0,11.71,11.77,403293
64,2005-05-27,11.75,12.15,11.61,12.12,459002
65,2005-05-31,12.18,12.18,11.9,12.07,206162
66,2005-06-01,11.98,12.16,11.8,12.02,227541
67,2005-06-02,11.77,12.07,11.55,12.0,289869
68,2005-06-03,11.97,11.97,11.8,11.83,338106
69,2005-06-06,11.73,11.83,11.72,11.76,471845
70,2005-06-07,12.11,12.12,11.77,11.86,361449
71,2005-06-08,11.99,12.04,11.53,11.7,354278
72,2005-06-09,11.67,11.67,11.4,11.45,331343
73,2005-06-10,11.32,11.48,11.05,11.1,431944
74,2005-06-13,11.01,11.08,10.85,11.06,373990
75,2005-06-14,11.01,11.23,10.91,10.99,267178
76,2005-06-15,10.9,10.9,10.57,10.63,355681
77,2005-06-16,10.57,10.7,10.49,10.52,342156
78,2005-06-17,10.62,10.8,10.49,10.57,217661
79,2005-06-20,10.54,10.99,10.5,10.77,805769
80,2005-06-21,11.1,11.1,10.92,11.0,538971
