,Date,Open,High,Low,Close,Volume
0,2017-08-30,20.136,20.754,20.136,20.754,263
1,2017-09-14,21.34,25.608,20.772,20.851,1676
2,2017-09-15,20.9,20.9,20.792,20.857,970
3,2017-09-18,20.776,20.776,20.776,20.776,1022
4,2017-09-20,21.007,21.007,21.007,21.007,633
5,2017-09-22,20.954,20.954,20.949,20.954,1022
6,2017-09-26,21.125,21.125,21.125,21.125,1115
7,2017-10-03,21.522,21.522,21.522,21.522,230
8,2017-10-09,21.536,21.536,21.518,21.518,664
9,2017-10-10,21.497,21.516,21.435,21.516,1323
10,2017-10-11,21.105,21.105,21.105,21.105,12325
11,2017-10-12,21.38,21.38,21.38,21.38,198
12,2017-10-25,21.04,21.04,21.04,21.04,500
13,2017-11-02,20.3791,20.3791,20.3791,20.3791,252
14,2017-11-07,20.8385,20.8385,20.8385,20.8385,143
15,2017-11-08,21.06,21.06,20.9523,20.9523,440
