,Date,Open,High,Low,Close,Volume
0,2013-01-25,27.75,28.94,27.5,28.32,9225627
1,2013-01-28,28.42,28.62,27.9,28.25,728664
2,2013-01-29,28.0,28.82,27.82,28.75,387685
3,2013-01-30,29.0,29.0,28.32,28.63,122250
4,2013-01-31,28.47,28.62,27.5,28.0,274432
5,2013-02-01,28.2,28.63,27.8,28.3,108553
6,2013-02-04,28.32,28.67,27.56,28.04,194650
7,2013-02-05,28.08,28.3,27.5,27.86,255778
8,2013-02-06,27.55,27.65,27.5,27.5,117283
9,2013-02-07,27.5,28.9,27.5,28.5,135110
10,2013-02-08,28.39,29.79,28.1,29.5,99790
11,2013-02-11,29.31,30.97,29.1,30.16,223740
12,2013-02-12,31.5,31.5,29.21,29.25,239884
13,2013-02-13,29.25,29.3,28.89,29.01,32583
14,2013-02-14,29.22,29.48,28.48,28.7,55841
15,2013-02-15,29.7,29.99,28.21,28.59,253335
16,2013-02-19,28.29,28.97,27.95,28.55,354091
17,2013-02-20,28.41,29.75,28.32,29.09,31567
18,2013-02-21,28.95,28.95,27.8,28.35,124211
19,2013-02-22,28.35,28.35,28.06,28.18,181922
20,2013-02-25,28.47,28.47,27.89,28.0,100399
21,2013-02-26,28.38,28.38,27.97,27.98,97102
22,2013-02-27,28.07,28.07,27.89,27.97,59869
23,2013-02-28,27.98,28.05,27.9,27.96,31326
24,2013-03-01,27.86,28.02,27.86,27.99,43667
25,2013-03-04,27.99,28.06,27.96,28.0,51373
26,2013-03-05,28.05,29.55,27.53,28.35,236230
27,2013-03-06,28.35,28.48,27.82,28.03,84231
28,2013-03-07,28.03,28.25,27.62,27.95,122703
29,2013-03-08,27.93,28.51,27.66,28.08,116735
30,2013-03-11,28.08,29.25,28.0,28.99,209991
31,2013-03-12,29.14,30.88,28.77,30.56,170765
32,2013-03-13,30.74,31.43,29.44,30.0,202700
33,2013-03-14,30.5,33.5,30.14,33.04,515487
34,2013-03-15,33.09,33.38,32.04,32.15,431239
35,2013-03-18,32.11,33.85,31.55,32.79,228053
36,2013-03-19,32.9,33.95,32.34,33.67,54810
37,2013-03-20,33.91,35.13,33.91,34.76,86035
38,2013-03-21,33.25,36.19,32.89,35.51,418030
39,2013-03-22,35.98,36.26,34.66,34.85,126893
40,2013-03-25,35.55,35.96,34.11,34.5,190187
41,2013-03-26,34.23,34.56,33.39,34.38,252371
42,2013-03-27,34.1,34.1,32.88,33.65,204318
43,2013-03-28,33.49,34.04,32.5,33.79,1196128
44,2013-04-01,33.79,33.99,33.08,33.42,196612
45,2013-04-02,33.62,33.7,32.93,33.06,145581
46,2013-04-03,33.15,33.16,32.0,32.66,146354
47,2013-04-04,32.78,33.67,32.65,33.66,176974
48,2013-04-05,33.24,33.45,32.77,32.89,118435
49,2013-04-08,33.03,33.57,32.55,33.57,33095
50,2013-04-09,33.55,33.55,32.27,32.98,68438
51,2013-04-10,33.19,33.68,32.68,33.24,187588
52,2013-04-11,33.24,33.71,32.62,33.35,84186
53,2013-04-12,33.31,34.05,33.19,33.81,134462
54,2013-04-15,33.58,33.62,32.36,32.71,106703
55,2013-04-16,33.05,33.95,32.69,33.4,285924
56,2013-04-17,33.59,33.66,32.71,32.95,217508
57,2013-04-18,32.93,33.2,32.86,32.95,170824
58,2013-04-19,32.99,33.44,32.57,33.03,59062
59,2013-04-22,33.13,33.28,32.13,32.3,68608
60,2013-04-23,32.51,33.42,31.89,33.41,191697
61,2013-04-24,33.11,33.29,32.42,32.96,51677
62,2013-04-25,32.97,33.11,32.37,33.02,37925
63,2013-04-26,33.01,33.01,31.74,32.5,75593
64,2013-04-29,32.64,33.25,32.44,32.54,117017
65,2013-04-30,32.42,32.77,32.01,32.44,83425
66,2013-05-01,32.4,32.5,31.51,31.66,92139
67,2013-05-02,31.76,33.0,31.62,32.43,218246
68,2013-05-03,32.72,33.57,32.28,33.09,247314
69,2013-05-06,33.19,33.8,32.65,33.07,98201
70,2013-05-07,33.06,34.21,32.81,33.85,162597
71,2013-05-08,33.61,34.83,33.61,34.68,78105
72,2013-05-09,34.6,34.99,34.18,34.44,121670
73,2013-05-10,34.28,34.75,33.65,33.93,111378
74,2013-05-13,33.63,33.85,33.23,33.61,108057
75,2013-05-14,33.51,34.3,33.51,33.8,67480
76,2013-05-15,33.7,33.9,33.63,33.71,67576
77,2013-05-16,33.72,34.01,33.62,33.91,81092
78,2013-05-17,33.96,34.0,33.75,33.97,106980
79,2013-05-20,33.93,34.34,33.61,34.31,184568
80,2013-05-21,34.24,35.73,34.24,35.15,95129
81,2013-05-22,35.07,35.74,34.5,34.96,71843
82,2013-05-23,34.66,34.78,33.54,34.26,80284
83,2013-05-24,34.19,34.76,33.24,34.57,54184
84,2013-05-28,34.8,35.73,34.39,35.48,77491
85,2013-05-29,35.4,35.49,34.76,35.37,79895
86,2013-05-30,35.74,38.17,35.74,38.15,252356
87,2013-05-31,38.07,38.39,35.88,36.05,211342
88,2013-06-03,36.17,36.17,34.05,35.15,144785
89,2013-06-04,35.27,36.32,34.52,34.91,93907
90,2013-06-05,34.97,35.47,34.58,34.8,73587
91,2013-06-06,34.85,35.54,34.69,35.49,39730
92,2013-06-07,35.99,36.63,35.94,36.1,53990
93,2013-06-10,35.57,36.81,35.57,36.49,50589
94,2013-06-11,35.79,35.79,34.35,34.43,116250
95,2013-06-12,34.44,34.44,32.87,33.05,358855
96,2013-06-13,33.45,33.55,32.75,33.5,3787879
97,2013-06-14,33.53,33.53,32.79,33.18,224663
98,2013-06-17,33.37,33.69,33.25,33.26,132733
99,2013-06-18,33.31,34.07,33.29,34.01,300914
100,2013-06-19,34.05,34.08,33.5,33.59,115192
101,2013-06-20,33.11,33.27,32.08,32.37,267771
102,2013-06-21,32.46,32.65,31.52,31.64,334513
103,2013-06-24,31.3,32.32,30.35,31.9,445711
104,2013-06-25,32.14,32.62,31.8,32.3,275913
105,2013-06-26,32.63,33.74,32.63,33.69,112165
106,2013-06-27,33.79,34.97,33.79,34.11,203182
107,2013-06-28,33.85,35.03,33.2,34.71,688191
108,2013-07-01,34.62,34.62,33.42,33.49,294669
109,2013-07-02,33.19,33.61,32.88,33.2,285525
110,2013-07-03,33.12,33.48,33.07,33.44,90799
111,2013-07-05,33.77,34.05,33.21,34.04,75707
112,2013-07-08,34.26,34.26,33.88,34.09,101585
113,2013-07-09,34.33,34.44,33.73,33.8,134896
114,2013-07-10,33.83,34.78,33.66,34.77,70974
115,2013-07-11,35.06,35.06,34.22,34.77,195077
116,2013-07-12,34.71,35.1,34.42,34.87,52913
117,2013-07-15,34.86,35.04,34.6,35.01,40211
118,2013-07-16,34.93,34.99,34.59,34.93,109729
119,2013-07-17,35.0,35.83,34.8,35.01,85004
120,2013-07-18,35.07,35.89,35.07,35.49,78659
121,2013-07-19,35.54,35.77,35.01,35.19,152070
122,2013-07-22,35.36,35.77,35.12,35.34,213637
123,2013-07-23,35.31,35.6,34.74,35.05,128679
124,2013-07-24,35.22,35.9,35.07,35.35,63412
