,Date,Open,High,Low,Close,Volume
0,2005-02-25,5.2404,5.2404,5.1714,5.1788,8590
1,2005-02-28,5.1788,5.2021,5.1403,5.1403,7936
2,2005-03-01,5.1328,5.2097,5.1328,5.1788,9764
3,2005-03-02,5.1944,5.225,5.1863,5.1863,7547
4,2005-03-03,5.2021,5.256,5.2021,5.2097,21865
5,2005-03-04,5.1863,5.2097,5.1863,5.1944,26160
6,2005-03-07,5.2021,5.2329,5.1863,5.2329,19520
7,2005-03-08,5.225,5.2865,5.2097,5.271,24339
8,2005-03-09,5.2634,5.2634,5.1863,5.1863,7421
9,2005-03-10,5.1944,5.225,5.1944,5.225,4947
10,2005-03-11,5.2172,5.2941,5.1788,5.1788,14187
11,2005-03-14,5.1714,5.1788,5.1635,5.1635,4033
12,2005-03-15,5.1714,5.1788,5.1558,5.1558,7421
13,2005-03-16,5.1403,5.1403,5.0253,5.0329,16528
14,2005-03-17,5.0406,5.0791,5.0406,5.071,6898
15,2005-03-18,5.0867,5.0867,5.0867,5.0867,4296
16,2005-03-21,5.1254,5.1254,5.0637,5.1022,6638
17,2005-03-22,5.0406,5.048,5.0253,5.048,6638
18,2005-03-23,5.0253,5.0253,4.8946,4.9944,39302
19,2005-03-24,4.9869,5.0024,4.9869,4.9869,2341
20,2005-03-28,4.9253,4.979,4.9024,4.979,16528
21,2005-03-29,4.9559,4.9559,4.9175,4.9559,6248
22,2005-03-30,4.9559,5.0174,4.8946,5.0174,30063
23,2005-03-31,5.0101,5.0562,4.9559,5.048,30582
24,2005-04-01,5.048,5.048,5.0024,5.048,10929
25,2005-04-04,5.0024,5.0024,4.879,4.933,22775
26,2005-04-05,4.9483,4.9637,4.8559,4.91,49847
27,2005-04-06,4.91,4.9713,4.9024,4.9175,39045
28,2005-04-07,4.9253,4.9713,4.9253,4.9253,21083
29,2005-04-08,4.9253,4.9637,4.9253,4.9253,6898
30,2005-04-11,4.933,4.9559,4.933,4.9559,8590
31,2005-04-12,4.9406,4.9406,4.9175,4.9175,3643
32,2005-04-13,4.933,4.933,4.864,4.9024,21735
33,2005-04-14,4.8946,4.9253,4.864,4.9024,24858
34,2005-04-15,4.879,4.9024,4.8486,4.9024,28369
35,2005-04-18,4.8946,4.8946,4.8411,4.8718,10802
36,2005-04-19,4.8869,4.8946,4.8411,4.8946,27072
37,2005-04-20,4.879,4.8869,4.8411,4.8869,27457
38,2005-04-21,4.9253,5.048,4.8946,5.048,40993
39,2005-04-22,5.0174,5.0174,4.879,4.879,18219
40,2005-04-25,4.8869,4.91,4.8486,4.8718,36833
41,2005-04-26,4.8486,4.864,4.8024,4.8024,21215
42,2005-04-27,4.7793,4.7947,4.7252,4.7793,58826
43,2005-04-28,4.7793,4.7793,4.7334,4.7486,21735
44,2005-04-29,4.7334,4.7947,4.7179,4.7947,47895
