,Date,Open,High,Low,Close,Volume
0,2013-05-10,10.0,10.05,8.25,8.4,1015700
1,2013-05-13,8.5,8.5,7.01,7.99,438850
2,2013-05-14,7.99,8.45,7.99,8.0,60240
3,2013-05-15,8.15,8.15,7.95,8.0,27130
4,2013-05-16,8.0,8.05,7.85,8.0,195564
5,2013-05-17,8.0,8.0,7.95,8.0,5800
6,2013-05-20,8.0,8.01,7.9,7.9,23481
7,2013-05-21,8.0,8.0,7.5,7.9,22630
8,2013-05-22,7.96,8.34,7.96,8.15,16580
9,2013-05-23,8.2,8.41,8.15,8.29,22400
10,2013-05-24,8.2,8.2,8.2,8.2,100
11,2013-05-28,8.4,8.5,8.4,8.5,9806
12,2013-05-29,8.6,8.96,8.6,8.75,28000
13,2013-05-30,9.0,9.1,8.87,8.87,8817
14,2013-05-31,8.95,9.0,8.64,9.0,7700
15,2013-06-03,9.13,9.13,9.01,9.01,304
16,2013-06-04,9.18,9.2,9.0,9.0,7457
17,2013-06-05,9.0,9.0,8.5,8.5,6900
18,2013-06-06,8.5,8.55,8.42,8.42,3900
19,2013-06-07,8.8,8.8,8.25,8.35,107014
20,2013-06-10,8.25,8.31,8.14,8.14,11200
21,2013-06-11,8.16,8.25,8.1,8.1,25600
22,2013-06-12,8.25,8.25,8.08,8.08,9100
23,2013-06-13,8.08,8.1,7.8,7.93,6450
24,2013-06-14,8.0,8.0,7.56,7.56,3600
25,2013-06-17,7.9,8.13,7.41,7.98,25400
26,2013-06-18,7.85,8.08,7.47,7.75,24412
27,2013-06-19,7.43,7.85,7.12,7.75,22000
28,2013-06-20,7.54,7.75,7.0,7.74,8092
29,2013-06-21,7.6,7.62,6.62,6.7,217172
30,2013-06-24,6.73,6.9,6.7,6.71,3700
31,2013-06-25,6.7,6.8,6.3,6.66,17056
32,2013-06-26,6.74,6.75,6.59,6.62,20010
33,2013-06-27,6.7,7.03,6.7,7.01,28342
34,2013-06-28,7.01,7.01,6.8,6.8,21650
35,2013-07-01,7.0,7.1,7.0,7.08,15190
36,2013-07-02,7.1,7.15,7.0,7.05,2800
37,2013-07-03,7.02,7.02,7.02,7.02,100
38,2013-07-05,7.15,7.15,7.1,7.1,11490
39,2013-07-08,7.11,7.2,6.89,7.02,2700
40,2013-07-09,7.02,7.14,6.87,7.0,17450
41,2013-07-10,6.99,7.75,6.77,7.75,8532
42,2013-07-11,7.2,7.33,7.12,7.2,57000
43,2013-07-12,7.3,7.6,7.2,7.2,36065
44,2013-07-15,7.2,7.2,7.1,7.15,9050
45,2013-07-16,7.17,7.17,7.01,7.11,5880
46,2013-07-17,7.25,7.3,7.0,7.05,6720
47,2013-07-18,7.17,7.17,7.03,7.08,16758
48,2013-07-19,7.25,7.25,6.96,7.05,9100
49,2013-07-22,7.0,7.05,6.95,7.0,8026
50,2013-07-23,6.95,7.02,6.95,7.0,11800
51,2013-07-24,7.0,7.07,6.95,7.07,14600
52,2013-07-25,7.2,7.25,7.01,7.25,30175
53,2013-07-26,7.21,7.43,7.0,7.0,8203
54,2013-07-29,7.06,7.06,7.06,7.06,120
55,2013-07-30,7.05,7.05,6.11,6.74,11145
56,2013-07-31,6.61,6.74,6.0,6.5,418670
57,2013-08-01,6.37,6.49,6.37,6.44,13740
58,2013-08-02,6.38,6.38,6.26,6.27,2100
59,2013-08-05,6.41,6.41,6.4,6.4,1510
60,2013-08-06,6.5,6.6,6.39,6.4,17000
61,2013-08-07,6.5,6.5,5.99,6.0,27808
62,2013-08-08,6.0,6.0,5.93,5.93,7335
63,2013-08-09,6.06,6.18,5.67,5.79,12472
64,2013-08-12,5.7,6.0,5.69,5.75,14740
65,2013-08-13,5.6,5.89,5.6,5.75,28159
66,2013-08-14,5.85,5.85,5.57,5.57,21688
67,2013-08-15,5.76,5.76,4.61,4.76,37050
68,2013-08-16,4.86,5.03,4.73,4.75,19598
69,2013-08-19,4.75,4.85,4.69,4.7,33905
70,2013-08-20,4.95,4.95,4.72,4.8,3482
71,2013-08-21,4.8,4.85,4.55,4.79,31750
72,2013-08-22,4.71,4.73,4.4,4.53,45665
73,2013-08-23,4.6,4.85,4.02,4.05,185283
74,2013-08-26,4.15,4.99,4.15,4.87,23923
75,2013-08-27,4.9,5.07,4.8,4.9,33177
76,2013-08-28,4.82,4.95,4.39,4.55,28450
77,2013-08-29,4.42,4.42,4.11,4.25,40403
78,2013-08-30,4.31,4.63,4.31,4.62,2615
79,2013-09-03,4.73,4.89,4.55,4.55,18063
80,2013-09-04,4.61,4.61,4.42,4.54,6887
81,2013-09-05,4.5,4.75,4.49,4.51,8633
82,2013-09-06,4.5,4.89,4.5,4.75,6965
83,2013-09-09,4.85,4.88,4.7,4.82,8104
84,2013-09-10,4.74,4.88,4.43,4.55,14732
85,2013-09-11,4.61,4.61,4.42,4.46,4612
86,2013-09-12,4.4,4.42,4.19,4.32,18683
87,2013-09-13,4.26,4.26,3.96,4.19,132279
88,2013-09-16,4.14,4.34,4.1,4.2,23387
89,2013-09-17,4.28,4.58,4.22,4.42,23120
90,2013-09-18,4.3,4.59,4.3,4.58,25220
91,2013-09-19,4.63,4.9,4.61,4.89,23463
92,2013-09-20,4.9,4.9,4.59,4.79,31230
93,2013-09-23,4.79,4.9,4.75,4.84,14470
94,2013-09-24,4.9,4.9,4.89,4.89,3071
95,2013-09-25,4.76,4.9,4.76,4.8,14820
96,2013-09-26,4.85,4.95,4.85,4.92,21259
97,2013-09-27,5.0,5.0,4.9,4.92,25330
98,2013-09-30,4.9,4.96,4.9,4.9,5349
99,2013-10-01,4.98,5.95,4.98,5.84,117531
100,2013-10-02,6.2,6.2,5.75,6.0,88582
101,2013-10-03,6.12,6.96,5.92,6.7,141681
102,2013-10-04,6.75,7.32,6.75,6.82,100413
103,2013-10-07,6.91,7.2,6.91,6.98,61328
104,2013-10-08,7.23,7.23,6.87,6.97,25830
105,2013-10-09,6.98,6.98,6.6,6.6,32694
106,2013-10-10,6.66,6.69,6.4,6.45,26910
107,2013-10-11,6.4,6.82,6.4,6.5,21088
108,2013-10-14,6.61,6.72,6.25,6.4,19685
109,2013-10-15,6.41,6.48,6.2,6.22,16038
110,2013-10-16,6.15,6.4,6.0,6.38,123213
111,2013-10-17,6.41,6.76,6.41,6.62,11258
112,2013-10-18,6.67,6.98,6.67,6.84,14156
113,2013-10-21,6.98,7.09,6.7,6.86,9567
114,2013-10-22,6.86,7.0,6.75,6.95,35003
115,2013-10-23,6.84,6.85,6.54,6.8,26095
116,2013-10-24,6.8,6.86,6.64,6.75,14709
117,2013-10-25,6.87,7.04,6.74,6.9,22484
118,2013-10-28,7.0,7.23,6.92,7.06,14131
119,2013-10-29,7.0,7.1,6.95,7.05,17371
120,2013-10-30,7.05,7.05,6.92,6.96,7435
121,2013-10-31,7.0,7.2,6.94,7.2,37100
122,2013-11-01,7.08,7.18,7.03,7.07,7461
123,2013-11-04,7.03,7.07,6.95,7.05,30303
124,2013-11-05,7.15,7.22,7.05,7.1,6926
125,2013-11-06,7.22,7.24,7.06,7.06,27964
126,2013-11-07,7.1,7.1,6.78,7.0,46054
127,2013-11-08,6.8,7.1,6.75,6.89,42110
128,2013-11-11,6.95,7.01,6.89,6.98,26560
129,2013-11-12,6.9,6.97,6.78,6.9,22159
130,2013-11-13,6.95,7.09,6.8,6.9,63586
131,2013-11-14,6.9,7.01,6.88,6.95,33165
132,2013-11-15,7.0,7.02,6.85,6.91,40537
133,2013-11-18,6.86,6.86,6.63,6.73,52156
134,2013-11-19,6.66,6.75,6.45,6.53,39848
135,2013-11-20,6.5,6.59,6.46,6.46,20052
136,2013-11-21,6.34,6.81,6.28,6.71,14282
137,2013-11-22,6.59,6.79,6.47,6.79,45600
138,2013-11-25,6.66,6.7,6.34,6.46,12956
139,2013-11-26,6.39,6.55,6.39,6.5,1608
140,2013-11-27,6.45,6.55,6.35,6.44,5802
141,2013-11-29,6.48,6.48,6.48,6.48,202
142,2013-12-02,6.49,6.5,6.44,6.49,4157
143,2013-12-03,6.5,6.64,6.45,6.61,22153
144,2013-12-04,6.61,6.83,6.61,6.66,10684
145,2013-12-05,6.78,6.89,6.56,6.66,33053
146,2013-12-06,6.57,6.91,6.55,6.91,38424
147,2013-12-09,6.84,7.05,6.84,6.94,4656
148,2013-12-10,6.94,6.95,6.79,6.89,13207
149,2013-12-11,7.02,7.12,6.86,6.9,28084
150,2013-12-12,6.95,7.15,6.94,7.15,2949
151,2013-12-13,7.23,7.24,6.74,6.96,16659
152,2013-12-16,6.86,7.07,6.7,7.05,49632
153,2013-12-17,7.0,7.0,6.8,6.98,46072
154,2013-12-18,6.86,6.89,6.81,6.89,1014
155,2013-12-19,6.82,6.98,6.8,6.89,21682
156,2013-12-20,6.95,7.0,6.95,7.0,6395
157,2013-12-23,7.0,7.12,6.95,6.96,27197
158,2013-12-24,7.04,7.23,7.01,7.16,2396
159,2013-12-26,7.29,7.77,7.29,7.77,17404
160,2013-12-27,7.6,8.18,7.5,7.92,132092
161,2013-12-30,7.88,7.95,7.85,7.95,11685
162,2013-12-31,7.95,8.23,7.28,7.48,59204
163,2014-01-02,7.6,8.02,7.37,7.95,35138
164,2014-01-03,7.74,8.2,7.59,8.0,32471
165,2014-01-06,8.15,8.74,8.15,8.5,93159
166,2014-01-07,8.7,8.7,8.35,8.49,59011
167,2014-01-08,8.61,8.74,8.28,8.5,52376
168,2014-01-09,8.38,8.51,8.38,8.49,10533
169,2014-01-10,8.66,9.07,8.6,8.6,44269
170,2014-01-13,8.93,9.31,8.84,8.84,29446
171,2014-01-14,9.16,9.16,8.6,8.65,98041
172,2014-01-15,8.71,9.24,8.71,8.94,25770
173,2014-01-16,9.1,9.3,8.55,8.88,46471
174,2014-01-17,9.02,9.03,8.81,8.99,9212
175,2014-01-21,8.99,9.13,8.74,8.88,31560
176,2014-01-22,8.85,8.85,8.76,8.82,5420
177,2014-01-23,9.05,10.94,9.05,10.45,150075
178,2014-01-24,10.93,11.59,10.5,10.63,122967
179,2014-01-27,10.74,11.01,10.63,10.98,56809
180,2014-01-28,11.0,11.2,10.94,10.97,54817
181,2014-01-29,11.11,12.93,11.03,12.0,107783
182,2014-01-30,11.95,12.15,11.59,12.0,76589
183,2014-01-31,11.81,12.7,11.8,12.25,71947
184,2014-02-03,12.3,12.4,11.81,11.94,42838
185,2014-02-04,11.98,12.04,10.81,11.11,61142
186,2014-02-05,11.3,12.04,11.11,11.8,33341
187,2014-02-06,11.73,12.29,11.73,11.77,52602
188,2014-02-07,11.97,12.05,11.78,12.05,27625
189,2014-02-10,12.05,13.98,11.96,13.0,175390
190,2014-02-11,13.31,13.43,12.8,13.3,67516
191,2014-02-12,13.44,13.89,13.36,13.8,124612
192,2014-02-13,13.91,14.0,13.73,13.8,74356
