,Date,Open,High,Low,Close,Volume
0,2015-08-04,12.85,13.38,12.8,12.94,983100
1,2015-08-05,13.12,13.22,12.79,13.13,827500
2,2015-08-06,13.37,13.6,12.57,12.59,1308892
3,2015-08-07,12.59,13.13,11.75,11.8,999700
4,2015-08-10,11.81,12.92,11.81,12.71,2369000
5,2015-08-11,12.7,13.39,12.43,13.18,983450
6,2015-08-12,13.13,13.16,12.63,12.88,729400
7,2015-08-13,12.72,13.01,12.69,12.95,567700
8,2015-08-14,13.02,13.84,13.0,13.73,1684700
9,2015-08-17,13.77,14.42,13.56,14.09,630000
10,2015-08-18,13.86,14.09,13.22,13.36,494300
11,2015-08-19,12.43,13.51,12.32,13.11,236900
12,2015-08-20,12.85,13.03,12.58,12.67,375300
13,2015-08-21,12.26,13.0,11.87,12.87,608600
14,2015-08-24,12.0,12.83,12.0,12.56,749860
15,2015-08-25,12.75,12.89,12.15,12.17,435300
16,2015-08-26,12.37,12.5,12.1,12.17,416500
17,2015-08-27,12.2,12.48,12.13,12.41,269300
18,2015-08-28,12.35,13.13,12.17,12.86,328700
19,2015-08-31,12.96,13.25,12.8,12.9,400900
20,2015-09-01,12.71,13.16,12.68,13.03,255400
21,2015-09-02,13.27,14.0,12.93,13.31,521400
22,2015-09-03,13.42,13.6,12.91,13.3,425600
23,2015-09-04,13.02,13.82,13.02,13.45,365900
24,2015-09-08,13.45,13.89,13.23,13.26,561400
25,2015-09-09,14.19,14.61,12.81,12.95,945200
26,2015-09-10,12.96,13.03,12.64,12.94,283684
27,2015-09-11,12.95,12.95,12.6,12.74,364200
28,2015-09-14,12.74,13.62,12.67,13.6,465500
29,2015-09-15,13.52,13.6,13.12,13.29,366500
30,2015-09-16,13.25,13.25,12.9,13.02,300600
31,2015-09-17,12.93,13.03,12.62,12.92,243600
32,2015-09-18,12.78,13.14,12.6,12.87,1607400
33,2015-09-21,12.99,12.99,12.63,12.71,311900
34,2015-09-22,12.65,12.77,12.56,12.65,156600
35,2015-09-23,12.7,12.7,12.5,12.55,154300
36,2015-09-24,12.54,13.34,12.53,13.28,195648
37,2015-09-25,13.29,13.44,13.04,13.37,222000
38,2015-09-28,13.29,13.29,12.59,12.71,556571
39,2015-09-29,12.68,13.04,12.62,12.76,400300
40,2015-09-30,12.84,12.96,12.68,12.71,312600
41,2015-10-01,12.79,12.99,12.42,12.43,402600
42,2015-10-02,12.4,12.68,12.32,12.68,300800
43,2015-10-05,12.74,12.92,12.57,12.61,193463
44,2015-10-06,12.67,12.91,12.46,12.52,222100
45,2015-10-07,12.48,12.9,12.25,12.69,472200
46,2015-10-08,12.41,12.61,12.32,12.61,233200
47,2015-10-09,12.6,12.6,12.36,12.42,252400
48,2015-10-12,12.45,12.69,12.23,12.61,182845
49,2015-10-13,12.5,12.72,12.4,12.45,259100
50,2015-10-14,12.43,12.64,12.3,12.4,245100
51,2015-10-15,12.24,12.65,12.24,12.65,223400
52,2015-10-16,12.72,12.91,12.59,12.86,157200
53,2015-10-19,12.66,12.86,12.42,12.7,211000
54,2015-10-20,12.62,12.62,12.37,12.43,189583
55,2015-10-21,12.43,12.53,12.35,12.44,179300
56,2015-10-22,12.56,12.7,12.41,12.58,128100
57,2015-10-23,12.58,12.64,12.23,12.56,251500
58,2015-10-26,13.47,13.86,13.1,13.24,851400
59,2015-10-27,13.29,13.58,12.8,12.99,332100
60,2015-10-28,13.03,13.63,12.8,13.51,454900
61,2015-10-29,13.42,14.01,13.16,13.97,403100
62,2015-10-30,13.97,15.34,13.86,14.75,560900
63,2015-11-02,14.92,14.92,14.06,14.2,301228
64,2015-11-03,14.2,14.87,14.13,14.33,193600
65,2015-11-04,14.4,14.74,14.36,14.59,209028
66,2015-11-05,14.62,14.75,14.27,14.56,131600
67,2015-11-06,14.43,14.93,14.22,14.93,205400
68,2015-11-09,14.98,14.98,14.36,14.65,168309
69,2015-11-10,14.63,14.73,14.38,14.51,145000
70,2015-11-11,14.57,14.87,13.95,14.11,146500
71,2015-11-12,13.95,14.23,13.69,13.73,149500
72,2015-11-13,13.58,13.86,13.35,13.55,197100
73,2015-11-16,13.63,14.34,13.4,14.2,299200
74,2015-11-17,14.3,14.76,14.06,14.3,249900
75,2015-11-18,14.38,14.64,14.24,14.55,178300
76,2015-11-19,14.52,14.73,14.3,14.41,207300
77,2015-11-20,14.53,14.9,14.32,14.85,175000
78,2015-11-23,14.88,14.95,14.49,14.93,200900
79,2015-11-24,14.78,14.89,14.42,14.81,244200
80,2015-11-25,14.8,15.26,14.68,15.14,257600
81,2015-11-27,15.13,15.49,14.86,15.27,59400
82,2015-11-30,15.28,15.28,14.17,14.45,315900
