,Date,Open,High,Low,Close,Volume
0,2015-08-18,3.45,3.45,3.45,3.45,20790
1,2015-08-19,3.0,3.0,3.0,3.0,4211
2,2015-08-20,2.75,2.75,2.75,2.75,2073
3,2015-08-24,2.5,2.5,2.5,2.5,800
4,2015-08-25,2.6,2.6,2.6,2.6,500
5,2015-08-26,2.6,2.6,2.6,2.6,500
6,2015-08-27,2.75,2.75,2.75,2.75,195
7,2015-08-28,2.6,2.6,2.6,2.6,1166
8,2015-08-31,2.6,2.6,2.6,2.6,100
9,2015-09-01,2.5,2.5,2.5,2.5,500
10,2015-09-03,2.91,2.91,2.91,2.91,1100
11,2015-09-04,2.9,2.9,2.9,2.9,300
12,2015-09-08,2.02,2.02,2.02,2.02,110
13,2015-09-10,2.01,2.01,2.01,2.01,150
14,2015-09-14,2.02,2.02,2.02,2.02,600
15,2015-09-15,2.5,2.5,2.5,2.5,900
16,2015-09-16,3.55,3.55,3.55,3.55,910
17,2015-09-18,3.6984,3.6984,3.6984,3.6984,900
18,2015-09-22,2.63,2.63,2.63,2.63,800
19,2015-09-28,2.06,2.06,2.06,2.06,100
20,2015-09-29,2.3,2.3,2.3,2.3,600
21,2015-10-01,2.49,2.49,2.49,2.49,600
22,2015-10-06,2.4,2.4,2.4,2.4,200
23,2015-10-14,2.0001,2.0001,2.0001,2.0001,300
24,2015-10-20,2.5693,2.5693,2.5693,2.5693,100
25,2015-10-21,3.34,3.34,3.34,3.34,200
26,2015-11-02,2.0,2.0,2.0,2.0,800
27,2015-12-01,2.1,2.1,2.1,2.1,100
28,2015-12-15,2.49,2.49,2.49,2.49,900
29,2015-12-18,1.75,1.75,1.75,1.75,600
30,2015-12-31,2.0,2.0,2.0,2.0,500
31,2016-01-07,1.9,1.9,1.9,1.9,600
32,2016-01-08,1.9505,1.9505,1.9505,1.9505,500
33,2016-01-19,1.9,1.9,1.9,1.9,16642
34,2016-01-20,1.66,1.66,1.66,1.66,15901
35,2016-01-21,1.7,1.7,1.7,1.7,3000
36,2016-02-16,1.7,1.7,1.7,1.7,1500
37,2016-02-17,1.19,1.19,1.19,1.19,200
38,2016-02-18,1.17,1.17,1.17,1.17,500
39,2016-02-19,1.171,1.171,1.171,1.171,750
40,2016-02-23,1.01,1.01,1.01,1.01,6825
41,2016-02-24,1.0,1.0,1.0,1.0,3028
42,2016-02-26,0.61,0.61,0.61,0.61,1535
43,2016-02-29,0.52,0.52,0.52,0.52,851
44,2016-03-01,0.3311,0.3311,0.3311,0.3311,1300
45,2016-03-04,0.85,0.85,0.85,0.85,1151
46,2016-03-07,0.8123,0.8123,0.8123,0.8123,975
47,2016-03-09,0.3804,0.3804,0.3804,0.3804,884
48,2016-03-10,1.4,1.4,1.4,1.4,845
49,2016-03-11,1.1813,1.1813,1.1813,1.1813,1240
50,2016-03-21,1.22,1.22,1.22,1.22,1100
51,2016-03-28,0.6,0.6,0.6,0.6,175
52,2016-03-30,1.0,1.0,1.0,1.0,1600
53,2016-03-31,0.9457,0.9457,0.9457,0.9457,190
54,2016-04-19,0.96,0.96,0.96,0.96,3180
55,2016-04-21,0.74,0.74,0.74,0.74,1400
56,2016-04-26,1.0,1.0,1.0,1.0,1190
57,2016-05-17,0.4491,0.4491,0.4491,0.4491,1000
58,2016-05-25,1.0,1.0,1.0,1.0,900
59,2016-05-27,0.5,0.5,0.5,0.5,125
60,2016-06-02,0.4,0.4,0.4,0.4,125
61,2016-06-06,0.47,0.47,0.47,0.47,125
62,2016-06-07,0.5,0.5,0.5,0.5,200
63,2016-06-08,0.5,0.5,0.5,0.5,325
64,2016-06-22,0.47,0.47,0.47,0.47,900
65,2016-08-22,0.329,0.329,0.329,0.329,450
66,2016-08-23,0.8202,0.8202,0.8202,0.8202,277
67,2016-08-31,0.2396,0.2396,0.2396,0.2396,500
68,2016-09-08,0.341,0.341,0.341,0.341,300
69,2016-10-10,0.1697,0.2,0.15,0.15,16900
70,2016-10-11,0.1515,0.1515,0.0814,0.0814,30800
71,2016-10-24,0.1115,0.1115,0.1021,0.1021,1600
72,2016-10-27,0.1031,0.1031,0.1031,0.1031,100
73,2016-10-31,0.4627,0.4627,0.1624,0.17,1696
74,2016-11-01,0.19,0.2494,0.1052,0.1102,1500
75,2016-11-07,0.1053,0.1053,0.0832,0.0832,700
76,2016-11-21,0.1081,0.1081,0.1081,0.1081,100
77,2016-11-22,0.035,0.055,0.025,0.05,157200
78,2016-11-23,0.06,0.145,0.06,0.1,1650
79,2016-11-29,0.0307,0.0307,0.0307,0.0307,250
80,2016-11-30,0.0997,0.0999,0.07,0.0998,47725
81,2016-12-01,0.1103,0.14,0.1098,0.14,1666
82,2016-12-02,0.15,0.15,0.05,0.1,85750
83,2016-12-09,0.1,0.1,0.0989,0.0989,2333
84,2016-12-20,0.06,0.0601,0.0599,0.0601,19100
85,2016-12-22,0.0989,0.1,0.09,0.0999,29844
86,2016-12-23,0.1297,0.1297,0.1297,0.1297,100
87,2016-12-29,0.1,0.1,0.1,0.1,100
88,2017-01-04,0.1,0.1,0.1,0.1,2879
89,2017-01-06,0.1,0.1,0.0999,0.0999,2000
90,2017-01-09,0.1,0.1,0.1,0.1,6000
91,2017-01-13,0.15,0.15,0.15,0.15,1200
92,2017-01-17,0.2,0.37,0.15,0.2001,25800
93,2017-01-18,0.21,0.21,0.189,0.189,5620
94,2017-01-19,0.1612,0.19,0.1612,0.19,450
95,2017-01-23,0.1612,0.1852,0.15,0.15,18117
96,2017-01-24,0.15,0.15,0.1499,0.1499,600
97,2017-01-26,0.0601,0.0601,0.0601,0.0601,100
98,2017-01-30,0.139,0.15,0.139,0.15,3500
99,2017-01-31,0.15,0.15,0.08,0.08,1000
100,2017-02-01,0.08,0.09,0.08,0.0899,2200
101,2017-02-02,0.15,1.09,0.15,0.7,141710
