,Date,Open,High,Low,Close,Volume
0,2005-02-25,22.754,23.432,22.651,23.432,221518
1,2005-02-28,23.062,23.45,22.856,23.237,156913
2,2005-03-01,23.182,23.44,23.08,23.09,288392
3,2005-03-02,23.191,23.339,22.985,23.201,151562
4,2005-03-03,23.279,23.279,22.985,23.046,168764
5,2005-03-04,23.279,23.279,23.062,23.166,209402
6,2005-03-07,23.237,23.237,22.969,22.985,248014
7,2005-03-08,22.883,23.237,22.839,23.08,448220
8,2005-03-09,23.166,23.166,22.591,22.762,96590
9,2005-03-10,22.67,22.875,22.374,22.502,124477
10,2005-03-11,22.624,22.624,22.332,22.573,186381
11,2005-03-14,22.374,22.719,22.271,22.271,121318
12,2005-03-15,22.453,22.521,22.048,22.108,116959
13,2005-03-16,22.006,22.179,21.815,22.006,158056
14,2005-03-17,22.057,22.057,21.47,21.66,270650
15,2005-03-18,21.849,21.849,21.515,21.66,466294
16,2005-03-21,21.72,21.791,21.163,21.515,128078
17,2005-03-22,21.35,21.739,21.35,21.421,160861
18,2005-03-23,21.213,21.377,20.575,20.731,164717
19,2005-03-24,20.878,20.964,20.526,20.584,231326
20,2005-03-28,20.509,20.859,20.137,20.612,484115
21,2005-03-29,20.785,21.005,20.292,20.377,148815
22,2005-03-30,20.556,21.144,20.3,20.832,165483
23,2005-03-31,20.955,20.955,20.37,20.437,190201
24,2005-04-01,20.81,20.997,20.128,20.646,146038
25,2005-04-04,20.387,20.767,20.387,20.74,134067
26,2005-04-05,20.793,20.923,20.37,20.37,167197
27,2005-04-06,20.354,20.593,20.354,20.397,180516
28,2005-04-07,20.397,20.621,20.354,20.483,70334
29,2005-04-08,20.543,20.543,20.059,20.059,141722
30,2005-04-11,20.128,20.137,19.846,19.931,117616
31,2005-04-12,19.81,20.483,19.751,20.422,272914
32,2005-04-13,20.483,20.565,20.206,20.317,136395
33,2005-04-14,20.198,20.483,19.836,19.836,116055
34,2005-04-15,19.836,20.059,19.458,19.492,79696
35,2005-04-18,19.587,20.37,19.568,20.308,287600
36,2005-04-19,20.155,20.612,20.155,20.565,252609
37,2005-04-20,20.575,20.593,19.56,19.664,304900
38,2005-04-21,19.784,20.137,19.552,19.872,171623
39,2005-04-22,19.819,19.939,19.502,19.56,201241
40,2005-04-25,19.613,19.947,19.578,19.939,290162
41,2005-04-26,19.939,20.008,19.373,19.512,133367
42,2005-04-27,19.382,19.578,18.932,19.468,206835
43,2005-04-28,19.373,19.542,18.157,19.373,233665
44,2005-04-29,19.363,19.373,18.932,19.165,211233
45,2005-05-02,19.354,19.81,19.19,19.724,621640
46,2005-05-03,19.672,20.612,19.664,20.026,533794
47,2005-05-04,20.059,20.722,19.913,20.696,219877
48,2005-05-05,20.731,20.955,19.784,20.128,367008
49,2005-05-06,20.354,20.483,20.249,20.37,209437
50,2005-05-09,20.112,20.637,19.776,20.637,277546
51,2005-05-10,20.437,20.483,20.103,20.128,536381
52,2005-05-11,20.224,20.259,19.897,20.249,300809
53,2005-05-12,20.249,20.336,19.836,19.947,204496
54,2005-05-13,20.147,20.165,19.681,19.974,238387
55,2005-05-16,19.913,20.655,19.881,20.575,349726
56,2005-05-17,20.224,20.428,20.122,20.3,276669
57,2005-05-18,20.308,20.703,20.3,20.696,382081
58,2005-05-19,20.824,21.068,20.663,21.043,132321
59,2005-05-20,21.076,21.076,20.74,21.052,64118
60,2005-05-23,21.043,21.188,20.731,21.125,181761
61,2005-05-24,21.076,21.239,20.964,21.134,116214
62,2005-05-25,21.246,21.246,20.703,20.878,219176
63,2005-05-26,20.931,21.125,20.878,21.117,75087
64,2005-05-27,21.101,21.377,21.034,21.282,57625
65,2005-05-31,21.181,21.196,20.997,21.068,185265
66,2005-06-01,20.988,21.221,20.886,21.221,132723
67,2005-06-02,21.188,21.359,20.988,21.3,117418
68,2005-06-03,21.265,21.489,20.612,20.612,127203
69,2005-06-06,20.749,21.024,20.603,21.014,202445
70,2005-06-07,21.043,21.256,20.878,20.896,130399
71,2005-06-08,21.084,21.246,20.703,20.868,216844
72,2005-06-09,20.931,20.931,20.397,20.509,273508
73,2005-06-10,20.584,20.793,20.445,20.767,221971
74,2005-06-13,20.775,21.154,20.646,21.117,124097
75,2005-06-14,21.172,21.309,20.997,21.3,79705
76,2005-06-15,21.326,21.557,21.205,21.557,265144
77,2005-06-16,21.557,21.72,21.429,21.72,86782
78,2005-06-17,21.773,21.799,21.239,21.421,325772
79,2005-06-20,21.334,21.47,21.154,21.154,137733
80,2005-06-21,21.265,21.334,21.06,21.06,93677
81,2005-06-22,21.052,21.582,21.052,21.566,61548
82,2005-06-23,21.515,21.582,20.878,20.931,76236
83,2005-06-24,20.937,21.084,20.775,21.043,155988
84,2005-06-27,21.101,21.309,20.859,21.29,77401
85,2005-06-28,21.446,22.074,21.229,22.074,264033
86,2005-06-29,22.074,22.573,22.03,22.548,158804
87,2005-06-30,22.599,22.805,21.685,21.685,145726
88,2005-07-01,21.867,22.238,21.773,22.057,126188
89,2005-07-05,22.115,22.419,22.115,22.374,158748
90,2005-07-06,22.271,22.291,21.462,21.498,176167
91,2005-07-07,21.334,21.628,21.134,21.455,182135
92,2005-07-08,21.489,22.195,21.35,22.039,134979
93,2005-07-11,21.936,22.374,21.867,22.186,164242
94,2005-07-12,22.152,22.573,22.115,22.374,89820
95,2005-07-13,22.502,22.502,22.16,22.4,207134
96,2005-07-14,22.624,22.66,22.271,22.374,174548
97,2005-07-15,22.246,22.599,22.203,22.486,158292
98,2005-07-18,22.453,22.478,22.238,22.253,113318
99,2005-07-19,22.315,22.848,22.212,22.711,162011
100,2005-07-20,22.77,23.133,22.651,23.046,74481
101,2005-07-21,22.815,22.823,22.419,22.615,218724
102,2005-07-22,22.67,23.166,22.521,23.166,144597
103,2005-07-25,23.182,23.182,22.83,23.108,184345
104,2005-07-26,23.116,23.459,22.727,23.054,191251
105,2005-07-27,23.021,23.245,22.67,22.823,138185
106,2005-07-28,22.995,24.174,22.565,24.071,487025
107,2005-07-29,23.916,24.846,23.916,24.656,423931
108,2005-08-01,24.484,24.889,24.259,24.259,311748
109,2005-08-02,24.138,24.957,24.138,24.914,126243
110,2005-08-03,24.707,24.707,24.398,24.439,99667
111,2005-08-04,24.381,24.432,24.054,24.113,185637
112,2005-08-05,24.071,24.345,23.262,23.796,219249
113,2005-08-08,23.967,23.967,23.44,23.708,84643
114,2005-08-09,23.77,23.975,23.513,23.847,76538
115,2005-08-10,23.959,24.432,23.778,23.926,106911
116,2005-08-11,23.83,24.604,23.77,24.604,211846
117,2005-08-12,24.502,24.715,23.926,24.408,122016
118,2005-08-15,24.355,24.87,24.096,24.614,145992
119,2005-08-16,24.526,24.577,23.701,24.122,134314
120,2005-08-17,23.943,24.259,23.614,23.993,50856
121,2005-08-18,23.83,23.83,23.367,23.468,89339
122,2005-08-19,23.358,23.717,23.166,23.606,100293
123,2005-08-22,23.796,23.933,23.468,23.926,59667
124,2005-08-23,23.666,23.933,23.589,23.666,138751
125,2005-08-24,23.855,24.251,23.666,23.88,119853
126,2005-08-25,23.916,23.967,23.614,23.682,125772
127,2005-08-26,23.597,23.83,22.909,22.934,136376
128,2005-08-29,22.856,23.271,22.651,23.271,107420
129,2005-08-30,23.15,23.279,22.486,22.531,177968
130,2005-08-31,22.548,22.865,22.383,22.865,253073
131,2005-09-01,22.875,23.182,22.67,23.166,136420
132,2005-09-02,23.237,23.424,22.815,22.978,87491
133,2005-09-06,23.039,23.76,23.014,23.76,121055
134,2005-09-07,23.708,23.811,22.944,23.237,147695
135,2005-09-08,23.124,23.124,22.737,22.909,196961
136,2005-09-09,22.909,23.014,22.77,22.891,86676
137,2005-09-12,22.711,23.262,22.683,23.108,97466
138,2005-09-13,22.95,23.07,22.582,22.719,112200
139,2005-09-14,22.779,22.891,22.486,22.521,152345
140,2005-09-15,22.531,23.08,22.374,23.046,164942
141,2005-09-16,23.182,23.544,23.09,23.513,254626
142,2005-09-19,23.487,23.487,23.141,23.339,66379
143,2005-09-20,23.589,23.811,23.294,23.459,134121
144,2005-09-21,23.254,23.329,22.995,23.09,265722
145,2005-09-22,23.08,23.227,22.978,22.978,119142
146,2005-09-23,22.883,23.166,22.383,23.021,74102
147,2005-09-26,23.004,23.45,23.004,23.175,79169
148,2005-09-27,23.133,23.219,22.797,22.959,89673
149,2005-09-28,22.969,23.124,22.212,22.599,89749
150,2005-09-29,22.435,22.969,22.332,22.934,76571
151,2005-09-30,22.883,22.926,22.573,22.839,483508
152,2005-10-03,22.883,23.839,22.883,23.752,221643
153,2005-10-04,23.778,24.699,23.778,24.372,612753
154,2005-10-05,24.251,24.251,23.392,23.401,235987
155,2005-10-06,23.374,24.268,23.32,23.933,129865
156,2005-10-07,24.018,24.217,23.855,23.95,249497
157,2005-10-10,23.897,24.001,23.691,23.76,100711
158,2005-10-11,23.632,23.811,22.978,23.062,227503
159,2005-10-12,23.062,23.432,22.591,22.891,355888
160,2005-10-13,22.754,23.237,22.521,22.944,232602
161,2005-10-14,23.108,23.477,22.727,23.32,180470
162,2005-10-17,23.108,23.288,22.651,23.08,265012
163,2005-10-18,23.046,23.219,22.856,22.944,108230
164,2005-10-19,22.978,23.495,22.66,23.495,209626
165,2005-10-20,23.424,23.623,22.944,23.116,171926
166,2005-10-21,23.004,23.717,23.004,23.64,340576
167,2005-10-24,23.535,24.286,23.535,24.286,223999
168,2005-10-25,24.2,24.286,23.288,23.907,96556
169,2005-10-26,23.752,24.217,23.45,23.589,169283
170,2005-10-27,23.44,23.83,23.279,23.579,239746
171,2005-10-28,23.76,24.87,23.691,24.475,300279
172,2005-10-31,24.526,25.172,24.355,24.914,540908
173,2005-11-01,24.76,25.284,24.681,24.957,237850
174,2005-11-02,24.931,25.586,24.896,25.328,281512
175,2005-11-03,25.516,25.577,24.742,24.889,232859
176,2005-11-04,24.87,25.284,24.793,25.257,192506
177,2005-11-07,24.793,25.506,24.769,25.506,367307
178,2005-11-08,25.377,25.422,25.232,25.345,160556
179,2005-11-09,25.405,25.577,25.275,25.328,174152
180,2005-11-10,25.328,25.834,25.257,25.559,314488
181,2005-11-11,25.524,26.146,25.516,26.074,314558
182,2005-11-14,26.1,26.211,26.034,26.18,289972
183,2005-11-15,26.22,26.265,25.936,26.082,271437
184,2005-11-16,26.155,26.402,26.0,26.307,247828
185,2005-11-17,26.359,26.904,26.359,26.799,325696
186,2005-11-18,27.056,27.056,26.463,26.592,203513
187,2005-11-21,26.592,26.78,26.42,26.601,274242
188,2005-11-22,26.558,26.687,26.195,26.601,414773
189,2005-11-23,26.55,26.711,26.454,26.601,89868
190,2005-11-25,26.704,26.704,26.333,26.531,38601
191,2005-11-28,26.42,26.651,26.203,26.283,205932
192,2005-11-29,26.402,26.678,26.249,26.429,433455
193,2005-11-30,26.711,27.434,26.249,26.678,632137
194,2005-12-01,26.678,26.895,26.445,26.463,440205
195,2005-12-02,26.463,26.463,26.283,26.35,256112
196,2005-12-05,26.378,26.489,26.057,26.429,193316
197,2005-12-06,26.601,27.357,26.601,27.123,391962
198,2005-12-07,27.171,27.171,26.687,26.833,165813
199,2005-12-08,26.711,27.187,26.55,26.669,144532
200,2005-12-09,26.867,27.314,26.867,27.171,120453
201,2005-12-12,27.203,27.452,26.961,27.367,209864
