,Date,Open,High,Low,Close,Volume
0,2010-08-24,10.721,10.721,10.721,10.721,114
1,2010-08-25,11.038,11.038,11.038,11.038,114
2,2010-09-01,11.376,12.166,11.376,12.166,13572
3,2010-09-03,12.126,12.338,12.126,12.16,5583
4,2010-09-07,12.783,12.791,12.783,12.783,942
5,2010-09-08,12.634,12.634,12.634,12.634,234
6,2010-09-09,12.135,12.135,12.135,12.135,234
7,2010-09-17,11.649,11.649,9.4793,9.4793,8326
8,2010-09-20,10.297,10.85,10.297,10.636,9480
9,2010-09-21,10.636,10.636,10.636,10.636,1140
10,2010-09-22,10.765,10.765,10.636,10.636,3410
11,2010-09-24,10.211,10.339,9.25,10.339,2545
12,2010-09-28,10.33,10.509,10.33,10.451,821
13,2010-09-29,10.681,10.681,10.499,10.499,3563
14,2010-09-30,10.662,10.688,10.499,10.636,1932
15,2010-10-01,10.569,10.645,10.569,10.645,489
16,2010-10-04,10.55,10.876,10.55,10.806,536
17,2010-10-05,10.55,10.833,10.55,10.833,821
18,2010-10-07,10.134,10.415,9.82,10.204,1879
19,2010-10-08,10.569,10.721,10.204,10.721,1581
20,2010-10-13,10.781,10.781,10.781,10.781,234
21,2010-10-14,10.721,10.721,10.721,10.721,3525
22,2010-10-15,10.423,10.636,10.423,10.578,2440
23,2010-10-18,10.791,10.85,10.791,10.85,1175
24,2010-10-21,10.798,10.798,10.798,10.798,589
25,2010-10-25,10.85,10.85,10.85,10.85,234
26,2010-10-29,10.423,10.806,10.423,10.806,4569
27,2010-11-04,10.423,10.806,9.999,10.806,10490
28,2010-11-05,10.892,10.892,10.85,10.85,2733
29,2010-11-08,10.892,10.892,10.892,10.892,355
30,2010-11-10,10.347,11.062,10.211,11.062,3069
31,2010-11-12,10.465,10.465,10.465,10.465,1332
32,2010-11-15,10.773,11.582,10.773,11.469,1175
33,2010-11-16,10.662,10.662,10.636,10.636,1050
34,2010-11-19,11.062,11.479,11.062,11.479,355
35,2010-12-01,10.841,10.841,10.636,10.645,471
36,2010-12-02,10.636,10.636,10.636,10.636,6742
37,2010-12-06,10.636,10.636,10.636,10.636,533
38,2010-12-07,11.046,11.046,11.046,11.046,282
39,2010-12-08,10.721,10.721,10.636,10.636,1291
40,2010-12-10,10.645,10.721,10.636,10.636,4318
41,2010-12-13,10.636,10.645,10.636,10.636,3548
42,2010-12-14,10.636,10.636,10.636,10.636,114
