,Date,Open,High,Low,Close,Volume
0,2005-02-25,4.0423,4.2043,3.9957,4.2043,694191
1,2005-02-28,4.1915,4.2172,4.0636,4.1363,777278
2,2005-03-01,4.1659,4.4893,4.1659,4.3148,1201102
3,2005-03-02,4.3192,4.4128,4.3023,4.3489,721660
4,2005-03-03,4.3787,4.3787,4.2298,4.2298,423637
5,2005-03-04,4.2254,4.2763,4.0724,4.1659,652698
6,2005-03-07,4.0893,4.1659,4.0296,4.0851,317860
7,2005-03-08,4.0255,4.1319,4.0255,4.1234,232190
8,2005-03-09,4.1023,4.1023,3.9787,4.0084,372987
9,2005-03-10,4.0383,4.0423,3.9148,3.9572,393436
10,2005-03-11,3.9276,3.9787,3.7701,3.8935,341458
11,2005-03-14,3.8297,3.9148,3.7021,3.7275,728752
12,2005-03-15,3.6977,3.8042,3.6212,3.6382,637399
13,2005-03-16,3.6085,3.8807,3.6085,3.7192,1113162
14,2005-03-17,3.7275,3.8427,3.6382,3.8084,595031
15,2005-03-18,3.8807,3.8807,3.6893,3.7021,432303
16,2005-03-21,3.651,3.7616,3.5957,3.6126,461677
17,2005-03-22,3.6042,3.6553,3.4937,3.5147,507871
18,2005-03-23,3.5192,3.6382,3.4041,3.4297,631767
19,2005-03-24,3.4127,3.4766,3.383,3.4085,477804
20,2005-03-28,3.3657,3.5915,3.1362,3.1659,3091644
21,2005-03-29,3.1362,3.268,3.1362,3.2638,1257293
22,2005-03-30,3.2596,3.3446,3.2129,3.3446,669562
23,2005-03-31,3.3105,3.3744,3.2724,3.3446,252589
24,2005-04-01,3.383,3.4085,3.268,3.3913,466128
25,2005-04-04,3.3998,3.4426,3.3488,3.4254,599273
26,2005-04-05,3.3959,3.4426,3.285,3.3701,486363
27,2005-04-06,3.3531,3.3913,3.2977,3.3531,215255
28,2005-04-07,3.3873,3.3873,3.3021,3.3744,337753
29,2005-04-08,3.3404,3.5276,3.2894,3.4937,835120
30,2005-04-11,3.4596,3.5276,3.383,3.4339,365220
31,2005-04-12,3.4085,3.4466,3.3575,3.3913,1355532
32,2005-04-13,3.3575,3.3913,3.3317,3.3317,362684
33,2005-04-14,3.3105,3.3488,3.2129,3.2339,752478
34,2005-04-15,3.268,3.2724,3.0212,3.0382,1121436
35,2005-04-18,3.034,3.064,3.0212,3.0212,332036
36,2005-04-19,3.0254,3.0936,2.9361,2.983,748863
37,2005-04-20,3.0212,3.064,2.9574,2.9999,636823
38,2005-04-21,3.0042,3.0424,2.9277,3.0042,644077
39,2005-04-22,2.9786,3.0254,2.9191,2.9999,390417
40,2005-04-25,2.9574,3.0085,2.932,2.9574,391758
41,2005-04-26,2.9361,3.0042,2.9148,2.9616,221817
42,2005-04-27,2.9616,3.0212,2.9489,2.9574,178156
43,2005-04-28,2.9532,2.9574,2.902,2.902,362268
44,2005-04-29,2.9148,2.9233,2.8383,2.9233,321640
45,2005-05-02,2.9148,2.9277,2.8212,2.8892,376554
46,2005-05-03,2.9063,2.9063,2.8426,2.8724,481667
47,2005-05-04,2.8552,2.8808,2.834,2.8724,540535
48,2005-05-05,2.8892,2.8892,2.8426,2.8596,621414
49,2005-05-06,2.851,2.8936,2.851,2.8596,221956
50,2005-05-09,2.8383,2.932,2.7531,2.898,311491
51,2005-05-10,2.9104,2.9104,2.8127,2.8468,360002
52,2005-05-11,2.8255,2.8298,2.732,2.7659,226542
53,2005-05-12,2.8255,2.8426,2.6212,2.6382,329052
54,2005-05-13,2.7148,2.7784,2.6382,2.7447,324598
55,2005-05-16,2.719,2.7832,2.6382,2.6551,266265
56,2005-05-17,2.6424,2.7275,2.6255,2.6722,211489
57,2005-05-18,2.7021,2.7021,2.5957,2.6979,196019
58,2005-05-19,2.7021,2.7405,2.6212,2.6298,213489
59,2005-05-20,2.5617,2.6382,2.5572,2.5745,369241
60,2005-05-23,2.5572,2.5745,2.4892,2.5319,411277
61,2005-05-24,2.4892,2.5446,2.4467,2.4467,327519
62,2005-05-25,2.4467,2.617,2.4339,2.5617,1001392
63,2005-05-26,2.6,2.9233,2.5361,2.8084,1582960
64,2005-05-27,2.8426,3.0128,2.7275,2.8767,777679
65,2005-05-31,2.9104,2.9361,2.7275,2.7616,437775
