,Date,Open,High,Low,Close,Volume
0,2017-10-12,29.0,30.19,27.1,27.58,12273812
1,2017-10-13,26.42,28.88,25.85,28.53,1483240
2,2017-10-16,28.25,35.0,27.26,31.85,2645150
3,2017-10-17,32.27,32.3,27.96,28.28,959075
4,2017-10-18,28.18,28.749,27.3,28.14,1086569
5,2017-10-19,27.44,28.99,27.13,28.23,415628
6,2017-10-20,27.85,30.16,27.85,29.19,452819
7,2017-10-23,29.17,29.6,28.0,28.92,264695
8,2017-10-24,28.9,30.52,28.08,29.09,407423
9,2017-10-25,28.89,29.55,27.9801,29.01,203673
10,2017-10-26,28.04,30.8,28.0,30.03,908758
11,2017-10-27,29.73,31.28,29.73,30.96,296899
12,2017-10-30,31.23,32.37,30.6597,31.74,382551
13,2017-10-31,32.14,33.05,31.95,32.6,566734
14,2017-11-01,32.93,33.23,31.61,31.72,554526
15,2017-11-02,31.66,32.34,31.08,31.79,113308
16,2017-11-03,31.93,31.9522,31.1,31.44,363214
17,2017-11-06,30.1,31.01,29.85,30.42,677250
18,2017-11-07,30.47,30.76,29.4,29.76,408457
19,2017-11-08,29.25,29.8,28.11,28.49,629181
20,2017-11-09,28.65,29.0545,28.0,28.35,479061
21,2017-11-10,28.44,30.0,28.35,28.93,343360
