,Date,Open,High,Low,Close,Volume
0,2005-02-25,16.526,17.031,16.526,17.031,126068
1,2005-02-28,16.761,17.087,16.714,16.845,135865
2,2005-03-01,17.087,17.246,16.798,17.031,117652
3,2005-03-02,16.808,17.097,16.622,16.9,97033
4,2005-03-03,17.003,17.003,16.342,16.441,177179
5,2005-03-04,16.612,16.865,16.378,16.808,136277
6,2005-03-07,16.649,16.788,16.498,16.545,92750
7,2005-03-08,16.545,16.714,16.526,16.545,264439
8,2005-03-09,16.779,18.367,16.526,17.611,472147
9,2005-03-10,17.741,17.788,16.826,16.836,266934
10,2005-03-11,16.779,17.078,16.565,16.696,149135
11,2005-03-14,16.573,17.049,16.573,16.845,142473
12,2005-03-15,17.154,17.376,16.602,16.649,162561
13,2005-03-16,16.555,16.865,16.488,16.855,168649
14,2005-03-17,16.9,16.946,16.47,16.865,101260
15,2005-03-18,16.705,17.039,16.536,17.039,369419
16,2005-03-21,17.116,17.116,16.649,16.965,81053
17,2005-03-22,16.826,17.497,16.555,16.714,169771
18,2005-03-23,16.658,17.031,16.431,16.508,108717
19,2005-03-24,16.441,17.246,16.441,16.855,116012
20,2005-03-28,16.865,17.228,16.788,16.845,97579
21,2005-03-29,16.984,17.255,16.526,16.573,178862
22,2005-03-30,16.742,17.078,16.573,16.936,138424
23,2005-03-31,16.771,17.021,16.378,16.779,228291
24,2005-04-01,16.955,16.955,16.266,16.414,162413
25,2005-04-04,16.352,16.909,16.303,16.845,97690
26,2005-04-05,16.696,16.817,16.451,16.705,169755
27,2005-04-06,16.808,16.845,16.612,16.649,186924
28,2005-04-07,16.479,16.855,16.387,16.686,112771
29,2005-04-08,16.668,16.771,16.405,16.414,90853
30,2005-04-11,16.555,16.808,16.285,16.323,90506
31,2005-04-12,16.23,16.761,16.125,16.705,106920
32,2005-04-13,16.686,16.788,16.387,16.441,81974
33,2005-04-14,16.424,16.622,16.087,16.087,121650
34,2005-04-15,16.087,16.192,15.435,15.501,235339
35,2005-04-18,15.6,15.976,15.501,15.958,220548
36,2005-04-19,15.968,16.788,15.958,16.771,264311
37,2005-04-20,16.631,16.649,15.837,15.968,198757
38,2005-04-21,15.968,16.752,15.968,16.536,182869
39,2005-04-22,16.36,16.517,15.92,16.266,149953
40,2005-04-25,16.332,16.555,16.097,16.555,96907
41,2005-04-26,16.352,16.724,16.013,16.013,151766
42,2005-04-27,15.92,16.771,15.901,16.668,196646
43,2005-04-28,16.424,16.441,15.725,15.734,152283
