,Date,Open,High,Low,Close,Volume
0,2016-03-21,0.55,0.91,0.55,0.9,9622
1,2016-03-22,1.01,1.01,1.0,1.0,291
2,2016-03-23,1.0,1.0,0.9,0.9,2403
3,2016-03-24,0.78,0.8574,0.77,0.8574,1291
4,2016-03-29,0.75,0.75,0.75,0.75,200
5,2016-04-06,1.335,1.335,1.335,1.335,100
6,2016-05-23,1.0,1.0033,1.0,1.0033,200
7,2016-05-31,0.011,0.84,0.011,0.84,14793
8,2016-06-01,0.84,1.12,0.84,1.12,35100
9,2016-06-03,1.12,1.12,1.1127,1.1127,1907
10,2016-06-06,0.8,0.8,0.8,0.8,400
11,2016-06-07,1.0,1.0,1.0,1.0,200
12,2016-06-08,0.5,0.7,0.5,0.7,2600
13,2016-06-09,0.7,0.7,0.6507,0.6507,600
14,2016-06-10,0.65,0.65,0.65,0.65,1700
15,2016-06-13,0.96,0.96,0.96,0.96,100
16,2016-06-14,0.93,0.98,0.93,0.98,530
17,2016-06-16,0.65,0.65,0.65,0.65,500
18,2016-06-21,0.74,1.0,0.74,0.95,13100
19,2016-07-06,0.5,0.5,0.5,0.5,100
20,2016-07-07,0.9,0.9,0.65,0.6501,1300
21,2016-07-12,0.46,0.46,0.46,0.46,200
22,2016-07-25,1.01,1.35,0.67,0.76,175625
23,2016-07-26,0.86,0.86,0.73,0.73,1500
24,2016-07-27,0.7624,0.7624,0.7624,0.7624,1000
25,2016-07-28,0.73,0.73,0.72,0.72,200
26,2016-08-01,0.7,0.7,0.7,0.7,200
27,2016-08-08,0.73,0.73,0.69,0.7,1200
28,2016-08-11,0.74,0.8,0.74,0.78,1400
29,2016-08-15,0.7,0.7,0.7,0.7,100
30,2016-08-17,0.66,0.66,0.65,0.65,400
31,2016-08-22,0.67,0.67,0.65,0.65,336
32,2016-09-06,0.6,0.6,0.6,0.6,400
33,2016-09-09,0.3,0.5,0.3,0.5,3400
34,2016-09-14,0.5,0.55,0.5,0.55,1100
35,2016-10-10,0.5,0.5,0.5,0.5,1900
36,2016-10-19,0.25,0.3,0.25,0.3,1247
37,2016-10-25,0.77,0.77,0.77,0.77,300
38,2016-11-02,0.5,0.63,0.5,0.63,500
39,2016-11-17,0.57,0.57,0.5,0.5,50572
40,2016-11-29,0.7,1.05,0.65,0.7,117950
41,2016-11-30,0.6,0.6,0.6,0.6,5000
42,2016-12-01,0.58,0.58,0.58,0.58,100
43,2016-12-02,0.56,0.56,0.56,0.56,100
44,2016-12-05,0.62,0.62,0.62,0.62,100
45,2016-12-06,0.75,0.75,0.75,0.75,1435
46,2016-12-21,0.65,0.65,0.65,0.65,500
47,2016-12-28,0.4,0.6437,0.36,0.6437,1900
48,2016-12-29,0.6135,0.6135,0.6135,0.6135,100
49,2016-12-30,0.62,0.72,0.37,0.43,4300
50,2017-01-04,0.46,0.46,0.46,0.46,100
51,2017-01-10,0.55,0.66,0.55,0.65,2800
52,2017-01-11,0.62,0.62,0.6,0.6,1400
53,2017-01-24,0.52,0.54,0.52,0.54,200
54,2017-02-02,0.65,0.65,0.65,0.65,100
55,2017-02-07,0.66,0.66,0.66,0.66,100
56,2017-02-10,0.62,0.675,0.62,0.6684,300
57,2017-02-23,0.71,0.73,0.71,0.72,574
58,2017-02-24,0.8,0.81,0.7961,0.81,14200
59,2017-02-27,0.8,0.82,0.7962,0.82,13850
60,2017-03-01,0.82,1.0,0.82,1.0,19300
61,2017-03-02,0.98,0.98,0.9,0.98,1012
62,2017-03-03,1.0,1.07,1.0,1.04,15025
63,2017-03-06,1.02,1.02,1.02,1.02,200
64,2017-03-07,1.0,1.0,1.0,1.0,200
65,2017-03-08,1.02,1.02,1.02,1.02,100
66,2017-03-09,1.0,1.0,1.0,1.0,200
67,2017-03-10,0.94,0.94,0.94,0.94,100
68,2017-03-14,0.92,0.92,0.92,0.92,100
69,2017-03-15,0.92,0.92,0.92,0.92,100
70,2017-03-16,0.92,0.92,0.92,0.92,100
71,2017-03-20,0.86,0.88,0.86,0.88,300
72,2017-03-21,0.86,0.86,0.86,0.86,100
73,2017-03-22,0.87,1.0,0.87,0.93,400
74,2017-03-24,0.97,1.02,0.97,0.99,3900
75,2017-03-27,0.99,1.01,0.985,1.0,8080
76,2017-03-28,1.0,1.0,0.87,1.0,15700
77,2017-03-29,1.0,1.24,0.935,1.2281,166300
78,2017-03-30,1.12,1.3,1.1,1.27,8012
79,2017-03-31,1.25,1.31,1.23,1.23,21748
80,2017-04-03,1.08,1.27,1.08,1.27,1448
81,2017-04-04,1.27,1.28,0.8529,1.25,2500
82,2017-04-05,1.21,1.22,1.0,1.16,16400
83,2017-04-07,1.2,1.3,1.19,1.29,17100
84,2017-04-11,1.29,1.3,1.07,1.17,4516
85,2017-04-12,1.09,1.1,1.09,1.1,1700
86,2017-04-13,1.06,1.09,0.92,1.05,1800
87,2017-04-18,1.0,1.0,1.0,1.0,250
88,2017-04-19,1.09,1.09,1.029,1.09,1300
89,2017-04-20,1.05,1.09,1.03,1.09,4190
90,2017-04-21,1.05,1.09,1.05,1.09,200
91,2017-04-24,1.07,1.11,1.07,1.1,13500
92,2017-04-25,1.07,1.12,1.07,1.12,400
93,2017-04-26,1.1,1.12,1.1,1.1,5200
94,2017-04-27,1.12,1.12,1.05,1.09,5200
95,2017-04-28,1.13,1.2,1.13,1.13,887
96,2017-05-01,1.0,1.13,1.0,1.13,900
97,2017-05-02,1.13,1.18,1.13,1.1768,1200
98,2017-05-03,1.16,1.19,1.16,1.19,400
99,2017-05-04,1.13,1.135,1.12,1.12,200
100,2017-05-05,1.3,1.5681,1.16,1.5681,14918
101,2017-05-08,1.6,1.75,1.06,1.7499,30059
102,2017-05-09,1.81,1.84,1.46,1.76,15731
