,Date,Open,High,Low,Close,Volume
0,1989-01-05,2.5355,2.5608,2.4945,2.5608,149641
1,1989-01-06,2.5355,2.5608,2.519,2.5355,217701
2,1989-01-09,2.5771,2.5771,2.519,2.5608,285281
3,1989-01-10,2.5771,2.6187,2.519,2.6187,494291
4,1989-01-11,2.6187,2.7014,2.6187,2.66,1076435
5,1989-01-12,2.66,2.7263,2.6431,2.7263,1313445
6,1989-01-13,2.7428,2.7844,2.7263,2.7678,449882
7,1989-01-16,2.7678,2.7678,2.7014,2.7428,639100
8,1989-01-17,2.7428,2.7678,2.6849,2.7263,468707
9,1989-01-18,2.7428,2.8089,2.7014,2.8089,691237
10,1989-01-19,2.8089,2.8089,2.7428,2.7428,121159
11,1989-01-20,2.7678,2.7844,2.7428,2.7844,545939
12,1989-01-23,2.7844,2.7844,2.7263,2.7428,287214
13,1989-01-24,2.7428,2.7428,2.7014,2.7428,485123
14,1989-01-25,2.7678,2.8505,2.7263,2.8089,234596
15,1989-01-26,2.8258,2.9089,2.8089,2.9089,1609343
16,1989-01-27,2.9089,3.0744,2.892,3.0166,3363009
17,1989-01-30,2.9749,2.9914,2.9501,2.9749,1216906
18,1989-01-31,3.0166,3.0328,2.9332,2.9749,874662
19,1989-02-01,2.9501,2.9749,2.9332,2.9501,481257
20,1989-02-02,2.9501,2.9749,2.9332,2.9501,91713
21,1989-02-03,2.9501,2.9914,2.9332,2.9914,344653
22,1989-02-06,2.9914,2.9914,2.9089,2.9332,326793
23,1989-02-07,2.9089,2.9501,2.892,2.9332,1265653
24,1989-02-08,2.9501,2.9501,2.8671,2.892,150122
25,1989-02-09,2.8671,2.892,2.7844,2.7844,165570
26,1989-02-10,2.7428,2.7844,2.7014,2.7428,340789
27,1989-02-13,2.7263,2.7263,2.6849,2.7263,328240
28,1989-02-14,2.7014,2.8089,2.7014,2.7844,157363
29,1989-02-15,2.8089,2.8258,2.7844,2.8089,520840
30,1989-02-16,2.8089,2.8258,2.7678,2.7844,203218
31,1989-02-17,2.7678,2.7844,2.7678,2.7844,138537
32,1989-02-21,2.7678,2.7844,2.7263,2.7263,233148
33,1989-02-22,2.7181,2.7181,2.66,2.7181,233628
34,1989-02-23,2.7181,2.7428,2.6764,2.7428,657447
35,1989-02-24,2.7428,2.7844,2.7181,2.7593,1064367
