,Date,Open,High,Low,Close,Volume
0,2005-02-25,3.2439,3.322,3.2439,3.322,2875
1,2005-02-28,3.0612,3.3306,3.0612,3.3306,2785
2,2005-03-01,3.2786,3.3481,3.2786,3.3481,9082
3,2005-03-02,3.3046,3.3133,3.2959,3.3133,8394
4,2005-03-03,3.2176,3.4785,3.1999,3.4699,11724
5,2005-03-04,3.4436,3.5221,3.4174,3.5221,23345
6,2005-03-07,3.4699,3.4785,3.4091,3.4785,28747
7,2005-03-08,3.4436,3.4436,3.2351,3.2611,14259
8,2005-03-09,3.1828,3.3046,3.1741,3.3046,10925
9,2005-03-10,3.1483,3.4091,3.1308,3.2351,6352
10,2005-03-11,3.3741,3.4174,3.1915,3.2959,14762
11,2005-03-14,3.3046,3.322,3.2176,3.322,3285
12,2005-03-15,3.2351,3.3656,3.2264,3.3393,26565
13,2005-03-16,3.3741,3.3741,3.0521,3.1741,15081
14,2005-03-17,2.8263,3.3133,2.3131,3.3133,59157
15,2005-03-18,3.3046,3.3918,3.2092,3.3481,10169
16,2005-03-21,3.2351,3.2611,3.0697,3.1828,37203
17,2005-03-22,3.2439,3.322,3.1132,3.322,5172
18,2005-03-23,3.096,3.1741,3.0002,3.1221,24839
19,2005-03-24,3.035,3.1221,2.8,2.9915,149955
20,2005-03-28,2.9915,3.0874,2.9218,2.9218,28287
21,2005-03-29,2.7915,2.9131,2.6351,2.6523,70537
22,2005-03-30,2.6001,2.9566,2.6001,2.8089,48434
23,2005-03-31,2.8089,3.0786,2.6087,2.9218,44024
24,2005-04-01,3.0697,3.0697,2.6958,2.8263,35895
25,2005-04-04,2.8176,2.8263,2.6784,2.6784,4024
26,2005-04-05,2.6087,2.9566,2.6087,2.9566,36108
27,2005-04-06,3.0439,3.0439,2.7305,2.8611,2760
28,2005-04-07,2.9566,2.9566,2.8438,2.8698,13856
29,2005-04-08,2.7915,2.7915,2.7829,2.7829,803
30,2005-04-11,2.7391,2.7829,2.6873,2.774,18585
31,2005-04-12,2.6175,2.7483,2.5656,2.6523,75549
