,Date,Open,High,Low,Close,Volume
0,2010-06-24,12.513,12.513,12.513,12.513,0
1,2010-06-25,12.513,12.894,12.513,12.782,610187
2,2010-06-28,12.782,12.824,12.533,12.745,366621
3,2010-06-29,12.808,12.808,12.576,12.745,265526
4,2010-06-30,12.779,12.794,12.609,12.794,308708
5,2010-07-01,12.808,12.851,12.639,12.765,436671
6,2010-07-02,12.733,13.014,12.676,12.894,330065
7,2010-07-06,12.894,13.14,12.718,12.877,234549
8,2010-07-07,12.976,12.982,12.733,12.824,163687
9,2010-07-08,12.851,12.982,12.595,12.726,468692
10,2010-07-09,12.739,12.915,12.669,12.877,171411
11,2010-07-12,12.982,13.121,12.701,12.765,388974
12,2010-07-13,12.87,12.882,12.708,12.726,218010
13,2010-07-14,12.718,12.82,12.669,12.676,243325
14,2010-07-15,12.776,12.858,12.612,12.776,362540
15,2010-07-16,13.033,13.033,12.714,12.765,448812
16,2010-07-19,12.87,12.87,12.676,12.808,227091
17,2010-07-20,12.858,12.982,12.745,12.894,338340
18,2010-07-21,12.953,12.996,12.824,12.882,244618
19,2010-07-22,13.002,13.009,12.765,12.921,193658
20,2010-07-23,12.945,12.945,12.782,12.894,219839
21,2010-07-26,12.796,12.889,12.726,12.776,381033
22,2010-07-27,12.714,12.864,12.653,12.815,244520
23,2010-07-28,12.796,12.915,12.662,12.858,213718
24,2010-07-29,12.765,12.808,12.513,12.513,758638
25,2010-07-30,12.571,12.657,12.545,12.625,314719
26,2010-08-02,12.669,12.708,12.576,12.59,229930
27,2010-08-03,12.619,12.701,12.595,12.676,267916
28,2010-08-04,12.701,12.765,12.612,12.639,384824
29,2010-08-05,12.576,12.788,12.576,12.782,435464
30,2010-08-06,12.832,12.902,12.669,12.82,621603
31,2010-08-09,12.858,12.921,12.745,12.921,400083
32,2010-08-10,12.858,12.889,12.689,12.864,574931
33,2010-08-11,12.608,12.633,12.483,12.533,639807
34,2010-08-12,12.513,12.782,12.483,12.765,420451
35,2010-08-13,12.733,12.802,12.633,12.77,289104
36,2010-08-16,12.802,12.802,12.619,12.739,477825
37,2010-08-17,12.902,12.902,12.653,12.669,527563
38,2010-08-18,12.701,12.765,12.612,12.765,417786
39,2010-08-19,12.602,12.701,12.571,12.612,303388
40,2010-08-20,12.718,12.758,12.545,12.564,246370
