,Date,Open,High,Low,Close,Volume
0,2017-03-29,5.4273,5.4273,5.4091,5.4091,2644
1,2017-03-30,5.606,5.6091,5.4627,5.5429,5797
2,2017-03-31,5.6227,5.7182,5.6227,5.6818,2676
3,2017-04-03,5.5273,5.6138,5.5262,5.5262,2402
4,2017-04-04,5.5306,5.5306,5.4545,5.4545,2420
5,2017-04-05,5.5283,5.5283,5.4291,5.4291,990
6,2017-04-06,5.4727,5.5273,5.4727,5.5091,2872
7,2017-04-07,5.3636,5.3636,5.3636,5.3636,503
8,2017-04-10,5.4545,5.5909,5.4545,5.5727,634
9,2017-04-11,5.4545,5.4545,5.2818,5.2818,6221
10,2017-04-12,5.3636,5.3727,5.2909,5.2909,4950
11,2017-04-13,5.2909,5.2909,5.2727,5.2727,429
12,2017-04-17,5.2727,5.2727,5.0324,5.2,10161
13,2017-04-18,5.0273,5.0545,4.9324,4.9636,8954
14,2017-04-19,5.1164,5.1164,5.1164,5.1164,550
15,2017-04-20,5.4182,5.4364,5.3218,5.3218,1108
16,2017-04-21,5.2642,5.2642,5.2642,5.2642,660
17,2017-04-24,5.4136,5.4532,5.1164,5.1796,6324
18,2017-04-25,5.0455,5.0455,4.8636,4.9519,16268
19,2017-04-26,4.8182,4.965,4.7496,4.8636,25006
20,2017-04-27,4.8636,5.1364,4.8636,5.1364,275
21,2017-04-28,5.1003,5.1003,5.1003,5.1003,592
22,2017-05-01,4.8861,4.8861,4.8,4.8089,2540
23,2017-05-02,4.7818,4.9,4.7818,4.9,2813
24,2017-05-03,4.9545,4.9545,4.9545,4.9545,220
25,2017-05-04,5.0273,5.0273,4.948,4.948,2035
26,2017-05-05,4.9861,4.9861,4.8273,4.8273,2686
27,2017-05-08,4.8805,4.8805,4.8455,4.8545,2344
28,2017-05-09,4.8727,4.8727,4.7727,4.8636,7615
29,2017-05-10,5.0818,5.0818,4.9769,4.9951,2625
30,2017-05-11,4.888,4.888,4.7565,4.7965,23436
31,2017-05-12,5.1818,5.1818,5.1283,5.1283,3080
32,2017-05-15,5.0818,5.2727,5.0727,5.0727,30907
33,2017-05-16,5.3545,5.5364,5.1364,5.1364,4425
34,2017-05-17,5.5455,5.9909,5.4545,5.4818,16766
35,2017-05-18,5.4573,5.4818,5.3636,5.4091,7422
36,2017-05-22,5.8545,5.9636,5.6818,5.9182,25960
37,2017-05-23,5.9052,5.9349,5.8727,5.9273,5267
38,2017-05-24,5.9238,6.2182,5.6491,5.8255,19795
39,2017-05-25,6.1091,6.1818,5.7364,5.7364,12004
40,2017-05-26,6.1364,6.3726,5.9857,6.1364,33318
41,2017-05-30,6.3636,6.3636,6.2728,6.2818,3325
42,2017-05-31,6.2636,6.4764,6.2636,6.3182,783
43,2017-06-01,6.3277,6.4545,6.3277,6.4545,1073
44,2017-06-02,6.4727,6.5,6.3273,6.3273,1518
45,2017-06-05,6.6,6.6,6.5909,6.5909,576
46,2017-06-06,6.5818,6.5865,6.2727,6.2727,1431
47,2017-06-07,6.3091,6.4734,6.3091,6.4636,3325
48,2017-06-08,6.3436,6.5845,6.3436,6.5845,1658
49,2017-06-09,6.6,6.6182,6.3545,6.504,23348
50,2017-06-14,6.3637,6.4182,6.3636,6.4091,3630
51,2017-06-15,6.4273,6.5,6.4182,6.4636,1539
52,2017-06-19,6.4891,6.4891,6.4091,6.4364,1430
53,2017-06-22,6.5818,7.0364,6.5395,7.0,88925
54,2017-06-23,6.8364,6.9909,6.8364,6.9909,550
55,2017-06-26,7.2273,7.2273,7.0909,7.0909,2145
56,2017-06-27,7.1273,7.1273,5.6818,6.6818,14179
57,2017-06-28,6.6182,6.6182,6.6095,6.6095,221
58,2017-06-29,7.0355,7.2273,6.8182,6.8182,4727
59,2017-07-03,7.0455,7.0455,6.9091,6.9091,935
60,2017-07-05,6.9455,6.9545,6.7916,6.9545,2273
61,2017-07-07,6.9636,6.9636,6.9636,6.9636,165
62,2017-07-10,6.9727,7.1727,6.9727,7.0156,2717
63,2017-07-11,6.9545,6.9545,6.9545,6.9545,550
64,2017-07-12,6.9995,6.9995,6.9995,6.9995,550
65,2017-07-13,7.0455,7.051,6.9727,6.975,2030
66,2017-07-14,6.9545,7.0455,6.9545,7.0455,820
67,2017-07-18,6.8273,7.0363,6.8182,7.0295,10275
68,2017-07-19,6.8216,6.9182,6.8182,6.9182,3080
69,2017-07-20,6.9091,6.9276,6.8383,6.8383,1827
70,2017-07-21,6.5491,6.5491,6.5491,6.5491,220
71,2017-07-24,6.8,6.9909,6.8,6.9091,5210
72,2017-07-25,6.8182,6.9091,6.8182,6.9091,13210
73,2017-07-26,6.8182,6.8182,6.8182,6.8182,6601
74,2017-07-27,6.8465,6.9305,6.8182,6.9305,2640
75,2017-07-31,6.9818,6.9909,6.9545,6.9545,2713
76,2017-08-01,6.9664,6.9818,6.8273,6.9212,15294
77,2017-08-02,6.8285,6.8636,6.8285,6.8636,1155
78,2017-08-03,6.8575,6.8636,6.8575,6.8636,495
79,2017-08-04,6.8273,6.9364,6.8273,6.9364,880
