,Date,Open,High,Low,Close,Volume
0,2017-03-02,24.9,24.99,24.9,24.92,838826
1,2017-03-03,24.94,25.0,24.89,24.93,696984
2,2017-03-06,24.96,24.9699,24.91,24.91,274537
3,2017-03-07,24.93,24.93,24.83,24.83,741322
4,2017-03-08,24.75,24.779,24.62,24.67,437629
5,2017-03-09,24.67,24.6967,24.5,24.54,321215
6,2017-03-10,24.56,24.65,24.41,24.58,241179
7,2017-03-13,24.64,24.71,24.586,24.61,327067
8,2017-03-14,24.67,24.81,24.58,24.81,156910
9,2017-03-15,24.81,24.92,24.7101,24.92,337924
10,2017-03-16,24.92,24.97,24.87,24.9,270997
11,2017-03-17,24.92,25.03,24.9,25.03,398065
12,2017-03-20,25.03,25.08,24.99,25.01,315801
13,2017-03-21,25.0,25.04,24.96,25.02,243314
14,2017-03-22,25.0,25.07,25.0,25.04,302065
15,2017-03-23,25.06,25.1,25.02,25.04,243274
16,2017-03-24,25.06,25.17,25.06,25.12,209915
17,2017-03-27,25.07,25.18,25.03,25.18,210796
18,2017-03-28,25.22,25.3,25.2004,25.3,376276
19,2017-03-29,25.32,25.32,25.21,25.25,269125
20,2017-03-30,25.25,25.38,25.24,25.38,269485
21,2017-03-31,25.35,25.415,25.32,25.39,471488
22,2017-04-03,25.39,25.44,25.34,25.37,293476
23,2017-04-04,25.35,25.39,25.3,25.32,202136
24,2017-04-05,25.31,25.36,25.21,25.22,184338
25,2017-04-06,25.23,25.33,25.17,25.33,142971
26,2017-04-07,25.34,25.439,25.3,25.34,282429
27,2017-04-10,25.38,25.4,25.27,25.28,253653
28,2017-04-11,25.28,25.32,25.22,25.29,225588
29,2017-04-12,25.297,25.39,25.297,25.37,101701
30,2017-04-13,25.35,25.395,25.3,25.37,126920
31,2017-04-17,25.39,25.44,25.35,25.38,136460
32,2017-04-18,25.385,25.385,25.32,25.35,142218
33,2017-04-19,25.4,25.4,25.27,25.3,202649
34,2017-04-20,25.3124,25.33,25.28,25.3,199575
35,2017-04-21,25.32,25.48,25.31,25.46,2025758
36,2017-04-24,25.42,25.47,25.3763,25.41,151054
37,2017-04-25,25.42,25.48,25.42,25.45,144886
38,2017-04-26,25.42,25.5653,25.4,25.545,181133
39,2017-04-27,25.55,25.84,25.5201,25.71,188172
40,2017-04-28,25.67,25.76,25.6601,25.72,67738
41,2017-05-01,25.7,25.7,25.5999,25.6699,60623
42,2017-05-02,25.6863,25.7,25.58,25.69,78814
43,2017-05-03,25.7,25.83,25.6101,25.83,39411
44,2017-05-04,25.73,25.8,25.65,25.7,78327
45,2017-05-05,25.66,25.78,25.65,25.76,44393
46,2017-05-08,25.68,25.7399,25.61,25.67,136302
47,2017-05-09,25.65,25.704,25.5,25.7,74960
48,2017-05-10,25.7,25.78,25.69,25.77,48930
49,2017-05-11,25.7712,25.85,25.7603,25.84,37932
50,2017-05-12,25.8205,25.94,25.81,25.93,60944
51,2017-05-15,25.85,25.9527,25.85,25.95,73287
52,2017-05-16,25.98,25.98,25.86,25.9,31691
53,2017-05-17,25.9,25.99,25.8,25.97,81948
54,2017-05-18,26.0199,26.0199,25.81,25.83,38878
55,2017-05-19,25.8664,25.98,25.8664,25.91,42720
56,2017-05-22,26.0,26.0,25.87,25.99,27859
57,2017-05-23,25.9,26.14,25.88,26.09,46877
58,2017-05-24,26.09,26.1099,25.94,25.98,75405
59,2017-05-25,26.05,26.05,25.916,25.97,41068
60,2017-05-26,26.0,26.08,25.93,26.06,35963
61,2017-05-30,25.52,25.54,25.37,25.45,115504
62,2017-05-31,25.43,25.47,25.35,25.41,91789
63,2017-06-01,25.41,25.5,25.41,25.48,57054
64,2017-06-02,25.51,25.6,25.5053,25.6,56881
65,2017-06-05,25.5501,25.64,25.5501,25.63,18189
66,2017-06-06,25.6,25.68,25.6,25.62,95536
67,2017-06-07,25.61,25.61,25.52,25.52,78115
68,2017-06-08,25.54,25.59,25.54,25.59,77495
69,2017-06-09,25.53,25.6,25.53,25.53,35229
70,2017-06-12,25.5499,25.59,25.5461,25.58,32774
71,2017-06-13,25.56,25.5848,25.5,25.58,39448
72,2017-06-14,25.6,25.65,25.54,25.62,84484
73,2017-06-15,25.6,25.679,25.531,25.63,80294
74,2017-06-16,25.62,25.68,25.6,25.68,36089
75,2017-06-19,25.63,25.78,25.63,25.66,54188
76,2017-06-20,25.63,25.6718,25.58,25.66,31670
77,2017-06-21,25.6305,25.66,25.6,25.6,35909
78,2017-06-22,25.6444,25.689,25.6444,25.65,16699
79,2017-06-23,25.68,25.69,25.63,25.65,23875
80,2017-06-26,25.68,25.7999,25.6501,25.79,32165
81,2017-06-27,25.79,25.82,25.65,25.69,98635
82,2017-06-28,25.69,25.7229,25.6,25.633,104010
83,2017-06-29,25.62,25.63,25.5,25.51,118269
84,2017-06-30,25.61,25.651,25.5,25.59,128226
85,2017-07-03,25.5501,25.64,25.55,25.63,18485
86,2017-07-05,25.61,25.64,25.56,25.63,41228
87,2017-07-06,25.611,25.6488,25.585,25.6,63522
88,2017-07-07,25.6799,25.68,25.55,25.61,34321
89,2017-07-10,25.66,25.69,25.6,25.63,29532
90,2017-07-11,25.6,25.659,25.59,25.6246,31308
91,2017-07-12,25.67,25.69,25.61,25.61,52752
92,2017-07-13,25.61,25.675,25.58,25.63,35854
93,2017-07-14,25.64,25.71,25.61,25.71,40966
94,2017-07-17,25.6728,25.71,25.64,25.69,32983
95,2017-07-18,25.7152,25.73,25.66,25.7,58787
96,2017-07-19,25.74,25.75,25.69,25.75,23979
97,2017-07-20,25.745,25.98,25.745,25.85,81344
98,2017-07-21,25.83,26.0,25.825,26.0,94375
99,2017-07-24,25.99,26.0,25.9,25.95,31005
100,2017-07-25,25.921,26.0,25.81,25.97,62619
101,2017-07-26,25.9,25.97,25.81,25.82,59723
102,2017-07-27,25.82,25.88,25.76,25.85,59716
103,2017-07-28,25.7815,25.8999,25.7815,25.84,9269
104,2017-07-31,25.8975,25.96,25.82,25.95,32749
105,2017-08-01,25.831,25.95,25.831,25.95,24545
106,2017-08-02,25.89,25.95,25.8766,25.9,21499
107,2017-08-03,25.9399,25.99,25.88,25.91,27036
108,2017-08-04,25.91,25.99,25.91,25.98,21298
109,2017-08-07,26.0,26.13,25.99,26.07,99376
110,2017-08-08,26.23,26.23,26.101,26.16,65744
111,2017-08-09,26.15,26.2,26.11,26.2,46252
112,2017-08-10,26.2,26.2,25.8606,26.04,57468
113,2017-08-11,26.15,26.18,25.9,25.9,50957
114,2017-08-14,26.035,26.11,25.91,26.03,27426
115,2017-08-15,26.08,26.12,25.92,26.06,37301
116,2017-08-16,26.08,26.08,25.99,26.05,37603
117,2017-08-17,25.994,26.05,25.92,25.93,19566
118,2017-08-18,25.931,26.1,25.9307,26.075,31361
119,2017-08-21,26.09,26.09,25.95,26.0203,36062
120,2017-08-22,26.11,26.19,26.031,26.14,39515
121,2017-08-23,26.0517,26.2,26.0464,26.2,40305
122,2017-08-24,26.2,26.24,26.13,26.16,12974
123,2017-08-25,26.2,26.23,26.15,26.16,13431
124,2017-08-28,26.16,26.25,26.14,26.24,41083
125,2017-08-29,26.16,26.25,26.12,26.12,45374
126,2017-08-30,25.73,25.74,25.67,25.68,58950
127,2017-08-31,25.68,25.84,25.68,25.84,23442
128,2017-09-01,25.8201,25.88,25.76,25.81,18024
129,2017-09-05,25.82,25.91,25.8,25.875,31351
130,2017-09-06,25.8797,25.9299,25.73,25.85,27159
131,2017-09-07,25.89,25.9299,25.82,25.82,28366
132,2017-09-08,25.9193,26.06,25.89,26.06,36842
133,2017-09-11,26.1399,26.16,25.92,25.94,27409
134,2017-09-12,26.0799,26.0799,26.0,26.066,8796
135,2017-09-13,26.0963,26.24,25.97,26.2,25216
136,2017-09-14,26.15,26.15,25.92,25.9431,42139
137,2017-09-15,25.98,25.99,25.92,25.97,14820
138,2017-09-18,26.058,26.07,26.0,26.0,19491
139,2017-09-19,26.01,26.1592,26.01,26.15,12966
140,2017-09-20,26.15,26.23,26.125,26.229,16375
141,2017-09-21,26.1575,26.3,26.1,26.26,46570
142,2017-09-22,26.23,26.2899,25.97,26.04,54881
143,2017-09-25,26.05,26.1296,25.951,26.0967,14675
144,2017-09-26,26.11,26.2,26.0,26.09,28176
145,2017-09-27,26.0,26.059,25.91,25.9951,30185
146,2017-09-28,25.94,26.029,25.9,25.97,20503
147,2017-09-29,25.98,26.47,25.95,26.45,60450
148,2017-10-02,26.38,26.394,26.075,26.15,65933
149,2017-10-03,26.21,26.21,25.86,25.88,166296
150,2017-10-04,25.87,25.95,25.85,25.86,69477
151,2017-10-05,25.92,25.98,25.87,25.92,60099
152,2017-10-06,25.9,25.9199,25.8,25.83,35475
153,2017-10-09,25.8,25.8739,25.76,25.79,46551
154,2017-10-10,25.81,25.9486,25.81,25.86,11072
155,2017-10-11,25.88,25.89,25.8091,25.88,25275
156,2017-10-12,25.93,25.99,25.795,25.89,50344
157,2017-10-13,25.87,25.99,25.84,25.99,31188
158,2017-10-16,25.95,25.99,25.87,25.89,16904
159,2017-10-17,25.94,25.94,25.84,25.84,12456
160,2017-10-18,25.9095,25.99,25.86,25.99,21768
161,2017-10-19,25.96,26.14,25.96,26.14,31341
162,2017-10-20,26.0,26.2,26.0,26.19,36239
163,2017-10-23,26.18,26.1899,26.076,26.14,15923
164,2017-10-24,26.0606,26.3117,26.0569,26.24,40794
165,2017-10-25,26.1317,26.1317,25.8,25.82,69192
166,2017-10-26,25.86,25.94,25.81,25.94,23913
167,2017-10-27,25.93,25.9788,25.82,25.82,21012
168,2017-10-30,25.95,25.95,25.71,25.71,62986
169,2017-10-31,25.8,25.9,25.77,25.85,50414
170,2017-11-01,25.88,26.0,25.83,25.9,40198
171,2017-11-02,25.92,25.9217,25.63,25.77,89431
172,2017-11-03,25.8,25.85,25.69,25.85,51729
173,2017-11-06,25.85,25.85,25.69,25.78,28740
174,2017-11-07,25.83,25.92,25.8,25.92,15473
175,2017-11-08,25.93,25.99,25.85,25.99,21580
176,2017-11-09,25.9,25.9737,25.8,25.9509,20751
177,2017-11-10,25.9806,26.1,25.85,26.1,37470
