,Date,Open,High,Low,Close,Volume
0,2017-03-07,41.0,42.06,39.65,40.5,309549
1,2017-03-08,40.15,40.15,38.28,38.44,310004
2,2017-03-09,38.465,38.575,35.29,36.68,518383
3,2017-03-10,36.65,36.94,35.3599,36.3,524704
4,2017-03-13,35.98,37.83,35.94,36.5,171078
5,2017-03-14,36.39,36.915,34.49,35.97,369517
6,2017-03-15,36.75,38.71,35.4,38.58,267535
7,2017-03-16,38.37,39.135,37.3,38.17,92780
8,2017-03-17,38.5,38.92,36.57,36.83,278846
9,2017-03-20,36.93,38.5,36.23,36.4,212773
10,2017-03-21,36.64,37.77,35.2,35.9,282753
11,2017-03-22,35.65,36.45,33.747,34.2,229111
12,2017-03-23,33.97,34.22,33.5,33.84,184351
13,2017-03-24,33.62,34.33,33.05,33.61,146724
14,2017-03-27,33.34,33.5,32.005,32.49,700487
15,2017-03-28,32.55,33.7,32.48,33.37,471577
16,2017-03-29,33.4,35.13,33.4,34.93,279237
17,2017-03-30,34.9,35.48,33.66,34.23,233289
18,2017-03-31,34.17,34.45,33.485,34.05,191190
19,2017-04-03,34.17,35.69,33.41,35.51,324072
20,2017-04-04,35.35,36.84,34.84,35.71,214078
21,2017-04-05,36.05,36.9899,35.155,36.44,279410
22,2017-04-06,36.46,37.86,36.45,37.49,229964
23,2017-04-07,34.0,34.78,33.5,33.5,7851286
24,2017-04-10,33.8,34.62,33.64,34.24,1404292
25,2017-04-11,34.0,34.86,33.63,34.18,529346
26,2017-04-12,34.12,34.95,33.65,34.09,301911
27,2017-04-13,33.91,34.64,33.91,33.91,431238
28,2017-04-17,33.98,34.1899,32.95,33.09,371842
29,2017-04-18,32.76,33.1904,31.94,31.96,475013
30,2017-04-19,32.14,32.78,29.87,30.3,1464879
31,2017-04-20,30.25,31.7,30.2,31.07,510347
32,2017-04-21,30.82,31.36,30.45,31.05,339895
33,2017-04-24,31.45,31.62,30.23,30.94,562342
34,2017-04-25,30.92,31.58,30.85,31.06,575315
35,2017-04-26,31.0,31.755,30.9,31.41,456542
36,2017-04-27,31.2,31.33,29.68,30.03,399373
37,2017-04-28,30.13,30.13,28.951,29.21,469318
38,2017-05-01,29.36,29.495,28.95,29.13,380594
39,2017-05-02,29.35,30.0,29.25,29.96,414338
40,2017-05-03,30.34,30.94,29.81,30.41,481733
41,2017-05-04,30.12,30.22,27.97,28.17,633699
42,2017-05-05,28.26,30.75,28.26,30.42,448118
43,2017-05-08,30.3,31.07,29.88,30.0,245854
44,2017-05-09,29.6,30.59,29.34,29.43,242681
45,2017-05-10,30.69,31.96,30.51,31.45,1544220
46,2017-05-11,32.1,33.04,31.35,31.48,809770
47,2017-05-12,31.48,31.78,30.89,31.13,256805
48,2017-05-15,31.77,33.03,31.66,32.75,438084
49,2017-05-16,33.39,33.53,32.3,32.81,351850
50,2017-05-17,32.79,33.37,32.03,32.41,511887
51,2017-05-18,32.09,33.06,31.7691,32.79,508052
52,2017-05-19,32.99,34.885,32.81,34.79,673017
53,2017-05-22,34.67,35.0099,34.46,34.85,406663
54,2017-05-23,35.07,35.16,34.61,34.97,713596
55,2017-05-24,34.91,35.09,34.37,34.6,436888
56,2017-05-25,34.31,35.135,33.66,33.81,636061
57,2017-05-26,33.77,35.0,33.76,34.96,676856
58,2017-05-30,34.62,34.87,33.34,34.12,553754
59,2017-05-31,33.69,34.05,33.185,33.76,482424
60,2017-06-01,33.7,34.49,32.72,34.17,698576
61,2017-06-02,34.03,34.03,32.76,33.63,541125
62,2017-06-05,33.65,34.09,33.26,33.59,711962
63,2017-06-06,33.48,34.5,33.03,34.17,1013768
64,2017-06-07,33.94,34.645,32.45,32.69,1349410
65,2017-06-08,32.46,33.17,32.28,32.48,522057
66,2017-06-09,32.58,34.93,32.5,34.83,1165130
67,2017-06-12,34.74,35.43,34.37,35.28,1802879
68,2017-06-13,35.42,36.78,34.79,36.06,1477063
69,2017-06-14,36.0,36.0,34.0,34.45,1443669
70,2017-06-15,34.0,34.21,32.5889,33.19,1306495
71,2017-06-16,33.23,34.25,32.78,34.19,4903155
72,2017-06-19,34.43,34.47,33.52,34.36,1183720
73,2017-06-20,33.83,33.83,32.15,32.7,1339564
74,2017-06-21,32.56,32.81,29.76,30.37,1613235
75,2017-06-22,30.65,30.97,29.23,29.46,1176620
76,2017-06-23,29.64,30.25,29.17,30.2,6740792
77,2017-06-26,30.12,31.835,30.091,31.55,1052413
78,2017-06-27,31.52,32.205,31.24,31.87,470275
79,2017-06-28,31.82,33.34,31.75,33.01,469623
80,2017-06-29,33.18,34.02,32.97,33.77,963075
81,2017-06-30,34.13,34.91,33.11,34.27,896134
82,2017-07-03,34.27,35.43,34.05,35.07,373122
83,2017-07-05,34.96,34.99,33.41,33.69,1144418
84,2017-07-06,33.9,34.45,33.24,33.46,1123596
85,2017-07-07,33.14,33.14,31.67,31.99,723973
86,2017-07-10,32.04,33.1,31.73,33.02,783412
87,2017-07-11,33.2,34.19,32.67,33.44,803128
88,2017-07-12,33.94,34.06,32.74,33.38,628770
89,2017-07-13,33.56,33.765,33.15,33.53,899835
90,2017-07-14,33.43,34.39,33.43,34.0,826276
91,2017-07-17,33.76,34.68,33.76,34.11,619949
92,2017-07-18,34.22,34.67,33.25,33.61,307491
93,2017-07-19,33.54,34.75,33.54,34.16,674332
94,2017-07-20,34.18,34.46,32.97,33.01,490495
95,2017-07-21,33.23,33.3,30.88,31.3,854889
96,2017-07-24,31.39,31.54,30.23,30.66,771249
97,2017-07-25,31.02,32.56,30.99,32.06,651393
98,2017-07-26,32.34,34.16,32.08,33.08,849554
99,2017-07-27,33.22,33.28,32.31,33.26,469494
100,2017-07-28,33.05,34.05,32.74,32.76,364674
101,2017-07-31,32.72,32.885,31.45,32.34,324075
102,2017-08-01,32.42,33.08,31.9,32.35,610960
103,2017-08-02,32.35,33.11,32.09,32.86,390039
104,2017-08-03,32.81,33.33,32.32,32.64,293648
105,2017-08-04,32.64,33.03,32.24,32.72,272088
106,2017-08-07,32.69,32.69,31.57,31.81,333400
107,2017-08-08,32.5,33.47,30.05,30.14,987451
108,2017-08-09,29.68,29.68,27.81,28.17,1075719
109,2017-08-10,28.08,28.68,26.69,27.02,913307
110,2017-08-11,27.13,27.35,26.49,26.88,675792
111,2017-08-14,26.99,27.05,26.14,26.31,572741
112,2017-08-15,26.28,26.53,25.59,25.78,696044
113,2017-08-16,25.85,26.27,25.69,26.02,635449
114,2017-08-17,25.84,26.18,25.31,25.54,578133
115,2017-08-18,25.29,25.83,25.05,25.78,401446
116,2017-08-21,25.61,25.61,24.95,25.3,653383
117,2017-08-22,25.48,25.5975,24.84,25.15,471014
