,Date,Open,High,Low,Close,Volume
0,2008-05-16,2.2,3.0,2.0,3.0,2500
1,2008-06-30,2.24,2.24,2.24,2.24,500
2,2008-07-09,2.1,2.1,2.1,2.1,250
3,2008-07-31,2.02,2.5,2.0,2.5,750
4,2008-09-04,2.02,2.5,2.0,2.5,1500
5,2008-09-15,2.1,2.1,2.1,2.1,250
6,2008-10-17,1.1,1.1,1.1,1.1,1250
7,2008-11-07,1.2,1.2,1.2,1.2,50
8,2008-11-12,0.8,0.8,0.8,0.8,2500
9,2009-04-06,0.3,0.3,0.3,0.3,250
10,2009-09-23,1.2,1.2,1.2,1.2,2500
11,2009-09-28,1.62,4.8,1.62,4.8,2100
12,2009-09-29,4.7,4.7,3.54,3.54,1065
13,2009-10-05,4.7,4.7,4.7,4.7,100
14,2009-10-13,5.0,5.0,5.0,5.0,250
15,2009-10-14,5.0,5.0,5.0,5.0,500
16,2009-10-15,5.1,5.2,5.0,5.2,1300
17,2009-10-16,5.2,5.4,5.2,5.4,150
18,2009-10-19,5.0,5.0,5.0,5.0,500
19,2009-10-21,4.7,4.7,4.7,4.7,150
20,2009-10-22,5.4,5.4,5.4,5.4,350
21,2009-10-26,5.5,5.6,5.5,5.6,1000
22,2009-11-06,5.0,5.0,4.72,4.72,1045
23,2009-11-12,5.5,5.6,5.5,5.6,995
24,2009-11-13,5.3,5.3,5.3,5.3,1150
25,2009-12-03,5.3,5.3,5.0,5.0,550
26,2009-12-09,4.2,4.2,4.2,4.2,350
27,2010-01-06,3.98,4.0,3.98,4.0,475
28,2010-01-13,3.6,3.6,3.6,3.6,90
29,2010-01-14,3.62,3.62,3.62,3.62,1000
30,2010-01-15,3.62,3.62,3.6,3.6,600
31,2010-01-22,3.7,3.7,3.7,3.7,50
32,2010-01-25,5.68,5.68,5.68,5.68,50
33,2010-01-26,4.4,4.4,4.4,4.4,50
34,2010-01-28,4.4,4.4,4.4,4.4,175
35,2010-01-29,5.0,5.0,4.0,4.5,7750
36,2010-02-01,4.5,4.5,4.5,4.5,500
