,Date,Open,High,Low,Close,Volume
0,2017-01-30,1.0,1.1,0.82,0.835,25958
1,2017-01-31,0.83,0.83,0.7,0.75,63160
2,2017-02-02,0.9415,0.9415,0.7523,0.84,3560
3,2017-02-07,0.9207,1.05,0.9,1.05,13700
4,2017-02-08,0.9,1.1,0.9,0.975,23050
5,2017-02-09,1.0,1.3,1.0,1.25,26280
6,2017-02-10,1.268,1.55,1.18,1.32,2525
7,2017-02-13,1.55,1.6,1.42,1.5,2852
8,2017-02-14,5.0,5.0,1.37,1.5,13107
9,2017-02-15,1.3,1.6,1.3,1.5,4400
10,2017-02-16,1.6,1.7,1.5748,1.7,7030
11,2017-02-17,1.75,1.89,1.742,1.75,17800
12,2017-02-21,1.8,1.95,1.7523,1.78,12605
13,2017-02-22,1.77,1.87,1.7,1.7,3700
14,2017-02-23,1.4701,1.7,1.4701,1.7,2300
15,2017-02-24,1.52,1.53,1.4,1.41,1900
16,2017-02-27,1.69,1.7,1.55,1.55,400
17,2017-02-28,1.42,1.7,1.42,1.6,500
18,2017-03-01,1.6954,1.7,1.6954,1.7,677
19,2017-03-02,1.5,1.7,1.46,1.46,7481
20,2017-03-03,1.4,1.4,1.3999,1.4,4700
21,2017-03-06,1.349,1.64,1.3485,1.5,32600
22,2017-03-07,1.45,1.5,1.45,1.5,1010
23,2017-03-08,1.442,1.55,1.442,1.55,800
24,2017-03-09,1.55,1.55,1.3999,1.3999,11080
25,2017-03-10,1.4,1.73,1.4,1.73,9032
26,2017-03-13,1.65,1.75,1.6499,1.75,1090
27,2017-03-14,1.5,1.546,1.5,1.546,1800
28,2017-03-16,1.491,1.7,1.491,1.7,1200
29,2017-03-17,1.7,1.7,1.7,1.7,508
30,2017-03-20,1.7,1.7,1.645,1.7,2800
31,2017-03-21,1.75,1.7553,1.47,1.47,24125
32,2017-03-23,1.7,1.75,1.7,1.75,1100
33,2017-03-28,1.4035,1.74,1.4035,1.74,1280
34,2017-03-31,1.74,1.74,1.65,1.66,1300
35,2017-04-05,1.576,1.576,1.5,1.5,6188
36,2017-04-06,1.48,1.48,1.3886,1.4486,20750
37,2017-04-07,1.45,1.4664,1.4495,1.4664,6376
38,2017-04-10,1.5,1.5,1.4589,1.4589,2000
39,2017-04-12,1.45,1.45,1.45,1.45,135
40,2017-04-13,1.4,1.4,1.35,1.35,5018
41,2017-04-17,1.2695,1.2695,1.2695,1.2695,5000
42,2017-04-19,1.35,1.35,1.314,1.35,7328
43,2017-04-20,1.3,1.3473,1.3,1.3473,10000
44,2017-04-21,1.2907,1.2907,1.1007,1.2907,2495
45,2017-04-25,1.199,1.24,1.1,1.1995,17025
46,2017-04-26,1.15,1.15,1.15,1.15,100
47,2017-04-27,1.15,1.15,1.15,1.15,1000
48,2017-05-01,1.05,1.16,1.05,1.15,5400
49,2017-05-03,1.15,1.1501,1.15,1.15,13000
50,2017-05-04,1.15,1.25,1.05,1.25,43700
51,2017-05-05,1.15,1.16,1.15,1.15,40600
52,2017-05-08,1.15,1.2,1.15,1.2,25000
53,2017-05-09,1.15,1.25,1.11,1.15,188700
54,2017-05-10,1.1134,1.15,1.1134,1.138,15855
55,2017-05-11,1.15,1.15,1.1495,1.15,27354
56,2017-05-12,1.15,1.15,1.13,1.15,44776
57,2017-05-15,1.45,1.45,1.35,1.35,3400
58,2017-05-16,1.45,1.61,1.4429,1.55,24800
59,2017-05-18,1.76,1.84,1.7094,1.8,20724
60,2017-05-19,1.79,1.84,1.6,1.84,33904
61,2017-05-22,1.751,1.7683,1.2483,1.6,12185
62,2017-05-23,1.704,1.8,1.704,1.8,750
63,2017-05-24,1.71,1.746,1.6201,1.7103,1040
64,2017-05-26,1.66,1.66,1.65,1.65,11100
65,2017-06-01,1.3501,1.3501,1.3501,1.3501,160
66,2017-06-02,1.6,1.6,1.6,1.6,200
67,2017-06-06,1.5,1.52,1.5,1.51,1000
68,2017-06-07,1.55,1.56,1.55,1.55,5400
69,2017-06-08,1.51,1.51,1.51,1.51,100
70,2017-06-13,1.55,1.65,1.55,1.575,6233
71,2017-06-16,1.6575,1.707,1.65,1.707,2604
72,2017-06-19,1.7374,1.7374,1.73,1.73,6600
73,2017-06-22,1.7999,1.7999,1.7896,1.7896,1360
74,2017-07-10,1.1,1.5261,1.1,1.5261,5247
75,2017-07-11,1.5,1.5,1.5,1.5,25000
76,2017-07-12,1.6,1.6,1.394,1.5,7348
77,2017-07-14,1.6,1.65,1.6,1.6,3454
78,2017-07-18,1.3,1.5,1.3,1.5,12500
79,2017-07-19,1.51,1.51,1.5,1.5,1000
80,2017-07-20,1.5076,1.5999,1.5001,1.5999,2769
81,2017-07-21,1.5463,1.5463,1.41,1.41,5500
82,2017-07-24,1.39,1.5132,1.39,1.5,8100
83,2017-07-25,1.3892,1.3892,1.25,1.25,13300
84,2017-07-26,1.3,1.3868,1.23,1.25,51200
85,2017-07-31,1.252,1.26,1.1499,1.1499,33144
86,2017-08-01,1.12,1.21,1.08,1.2,10600
87,2017-08-02,1.1,1.21,0.98,0.98,12200
88,2017-08-03,1.2,1.2,1.17,1.1749,2500
89,2017-08-04,1.3,1.3,1.01,1.3,25652
90,2017-08-07,1.35,1.35,1.0772,1.25,6900
91,2017-08-08,1.55,1.55,1.55,1.55,100
92,2017-08-10,1.05,1.05,1.05,1.05,100
93,2017-08-14,1.4,1.445,1.4,1.4,2600
94,2017-08-15,1.04,1.1,0.75,0.98,22555
95,2017-08-16,1.0092,1.11,1.0092,1.01,1200
96,2017-08-17,1.0001,1.0001,0.85,0.95,26988
97,2017-08-21,0.775,0.775,0.7,0.74,400
98,2017-08-22,0.85,0.94,0.8095,0.94,9741
99,2017-08-23,0.72,0.95,0.7,0.95,2200
100,2017-08-24,0.95,0.95,0.72,0.72,5400
101,2017-08-25,0.8,0.9,0.8,0.9,11600
102,2017-08-28,0.8,0.8,0.7,0.7,6700
103,2017-08-29,0.8,0.815,0.8,0.8,1235
104,2017-08-30,0.7938,0.88,0.7,0.84,15950
105,2017-08-31,0.8501,0.9,0.8501,0.9,800
106,2017-09-01,0.85,0.9,0.7211,0.8499,15900
107,2017-09-05,0.85,0.85,0.85,0.85,100
108,2017-09-06,0.8,0.8,0.7357,0.75,3321
109,2017-09-07,0.8,0.8,0.7,0.79,16933
110,2017-09-08,0.8,0.8,0.72,0.8,17207
111,2017-09-11,0.77,0.9,0.77,0.9,477
112,2017-09-12,0.7,0.7,0.7,0.7,100
113,2017-09-13,0.7555,0.8,0.7555,0.8,720
114,2017-09-14,0.75,0.75,0.75,0.75,100
115,2017-09-15,0.8,0.8,0.8,0.8,2600
116,2017-09-18,0.71,0.75,0.7,0.7031,5200
117,2017-09-19,0.65,0.65,0.65,0.65,100
118,2017-09-20,0.75,0.83,0.7406,0.7421,105637
119,2017-09-22,0.66,0.7357,0.5195,0.6,16800
120,2017-09-27,0.6455,0.6455,0.6455,0.6455,100
121,2017-09-28,0.83,0.9,0.69,0.9,20550
122,2017-09-29,0.9,0.99,0.71,0.9,26500
123,2017-10-02,0.9,0.9,0.9,0.9,2500
124,2017-10-03,0.8066,0.9,0.8066,0.87,63020
125,2017-10-04,0.92,0.97,0.75,0.84,18100
126,2017-10-05,0.9,0.9,0.9,0.9,600
127,2017-10-06,0.9,0.9,0.9,0.9,100
128,2017-10-11,0.72,0.72,0.72,0.72,100
129,2017-10-13,0.74,0.74,0.74,0.74,200
130,2017-10-17,0.71,0.9,0.71,0.9,24630
131,2017-10-18,0.9,0.9,0.9,0.9,6200
132,2017-10-20,0.8,0.8,0.746,0.746,33600
133,2017-10-24,0.81,1.05,0.8,0.8,3000
134,2017-10-26,0.75,0.8,0.75,0.7999,11080
135,2017-10-27,0.7999,0.8,0.771,0.8,48890
136,2017-10-30,0.8,0.85,0.72,0.85,30400
137,2017-10-31,0.85,0.85,0.78,0.78,12459
138,2017-11-01,0.8,0.8,0.8,0.8,1000
139,2017-11-02,0.71,0.85,0.71,0.7775,18980
140,2017-11-07,0.9,0.9,0.9,0.9,1940
141,2017-11-08,0.9,1.2204,0.9,1.2024,72360
142,2017-11-10,0.78,0.8,0.7,0.743,51570
