,Date,Open,High,Low,Close,Volume
0,2017-06-08,25.14,25.14,25.08,25.08,39254
1,2017-06-09,25.09,25.131,25.07,25.07,189897
2,2017-06-12,25.09,25.12,25.0,25.09,251214
3,2017-06-13,25.05,25.07,25.0,25.06,156472
4,2017-06-14,25.09,25.18,25.0562,25.18,219392
5,2017-06-15,25.12,25.19,25.11,25.18,210531
6,2017-06-16,25.18,25.25,25.16,25.25,77240
7,2017-06-19,25.25,25.34,25.23,25.3,291797
8,2017-06-20,25.31,25.45,25.21,25.4,205013
9,2017-06-21,25.4,25.46,25.36,25.46,222071
10,2017-06-22,25.46,25.65,25.46,25.63,233133
11,2017-06-23,25.6,25.74,25.56,25.72,196235
12,2017-06-26,25.72,25.74,25.58,25.67,394571
13,2017-06-27,25.62,25.64,25.41,25.45,560636
14,2017-06-28,25.49,25.54,25.39,25.44,279493
15,2017-06-29,25.36,25.4,25.13,25.28,397726
16,2017-06-30,25.28,25.63,25.26,25.54,302935
17,2017-07-03,25.52,25.57,25.5,25.56,28343
18,2017-07-05,25.55,25.59,25.51,25.58,139579
19,2017-07-06,25.35,25.41,25.3,25.33,150618
20,2017-07-07,25.3,25.42,25.26,25.35,136017
21,2017-07-10,25.4,25.43,25.35,25.39,145414
22,2017-07-11,25.39,25.39,25.23,25.31,249188
23,2017-07-12,25.37,25.49,25.34,25.49,137955
24,2017-07-13,25.5,25.57,25.45,25.56,102725
25,2017-07-14,25.57,25.65,25.48,25.52,193960
26,2017-07-17,25.62,25.62,25.48,25.51,130650
27,2017-07-18,25.58,25.58,25.45,25.53,164694
28,2017-07-19,25.54,25.63,25.5,25.57,493931
29,2017-07-20,25.59,25.64,25.56,25.58,139223
30,2017-07-21,25.54,25.64,25.51,25.6,1471798
31,2017-07-24,25.6,25.6,25.52,25.6,116577
32,2017-07-25,25.63,25.63,25.4,25.4,81424
33,2017-07-26,25.49,25.6,25.39,25.6,70496
34,2017-07-27,25.59,25.6,25.5,25.57,107761
35,2017-07-28,25.58,25.64,25.52,25.6,41595
36,2017-07-31,25.64,25.64,25.45,25.64,82575
37,2017-08-01,25.64,25.6999,25.548,25.65,32198
38,2017-08-02,25.6628,25.7,25.57,25.65,45672
39,2017-08-03,25.624,25.86,25.6038,25.78,100139
40,2017-08-04,25.75,25.93,25.75,25.9,55204
41,2017-08-07,25.93,25.93,25.85,25.9,68265
42,2017-08-08,25.94,25.94,25.82,25.82,47529
43,2017-08-09,25.8,25.88,25.6,25.62,127987
44,2017-08-10,25.72,25.72,25.08,25.09,180767
45,2017-08-11,25.2,25.2399,24.95,24.98,197734
46,2017-08-14,25.17,25.272,25.13,25.27,52687
47,2017-08-15,25.2729,25.37,25.1601,25.31,48830
48,2017-08-16,25.31,25.48,25.27,25.45,59646
49,2017-08-17,25.3764,25.4,25.15,25.19,69784
50,2017-08-18,25.19,25.4,25.12,25.26,38514
51,2017-08-21,25.3629,25.4,25.21,25.24,31587
52,2017-08-22,25.27,25.45,25.27,25.35,74447
53,2017-08-23,25.34,25.34,25.23,25.25,63799
54,2017-08-24,25.3,25.34,25.2501,25.32,15991
55,2017-08-25,25.32,25.32,25.25,25.28,18085
56,2017-08-28,25.33,25.45,25.3018,25.45,50470
57,2017-08-29,25.39,25.4599,25.3,25.38,33348
58,2017-08-30,25.45,25.52,25.4,25.45,33060
59,2017-08-31,25.49,25.7,25.45,25.6,73269
60,2017-09-01,25.63,25.68,25.53,25.6,30337
61,2017-09-05,25.4742,25.589,25.43,25.52,20464
62,2017-09-06,25.5899,25.63,25.48,25.6,41343
63,2017-09-07,25.561,25.5641,25.34,25.5,93636
64,2017-09-08,25.5,25.68,25.33,25.41,38950
65,2017-09-11,25.61,25.7,25.5,25.7,7164
66,2017-09-12,25.7,25.75,25.55,25.62,21054
67,2017-09-13,25.42,25.46,25.31,25.39,158263
68,2017-09-14,25.37,25.42,25.3,25.31,54573
69,2017-09-15,25.37,25.37,25.23,25.3,23550
70,2017-09-18,25.34,25.4,25.33,25.36,61151
71,2017-09-19,25.37,25.4,25.35,25.4,23166
72,2017-09-20,25.41,25.48,25.37,25.43,65707
73,2017-09-21,25.5,25.6,25.44,25.58,37668
74,2017-09-22,25.5899,25.59,25.5056,25.5544,11902
75,2017-09-25,25.431,25.58,25.431,25.5055,12641
76,2017-09-26,25.579,25.579,25.4785,25.55,15643
77,2017-09-27,25.55,25.59,25.35,25.35,28472
78,2017-09-28,25.3588,25.439,25.33,25.35,44083
79,2017-09-29,25.39,25.47,25.35,25.46,53751
80,2017-10-02,25.52,25.58,25.42,25.42,32849
81,2017-10-03,25.5699,25.57,25.39,25.41,27290
82,2017-10-04,25.4,25.47,25.35,25.42,24969
83,2017-10-05,25.4,25.4544,25.37,25.38,74779
84,2017-10-06,25.0,25.0,24.83,24.98,64686
85,2017-10-09,25.06,25.06,24.88,24.95,48195
86,2017-10-10,24.98,25.07,24.9,25.02,63509
87,2017-10-11,25.12,25.12,24.96,25.0,33252
88,2017-10-12,25.0,25.08,24.97,25.03,69464
89,2017-10-13,25.09,25.1,25.0,25.05,65213
90,2017-10-16,25.06,25.11,25.02,25.1,57996
91,2017-10-17,25.14,25.27,25.12,25.21,39732
92,2017-10-18,25.24,25.35,25.16,25.35,43088
93,2017-10-19,25.35,25.39,25.27,25.39,29623
94,2017-10-20,25.4,25.43,25.291,25.3,31666
95,2017-10-23,25.36,25.5,25.3488,25.49,53317
96,2017-10-24,25.47,25.49,25.2738,25.34,61483
97,2017-10-25,25.29,25.29,25.08,25.18,77678
98,2017-10-26,25.11,25.28,25.11,25.25,75337
99,2017-10-27,25.29,25.39,25.25,25.38,24633
100,2017-10-30,25.35,25.49,25.35,25.49,25137
101,2017-10-31,25.49,25.6,25.42,25.5905,29408
102,2017-11-01,25.5568,25.5899,25.44,25.5,62006
103,2017-11-02,25.59,25.59,25.53,25.577,37670
104,2017-11-03,25.501,25.6,25.5,25.5709,48456
105,2017-11-06,25.59,25.63,25.4647,25.52,67889
106,2017-11-07,25.55,25.68,25.48,25.68,34475
107,2017-11-08,25.64,25.7,25.53,25.53,48945
108,2017-11-09,25.56,25.59,25.45,25.58,46059
109,2017-11-10,25.5,25.55,25.43,25.43,22920
