,Date,Open,High,Low,Close,Volume
0,2017-10-17,25.2075,25.24,25.2,25.213,2110
1,2017-10-18,25.29,25.29,25.24,25.2496,2890
2,2017-10-19,25.24,25.24,25.24,25.24,3700
3,2017-10-20,25.25,25.25,25.23,25.23,3614
4,2017-10-23,25.23,25.232,25.22,25.232,6444
5,2017-10-24,25.23,25.23,25.22,25.2299,34943
6,2017-10-25,25.22,25.24,25.22,25.24,9210
7,2017-10-26,25.245,25.245,25.215,25.22,1600
8,2017-10-27,25.22,25.22,25.22,25.22,500
9,2017-10-30,25.2301,25.2322,25.23,25.2322,6010
10,2017-10-31,25.23,25.2634,25.23,25.2634,3200
11,2017-11-01,25.23,25.23,25.23,25.23,162000
12,2017-11-02,25.23,25.2456,25.23,25.24,372101
13,2017-11-03,25.23,25.2404,25.23,25.2342,121800
14,2017-11-06,25.23,25.24,25.23,25.24,43050
15,2017-11-07,25.23,25.2317,25.23,25.2317,1700
16,2017-11-08,25.2323,25.2395,25.2323,25.2395,525
17,2017-11-10,25.25,25.25,25.24,25.24,2220
