,Date,Open,High,Low,Close,Volume
0,1985-07-01,2.496,2.5372,2.496,2.5372,1011914
1,1985-07-02,2.5538,2.5538,2.5372,2.5456,281627
2,1985-07-03,2.5456,2.5538,2.5372,2.5372,322415
3,1985-07-05,2.5372,2.5538,2.5372,2.5456,332124
4,1985-07-08,2.5538,2.5785,2.5538,2.5785,1002203
5,1985-07-09,2.5785,2.6443,2.5785,2.6443,701154
6,1985-07-10,2.6443,2.6691,2.6361,2.6524,829343
7,1985-07-11,2.6524,2.6524,2.6443,2.6524,580734
8,1985-07-12,2.6443,2.6443,2.6361,2.6361,275802
9,1985-07-15,2.6361,2.6524,2.6281,2.6281,287456
10,1985-07-16,2.6281,2.6361,2.6281,2.6361,615694
11,1985-07-17,2.6361,2.6608,2.6361,2.6608,673960
12,1985-07-18,2.6524,2.6524,2.6361,2.6361,167031
13,1985-07-19,2.6361,2.6443,2.5948,2.6196,450603
14,1985-07-22,2.6031,2.6031,2.5785,2.5867,499158
15,1985-07-23,2.5785,2.5785,2.4796,2.5125,512754
16,1985-07-24,2.5125,2.5291,2.4879,2.4879,648713
17,1985-07-25,2.4879,2.5042,2.463,2.4711,506928
18,1985-07-26,2.4711,2.496,2.463,2.4796,423411
19,1985-07-29,2.4796,2.4796,2.4302,2.4547,846818
20,1985-07-30,2.4386,2.4386,2.3807,2.3807,1050757
21,1985-07-31,2.3892,2.4796,2.3892,2.4711,1105139
22,1985-08-01,2.4547,2.4547,2.4055,2.4547,587532
23,1985-08-02,2.463,2.5125,2.463,2.4796,384566
24,1985-08-05,2.4796,2.5042,2.4466,2.496,419525
25,1985-08-06,2.496,2.5207,2.4221,2.4221,655508
26,1985-08-07,2.4221,2.496,2.4137,2.496,698239
27,1985-08-08,2.496,2.5538,2.4796,2.5538,575877
28,1985-08-09,2.5538,2.5785,2.5207,2.5456,590446
29,1985-08-12,2.5456,2.5538,2.4879,2.5456,589474
30,1985-08-13,2.5456,2.5456,2.5207,2.5207,419525
31,1985-08-14,2.5207,2.5207,2.4879,2.496,374852
32,1985-08-15,2.496,2.5125,2.496,2.5125,222388
33,1985-08-16,2.5125,2.5125,2.4711,2.4711,204909
34,1985-08-19,2.4711,2.496,2.4711,2.496,242782
35,1985-08-20,2.496,2.5042,2.4879,2.4879,599183
36,1985-08-21,2.4879,2.6361,2.4796,2.496,558397
37,1985-08-22,2.496,2.5042,2.4796,2.4879,295221
38,1985-08-23,2.4879,2.496,2.4796,2.4796,84489
39,1985-08-26,2.4796,2.4879,2.4796,2.4796,163148
40,1985-08-27,2.4796,2.4879,2.4796,2.4879,147612
41,1985-08-28,2.4879,2.4879,2.463,2.4879,366115
42,1985-08-29,2.4879,2.5042,2.4796,2.496,203940
43,1985-08-30,2.496,2.5042,2.4711,2.4796,396220
44,1985-09-03,2.4796,2.4796,2.463,2.4711,155381
45,1985-09-04,2.4711,2.4879,2.4547,2.463,398163
46,1985-09-05,2.463,2.4796,2.463,2.4711,171888
47,1985-09-06,2.4711,2.496,2.463,2.4711,121391
48,1985-09-09,2.4796,2.5456,2.4796,2.5456,225302
49,1985-09-10,2.5456,2.5867,2.5372,2.5372,216560
50,1985-09-11,2.5372,2.5702,2.5291,2.5291,216560
51,1985-09-12,2.5291,2.5538,2.5042,2.5207,547711
52,1985-09-13,2.5207,2.5291,2.4055,2.4796,373884
53,1985-09-16,2.4796,2.4879,2.4466,2.4879,192283
54,1985-09-17,2.4879,2.5456,2.463,2.5125,466142
55,1985-09-18,2.5125,2.5125,2.4547,2.4711,481677
56,1985-09-19,2.4711,2.496,2.463,2.4796,68952
57,1985-09-20,2.4796,2.5125,2.4137,2.4137,397190
58,1985-09-23,2.4137,2.4711,2.3892,2.3892,476825
59,1985-09-24,2.4055,2.4879,2.4055,2.4879,592386
60,1985-09-25,2.4879,2.5456,2.463,2.5291,533149
61,1985-09-26,2.5291,2.5456,2.5207,2.5372,450603
62,1985-09-30,2.5456,2.6116,2.5456,2.5785,601125
63,1985-10-01,2.6443,2.8011,2.5622,2.7843,908000
64,1985-10-02,2.8091,2.8257,2.6935,2.7514,1210021
65,1985-10-03,2.7514,2.8091,2.7432,2.8091,879837
66,1985-10-04,2.7762,2.7762,2.7432,2.7432,320466
67,1985-10-07,2.7432,2.7432,2.6361,2.6856,510813
68,1985-10-08,2.6935,2.7762,2.6935,2.7432,506928
69,1985-10-09,2.7762,2.8914,2.7762,2.8257,1849993
70,1985-10-10,2.8257,2.8667,2.7843,2.8257,1194484
71,1985-10-11,2.8175,2.8175,2.7925,2.8175,375826
72,1985-10-14,2.8175,2.8336,2.8091,2.8257,282595
73,1985-10-15,2.8257,3.0069,2.8011,3.0069,2066553
74,1985-10-16,3.0069,3.0973,2.9246,2.9986,1635375
75,1985-10-17,2.9986,2.9986,2.949,2.9738,1322674
76,1985-10-18,2.9738,3.1058,2.9575,3.0973,1422697
77,1985-10-21,3.0973,3.0973,3.0069,3.0481,512754
78,1985-10-22,3.0481,3.0562,2.9822,3.0069,717660
79,1985-10-23,2.9904,2.9904,2.916,2.916,611808
80,1985-10-24,2.916,2.9325,2.8587,2.9078,309789
81,1985-10-25,2.9078,2.9325,2.8914,2.9078,334070
82,1985-10-28,2.8914,2.8914,2.8257,2.8257,497218
83,1985-10-29,2.8257,2.8667,2.7843,2.7925,666192
84,1985-10-30,2.7925,2.842,2.7186,2.7348,862360
85,1985-10-31,2.7348,2.7514,2.6935,2.7432,718630
86,1985-11-01,2.7514,2.8503,2.7514,2.8503,724460
87,1985-11-04,2.8503,2.8587,2.8091,2.842,275802
88,1985-11-05,2.842,2.8587,2.8257,2.842,437005
89,1985-11-06,2.842,2.8503,2.7599,2.8011,370971
90,1985-11-07,2.8011,2.8336,2.7762,2.8175,715720
91,1985-11-08,2.842,2.9656,2.842,2.9325,1058527
92,1985-11-11,2.949,3.1058,2.949,3.0807,1283828
93,1985-11-12,3.0807,3.0807,3.0233,3.04,2275347
94,1985-11-13,3.04,3.0562,2.9904,3.0233,989576
95,1985-11-14,3.0233,3.0481,3.0149,3.0481,1080861
96,1985-11-15,3.04,3.04,2.9904,2.9986,555484
97,1985-11-18,2.9986,3.0314,2.9738,3.0233,488476
98,1985-11-19,3.0233,3.0314,3.0069,3.0314,285511
99,1985-11-20,3.0314,3.0728,3.0149,3.0728,689497
100,1985-11-21,3.0728,3.0894,3.0314,3.0894,2583192
101,1985-11-22,3.0894,3.5751,3.0894,3.386,7803966
102,1985-11-25,3.3445,3.3445,3.2375,3.2786,1741227
103,1985-11-26,3.2786,3.2869,3.2127,3.2786,1698498
104,1985-11-27,3.2786,3.5176,3.2786,3.4433,6309402
105,1985-11-29,3.5589,3.6658,3.5589,3.6164,4477858
106,1985-12-02,3.6082,3.6082,3.493,3.5422,2860936
107,1985-12-03,3.5422,3.5422,3.493,3.5011,906059
108,1985-12-04,3.5176,3.7154,3.5176,3.6741,4309850
109,1985-12-05,3.6741,3.8884,3.6331,3.8224,3016313
110,1985-12-06,3.7977,3.7977,3.6576,3.7154,1984979
111,1985-12-09,3.7154,3.7154,3.6496,3.699,1382881
112,1985-12-10,3.6741,3.6741,3.4433,3.4517,2712354
113,1985-12-11,3.4517,3.5751,3.4433,3.5422,1681989
114,1985-12-12,3.5422,3.5506,3.4599,3.534,953646
115,1985-12-13,3.534,3.5506,3.5011,3.509,813802
116,1985-12-16,3.509,3.5506,3.468,3.5176,1006086
117,1985-12-17,3.5176,3.5176,3.4105,3.4105,1199340
118,1985-12-18,3.4105,3.468,3.4105,3.4433,1284798
119,1985-12-19,3.4433,3.6576,3.427,3.5257,3848567
120,1985-12-20,3.5257,3.5751,3.4599,3.493,2059757
121,1985-12-23,3.493,3.509,3.4599,3.509,1798523
122,1985-12-24,3.493,3.493,3.4517,3.4765,708924
123,1985-12-26,3.4599,3.4599,3.3445,3.3693,954614
124,1985-12-27,3.3693,3.4105,3.3611,3.386,1118736
125,1985-12-30,3.386,3.3937,3.3115,3.3363,859444
126,1985-12-31,3.3363,3.3528,3.2869,3.3035,3005634
127,1986-01-02,3.3035,3.3035,3.2786,3.3035,580734
128,1986-01-03,3.3278,3.386,3.2786,3.3775,600155
129,1986-01-06,3.3775,3.3937,3.3363,3.3775,1624692
130,1986-01-07,3.3775,3.3937,3.3775,3.3775,1139130
131,1986-01-08,3.3775,3.3937,3.2459,3.2459,2043247
132,1986-01-09,3.2459,3.2459,3.1058,3.1549,1836399
133,1986-01-10,3.1549,3.1881,3.1141,3.1141,537034
134,1986-01-13,3.1141,3.1881,3.0645,3.1471,1406189
135,1986-01-14,3.1471,3.1715,3.1141,3.1384,476825
136,1986-01-15,3.1384,3.1634,3.1141,3.1384,307848
137,1986-01-16,3.1384,3.1471,3.1058,3.1141,421469
138,1986-01-17,3.1141,3.1549,3.0562,3.0973,515669
139,1986-01-20,3.0973,3.1715,3.0645,3.1549,845849
140,1986-01-21,3.1549,3.1715,3.0807,3.1304,758450
141,1986-01-22,3.1304,3.1384,2.9986,3.0149,1153694
142,1986-01-23,3.0149,3.0562,2.9656,2.9656,648713
143,1986-01-24,2.9656,3.04,2.9656,3.04,1057555
144,1986-01-27,3.04,3.1141,2.9904,3.0973,842934
145,1986-01-28,3.0973,3.0973,3.0481,3.0894,542859
146,1986-01-29,3.0894,3.1218,3.0645,3.0894,725432
147,1986-01-30,3.0894,3.1384,3.0807,3.1384,808946
148,1986-01-31,3.1384,3.2459,3.1304,3.1634,1347918
149,1986-02-03,3.1798,3.2703,3.1798,3.2623,922571
150,1986-02-04,3.2623,3.3115,3.1965,3.2703,1221675
151,1986-02-05,3.2703,3.3115,3.2459,3.3035,478766
152,1986-02-06,3.2951,3.2951,3.2211,3.2459,470998
153,1986-02-07,3.2459,3.2703,3.2045,3.2623,635116
154,1986-02-10,3.2623,3.2703,3.2045,3.2127,411758
155,1986-02-11,3.2127,3.2459,3.2127,3.2293,1173121
156,1986-02-12,3.2293,3.2459,3.2127,3.2293,432149
