,Date,Open,High,Low,Close,Volume
0,2013-09-25,11.402,11.498,10.964,11.195,4583070
1,2013-09-26,11.316,11.436,11.233,11.402,245654
2,2013-09-27,11.316,11.436,11.195,11.346,274967
3,2013-09-30,11.784,11.784,11.44,11.711,112115
4,2013-10-01,11.227,11.428,11.167,11.287,61772
5,2013-10-02,11.227,11.287,11.042,11.148,113004
6,2013-10-03,11.201,11.245,10.666,10.87,257238
7,2013-10-04,11.167,11.167,10.69,10.69,83787
8,2013-10-07,10.757,11.042,10.724,10.906,50878
9,2013-10-08,11.167,11.167,10.886,10.886,30388
10,2013-10-09,11.077,11.135,10.929,11.047,44325
11,2013-10-10,11.077,11.221,10.987,11.02,45531
12,2013-10-11,10.899,11.135,10.891,10.958,67122
13,2013-10-14,10.899,11.035,10.769,11.03,44599
14,2013-10-15,10.75,11.106,10.75,10.845,73077
15,2013-10-16,10.87,11.254,10.75,10.757,78913
16,2013-10-17,11.02,11.254,11.02,11.185,88326
17,2013-10-18,11.02,11.465,11.014,11.095,192426
18,2013-10-21,11.135,11.547,11.135,11.444,170433
19,2013-10-22,11.316,11.422,11.167,11.383,76401
20,2013-10-23,11.474,11.553,11.271,11.465,66326
21,2013-10-24,11.321,11.606,11.321,11.383,77579
22,2013-10-25,11.397,11.553,11.397,11.462,45335
23,2013-10-28,11.577,11.912,11.493,11.531,68169
24,2013-10-29,11.6,11.734,11.565,11.672,68338
25,2013-10-30,11.547,11.739,11.254,11.402,66492
26,2013-10-31,11.67,11.693,11.496,11.496,49684
27,2013-11-01,11.24,11.56,11.233,11.316,15277
28,2013-11-04,11.87,11.87,11.287,11.321,57797
29,2013-11-05,11.527,11.527,11.287,11.321,95543
30,2013-11-06,11.375,11.519,11.185,11.444,43324
31,2013-11-07,11.47,11.527,11.014,11.132,88326
32,2013-11-08,11.158,11.613,11.106,11.606,22335
33,2013-11-11,11.493,11.619,11.346,11.553,24610
34,2013-11-12,11.553,11.56,11.201,11.316,52226
35,2013-11-13,11.364,11.551,11.195,11.402,107496
36,2013-11-14,11.465,11.553,11.316,11.436,88655
37,2013-11-15,11.448,11.493,11.311,11.346,74556
38,2013-11-18,11.375,11.422,11.316,11.316,63808
39,2013-11-19,11.364,11.493,11.321,11.428,57424
40,2013-11-20,11.402,11.436,11.179,11.402,125764
41,2013-11-21,11.402,11.553,11.271,11.553,41307
42,2013-11-22,11.436,11.553,11.436,11.553,36608
43,2013-11-25,11.493,11.625,11.375,11.613,70189
44,2013-11-26,11.639,11.829,11.613,11.63,57594
45,2013-11-27,11.656,11.793,11.644,11.785,27539
46,2013-11-29,12.116,12.167,12.019,12.134,22587
47,2013-12-02,11.805,11.851,11.694,11.851,40297
48,2013-12-03,12.134,12.139,11.992,12.139,69838
49,2013-12-04,12.139,12.139,12.046,12.071,93447
50,2013-12-05,12.071,12.134,11.987,12.11,116557
51,2013-12-06,11.918,12.139,11.777,12.078,68199
52,2013-12-09,12.122,12.139,11.895,11.998,44920
53,2013-12-10,11.833,12.024,11.833,11.883,45738
54,2013-12-11,11.895,12.11,11.895,11.945,67375
55,2013-12-12,12.071,12.102,11.967,12.071,50502
